m	n	torsion_coset
-99237600	0	1
-98036400	0	1
-88099200	0	1
-86024400	0	1
-84495600	0	1
-82420800	0	1
-79690800	0	1
-78489600	0	1
-77616000	0	1
-77288400	0	1
-76414800	0	1
-75213600	0	1
-65276400	0	1
-63201600	0	1
-61672800	0	1
-59598000	0	1
-56868000	0	1
-55666800	0	1
-54793200	0	1
-54465600	0	1
-53592000	0	1
-52390800	0	1
-42453600	0	1
-40378800	0	1
-38850000	0	1
-36775200	0	1
-34045200	0	1
-32844000	0	1
-31970400	0	1
-31642800	0	1
-30769200	0	1
-29568000	0	1
-19630800	0	1
-17556000	0	1
-16027200	0	1
-13952400	0	1
-11222400	0	1
-10021200	0	1
-9147600	0	1
-8820000	0	1
-7946400	0	1
-6745200	0	1
3192000	0	1
5266800	0	1
6795600	0	1
8870400	0	1
11600400	0	1
12801600	0	1
13675200	0	1
14002800	0	1
14876400	0	1
16077600	0	1
26014800	0	1
28089600	0	1
29618400	0	1
31693200	0	1
34423200	0	1
35624400	0	1
36498000	0	1
36825600	0	1
37699200	0	1
38900400	0	1
48837600	0	1
50912400	0	1
52441200	0	1
54516000	0	1
57246000	0	1
58447200	0	1
59320800	0	1
59648400	0	1
60522000	0	1
61723200	0	1
71660400	0	1
73735200	0	1
75264000	0	1
77338800	0	1
80068800	0	1
81270000	0	1
82143600	0	1
82471200	0	1
83344800	0	1
84546000	0	1
94483200	0	1
96558000	0	1
98086800	0	1
-98221200	0	1
-95491200	0	1
-94290000	0	1
-93416400	0	1
-93088800	0	1
-92215200	0	1
-91014000	0	1
-81076800	0	1
-79002000	0	1
-77473200	0	1
-75398400	0	1
-72668400	0	1
-71467200	0	1
-70593600	0	1
-70266000	0	1
-69392400	0	1
-68191200	0	1
-58254000	0	1
-56179200	0	1
-54650400	0	1
-52575600	0	1
-49845600	0	1
-48644400	0	1
-47770800	0	1
-47443200	0	1
-46569600	0	1
-45368400	0	1
-35431200	0	1
-33356400	0	1
-31827600	0	1
-29752800	0	1
-27022800	0	1
-25821600	0	1
-24948000	0	1
-24620400	0	1
-23746800	0	1
-22545600	0	1
-12608400	0	1
-10533600	0	1
-9004800	0	1
-6930000	0	1
-4200000	0	1
-2998800	0	1
-2125200	0	1
-1797600	0	1
-924000	0	1
277200	0	1
10214400	0	1
12289200	0	1
13818000	0	1
15892800	0	1
18622800	0	1
19824000	0	1
20697600	0	1
21025200	0	1
21898800	0	1
23100000	0	1
33037200	0	1
35112000	0	1
36640800	0	1
38715600	0	1
41445600	0	1
42646800	0	1
43520400	0	1
43848000	0	1
44721600	0	1
45922800	0	1
55860000	0	1
57934800	0	1
59463600	0	1
61538400	0	1
64268400	0	1
65469600	0	1
66343200	0	1
66670800	0	1
67544400	0	1
68745600	0	1
78682800	0	1
80757600	0	1
82286400	0	1
84361200	0	1
87091200	0	1
88292400	0	1
89166000	0	1
89493600	0	1
90367200	0	1
91568400	0	1
-93366000	0	1
-91291200	0	1
-89762400	0	1
-87687600	0	1
-84957600	0	1
-83756400	0	1
-82882800	0	1
-82555200	0	1
-81681600	0	1
-80480400	0	1
-70543200	0	1
-68468400	0	1
-66939600	0	1
-64864800	0	1
-62134800	0	1
-60933600	0	1
-60060000	0	1
-59732400	0	1
-58858800	0	1
-57657600	0	1
-47720400	0	1
-45645600	0	1
-44116800	0	1
-42042000	0	1
-39312000	0	1
-38110800	0	1
-37237200	0	1
-36909600	0	1
-36036000	0	1
-34834800	0	1
-24897600	0	1
-22822800	0	1
-21294000	0	1
-19219200	0	1
-16489200	0	1
-15288000	0	1
-14414400	0	1
-14086800	0	1
-13213200	0	1
-12012000	0	1
-2074800	0	1
0	0	1
1528800	0	1
3603600	0	1
6333600	0	1
7534800	0	1
8408400	0	1
8736000	0	1
9609600	0	1
10810800	0	1
20748000	0	1
22822800	0	1
24351600	0	1
26426400	0	1
29156400	0	1
30357600	0	1
31231200	0	1
31558800	0	1
32432400	0	1
33633600	0	1
43570800	0	1
45645600	0	1
47174400	0	1
49249200	0	1
51979200	0	1
53180400	0	1
54054000	0	1
54381600	0	1
55255200	0	1
56456400	0	1
66393600	0	1
68468400	0	1
69997200	0	1
72072000	0	1
74802000	0	1
76003200	0	1
76876800	0	1
77204400	0	1
78078000	0	1
79279200	0	1
89216400	0	1
91291200	0	1
92820000	0	1
94894800	0	1
97624800	0	1
98826000	0	1
99699600	0	1
-99981417	0	2
-99741177	0	2
-99681117	0	2
-99326217	0	2
-99206097	0	2
-98605497	0	2
-98539977	0	2
-98479917	0	2
-98125017	0	2
-97458897	0	2
-97338777	0	2
-97284177	0	2
-96923817	0	2
-96738177	0	2
-96557997	0	2
-96323217	0	2
-96257697	0	2
-95902797	0	2
-95182077	0	2
-95176617	0	2
-95056497	0	2
-95001897	0	2
-94701597	0	2
-94455897	0	2
-93975417	0	2
-93500397	0	2
-93134577	0	2
-92774217	0	2
-92719617	0	2
-92479377	0	2
-92173617	0	2
-91753197	0	2
-91578477	0	2
-91278177	0	2
-91032477	0	2
-90852297	0	2
-90617517	0	2
-90551997	0	2
-90197097	0	2
-90076977	0	2
-89476377	0	2
-89350797	0	2
-88995897	0	2
-88570017	0	2
-88329777	0	2
-87914817	0	2
-87794697	0	2
-87428877	0	2
-87194097	0	2
-87128577	0	2
-87013917	0	2
-86773677	0	2
-86713617	0	2
-86467917	0	2
-86047497	0	2
-85927377	0	2
-85872777	0	2
-85572477	0	2
-85512417	0	2
-85326777	0	2
-84911817	0	2
-84846297	0	2
-84371277	0	2
-83765217	0	2
-83645097	0	2
-83590497	0	2
-83044497	0	2
-82864317	0	2
-82624077	0	2
-82564017	0	2
-82209117	0	2
-81723177	0	2
-81488397	0	2
-81422877	0	2
-81362817	0	2
-81308217	0	2
-81067977	0	2
-81007917	0	2
-80762217	0	2
-80221677	0	2
-79866777	0	2
-79806717	0	2
-79440897	0	2
-78785697	0	2
-78665577	0	2
-78064977	0	2
-78059517	0	2
-77884797	0	2
-77584497	0	2
-77338797	0	2
-77158617	0	2
-76918377	0	2
-76858317	0	2
-76503417	0	2
-76383297	0	2
-75782697	0	2
-75717177	0	2
-75657117	0	2
-75302217	0	2
-74636097	0	2
-74515977	0	2
-74461377	0	2
-74101017	0	2
