prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
17	1	0	0	10	1	3	1
17	1	1	0	10	1	3	8
17	1	2	0	10	1	3	1
17	1	3	0	10	1	3	12
17	1	4	0	10	1	3	5
17	1	5	0	10	1	3	16
17	1	6	0	10	1	3	9
17	1	7	0	10	1	3	16
17	1	8	0	10	1	3	inf
17	1	9	0	10	1	3	12
17	2	0	0	10	1	3	16
17	2	1	0	10	1	3	9
17	2	2	0	10	1	3	16
17	2	3	0	10	1	3	inf
17	2	4	0	10	1	3	12
17	2	5	0	10	1	3	1
17	2	6	0	10	1	3	8
17	2	7	0	10	1	3	1
17	2	8	0	10	1	3	12
17	2	9	0	10	1	3	5
19	1	0	0	3	1	3	1
19	1	1	0	3	1	3	inf
19	1	2	0	3	1	3	inf
19	2	0	0	3	1	3	inf
19	2	1	0	3	1	3	inf
19	2	2	0	3	1	3	inf
23	1	6	0	16	1	2	4
23	1	7	0	16	1	2	19
23	1	11	0	16	1	3	inf
23	1	14	0	16	1	2	19
23	1	15	0	16	1	2	4
23	2	3	0	16	1	3	inf
23	2	6	0	16	1	2	19
23	2	7	0	16	1	2	4
23	2	14	0	16	1	2	4
23	2	15	0	16	1	2	19
29	1	2	0	8	1	2	8
29	1	3	0	8	1	2	21
29	1	6	0	8	1	2	21
29	1	7	0	8	1	3	inf
29	2	2	0	8	1	2	21
29	2	3	0	8	1	3	inf
29	2	6	0	8	1	2	8
29	2	7	0	8	1	2	21
31	1	0	0	7	1	3	1
31	1	1	0	7	1	3	21
31	1	2	0	7	1	3	inf
31	1	3	0	7	1	3	10
31	1	4	0	7	1	3	30
31	2	0	0	7	1	3	30
31	2	1	0	7	1	3	10
31	2	2	0	7	1	3	inf
31	2	3	0	7	1	3	inf
31	2	4	0	7	1	3	1
37	1	0	0	14	1	2	1
37	1	4	0	14	1	2	1
37	1	7	0	14	1	2	36
37	1	10	0	14	1	3	inf
37	1	11	0	14	1	2	36
37	2	0	0	14	1	2	36
37	2	3	0	14	1	3	inf
37	2	4	0	14	1	2	36
37	2	7	0	14	1	2	1
37	2	11	0	14	1	2	1
41	1	0	0	10	1	2	1
41	1	2	0	10	1	3	37
41	1	5	0	10	1	3	4
41	1	7	0	10	1	2	40
41	1	8	0	10	1	2	32
41	1	9	0	10	1	2	9
41	2	0	0	10	1	2	40
41	2	2	0	10	1	3	4
41	2	3	0	10	1	3	inf
41	2	5	0	10	1	3	37
41	2	7	0	10	1	2	1
41	2	8	0	10	1	2	9
41	2	9	0	10	1	2	32
43	1	1	0	10	1	3	10
43	1	3	0	10	1	2	23
43	1	4	0	10	1	2	20
43	1	6	0	10	1	3	33
43	1	8	0	10	1	3	inf
43	1	9	0	10	1	2	23
43	2	1	0	10	1	3	33
43	2	3	0	10	1	3	inf
43	2	4	0	10	1	2	23
43	2	6	0	10	1	3	10
43	2	8	0	10	1	2	23
43	2	9	0	10	1	2	20
47	1	0	0	9	1	3	1
47	1	1	0	9	1	2	4
47	1	3	0	9	1	3	0
47	1	5	0	9	1	2	43
47	1	6	0	9	1	3	46
47	1	7	0	9	1	2	12
47	1	8	0	9	1	2	35
47	2	0	0	9	1	3	46
47	2	1	0	9	1	2	43
47	2	3	0	9	1	3	inf
47	2	5	0	9	1	2	4
47	2	6	0	9	1	3	1
47	2	7	0	9	1	2	35
47	2	8	0	9	1	2	12
53	1	6	0	15	1	3	0
53	2	3	0	15	1	3	inf
53	2	6	0	15	1	3	0
59	1	1	0	30	1	2	20
59	1	11	0	30	1	2	20
59	1	13	0	30	1	2	19
59	1	14	0	30	1	2	40
59	1	16	0	30	1	2	39
59	1	18	0	30	1	3	inf
59	1	26	0	30	1	2	39
59	1	28	0	30	1	2	40
59	1	29	0	30	1	2	19
59	2	1	0	30	1	2	39
59	2	3	0	30	1	3	inf
59	2	11	0	30	1	2	39
59	2	13	0	30	1	2	40
59	2	14	0	30	1	2	19
59	2	16	0	30	1	2	20
59	2	26	0	30	1	2	20
59	2	28	0	30	1	2	19
59	2	29	0	30	1	2	40
61	1	0	0	4	1	3	1
61	1	1	0	4	1	3	60
61	2	0	0	4	1	3	60
61	2	1	0	4	1	3	1
61	2	3	0	4	1	3	inf
67	1	7	0	38	1	3	23
67	1	8	0	38	1	3	40
67	1	9	0	38	1	3	23
67	1	22	0	38	1	3	inf
67	1	26	0	38	1	3	44
67	1	27	0	38	1	3	27
