m	n	k	torsion_coset
-950	613	-583	2
-942	987	-743	2
-862	443	-511	2
-830	-371	209	2
-790	-733	609	2
-774	-189	769	2
-770	985	841	2
-742	-541	281	2
-718	-721	825	2
-706	-943	-903	2
-670	-241	33	2
-578	259	-295	2
-538	989	609	2
-434	-23	1	2
-434	481	-671	2
-386	-719	-455	2
-370	-103	105	2
-326	889	-799	2
-298	-427	-183	2
-182	19	337	2
-146	583	-511	2
-78	-999	609	2
-2	1	1	2
90	-75	-399	2
134	989	-399	2
232	-110	917	2
250	211	-167	2
458	875	-687	2
462	-261	-615	2
474	393	-111	2
484	520	413	2
566	-607	-7	2
638	569	-399	2
730	193	-583	2
790	-131	553	2
850	-791	209	2
850	-623	-295	2
874	-341	-959	2
938	-793	-223	2
990	189	937	2
