prime	torsion_coset	m	n	k	ord_g1	ord_g2	ord_g3	state	t
11	1	0	0	1	8	2	4	3	inf
11	1	0	0	2	8	2	4	3	inf
11	1	0	0	3	8	2	4	3	inf
11	1	0	1	0	8	2	4	3	inf
11	1	0	1	1	8	2	4	3	inf
11	1	0	1	2	8	2	4	3	inf
11	1	0	1	3	8	2	4	3	inf
11	1	1	0	0	8	2	4	3	inf
11	1	1	0	1	8	2	4	3	inf
11	1	1	0	2	8	2	4	3	inf
11	1	1	0	3	8	2	4	3	inf
11	1	1	1	0	8	2	4	3	inf
11	1	1	1	1	8	2	4	3	inf
11	1	1	1	2	8	2	4	3	inf
11	1	1	1	3	8	2	4	3	inf
11	1	2	0	0	8	2	4	3	inf
11	1	2	0	1	8	2	4	3	inf
11	1	2	0	2	8	2	4	3	inf
11	1	2	0	3	8	2	4	3	inf
11	1	2	1	0	8	2	4	3	inf
11	1	2	1	1	8	2	4	3	inf
11	1	2	1	2	8	2	4	3	inf
11	1	3	0	0	8	2	4	3	inf
11	1	3	0	1	8	2	4	3	inf
11	1	3	0	2	8	2	4	3	inf
11	1	3	0	3	8	2	4	3	inf
11	1	3	1	0	8	2	4	3	inf
11	1	3	1	1	8	2	4	3	inf
11	1	3	1	2	8	2	4	3	inf
11	1	3	1	3	8	2	4	3	inf
11	1	4	0	0	8	2	4	3	inf
11	1	4	0	1	8	2	4	3	inf
11	1	4	0	3	8	2	4	3	inf
11	1	4	1	0	8	2	4	3	inf
11	1	4	1	1	8	2	4	3	inf
11	1	4	1	2	8	2	4	3	inf
11	1	4	1	3	8	2	4	3	inf
11	1	5	0	0	8	2	4	3	inf
11	1	5	0	1	8	2	4	3	inf
11	1	5	0	2	8	2	4	3	inf
11	1	5	0	3	8	2	4	3	inf
11	1	5	1	0	8	2	4	3	inf
11	1	5	1	1	8	2	4	3	inf
11	1	5	1	2	8	2	4	3	inf
11	1	5	1	3	8	2	4	3	inf
11	1	6	0	0	8	2	4	3	inf
11	1	6	0	1	8	2	4	3	inf
11	1	6	0	2	8	2	4	3	inf
11	1	6	0	3	8	2	4	3	inf
11	1	6	1	0	8	2	4	3	inf
