level	modulus	z	contact_incidences	full_cover_possible
1	13	0	2	-1
2	169	0	2	-1
2	169	13	2	0
2	169	26	2	0
2	169	39	2	0
2	169	52	2	0
2	169	65	2	0
2	169	78	2	0
2	169	91	2	0
2	169	104	2	0
2	169	117	2	0
2	169	130	2	0
2	169	143	2	0
2	169	156	2	0
3	2197	0	2	-1
3	2197	13	2	0
3	2197	26	2	0
3	2197	39	2	0
3	2197	52	2	0
3	2197	65	2	0
3	2197	78	2	0
3	2197	91	2	0
3	2197	104	2	0
3	2197	117	2	0
3	2197	130	2	0
3	2197	143	2	0
3	2197	156	2	0
3	2197	169	2	0
3	2197	182	2	0
3	2197	195	2	0
3	2197	208	2	0
3	2197	221	2	0
3	2197	234	2	0
3	2197	247	2	0
3	2197	260	2	0
3	2197	273	2	0
3	2197	286	2	0
3	2197	299	2	0
3	2197	312	2	0
3	2197	325	2	0
3	2197	338	2	0
3	2197	351	2	0
3	2197	364	2	0
3	2197	377	2	0
3	2197	390	2	0
3	2197	403	2	0
3	2197	416	2	0
3	2197	429	2	0
3	2197	442	2	0
3	2197	455	2	0
3	2197	468	2	0
3	2197	481	2	0
3	2197	494	2	0
3	2197	507	2	0
3	2197	520	2	0
3	2197	533	2	0
3	2197	546	2	0
3	2197	559	2	0
3	2197	572	2	0
3	2197	585	2	0
3	2197	598	2	0
3	2197	611	2	0
3	2197	624	2	0
3	2197	637	2	0
3	2197	650	2	0
3	2197	663	2	0
3	2197	676	2	0
3	2197	689	2	0
3	2197	702	2	0
3	2197	715	2	0
3	2197	728	2	0
3	2197	741	2	0
3	2197	754	2	0
3	2197	767	2	0
3	2197	780	2	0
3	2197	793	2	0
3	2197	806	2	0
3	2197	819	2	0
3	2197	832	2	0
3	2197	845	2	0
3	2197	858	2	0
3	2197	871	2	0
3	2197	884	2	0
3	2197	897	2	0
3	2197	910	2	0
3	2197	923	2	0
3	2197	936	2	0
3	2197	949	2	0
3	2197	962	2	0
3	2197	975	2	0
3	2197	988	2	0
3	2197	1001	2	0
3	2197	1014	2	0
3	2197	1027	2	0
3	2197	1040	2	0
3	2197	1053	2	0
3	2197	1066	2	0
3	2197	1079	2	0
3	2197	1092	2	0
3	2197	1105	2	0
3	2197	1118	2	0
3	2197	1131	2	0
3	2197	1144	2	0
3	2197	1157	2	0
3	2197	1170	2	0
3	2197	1183	2	0
3	2197	1196	2	0
3	2197	1209	2	0
3	2197	1222	2	0
3	2197	1235	2	0
3	2197	1248	2	0
3	2197	1261	2	0
3	2197	1274	2	0
3	2197	1287	2	0
3	2197	1300	2	0
3	2197	1313	2	0
3	2197	1326	2	0
3	2197	1339	2	0
3	2197	1352	2	0
3	2197	1365	2	0
3	2197	1378	2	0
3	2197	1391	2	0
3	2197	1404	2	0
3	2197	1417	2	0
3	2197	1430	2	0
3	2197	1443	2	0
3	2197	1456	2	0
3	2197	1469	2	0
3	2197	1482	2	0
3	2197	1495	2	0
3	2197	1508	2	0
3	2197	1521	2	0
3	2197	1534	2	0
3	2197	1547	2	0
3	2197	1560	2	0
3	2197	1573	2	0
3	2197	1586	2	0
3	2197	1599	2	0
3	2197	1612	2	0
3	2197	1625	2	0
3	2197	1638	2	0
3	2197	1651	2	0
3	2197	1664	2	0
3	2197	1677	2	0
3	2197	1690	2	0
3	2197	1703	2	0
3	2197	1716	2	0
3	2197	1729	2	0
3	2197	1742	2	0
3	2197	1755	2	0
3	2197	1768	2	0
3	2197	1781	2	0
3	2197	1794	2	0
3	2197	1807	2	0
3	2197	1820	2	0
3	2197	1833	2	0
3	2197	1846	2	0
3	2197	1859	2	0
3	2197	1872	2	0
3	2197	1885	2	0
3	2197	1898	2	0
3	2197	1911	2	0
3	2197	1924	2	0
3	2197	1937	2	0
3	2197	1950	2	0
3	2197	1963	2	0
3	2197	1976	2	0
3	2197	1989	2	0
3	2197	2002	2	0
3	2197	2015	2	0
3	2197	2028	2	0
3	2197	2041	2	0
3	2197	2054	2	0
3	2197	2067	2	0
3	2197	2080	2	0
3	2197	2093	2	0
3	2197	2106	2	0
3	2197	2119	2	0
3	2197	2132	2	0
3	2197	2145	2	0
3	2197	2158	2	0
3	2197	2171	2	0
3	2197	2184	2	0
4	28561	0	2	-1
4	28561	13	2	0
4	28561	26	2	0
4	28561	39	2	0
4	28561	52	2	0
4	28561	65	2	0
4	28561	78	2	0
4	28561	91	2	0
4	28561	104	2	0
4	28561	117	2	0
4	28561	130	2	0
4	28561	143	2	0
4	28561	156	2	0
4	28561	169	2	0
4	28561	182	2	0
4	28561	195	2	0
4	28561	208	2	0
4	28561	221	2	0
4	28561	234	2	0
4	28561	247	2	0
4	28561	260	2	0
4	28561	273	2	0
4	28561	286	2	0
4	28561	299	2	0
4	28561	312	2	0
4	28561	325	2	0
4	28561	338	2	0
4	28561	351	2	0
4	28561	364	2	0
4	28561	377	2	0
4	28561	390	2	0
4	28561	403	2	0
4	28561	416	2	0
4	28561	429	2	0
4	28561	442	2	0
4	28561	455	2	0
4	28561	468	2	0
4	28561	481	2	0
4	28561	494	2	0
4	28561	507	2	0
4	28561	520	2	0
4	28561	533	2	0
4	28561	546	2	0
4	28561	559	2	0
4	28561	572	2	0
4	28561	585	2	0
4	28561	598	2	0
4	28561	611	2	0
4	28561	624	2	0
4	28561	637	2	0
4	28561	650	2	0
4	28561	663	2	0
4	28561	676	2	0
4	28561	689	2	0
4	28561	702	2	0
4	28561	715	2	0
4	28561	728	2	0
4	28561	741	2	0
4	28561	754	2	0
4	28561	767	2	0
4	28561	780	2	0
4	28561	793	2	0
4	28561	806	2	0
4	28561	819	2	0
4	28561	832	2	0
4	28561	845	2	0
4	28561	858	2	0
4	28561	871	2	0
4	28561	884	2	0
4	28561	897	2	0
4	28561	910	2	0
4	28561	923	2	0
4	28561	936	2	0
4	28561	949	2	0
4	28561	962	2	0
4	28561	975	2	0
4	28561	988	2	0
4	28561	1001	2	0
4	28561	1014	2	0
4	28561	1027	2	0
4	28561	1040	2	0
4	28561	1053	2	0
4	28561	1066	2	0
4	28561	1079	2	0
4	28561	1092	2	0
4	28561	1105	2	0
4	28561	1118	2	0
4	28561	1131	2	0
4	28561	1144	2	0
4	28561	1157	2	0
4	28561	1170	2	0
4	28561	1183	2	0
4	28561	1196	2	0
4	28561	1209	2	0
4	28561	1222	2	0
4	28561	1235	2	0
4	28561	1248	2	0
4	28561	1261	2	0
4	28561	1274	2	0
4	28561	1287	2	0
4	28561	1300	2	0
4	28561	1313	2	0
4	28561	1326	2	0
4	28561	1339	2	0
4	28561	1352	2	0
4	28561	1365	2	0
4	28561	1378	2	0
4	28561	1391	2	0
4	28561	1404	2	0
4	28561	1417	2	0
4	28561	1430	2	0
4	28561	1443	2	0
4	28561	1456	2	0
4	28561	1469	2	0
4	28561	1482	2	0
4	28561	1495	2	0
4	28561	1508	2	0
4	28561	1521	2	0
4	28561	1534	2	0
4	28561	1547	2	0
4	28561	1560	2	0
4	28561	1573	2	0
4	28561	1586	2	0
4	28561	1599	2	0
4	28561	1612	2	0
4	28561	1625	2	0
4	28561	1638	2	0
4	28561	1651	2	0
4	28561	1664	2	0
4	28561	1677	2	0
4	28561	1690	2	0
4	28561	1703	2	0
4	28561	1716	2	0
4	28561	1729	2	0
4	28561	1742	2	0
4	28561	1755	2	0
4	28561	1768	2	0
4	28561	1781	2	0
4	28561	1794	2	0
4	28561	1807	2	0
4	28561	1820	2	0
4	28561	1833	2	0
4	28561	1846	2	0
4	28561	1859	2	0
4	28561	1872	2	0
4	28561	1885	2	0
4	28561	1898	2	0
4	28561	1911	2	0
4	28561	1924	2	0
4	28561	1937	2	0
4	28561	1950	2	0
4	28561	1963	2	0
4	28561	1976	2	0
4	28561	1989	2	0
4	28561	2002	2	0
4	28561	2015	2	0
4	28561	2028	2	0
4	28561	2041	2	0
4	28561	2054	2	0
4	28561	2067	2	0
4	28561	2080	2	0
4	28561	2093	2	0
4	28561	2106	2	0
4	28561	2119	2	0
4	28561	2132	2	0
4	28561	2145	2	0
4	28561	2158	2	0
4	28561	2171	2	0
4	28561	2184	2	0
4	28561	2197	2	0
4	28561	2210	2	0
4	28561	2223	2	0
4	28561	2236	2	0
4	28561	2249	2	0
4	28561	2262	2	0
4	28561	2275	2	0
4	28561	2288	2	0
4	28561	2301	2	0
4	28561	2314	2	0
4	28561	2327	2	0
4	28561	2340	2	0
4	28561	2353	2	0
4	28561	2366	2	0
4	28561	2379	2	0
4	28561	2392	2	0
4	28561	2405	2	0
4	28561	2418	2	0
4	28561	2431	2	0
4	28561	2444	2	0
4	28561	2457	2	0
4	28561	2470	2	0
4	28561	2483	2	0
4	28561	2496	2	0
4	28561	2509	2	0
4	28561	2522	2	0
4	28561	2535	2	0
4	28561	2548	2	0
4	28561	2561	2	0
4	28561	2574	2	0
4	28561	2587	2	0
4	28561	2600	2	0
4	28561	2613	2	0
4	28561	2626	2	0
4	28561	2639	2	0
4	28561	2652	2	0
4	28561	2665	2	0
4	28561	2678	2	0
4	28561	2691	2	0
4	28561	2704	2	0
4	28561	2717	2	0
4	28561	2730	2	0
4	28561	2743	2	0
4	28561	2756	2	0
4	28561	2769	2	0
4	28561	2782	2	0
4	28561	2795	2	0
4	28561	2808	2	0
4	28561	2821	2	0
4	28561	2834	2	0
4	28561	2847	2	0
4	28561	2860	2	0
4	28561	2873	2	0
4	28561	2886	2	0
4	28561	2899	2	0
4	28561	2912	2	0
4	28561	2925	2	0
4	28561	2938	2	0
4	28561	2951	2	0
4	28561	2964	2	0
4	28561	2977	2	0
4	28561	2990	2	0
4	28561	3003	2	0
4	28561	3016	2	0
4	28561	3029	2	0
4	28561	3042	2	0
4	28561	3055	2	0
4	28561	3068	2	0
4	28561	3081	2	0
4	28561	3094	2	0
4	28561	3107	2	0
4	28561	3120	2	0
4	28561	3133	2	0
4	28561	3146	2	0
4	28561	3159	2	0
4	28561	3172	2	0
4	28561	3185	2	0
4	28561	3198	2	0
4	28561	3211	2	0
4	28561	3224	2	0
4	28561	3237	2	0
4	28561	3250	2	0
4	28561	3263	2	0
4	28561	3276	2	0
4	28561	3289	2	0
4	28561	3302	2	0
4	28561	3315	2	0
4	28561	3328	2	0
4	28561	3341	2	0
4	28561	3354	2	0
4	28561	3367	2	0
4	28561	3380	2	0
4	28561	3393	2	0
4	28561	3406	2	0
4	28561	3419	2	0
4	28561	3432	2	0
4	28561	3445	2	0
4	28561	3458	2	0
4	28561	3471	2	0
4	28561	3484	2	0
4	28561	3497	2	0
4	28561	3510	2	0
4	28561	3523	2	0
4	28561	3536	2	0
4	28561	3549	2	0
4	28561	3562	2	0
4	28561	3575	2	0
4	28561	3588	2	0
4	28561	3601	2	0
4	28561	3614	2	0
4	28561	3627	2	0
4	28561	3640	2	0
4	28561	3653	2	0
4	28561	3666	2	0
4	28561	3679	2	0
4	28561	3692	2	0
4	28561	3705	2	0
4	28561	3718	2	0
4	28561	3731	2	0
4	28561	3744	2	0
4	28561	3757	2	0
4	28561	3770	2	0
4	28561	3783	2	0
4	28561	3796	2	0
4	28561	3809	2	0
4	28561	3822	2	0
4	28561	3835	2	0
4	28561	3848	2	0
4	28561	3861	2	0
4	28561	3874	2	0
4	28561	3887	2	0
4	28561	3900	2	0
4	28561	3913	2	0
4	28561	3926	2	0
4	28561	3939	2	0
4	28561	3952	2	0
4	28561	3965	2	0
4	28561	3978	2	0
4	28561	3991	2	0
4	28561	4004	2	0
4	28561	4017	2	0
4	28561	4030	2	0
4	28561	4043	2	0
4	28561	4056	2	0
4	28561	4069	2	0
4	28561	4082	2	0
4	28561	4095	2	0
4	28561	4108	2	0
4	28561	4121	2	0
4	28561	4134	2	0
4	28561	4147	2	0
4	28561	4160	2	0
4	28561	4173	2	0
4	28561	4186	2	0
4	28561	4199	2	0
4	28561	4212	2	0
4	28561	4225	2	0
4	28561	4238	2	0
4	28561	4251	2	0
4	28561	4264	2	0
4	28561	4277	2	0
4	28561	4290	2	0
4	28561	4303	2	0
4	28561	4316	2	0
4	28561	4329	2	0
4	28561	4342	2	0
4	28561	4355	2	0
4	28561	4368	2	0
4	28561	4381	2	0
4	28561	4394	2	0
4	28561	4407	2	0
4	28561	4420	2	0
4	28561	4433	2	0
4	28561	4446	2	0
4	28561	4459	2	0
4	28561	4472	2	0
4	28561	4485	2	0
4	28561	4498	2	0
4	28561	4511	2	0
4	28561	4524	2	0
4	28561	4537	2	0
4	28561	4550	2	0
4	28561	4563	2	0
4	28561	4576	2	0
4	28561	4589	2	0
4	28561	4602	2	0
4	28561	4615	2	0
4	28561	4628	2	0
4	28561	4641	2	0
4	28561	4654	2	0
4	28561	4667	2	0
4	28561	4680	2	0
4	28561	4693	2	0
4	28561	4706	2	0
4	28561	4719	2	0
4	28561	4732	2	0
4	28561	4745	2	0
4	28561	4758	2	0
4	28561	4771	2	0
4	28561	4784	2	0
4	28561	4797	2	0
4	28561	4810	2	0
4	28561	4823	2	0
4	28561	4836	2	0
4	28561	4849	2	0
4	28561	4862	2	0
4	28561	4875	2	0
4	28561	4888	2	0
4	28561	4901	2	0
4	28561	4914	2	0
4	28561	4927	2	0
4	28561	4940	2	0
4	28561	4953	2	0
4	28561	4966	2	0
4	28561	4979	2	0
4	28561	4992	2	0
4	28561	5005	2	0
4	28561	5018	2	0
4	28561	5031	2	0
4	28561	5044	2	0
4	28561	5057	2	0
4	28561	5070	2	0
4	28561	5083	2	0
4	28561	5096	2	0
4	28561	5109	2	0
4	28561	5122	2	0
4	28561	5135	2	0
4	28561	5148	2	0
4	28561	5161	2	0
4	28561	5174	2	0
4	28561	5187	2	0
4	28561	5200	2	0
4	28561	5213	2	0
4	28561	5226	2	0
4	28561	5239	2	0
4	28561	5252	2	0
4	28561	5265	2	0
4	28561	5278	2	0
4	28561	5291	2	0
4	28561	5304	2	0
4	28561	5317	2	0
4	28561	5330	2	0
4	28561	5343	2	0
4	28561	5356	2	0
4	28561	5369	2	0
4	28561	5382	2	0
4	28561	5395	2	0
4	28561	5408	2	0
4	28561	5421	2	0
4	28561	5434	2	0
4	28561	5447	2	0
4	28561	5460	2	0
4	28561	5473	2	0
4	28561	5486	2	0
4	28561	5499	2	0
4	28561	5512	2	0
4	28561	5525	2	0
4	28561	5538	2	0
4	28561	5551	2	0
4	28561	5564	2	0
4	28561	5577	2	0
4	28561	5590	2	0
4	28561	5603	2	0
4	28561	5616	2	0
4	28561	5629	2	0
4	28561	5642	2	0
4	28561	5655	2	0
4	28561	5668	2	0
4	28561	5681	2	0
4	28561	5694	2	0
4	28561	5707	2	0
4	28561	5720	2	0
4	28561	5733	2	0
4	28561	5746	2	0
4	28561	5759	2	0
4	28561	5772	2	0
4	28561	5785	2	0
4	28561	5798	2	0
4	28561	5811	2	0
4	28561	5824	2	0
4	28561	5837	2	0
4	28561	5850	2	0
4	28561	5863	2	0
4	28561	5876	2	0
4	28561	5889	2	0
4	28561	5902	2	0
4	28561	5915	2	0
4	28561	5928	2	0
4	28561	5941	2	0
4	28561	5954	2	0
4	28561	5967	2	0
4	28561	5980	2	0
4	28561	5993	2	0
4	28561	6006	2	0
4	28561	6019	2	0
4	28561	6032	2	0
4	28561	6045	2	0
4	28561	6058	2	0
4	28561	6071	2	0
4	28561	6084	2	0
4	28561	6097	2	0
4	28561	6110	2	0
4	28561	6123	2	0
4	28561	6136	2	0
4	28561	6149	2	0
4	28561	6162	2	0
4	28561	6175	2	0
4	28561	6188	2	0
4	28561	6201	2	0
4	28561	6214	2	0
4	28561	6227	2	0
4	28561	6240	2	0
4	28561	6253	2	0
4	28561	6266	2	0
4	28561	6279	2	0
4	28561	6292	2	0
4	28561	6305	2	0
4	28561	6318	2	0
4	28561	6331	2	0
4	28561	6344	2	0
4	28561	6357	2	0
4	28561	6370	2	0
4	28561	6383	2	0
4	28561	6396	2	0
4	28561	6409	2	0
4	28561	6422	2	0
4	28561	6435	2	0
4	28561	6448	2	0
4	28561	6461	2	0
4	28561	6474	2	0
4	28561	6487	2	0
4	28561	6500	2	0
4	28561	6513	2	0
4	28561	6526	2	0
4	28561	6539	2	0
4	28561	6552	2	0
4	28561	6565	2	0
4	28561	6578	2	0
4	28561	6591	2	0
4	28561	6604	2	0
4	28561	6617	2	0
4	28561	6630	2	0
4	28561	6643	2	0
4	28561	6656	2	0
4	28561	6669	2	0
4	28561	6682	2	0
4	28561	6695	2	0
4	28561	6708	2	0
4	28561	6721	2	0
4	28561	6734	2	0
4	28561	6747	2	0
4	28561	6760	2	0
4	28561	6773	2	0
4	28561	6786	2	0
4	28561	6799	2	0
4	28561	6812	2	0
4	28561	6825	2	0
4	28561	6838	2	0
4	28561	6851	2	0
4	28561	6864	2	0
4	28561	6877	2	0
4	28561	6890	2	0
4	28561	6903	2	0
4	28561	6916	2	0
4	28561	6929	2	0
4	28561	6942	2	0
4	28561	6955	2	0
4	28561	6968	2	0
4	28561	6981	2	0
4	28561	6994	2	0
4	28561	7007	2	0
4	28561	7020	2	0
4	28561	7033	2	0
4	28561	7046	2	0
4	28561	7059	2	0
4	28561	7072	2	0
4	28561	7085	2	0
4	28561	7098	2	0
4	28561	7111	2	0
4	28561	7124	2	0
4	28561	7137	2	0
4	28561	7150	2	0
4	28561	7163	2	0
4	28561	7176	2	0
4	28561	7189	2	0
4	28561	7202	2	0
4	28561	7215	2	0
4	28561	7228	2	0
4	28561	7241	2	0
4	28561	7254	2	0
4	28561	7267	2	0
4	28561	7280	2	0
4	28561	7293	2	0
4	28561	7306	2	0
4	28561	7319	2	0
4	28561	7332	2	0
4	28561	7345	2	0
4	28561	7358	2	0
4	28561	7371	2	0
4	28561	7384	2	0
4	28561	7397	2	0
4	28561	7410	2	0
4	28561	7423	2	0
4	28561	7436	2	0
4	28561	7449	2	0
4	28561	7462	2	0
4	28561	7475	2	0
4	28561	7488	2	0
4	28561	7501	2	0
4	28561	7514	2	0
4	28561	7527	2	0
4	28561	7540	2	0
4	28561	7553	2	0
4	28561	7566	2	0
4	28561	7579	2	0
4	28561	7592	2	0
4	28561	7605	2	0
4	28561	7618	2	0
4	28561	7631	2	0
4	28561	7644	2	0
4	28561	7657	2	0
4	28561	7670	2	0
4	28561	7683	2	0
4	28561	7696	2	0
4	28561	7709	2	0
4	28561	7722	2	0
4	28561	7735	2	0
4	28561	7748	2	0
4	28561	7761	2	0
4	28561	7774	2	0
4	28561	7787	2	0
4	28561	7800	2	0
4	28561	7813	2	0
4	28561	7826	2	0
4	28561	7839	2	0
4	28561	7852	2	0
4	28561	7865	2	0
4	28561	7878	2	0
4	28561	7891	2	0
4	28561	7904	2	0
4	28561	7917	2	0
4	28561	7930	2	0
4	28561	7943	2	0
4	28561	7956	2	0
4	28561	7969	2	0
4	28561	7982	2	0
4	28561	7995	2	0
4	28561	8008	2	0
4	28561	8021	2	0
4	28561	8034	2	0
4	28561	8047	2	0
4	28561	8060	2	0
4	28561	8073	2	0
4	28561	8086	2	0
4	28561	8099	2	0
4	28561	8112	2	0
4	28561	8125	2	0
