m	n	torsion_coset
-8401	-8397	1
-8401	-1677	1
-8401	339	1
-8401	3363	1
-8401	6723	1
-8401	8403	1
-8401	8739	1
-6721	-5037	1
-6721	1683	1
-6721	3699	1
-6721	6723	1
-5041	-9741	1
-5041	-6717	1
-5041	-1677	1
-5041	5043	1
-5041	7059	1
-3361	-8397	1
-3361	-6717	1
-3361	-6381	1
-3361	-3357	1
-3361	1683	1
-3361	8403	1
-1681	-8397	1
-1681	-5037	1
-1681	-3357	1
-1681	-3021	1
-1681	3	1
-1681	5043	1
-1	-8061	1
-1	-5037	1
-1	-1677	1
-1	3	1
-1	339	1
-1	3363	1
-1	8403	1
1679	-6717	1
1679	-4701	1
1679	-1677	1
1679	1683	1
1679	3363	1
1679	3699	1
1679	6723	1
3359	-3357	1
3359	-1341	1
3359	1683	1
3359	5043	1
3359	6723	1
3359	7059	1
5039	-6717	1
5039	3	1
5039	2019	1
5039	5043	1
5039	8403	1
6719	-8397	1
6719	-3357	1
6719	3363	1
6719	5379	1
6719	8403	1
8399	-8397	1
8399	-8061	1
8399	-5037	1
8399	3	1
8399	6723	1
8399	8739	1
-9408	-5712	1
-9408	-1512	1
-9408	6888	1
-9240	-8400	1
-9240	-5880	1
-9240	-4200	1
-9240	-1680	1
-9240	4200	1
-9240	6720	1
-9240	8400	1
-8568	-4032	1
-8568	168	1
-8568	8568	1
-8400	-6720	1
-8400	-4200	1
-8400	-2520	1
-8400	0	1
-8400	5880	1
-8400	8400	1
-7728	-2352	1
-7728	1848	1
-7560	-5040	1
-7560	-2520	1
-7560	-840	1
-7560	1680	1
-7560	7560	1
-6888	-9072	1
-6888	-672	1
-6888	3528	1
-6720	-9240	1
-6720	-3360	1
-6720	-840	1
-6720	840	1
-6720	3360	1
-6720	9240	1
-6048	-7392	1
-6048	1008	1
-6048	5208	1
-5880	-7560	1
-5880	-1680	1
-5880	840	1
-5880	2520	1
-5880	5040	1
-5208	-9912	1
-5208	-5712	1
-5208	2688	1
-5208	6888	1
-5040	-8400	1
-5040	-5880	1
-5040	0	1
-5040	2520	1
-5040	4200	1
-5040	6720	1
-4368	-8232	1
-4368	-4032	1
-4368	4368	1
-4368	8568	1
-4200	-8400	1
-4200	-6720	1
-4200	-4200	1
-4200	1680	1
-4200	4200	1
-4200	5880	1
-4200	8400	1
-3528	-6552	1
-3528	-2352	1
-3528	6048	1
-3360	-9240	1
-3360	-6720	1
-3360	-5040	1
-3360	-2520	1
-3360	3360	1
-3360	5880	1
-3360	7560	1
-2688	-4872	1
-2688	-672	1
-2688	7728	1
-2520	-7560	1
-2520	-5040	1
-2520	-3360	1
-2520	-840	1
-2520	5040	1
-2520	7560	1
-2520	9240	1
-1848	-3192	1
-1848	1008	1
-1848	9408	1
-1680	-5880	1
-1680	-3360	1
-1680	-1680	1
-1680	840	1
-1680	6720	1
-1680	9240	1
-1008	-9912	1
-1008	-1512	1
-1008	2688	1
-840	-4200	1
-840	-1680	1
-840	0	1
-840	2520	1
-840	8400	1
-168	-8232	1
-168	168	1
-168	4368	1
0	-8400	1
0	-2520	1
0	0	1
0	1680	1
0	4200	1
672	-6552	1
672	1848	1
672	6048	1
840	-9240	1
840	-6720	1
840	-840	1
840	1680	1
840	3360	1
840	5880	1
1512	-9072	1
1512	-4872	1
1512	3528	1
1512	7728	1
1680	-9240	1
1680	-7560	1
1680	-5040	1
1680	840	1
1680	3360	1
1680	5040	1
1680	7560	1
2352	-7392	1
2352	-3192	1
2352	5208	1
2352	9408	1
2520	-7560	1
2520	-5880	1
2520	-3360	1
2520	2520	1
2520	5040	1
2520	6720	1
2520	9240	1
3192	-5712	1
3192	-1512	1
3192	6888	1
3360	-8400	1
3360	-5880	1
3360	-4200	1
3360	-1680	1
3360	4200	1
3360	6720	1
3360	8400	1
4032	-4032	1
4032	168	1
4032	8568	1
4200	-6720	1
4200	-4200	1
4200	-2520	1
4200	0	1
4200	5880	1
4200	8400	1
4872	-2352	1
4872	1848	1
5040	-5040	1
5040	-2520	1
5040	-840	1
5040	1680	1
5040	7560	1
5712	-9072	1
5712	-672	1
5712	3528	1
5880	-9240	1
5880	-3360	1
5880	-840	1
5880	840	1
5880	3360	1
5880	9240	1
6552	-7392	1
6552	1008	1
6552	5208	1
6720	-7560	1
6720	-1680	1
6720	840	1
6720	2520	1
6720	5040	1
7392	-9912	1
7392	-5712	1
7392	2688	1
7392	6888	1
7560	-8400	1
7560	-5880	1
7560	0	1
7560	2520	1
7560	4200	1
7560	6720	1
8232	-8232	1
8232	-4032	1
8232	4368	1
8232	8568	1
8400	-8400	1
8400	-6720	1
8400	-4200	1
8400	1680	1
8400	4200	1
8400	5880	1
8400	8400	1
9072	-6552	1
9072	-2352	1
9072	6048	1
9240	-9240	1
9240	-6720	1
9240	-5040	1
9240	-2520	1
9240	3360	1
9240	5880	1
9240	7560	1
9912	-4872	1
9912	-672	1
9912	7728	1
