prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	3	1	4	2	3	inf
13	2	1	0	4	2	3	inf
11	1	0	3	4	8	3	inf
11	1	1	5	4	8	3	inf
11	1	2	7	4	8	3	inf
11	1	3	1	4	8	3	inf
11	2	0	7	4	8	3	inf
11	2	1	1	4	8	3	inf
11	2	2	3	4	8	3	inf
11	2	3	5	4	8	3	inf
19	1	0	0	4	6	2	1
19	1	0	2	4	6	2	4
19	1	0	3	4	6	2	18
19	1	0	5	4	6	2	15
19	1	1	0	4	6	2	15
19	1	1	2	4	6	2	18
19	1	1	3	4	6	2	4
19	1	1	4	4	6	3	inf
19	1	1	5	4	6	2	1
19	1	2	0	4	6	2	18
19	1	2	2	4	6	2	15
19	1	2	3	4	6	2	1
19	1	2	5	4	6	2	4
19	1	3	0	4	6	2	4
19	1	3	1	4	6	3	inf
19	1	3	2	4	6	2	1
19	1	3	3	4	6	2	15
19	1	3	5	4	6	2	18
19	2	0	0	4	6	2	18
19	2	0	2	4	6	2	15
19	2	0	3	4	6	2	1
19	2	0	5	4	6	2	4
19	2	1	0	4	6	2	4
19	2	1	1	4	6	3	inf
19	2	1	2	4	6	2	1
19	2	1	3	4	6	2	15
19	2	1	5	4	6	2	18
19	2	2	0	4	6	2	1
19	2	2	2	4	6	2	4
19	2	2	3	4	6	2	18
19	2	2	5	4	6	2	15
19	2	3	0	4	6	2	15
19	2	3	2	4	6	2	18
19	2	3	3	4	6	2	4
19	2	3	4	4	6	3	inf
19	2	3	5	4	6	2	1
23	1	0	0	16	16	2	1
23	1	0	1	16	16	3	inf
23	1	0	2	16	16	2	22
23	1	0	3	16	16	3	13
23	1	0	5	16	16	3	8
23	1	0	6	16	16	3	inf
23	1	0	7	16	16	3	13
23	1	0	8	16	16	2	22
23	1	0	9	16	16	3	inf
23	1	0	10	16	16	2	1
23	1	0	11	16	16	3	10
23	1	0	13	16	16	3	15
23	1	0	15	16	16	3	10
23	1	1	0	16	16	3	10
23	1	1	2	16	16	3	15
23	1	1	4	16	16	3	10
23	1	1	5	16	16	2	1
23	1	1	6	16	16	3	inf
23	1	1	7	16	16	2	22
23	1	1	8	16	16	3	13
23	1	1	10	16	16	3	8
23	1	1	11	16	16	3	inf
23	1	1	12	16	16	3	13
23	1	1	13	16	16	2	22
23	1	1	14	16	16	3	inf
23	1	1	15	16	16	2	1
23	1	2	0	16	16	3	inf
23	1	2	1	16	16	3	13
23	1	2	2	16	16	2	22
23	1	2	3	16	16	3	inf
23	1	2	4	16	16	2	1
23	1	2	5	16	16	3	10
23	1	2	7	16	16	3	15
23	1	2	9	16	16	3	10
23	1	2	10	16	16	2	1
23	1	2	11	16	16	3	inf
23	1	2	12	16	16	2	22
23	1	2	13	16	16	3	13
23	1	2	15	16	16	3	8
23	1	3	0	16	16	3	inf
23	1	3	1	16	16	2	22
23	1	3	2	16	16	3	13
23	1	3	4	16	16	3	8
23	1	3	5	16	16	3	inf
23	1	3	6	16	16	3	13
23	1	3	7	16	16	2	22
23	1	3	8	16	16	3	inf
23	1	3	9	16	16	2	1
23	1	3	10	16	16	3	10
23	1	3	12	16	16	3	15
23	1	3	14	16	16	3	10
23	1	3	15	16	16	2	1
23	1	4	1	16	16	3	15
23	1	4	3	16	16	3	10
23	1	4	4	16	16	2	1
23	1	4	5	16	16	3	inf
23	1	4	6	16	16	2	22
23	1	4	7	16	16	3	13
23	1	4	9	16	16	3	8
23	1	4	10	16	16	3	inf
23	1	4	11	16	16	3	13
23	1	4	12	16	16	2	22
23	1	4	13	16	16	3	inf
23	1	4	14	16	16	2	1
23	1	4	15	16	16	3	10
23	1	5	0	16	16	3	13
23	1	5	1	16	16	2	22
23	1	5	2	16	16	3	inf
23	1	5	3	16	16	2	1
23	1	5	4	16	16	3	10
23	1	5	6	16	16	3	15
23	1	5	8	16	16	3	10
23	1	5	9	16	16	2	1
23	1	5	10	16	16	3	inf
23	1	5	11	16	16	2	22
23	1	5	12	16	16	3	13
23	1	5	14	16	16	3	8
23	1	5	15	16	16	3	inf
23	1	6	0	16	16	2	22
23	1	6	1	16	16	3	13
23	1	6	3	16	16	3	8
23	1	6	4	16	16	3	inf
23	1	6	5	16	16	3	13
23	1	6	6	16	16	2	22
23	1	6	7	16	16	3	inf
23	1	6	8	16	16	2	1
23	1	6	9	16	16	3	10
23	1	6	11	16	16	3	15
23	1	6	13	16	16	3	10
23	1	6	14	16	16	2	1
23	1	6	15	16	16	3	inf
23	1	7	0	16	16	3	15
23	1	7	2	16	16	3	10
23	1	7	3	16	16	2	1
23	1	7	4	16	16	3	inf
23	1	7	5	16	16	2	22
23	1	7	6	16	16	3	13
23	1	7	8	16	16	3	8
23	1	7	9	16	16	3	inf
23	1	7	10	16	16	3	13
23	1	7	11	16	16	2	22
23	1	7	12	16	16	3	inf
23	1	7	13	16	16	2	1
23	1	7	14	16	16	3	10
23	1	8	0	16	16	2	22
23	1	8	1	16	16	3	inf
23	1	8	2	16	16	2	1
23	1	8	3	16	16	3	10
23	1	8	5	16	16	3	15
23	1	8	7	16	16	3	10
23	1	8	8	16	16	2	1
23	1	8	9	16	16	3	inf
23	1	8	10	16	16	2	22
23	1	8	11	16	16	3	13
23	1	8	13	16	16	3	8
23	1	8	14	16	16	3	inf
23	1	8	15	16	16	3	13
23	1	9	0	16	16	3	13
23	1	9	2	16	16	3	8
23	1	9	3	16	16	3	inf
23	1	9	4	16	16	3	13
23	1	9	5	16	16	2	22
23	1	9	6	16	16	3	inf
23	1	9	7	16	16	2	1
23	1	9	8	16	16	3	10
23	1	9	10	16	16	3	15
23	1	9	12	16	16	3	10
23	1	9	13	16	16	2	1
23	1	9	14	16	16	3	inf
23	1	9	15	16	16	2	22
