V1_MW_P13_COMPONENTS_START input results/target_22224_V1_rank2_modular_N10000.tsv precision 80 basis [ (3603 : 216600 : 1), (93 : -2100 : 1) ]
torsion [ (0 : 1 : 0), (-7 : 0 : 1) ]
V1_MW_ROW m 4900 n -1960 ti 1 tmod13 1 tkey 244206 component exceptional_plus1 cover [ true, true, true, true ]
valuations [ 0, 0, 0, 2 ]
V1_MW_ROW m 8340 n 3240 ti 1 tmod13 1 tkey 260365 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -5020 n 2200 ti 1 tmod13 1 tkey 158172 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -6300 n -5040 ti 1 tmod13 1 tkey 67289 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 5460 n 4200 ti 1 tmod13 1 tkey 34425 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 5140 n 680 ti 1 tmod13 1 tkey 96526 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 8660 n 9040 ti 1 tmod13 1 tkey 8724 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -8460 n 9960 ti 1 tmod13 1 tkey 165049 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -5760 n 7320 ti 1 tmod13 1 tkey 317825 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 3200 n 4840 ti 1 tmod13 1 tkey 237433 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -560 n 2240 ti 1 tmod13 1 tkey 169625 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 0 n 0 ti 1 tmod13 1 tkey 1 component exceptional_plus1 cover [ true, true, true, true ]
valuations [ 0, 0, 0, 2 ]
V1_MW_ROW m -4080 n -6120 ti 1 tmod13 1 tkey 716 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 1520 n 9880 ti 1 tmod13 1 tkey 283739 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 6240 n -4320 ti 1 tmod13 1 tkey 299508 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 2800 n -8680 ti 1 tmod13 1 tkey 161760 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -7280 n -280 ti 1 tmod13 1 tkey 318592 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -2240 n 7280 ti 1 tmod13 1 tkey 103884 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -7200 n -8520 ti 1 tmod13 1 tkey 44565 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -3760 n 8080 ti 1 tmod13 1 tkey 83591 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 9680 n -3680 ti 1 tmod13 1 tkey 181156 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 6960 n 5160 ti 1 tmod13 1 tkey 311923 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -8160 n -9960 ti 1 tmod13 1 tkey 168312 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 3360 n -2520 ti 1 tmod13 1 tkey 234378 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -6720 n 5880 ti 1 tmod13 1 tkey 215450 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 6160 n -3640 ti 1 tmod13 1 tkey 272234 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 7820 n 7780 ti 1 tmod13 1 tkey 80224 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -4180 n 3460 ti 1 tmod13 1 tkey 183509 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 2120 n 8500 ti 1 tmod13 1 tkey 53522 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -4360 n 9460 ti 1 tmod13 1 tkey 54731 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m -9640 n -740 ti 1 tmod13 1 tkey 303889 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_ROW m 8840 n 2620 ti 1 tmod13 1 tkey 276966 component none cover [ true, true, true, false ]
valuations [ 0, 0, 0, 1 ]
V1_MW_EXACT_RECOVERY -2 -1 1 T -4574693/21848987
V1_MW_ROW m -2 n -1 ti 1 tmod13 5 tkey 147165 component exceptional_plus5 cover [ true, true, true, true ]
valuations [ 0, 0, 0, 0 ]
V1_MW_P13_COMPONENTS_DONE tested 33 finite 33 nonintegral 0 maploss 0 coverfull 3 component_hits 3 component_but_nonfull 0 output results/target_22224_V1_MW_p13_components.tsv
