m	n	torsion_coset	map_status	v13_T	T_mod13	T_mod13pow5	T_mod13pow12	component	cover_pattern	cover_valuations
4900	-1960	1	finite	0	1	244206	7345837691674	exceptional_plus1	[ true, true, true, true ]	[ 0, 0, 0, 2 ]
8340	3240	1	finite	0	1	260365	18866911351926	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-5020	2200	1	finite	0	1	158172	7726078024354	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-6300	-5040	1	finite	0	1	67289	16263139168355	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
5460	4200	1	finite	0	1	34425	1920262454150	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
5140	680	1	finite	0	1	96526	21892243310094	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
8660	9040	1	finite	0	1	8724	6823825859995	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-8460	9960	1	finite	0	1	165049	455367266797	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-5760	7320	1	finite	0	1	317825	17018092817428	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
3200	4840	1	finite	0	1	237433	19009604798289	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-560	2240	1	finite	0	1	169625	430896834915	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
0	0	1	identity	0	1	1	1	exceptional_plus1	[ true, true, true, true ]	[ 0, 0, 0, 2 ]
-4080	-6120	1	finite	0	1	716	11838615671078	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
1520	9880	1	finite	0	1	283739	9857883642517	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
6240	-4320	1	finite	0	1	299508	2022911124599	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
2800	-8680	1	finite	0	1	161760	11315312136285	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-7280	-280	1	finite	0	1	318592	17238914874429	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-2240	7280	1	finite	0	1	103884	14288014160252	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-7200	-8520	1	finite	0	1	44565	17114049878381	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-3760	8080	1	finite	0	1	83591	1357387142125	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
9680	-3680	1	finite	0	1	181156	14139133912970	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
6960	5160	1	finite	0	1	311923	13164138304266	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-8160	-9960	1	finite	0	1	168312	20876032262944	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
3360	-2520	1	finite	0	1	234378	12182851298658	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-6720	5880	1	finite	0	1	215450	14214421028874	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
6160	-3640	1	finite	0	1	272234	4786042414713	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
7820	7780	1	finite	0	1	80224	17081508310348	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-4180	3460	1	finite	0	1	183509	17758677785135	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
2120	8500	1	finite	0	1	53522	19953654938764	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-4360	9460	1	finite	0	1	54731	4900465788778	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-9640	-740	1	finite	0	1	303889	12497712287685	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
8840	2620	1	finite	0	1	276966	20087328439361	none	[ true, true, true, false ]	[ 0, 0, 0, 1 ]
-2	-1	1	exact_recovery	0	5	147165	52379935847	exceptional_plus5	[ true, true, true, true ]	[ 0, 0, 0, 0 ]
