T_key	T_mod13	component	radicand_valuations	radicand_units_mod13
1	1	exceptional_plus1	0,0,0,2	1,3,9,9
339	1	exceptional_plus1	0,0,0,2	1,3,9,3
677	1	exceptional_plus1	0,0,0,2	1,3,9,10
1015	1	exceptional_plus1	0,0,0,2	1,3,9,4
1184	1	exceptional_plus1	0,0,0,2	1,3,9,1
2029	1	exceptional_plus1	0,0,0,2	1,3,9,12
2198	1	exceptional_plus1	0,0,0,2	1,3,9,9
2536	1	exceptional_plus1	0,0,0,2	1,3,9,3
2874	1	exceptional_plus1	0,0,0,2	1,3,9,10
3212	1	exceptional_plus1	0,0,0,2	1,3,9,4
3381	1	exceptional_plus1	0,0,0,2	1,3,9,1
4226	1	exceptional_plus1	0,0,0,2	1,3,9,12
4395	1	exceptional_plus1	0,0,0,2	1,3,9,9
4733	1	exceptional_plus1	0,0,0,2	1,3,9,3
5071	1	exceptional_plus1	0,0,0,2	1,3,9,10
5409	1	exceptional_plus1	0,0,0,2	1,3,9,4
5578	1	exceptional_plus1	0,0,0,2	1,3,9,1
6423	1	exceptional_plus1	0,0,0,2	1,3,9,12
6592	1	exceptional_plus1	0,0,0,2	1,3,9,9
6930	1	exceptional_plus1	0,0,0,2	1,3,9,3
7268	1	exceptional_plus1	0,0,0,2	1,3,9,10
7606	1	exceptional_plus1	0,0,0,2	1,3,9,4
7775	1	exceptional_plus1	0,0,0,2	1,3,9,1
8620	1	exceptional_plus1	0,0,0,2	1,3,9,12
8789	1	exceptional_plus1	0,0,0,2	1,3,9,9
9127	1	exceptional_plus1	0,0,0,2	1,3,9,3
9465	1	exceptional_plus1	0,0,0,2	1,3,9,10
9803	1	exceptional_plus1	0,0,0,2	1,3,9,4
9972	1	exceptional_plus1	0,0,0,2	1,3,9,1
10817	1	exceptional_plus1	0,0,0,2	1,3,9,12
10986	1	exceptional_plus1	0,0,0,2	1,3,9,9
11324	1	exceptional_plus1	0,0,0,2	1,3,9,3
11662	1	exceptional_plus1	0,0,0,2	1,3,9,10
12000	1	exceptional_plus1	0,0,0,2	1,3,9,4
12169	1	exceptional_plus1	0,0,0,2	1,3,9,1
13014	1	exceptional_plus1	0,0,0,2	1,3,9,12
13183	1	exceptional_plus1	0,0,0,2	1,3,9,9
13521	1	exceptional_plus1	0,0,0,2	1,3,9,3
13859	1	exceptional_plus1	0,0,0,2	1,3,9,10
14197	1	exceptional_plus1	0,0,0,2	1,3,9,4
14366	1	exceptional_plus1	0,0,0,2	1,3,9,1
15211	1	exceptional_plus1	0,0,0,2	1,3,9,12
15380	1	exceptional_plus1	0,0,0,2	1,3,9,9
15718	1	exceptional_plus1	0,0,0,2	1,3,9,3
15887	1	exceptional_plus1	0,0,0,4	1,3,9,4
16056	1	exceptional_plus1	0,0,0,2	1,3,9,10
16394	1	exceptional_plus1	0,0,0,2	1,3,9,4
16563	1	exceptional_plus1	0,0,0,2	1,3,9,1
17408	1	exceptional_plus1	0,0,0,2	1,3,9,12
17577	1	exceptional_plus1	0,0,0,2	1,3,9,9
17915	1	exceptional_plus1	0,0,0,2	1,3,9,3
18253	1	exceptional_plus1	0,0,0,2	1,3,9,10
18591	1	exceptional_plus1	0,0,0,2	1,3,9,4
18760	1	exceptional_plus1	0,0,0,2	1,3,9,1
19605	1	exceptional_plus1	0,0,0,2	1,3,9,12
19774	1	exceptional_plus1	0,0,0,2	1,3,9,9
20112	1	exceptional_plus1	0,0,0,2	1,3,9,3
20450	1	exceptional_plus1	0,0,0,2	1,3,9,10
20788	1	exceptional_plus1	0,0,0,2	1,3,9,4
20957	1	exceptional_plus1	0,0,0,2	1,3,9,1
21802	1	exceptional_plus1	0,0,0,2	1,3,9,12
21971	1	exceptional_plus1	0,0,0,2	1,3,9,9
22309	1	exceptional_plus1	0,0,0,2	1,3,9,3
22647	1	exceptional_plus1	0,0,0,2	1,3,9,10
22985	1	exceptional_plus1	0,0,0,2	1,3,9,4
23154	1	exceptional_plus1	0,0,0,2	1,3,9,1
23999	1	exceptional_plus1	0,0,0,2	1,3,9,12
24168	1	exceptional_plus1	0,0,0,2	1,3,9,9
24506	1	exceptional_plus1	0,0,0,2	1,3,9,3
24844	1	exceptional_plus1	0,0,0,2	1,3,9,10
25182	1	exceptional_plus1	0,0,0,2	1,3,9,4
25351	1	exceptional_plus1	0,0,0,2	1,3,9,1
26196	1	exceptional_plus1	0,0,0,2	1,3,9,12
26365	1	exceptional_plus1	0,0,0,2	1,3,9,9
26703	1	exceptional_plus1	0,0,0,2	1,3,9,3
27041	1	exceptional_plus1	0,0,0,2	1,3,9,10
27379	1	exceptional_plus1	0,0,0,2	1,3,9,4
27548	1	exceptional_plus1	0,0,0,2	1,3,9,1
28393	1	exceptional_plus1	0,0,0,2	1,3,9,12
28562	1	exceptional_plus1	0,0,0,2	1,3,9,9
28900	1	exceptional_plus1	0,0,0,2	1,3,9,3
29238	1	exceptional_plus1	0,0,0,2	1,3,9,10
29576	1	exceptional_plus1	0,0,0,2	1,3,9,4
29745	1	exceptional_plus1	0,0,0,2	1,3,9,1
30590	1	exceptional_plus1	0,0,0,2	1,3,9,12
30759	1	exceptional_plus1	0,0,0,2	1,3,9,9
31097	1	exceptional_plus1	0,0,0,2	1,3,9,3
31435	1	exceptional_plus1	0,0,0,2	1,3,9,10
31773	1	exceptional_plus1	0,0,0,2	1,3,9,4
31942	1	exceptional_plus1	0,0,0,2	1,3,9,1
32787	1	exceptional_plus1	0,0,0,2	1,3,9,12
32956	1	exceptional_plus1	0,0,0,2	1,3,9,9
33294	1	exceptional_plus1	0,0,0,2	1,3,9,3
33632	1	exceptional_plus1	0,0,0,2	1,3,9,10
33970	1	exceptional_plus1	0,0,0,2	1,3,9,4
34139	1	exceptional_plus1	0,0,0,2	1,3,9,1
34984	1	exceptional_plus1	0,0,0,2	1,3,9,12
35153	1	exceptional_plus1	0,0,0,2	1,3,9,9
35491	1	exceptional_plus1	0,0,0,2	1,3,9,3
35829	1	exceptional_plus1	0,0,0,2	1,3,9,10
36167	1	exceptional_plus1	0,0,0,2	1,3,9,4
36336	1	exceptional_plus1	0,0,0,2	1,3,9,1
37181	1	exceptional_plus1	0,0,0,2	1,3,9,12
37350	1	exceptional_plus1	0,0,0,2	1,3,9,9
37688	1	exceptional_plus1	0,0,0,2	1,3,9,3
38026	1	exceptional_plus1	0,0,0,2	1,3,9,10
38364	1	exceptional_plus1	0,0,0,2	1,3,9,4
38533	1	exceptional_plus1	0,0,0,2	1,3,9,1
39378	1	exceptional_plus1	0,0,0,2	1,3,9,12
39547	1	exceptional_plus1	0,0,0,2	1,3,9,9
39885	1	exceptional_plus1	0,0,0,2	1,3,9,3
40223	1	exceptional_plus1	0,0,0,2	1,3,9,10
40561	1	exceptional_plus1	0,0,0,2	1,3,9,4
40730	1	exceptional_plus1	0,0,0,2	1,3,9,1
41575	1	exceptional_plus1	0,0,0,2	1,3,9,12
41744	1	exceptional_plus1	0,0,0,2	1,3,9,9
42082	1	exceptional_plus1	0,0,0,2	1,3,9,3
42420	1	exceptional_plus1	0,0,0,2	1,3,9,10
42758	1	exceptional_plus1	0,0,0,2	1,3,9,4
42927	1	exceptional_plus1	0,0,0,2	1,3,9,1
43772	1	exceptional_plus1	0,0,0,2	1,3,9,12
43941	1	exceptional_plus1	0,0,0,2	1,3,9,9
44279	1	exceptional_plus1	0,0,0,2	1,3,9,3
44448	1	exceptional_plus1	0,0,0,4	1,3,9,1
44617	1	exceptional_plus1	0,0,0,2	1,3,9,10
44955	1	exceptional_plus1	0,0,0,2	1,3,9,4
45124	1	exceptional_plus1	0,0,0,2	1,3,9,1
45969	1	exceptional_plus1	0,0,0,2	1,3,9,12
46138	1	exceptional_plus1	0,0,0,2	1,3,9,9
46476	1	exceptional_plus1	0,0,0,2	1,3,9,3
46814	1	exceptional_plus1	0,0,0,2	1,3,9,10
47152	1	exceptional_plus1	0,0,0,2	1,3,9,4
47321	1	exceptional_plus1	0,0,0,2	1,3,9,1
48166	1	exceptional_plus1	0,0,0,2	1,3,9,12
48335	1	exceptional_plus1	0,0,0,2	1,3,9,9
48673	1	exceptional_plus1	0,0,0,2	1,3,9,3
49011	1	exceptional_plus1	0,0,0,2	1,3,9,10
49349	1	exceptional_plus1	0,0,0,2	1,3,9,4
49518	1	exceptional_plus1	0,0,0,2	1,3,9,1
50363	1	exceptional_plus1	0,0,0,2	1,3,9,12
50532	1	exceptional_plus1	0,0,0,2	1,3,9,9
50870	1	exceptional_plus1	0,0,0,2	1,3,9,3
51208	1	exceptional_plus1	0,0,0,2	1,3,9,10
51546	1	exceptional_plus1	0,0,0,2	1,3,9,4
51715	1	exceptional_plus1	0,0,0,2	1,3,9,1
52560	1	exceptional_plus1	0,0,0,2	1,3,9,12
52729	1	exceptional_plus1	0,0,0,2	1,3,9,9
53067	1	exceptional_plus1	0,0,0,2	1,3,9,3
53405	1	exceptional_plus1	0,0,0,2	1,3,9,10
53743	1	exceptional_plus1	0,0,0,2	1,3,9,4
