prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	4	4	3	1
13	1	0	1	4	4	3	inf
13	1	0	2	4	4	3	5
13	1	0	3	4	4	3	1
13	1	1	0	4	4	3	1
13	1	1	1	4	4	3	1
13	1	1	2	4	4	3	inf
13	1	1	3	4	4	3	5
13	1	2	0	4	4	3	5
13	1	2	1	4	4	3	1
13	1	2	2	4	4	3	1
13	1	2	3	4	4	3	inf
13	1	3	0	4	4	3	inf
13	1	3	1	4	4	3	5
13	1	3	2	4	4	3	1
13	1	3	3	4	4	3	1
13	2	0	0	4	4	3	12
13	2	0	1	4	4	3	8
13	2	0	2	4	4	3	8
13	2	0	3	4	4	3	12
13	2	1	0	4	4	3	12
13	2	1	1	4	4	3	12
13	2	1	2	4	4	3	8
13	2	1	3	4	4	3	8
13	2	2	0	4	4	3	8
13	2	2	1	4	4	3	12
13	2	2	2	4	4	3	12
13	2	2	3	4	4	3	8
13	2	3	0	4	4	3	8
13	2	3	1	4	4	3	8
13	2	3	2	4	4	3	12
13	2	3	3	4	4	3	12
11	1	0	0	8	4	3	1
11	1	0	1	8	4	3	inf
11	1	0	2	8	4	3	inf
11	1	0	3	8	4	3	inf
11	1	1	0	8	4	3	inf
11	1	1	1	8	4	3	inf
11	1	1	2	8	4	3	inf
11	1	1	3	8	4	3	inf
11	1	2	0	8	4	3	inf
11	1	2	1	8	4	3	inf
11	1	2	2	8	4	3	inf
11	1	2	3	8	4	3	inf
11	1	3	0	8	4	3	inf
11	1	3	1	8	4	3	inf
11	1	3	2	8	4	3	inf
11	1	3	3	8	4	3	inf
11	1	4	0	8	4	3	inf
11	1	4	1	8	4	3	inf
11	1	4	2	8	4	3	1
11	1	4	3	8	4	3	inf
11	1	5	0	8	4	3	inf
11	1	5	1	8	4	3	inf
11	1	5	2	8	4	3	inf
11	1	5	3	8	4	3	inf
11	1	6	0	8	4	3	inf
11	1	6	1	8	4	3	inf
11	1	6	2	8	4	3	inf
11	1	6	3	8	4	3	inf
11	1	7	0	8	4	3	inf
11	1	7	1	8	4	3	inf
11	1	7	2	8	4	3	inf
11	1	7	3	8	4	3	inf
11	2	0	0	8	4	3	inf
11	2	0	1	8	4	3	inf
11	2	0	2	8	4	3	inf
11	2	0	3	8	4	3	inf
11	2	1	0	8	4	3	inf
11	2	1	1	8	4	3	inf
11	2	1	2	8	4	3	inf
11	2	1	3	8	4	3	inf
11	2	2	0	8	4	3	inf
11	2	2	1	8	4	3	1
11	2	2	2	8	4	3	inf
11	2	2	3	8	4	3	inf
11	2	3	0	8	4	3	inf
11	2	3	1	8	4	3	inf
11	2	3	2	8	4	3	inf
11	2	3	3	8	4	3	inf
11	2	4	0	8	4	3	inf
11	2	4	1	8	4	3	inf
11	2	4	2	8	4	3	inf
11	2	4	3	8	4	3	inf
11	2	5	0	8	4	3	inf
11	2	5	1	8	4	3	inf
11	2	5	2	8	4	3	inf
11	2	5	3	8	4	3	inf
11	2	6	0	8	4	3	inf
11	2	6	1	8	4	3	inf
