torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	4573	5168	1890	2584
1	4301	5168	938	2584
1	2669	5168	1754	2584
1	1309	5168	1618	2584
1	765	5168	1890	2584
1	1853	5168	938	2584
1	4029	5168	938	2584
1	1853	5168	530	2584
1	1309	5168	2026	2584
1	1581	5168	2026	2584
1	4845	5168	2298	2584
1	2941	5168	2570	2584
1	2125	5168	666	2584
1	4845	5168	2162	2584
1	1853	5168	258	2584
1	1309	5168	122	2584
1	1581	5168	2570	2584
1	4029	5168	1618	2584
1	4029	5168	1074	2584
1	221	5168	2570	2584
1	3485	5168	802	2584
1	3757	5168	1210	2584
1	5117	5168	2162	2584
1	4845	5168	2434	2584
1	3757	5168	802	2584
1	765	5168	1210	2584
1	2669	5168	1074	2584
1	4301	5168	1482	2584
1	3213	5168	2434	2584
1	5117	5168	2570	2584
1	5117	5168	122	2584
1	1037	5168	1210	2584
1	3213	5168	394	2584
1	3213	5168	1890	2584
1	2397	5168	1346	2584
1	765	5168	802	2584
1	2397	5168	1074	2584
1	1309	5168	2162	2584
1	2125	5168	802	2584
1	2125	5168	1346	2584
1	4301	5168	1346	2584
1	3485	5168	122	2584
1	3213	5168	2570	2584
1	2669	5168	1618	2584
1	2125	5168	258	2584
1	4573	5168	1754	2584
1	1309	5168	2298	2584
1	2941	5168	2026	2584
1	2941	5168	1890	2584
1	2941	5168	2162	2584
1	3757	5168	666	2584
1	4845	5168	258	2584
1	221	5168	530	2584
1	1853	5168	2434	2584
1	493	5168	1482	2584
1	1581	5168	122	2584
1	4573	5168	2434	2584
1	1037	5168	2298	2584
1	493	5168	938	2584
1	4573	5168	2026	2584
1	4301	5168	2026	2584
1	5117	5168	666	2584
1	221	5168	666	2584
1	1853	5168	394	2584
1	3485	5168	394	2584
1	4301	5168	1618	2584
1	4029	5168	1210	2584
1	493	5168	1074	2584
1	3485	5168	258	2584
1	2125	5168	938	2584
1	1037	5168	1618	2584
1	4029	5168	530	2584
1	3757	5168	122	2584
1	1581	5168	530	2584
1	2397	5168	666	2584
1	493	5168	802	2584
1	5117	5168	258	2584
1	1581	5168	2434	2584
1	2669	5168	2162	2584
1	221	5168	394	2584
1	2397	5168	1754	2584
1	3213	5168	2298	2584
1	3485	5168	2298	2584
1	765	5168	1346	2584
1	221	5168	1074	2584
1	2941	5168	1482	2584
1	493	5168	394	2584
1	1037	5168	1890	2584
1	1037	5168	1754	2584
1	3757	5168	530	2584
1	4845	5168	1754	2584
1	2669	5168	1482	2584
1	4573	5168	1346	2584
1	2397	5168	1210	2584
1	765	5168	1482	2584
1	317	5168	978	2584
1	45	5168	26	2584
1	3581	5168	842	2584
1	2221	5168	706	2584
1	1677	5168	978	2584
1	2765	5168	26	2584
1	4941	5168	26	2584
1	2765	5168	2202	2584
1	2221	5168	1114	2584
1	2493	5168	1114	2584
1	589	5168	1386	2584
1	3853	5168	1658	2584
1	3037	5168	2338	2584
1	589	5168	1250	2584
1	2765	5168	1930	2584
1	2221	5168	1794	2584
1	2493	5168	1658	2584
1	4941	5168	706	2584
1	4941	5168	162	2584
1	1133	5168	1658	2584
1	4397	5168	2474	2584
1	4669	5168	298	2584
1	861	5168	1250	2584
1	589	5168	1522	2584
1	4669	5168	2474	2584
1	1677	5168	298	2584
1	3581	5168	162	2584
1	45	5168	570	2584
1	4125	5168	1522	2584
1	861	5168	1658	2584
1	861	5168	1794	2584
1	1949	5168	298	2584
1	4125	5168	2066	2584
1	4125	5168	978	2584
1	3309	5168	434	2584
1	1677	5168	2474	2584
1	3309	5168	162	2584
1	2221	5168	1250	2584
1	3037	5168	2474	2584
1	3037	5168	434	2584
1	45	5168	434	2584
1	4397	5168	1794	2584
1	4125	5168	1658	2584
1	3581	5168	706	2584
1	3037	5168	1930	2584
1	317	5168	842	2584
1	2221	5168	1386	2584
1	3853	5168	1114	2584
1	3853	5168	978	2584
1	3853	5168	1250	2584
1	4669	5168	2338	2584
1	589	5168	1930	2584
1	1133	5168	2202	2584
1	2765	5168	1522	2584
1	1405	5168	570	2584
1	2493	5168	1794	2584
1	317	5168	1522	2584
1	1949	5168	1386	2584
1	1405	5168	26	2584
1	317	5168	1114	2584
1	45	5168	1114	2584
1	861	5168	2338	2584
1	1133	5168	2338	2584
1	2765	5168	2066	2584
1	4397	5168	2066	2584
1	45	5168	706	2584
1	4941	5168	298	2584
1	1405	5168	162	2584
1	4397	5168	1930	2584
1	3037	5168	26	2584
1	1949	5168	706	2584
1	4941	5168	2202	2584
1	4669	5168	1794	2584
1	2493	5168	2202	2584
1	3309	5168	2338	2584
1	1405	5168	2474	2584
1	861	5168	1930	2584
1	2493	5168	1522	2584
1	3581	5168	1250	2584
1	1133	5168	2066	2584
1	3309	5168	842	2584
1	4125	5168	1386	2584
1	4397	5168	1386	2584
1	1677	5168	434	2584
1	1133	5168	162	2584
1	3853	5168	570	2584
1	1405	5168	2066	2584
1	1949	5168	978	2584
1	1949	5168	842	2584
1	4669	5168	2202	2584
1	589	5168	842	2584
1	3581	5168	570	2584
1	317	5168	434	2584
1	3309	5168	298	2584
1	1677	5168	570	2584
1	3661	5168	1130	2584
1	3389	5168	178	2584
1	1757	5168	994	2584
1	397	5168	858	2584
1	5021	5168	1130	2584
1	941	5168	178	2584
1	3117	5168	178	2584
1	941	5168	2354	2584
1	397	5168	1266	2584
1	669	5168	1266	2584
1	3933	5168	1538	2584
1	2029	5168	1810	2584
1	1213	5168	2490	2584
1	3933	5168	1402	2584
1	941	5168	2082	2584
1	397	5168	1946	2584
1	669	5168	1810	2584
1	3117	5168	858	2584
1	3117	5168	314	2584
1	4477	5168	1810	2584
1	2573	5168	42	2584
1	2845	5168	450	2584
1	4205	5168	1402	2584
1	3933	5168	1674	2584
1	2845	5168	42	2584
1	5021	5168	450	2584
1	1757	5168	314	2584
1	3389	5168	722	2584
1	2301	5168	1674	2584
1	4205	5168	1810	2584
1	4205	5168	1946	2584
1	125	5168	450	2584
1	2301	5168	2218	2584
1	2301	5168	1130	2584
1	1485	5168	586	2584
1	5021	5168	42	2584
1	1485	5168	314	2584
1	397	5168	1402	2584
1	1213	5168	42	2584
1	1213	5168	586	2584
1	3389	5168	586	2584
1	2573	5168	1946	2584
1	2301	5168	1810	2584
1	1757	5168	858	2584
1	1213	5168	2082	2584
1	3661	5168	994	2584
1	397	5168	1538	2584
1	2029	5168	1266	2584
1	2029	5168	1130	2584
1	2029	5168	1402	2584
1	2845	5168	2490	2584
1	3933	5168	2082	2584
1	4477	5168	2354	2584
1	941	5168	1674	2584
1	4749	5168	722	2584
1	669	5168	1946	2584
1	3661	5168	1674	2584
1	125	5168	1538	2584
1	4749	5168	178	2584
1	3661	5168	1266	2584
1	3389	5168	1266	2584
1	4205	5168	2490	2584
1	4477	5168	2490	2584
1	941	5168	2218	2584
1	2573	5168	2218	2584
1	3389	5168	858	2584
1	3117	5168	450	2584
1	4749	5168	314	2584
1	2573	5168	2082	2584
1	1213	5168	178	2584
1	125	5168	858	2584
1	3117	5168	2354	2584
1	2845	5168	1946	2584
1	669	5168	2354	2584
1	1485	5168	2490	2584
1	4749	5168	42	2584
1	4205	5168	2082	2584
1	669	5168	1674	2584
1	1757	5168	1402	2584
1	4477	5168	2218	2584
1	1485	5168	994	2584
1	2301	5168	1538	2584
1	2573	5168	1538	2584
1	5021	5168	586	2584
1	4477	5168	314	2584
1	2029	5168	722	2584
1	4749	5168	2218	2584
1	125	5168	1130	2584
1	125	5168	994	2584
1	2845	5168	2354	2584
1	3933	5168	994	2584
1	1757	5168	722	2584
1	3661	5168	586	2584
1	1485	5168	450	2584
1	5021	5168	722	2584
1	1229	5168	674	2584
1	957	5168	2306	2584
1	4493	5168	538	2584
1	3133	5168	402	2584
1	2589	5168	674	2584
1	3677	5168	2306	2584
1	685	5168	2306	2584
1	3677	5168	1898	2584
1	3133	5168	810	2584
1	3405	5168	810	2584
1	1501	5168	1082	2584
1	4765	5168	1354	2584
1	3949	5168	2034	2584
1	1501	5168	946	2584
1	3677	5168	1626	2584
1	3133	5168	1490	2584
1	3405	5168	1354	2584
1	685	5168	402	2584
1	685	5168	2442	2584
1	2045	5168	1354	2584
1	141	5168	2170	2584
1	413	5168	2578	2584
1	1773	5168	946	2584
1	1501	5168	1218	2584
1	413	5168	2170	2584
1	2589	5168	2578	2584
1	4493	5168	2442	2584
1	957	5168	266	2584
1	5037	5168	1218	2584
1	1773	5168	1354	2584
1	1773	5168	1490	2584
1	2861	5168	2578	2584
1	5037	5168	1762	2584
1	5037	5168	674	2584
1	4221	5168	130	2584
1	2589	5168	2170	2584
1	4221	5168	2442	2584
1	3133	5168	946	2584
1	3949	5168	2170	2584
1	3949	5168	130	2584
1	957	5168	130	2584
1	141	5168	1490	2584
1	5037	5168	1354	2584
1	4493	5168	402	2584
1	3949	5168	1626	2584
1	1229	5168	538	2584
1	3133	5168	1082	2584
1	4765	5168	810	2584
1	4765	5168	674	2584
1	4765	5168	946	2584
1	413	5168	2034	2584
1	1501	5168	1626	2584
1	2045	5168	1898	2584
1	3677	5168	1218	2584
1	2317	5168	266	2584
1	3405	5168	1490	2584
1	1229	5168	1218	2584
1	2861	5168	1082	2584
1	2317	5168	2306	2584
1	1229	5168	810	2584
1	957	5168	810	2584
1	1773	5168	2034	2584
1	2045	5168	2034	2584
1	3677	5168	1762	2584
1	141	5168	1762	2584
1	957	5168	402	2584
1	685	5168	2578	2584
1	2317	5168	2442	2584
1	141	5168	1626	2584
1	3949	5168	2306	2584
1	2861	5168	402	2584
1	685	5168	1898	2584
1	413	5168	1490	2584
1	3405	5168	1898	2584
1	4221	5168	2034	2584
1	2317	5168	2170	2584
1	1773	5168	1626	2584
1	3405	5168	1218	2584
1	4493	5168	946	2584
