family	p	mode	T0	data	starts	rank_hist	p2_nodes	p2_Tclasses	off_exceptional
V1	13	unit	1	(9, 2, 1)	8	{6: 8}	1352	1	-1
V1	13	unit	5	(9, 2, 1)	16	{6: 16}	2704	13	-1
V1	13	exceptional	1	(6, 2)	8	{7: 8}	104	1	0
V1	13	exceptional	1	(7, 2)	8	{7: 8}	104	1	0
V1	13	exceptional	5	(6, 2)	16	{7: 16}	208	13	0
V1	13	exceptional	5	(7, 2)	16	{7: 16}	208	13	0
V2	13	unit	1	(12, 11, 12)	8	{6: 8}	1352	1	-1
V2	13	unit	4	(4, 8, 4)	8	{6: 8}	1352	1	-1
V2	13	exceptional	1	(3, 11)	8	{7: 8}	104	1	0
V2	13	exceptional	1	(10, 11)	8	{7: 8}	104	1	0
V2	13	exceptional	4	(4, 8)	8	{7: 8}	104	1	0
V2	13	exceptional	4	(9, 8)	8	{7: 8}	104	1	0
