m	n	k	torsion_coset
-995	166	433	1
-994	-781	-95	2
-994	-277	625	2
-994	11	-383	2
-994	227	-311	2
-994	803	985	2
-993	-216	-903	1
-993	-216	-759	1
-993	288	-831	1
-993	864	-543	1
-993	864	-399	1
-987	-666	753	1
-987	126	753	1
-987	918	609	1
-983	-950	-575	1
-983	-158	793	1
-983	130	-215	1
-980	-719	-827	1
-975	-702	-399	1
-975	378	-39	1
-974	-881	253	1
-972	-759	-291	1
-972	-255	-435	1
-972	825	-75	1
-970	-397	721	2
-970	-109	505	2
-970	107	721	2
-969	432	105	1
-958	-961	121	2
-958	-745	697	2
-958	-457	-311	2
-958	47	-815	2
-958	623	49	2
-958	839	121	2
-958	839	-383	2
-957	-684	609	1
-957	-684	-327	1
-957	108	-471	1
-957	396	33	1
-957	396	969	1
-951	-846	609	1
-951	-846	753	1
-951	-270	-903	1
-951	-54	-831	1
-951	234	969	1
-948	-903	-795	1
-948	177	-435	1
-948	969	-723	1
-947	-50	793	1
-941	76	-935	1
-939	-594	-399	1
-934	-289	217	2
-934	-73	289	2
-933	-252	609	1
-933	252	465	1
-933	540	-975	1
-933	828	969	1
-933	828	-687	1
-930	987	-651	1
-929	-248	145	1
-922	-925	553	2
-922	-637	-455	2
-922	-349	193	2
-922	-349	-527	2
-922	155	913	2
-922	443	-95	2
-922	659	913	2
-921	-864	-831	1
-921	-576	-471	1
-921	216	-471	1
-921	504	-111	1
-921	720	-543	1
-921	720	-39	1
-920	541	973	1
-918	-633	-75	1
-915	558	537	1
-915	558	897	1
-912	-291	933	1
-908	-575	-35	1
-908	505	325	1
-903	-270	-111	1
-903	810	249	1
-900	-327	-3	1
-900	177	-147	1
-898	-757	721	2
-898	-757	-71	2
-898	323	289	2
-898	323	-719	2
-898	539	361	2
-897	-720	-975	1
-897	-432	969	1
-897	360	-615	1
-897	864	393	1
-894	-489	-723	1
-894	807	-291	1
-886	-313	-527	2
-886	-313	-95	2
-886	479	481	2
-886	479	-527	2
-886	767	265	2
-886	767	-167	2
-885	-468	-687	1
-885	-252	897	1
-879	-918	465	1
-879	-126	825	1
-879	162	825	1
-876	-471	-507	1
-876	-183	933	1
-876	609	-867	1
-876	609	-147	1
-875	886	433	1
-869	724	433	1
-867	-162	-615	1
-862	-937	145	2
-862	-937	649	2
-862	-937	937	2
-862	-649	-71	2
-862	143	505	2
-862	359	-575	2
-861	-900	537	1
-861	180	897	1
-861	180	-759	1
-861	684	753	1
-850	-997	-599	2
-850	-493	-527	2
-850	-493	-167	2
-850	-205	913	2
-850	83	-239	2
-850	587	193	2
-850	587	-167	2
-850	875	-815	2
-849	-432	-687	1
-849	648	-687	1
-849	648	-327	1
-849	936	-903	1
-848	-323	253	1
-846	-201	-291	1
-843	-306	897	1
-843	198	249	1
-843	198	393	1
-843	990	825	1
-840	141	-435	1
-839	994	-647	1
-831	954	-831	1
-828	-687	-147	1
-826	-829	289	2
-826	-829	-503	2
-826	-325	217	2
-826	-325	721	2
-826	-325	-503	2
-826	755	577	2
-826	755	-143	2
-826	971	649	2
-826	971	-863	2
-826	971	-71	2
-825	-288	-111	1
-825	792	249	1
-822	-345	-795	1
-822	735	-435	1
-821	-284	-575	1
-821	796	-215	1
-814	119	193	2
-814	407	-815	2
-814	911	-383	2
-813	-612	-687	1
-813	-36	-399	1
-813	468	-327	1
-812	793	-755	1
-810	915	-507	1
-807	-486	753	1
-804	753	573	1
-797	-932	865	1
-795	-810	-687	1
-795	-522	-903	1
-795	270	-327	1
-795	486	-255	1
-792	-75	-75	1
-790	-793	-791	2
-790	-505	-575	2
-790	287	-431	2
-790	575	-215	2
-789	-684	177	1
-789	-468	249	1
-789	612	609	1
-786	267	933	1
-782	775	-467	1
-779	-626	433	1
-779	454	793	1
-778	-565	697	2
-778	-277	-311	2
-778	-277	-167	2
-778	-61	697	2
-778	-61	-239	2
-777	-216	-327	1
-777	0	-255	1
-777	288	-975	1
-777	288	-831	1
-774	-849	-363	1
-774	231	-3	1
-771	-954	-255	1
-771	-666	249	1
-771	126	105	1
-771	414	609	1
-771	630	681	1
-768	-723	-435	1
-768	573	-867	1
-764	289	-827	1
-761	-824	865	1
-759	882	-975	1
-754	-973	-863	2
-754	-973	-575	2
-754	-397	73	2
-754	-397	-935	2
-754	-181	145	2
-754	107	-503	2
-754	107	-215	2
-754	899	505	2
-753	-360	-831	1
-753	144	177	1
-753	720	-975	1
-753	720	-471	1
-750	87	-507	1
-742	-745	-455	2
-742	-457	985	2
-742	335	-95	2
-742	551	769	2
-742	551	-887	2
-741	-396	-471	1
-741	-180	537	1
-741	-180	-399	1
-741	900	897	1
-741	900	-39	1
-738	-237	-147	1
-738	843	213	1
-738	843	-651	1
-735	-558	609	1
-735	-558	969	1
-735	-342	681	1
-732	681	-651	1
-731	166	-215	1
-728	-683	613	1
-728	397	973	1
-725	796	73	1
-723	-378	-975	1
-723	702	-615	1
-722	-845	613	1
-722	-557	-395	1
-722	235	973	1
-720	-723	-651	1
-720	357	-291	1
-718	-865	145	2
-718	-361	-503	2
-718	215	505	2
-718	215	-863	2
-718	719	-143	2
-717	-540	-975	1
-717	-252	465	1
-717	540	-615	1
-710	-89	-467	1
-706	-925	-239	2
-706	155	121	2
-706	371	985	2
-705	-72	-543	1
-699	-522	33	1
-699	558	393	1
-696	-579	-651	1
-696	501	-291	1
-689	-968	145	1
-689	112	505	1
-687	-54	969	1
-687	738	-615	1
-682	-757	649	2
-682	35	865	2
-682	251	433	2
-671	-374	-935	1
-671	706	-575	1
-670	-817	-383	2
-670	-313	-887	2
-670	-313	-167	2
-670	767	193	2
-670	767	-671	2
-670	767	-527	2
-670	983	-599	2
-669	-756	-615	1
-669	36	897	1
-669	252	825	1
-669	252	969	1
-666	195	-723	1
-663	-918	465	1
-663	-126	897	1
-663	90	969	1
-660	321	-795	1
-653	-860	-935	1
-653	-68	73	1
-653	220	-575	1
-651	-738	-687	1
-651	54	-687	1
-651	342	-327	1
-648	-795	-291	1
-648	-291	-363	1
-648	789	-3	1
-646	-721	361	2
-646	-433	-647	2
-646	-145	1	2
-646	359	721	2
-646	647	-287	2
-645	-108	393	1
-645	972	753	1
-642	-957	789	1
-634	-997	265	2
-634	299	-815	2
-633	-720	825	1
-633	648	-831	1
-633	864	-759	1
-630	807	-507	1
-627	-882	465	1
-627	-594	753	1
-627	-594	-111	1
-627	198	825	1
-627	198	-831	1
-627	486	249	1
-624	-651	-795	1
-624	-147	573	1
-624	933	933	1
-623	-878	433	1
-623	202	793	1
-620	361	973	1
-614	199	253	1
-614	487	-755	1
-610	-613	-719	2
-610	467	-359	2
-609	216	681	1
-609	792	-975	1
-605	-284	433	1
-602	-917	-755	1
-602	163	-395	1
-602	955	-827	1
-599	-446	433	1
-598	-961	841	2
-598	-961	-959	2
-598	-673	-167	2
-598	-385	-311	2
-598	119	-599	2
-598	407	193	2
-597	-900	-615	1
-597	-612	825	1
-597	180	-255	1
-591	-486	753	1
-579	-18	-831	1
-579	486	-903	1
-576	-363	-507	1
-574	-793	937	2
-574	-793	-863	2
-574	-793	-71	2
-574	-289	-863	2
-574	-1	-647	2
-574	287	289	2
-574	287	-503	2
-574	503	73	2
-574	791	-503	2
-573	-972	249	1
-573	-756	321	1
-573	-180	-831	1
-573	324	681	1
-573	612	-975	1
-573	828	609	1
-569	-248	865	1
-563	-410	865	1
-562	-349	121	2
-562	-349	769	2
-562	-349	913	2
-562	-349	-887	2
-562	443	625	2
-562	731	481	2
-562	731	-527	2
-561	-504	-471	1
-561	504	-327	1
-558	-57	-651	1
-555	-162	177	1
-555	342	609	1
-555	918	537	1
-552	-219	429	1
-552	-219	-507	1
-545	-104	-647	1
-545	976	-287	1
-543	-990	-975	1
-543	-486	537	1
-543	18	-831	1
-543	594	897	1
-543	810	969	1
-540	-543	-147	1
-540	753	-723	1
-538	-685	145	2
-538	-685	649	2
-538	323	73	2
-537	648	969	1
-534	591	357	1
-533	-428	793	1
-533	-140	-215	1
-533	940	145	1
-527	-590	-287	1
-527	490	73	1
-527	778	-935	1
-526	-529	337	2
-526	-529	-815	2
-526	-241	121	2
-526	551	697	2
-526	551	-455	2
-526	839	481	2
-525	-972	-399	1
-525	-468	609	1
-525	108	-39	1
-525	612	969	1
-522	-525	-75	1
-522	555	285	1
-516	-399	789	1
-507	-162	-975	1
-507	-162	-471	1
-507	918	-615	1
-507	918	-111	1
-502	-361	505	2
-502	-361	-287	2
-502	143	-575	2
-502	143	-431	2
-502	719	73	2
-502	719	865	2
-502	935	145	2
-501	-324	105	1
-501	-36	-111	1
-501	756	465	1
-490	-133	841	2
-490	875	913	2
-489	-864	897	1
-489	-648	969	1
-489	-648	-975	1
-489	144	-975	1
-489	432	-615	1
-486	879	-291	1
-483	558	-687	1
-480	-867	357	1
-480	-75	213	1
-480	213	717	1
-480	717	789	1
-479	-518	-935	1
-476	-359	-35	1
-476	721	325	1
-473	-968	73	1
-473	-680	-935	1
-473	112	433	1
-471	-558	-687	1
-471	-54	825	1
-466	-829	217	2
-466	-829	-575	2
-466	-541	-71	2
-466	-253	-575	2
-466	251	577	2
-466	251	-215	2
-466	539	289	2
-466	755	361	2
-465	-720	393	1
-465	-504	465	1
-465	576	825	1
-462	519	-867	1
-458	-53	973	1
-455	-374	433	1
-454	-601	985	2
-454	-313	-455	2
-454	191	-959	2
-453	-540	465	1
-453	540	825	1
-453	540	-831	1
-452	73	-755	1
-450	-597	-363	1
-447	-702	969	1
-447	-414	249	1
-447	378	-831	1
-444	-759	717	1
-444	537	-651	1
-435	270	393	1
-432	-579	-867	1
-432	213	-291	1
-432	501	-507	1
-430	-433	-719	2
-430	-217	-143	2
-430	71	505	2
-430	71	793	2
-430	863	217	2
-429	-684	-183	1
-429	-108	825	1
-429	108	393	1
-429	396	177	1
-426	-741	789	1
-426	-453	573	1
-419	-338	505	1
-419	454	-647	1
-419	742	865	1
-418	-781	-743	2
-418	-277	409	2
-418	299	-383	2
-418	515	985	2
-418	515	-815	2
-418	515	-311	2
-418	515	-23	2
-418	803	769	2
-417	-720	825	1
-414	-777	-867	1
-414	519	-435	1
-411	-378	393	1
-411	702	753	1
-408	357	645	1
-407	-662	-575	1
-407	130	433	1
-407	418	-215	1
-399	-414	-759	1
-399	666	-399	1
-394	-613	-215	2
-394	-397	505	2
-394	-397	-287	2
-394	-109	-359	2
-394	683	73	2
-394	683	865	2
-394	683	-647	2
-394	971	1	2
-393	-576	177	1
-393	-72	753	1
-393	504	537	1
-393	720	609	1
-393	720	-255	1
-382	-457	337	2
-382	623	697	2
-382	623	-671	2
-381	-396	249	1
-381	-108	753	1
-381	684	609	1
-378	-957	-507	1
-378	-453	-435	1
-378	-165	69	1
-378	627	-75	1
-368	685	-395	1
-365	76	-287	1
-363	-882	-687	1
-363	198	-831	1
-363	198	-327	1
-363	702	-975	1
-362	523	685	1
-358	-793	145	2
-358	-577	-791	2
-358	215	-935	2
-358	503	-431	2
-357	-756	-327	1
-357	324	33	1
-357	540	105	1
-353	-248	793	1
-353	40	-215	1
-350	991	613	1
-346	-853	625	2
-346	-61	769	2
-346	-61	-887	2
-346	155	697	2
-346	155	841	2
-345	-792	-399	1
-345	-288	-831	1
-345	792	-471	1
-342	159	-507	1
-339	-954	681	1
-336	-795	-3	1
-336	285	357	1
-336	789	933	1
-335	-734	793	1
-327	-774	609	1
-327	-270	-975	1
-327	18	-471	1
-327	306	969	1
-327	810	-615	1
-324	-831	-75	1
-324	-327	-867	1
-324	753	-507	1
-322	-757	577	2
-322	-757	-431	2
-322	-469	-431	2
-322	-181	73	2
-322	35	145	2
-322	323	937	2
-322	323	-71	2
-322	611	-71	2
-321	-144	465	1
-321	-144	609	1
-321	936	825	1
-321	936	969	1
-318	303	429	1
-317	868	-935	1
-311	706	145	1
