prime	torsion_coset	m	n	k	ord_g1	ord_g2	ord_g3	state	t
11	1	0	0	0	8	4	8	3	1
11	1	0	0	2	8	4	8	3	8
11	1	0	0	4	8	4	8	3	10
11	1	0	0	6	8	4	8	3	3
11	1	0	1	1	8	4	8	3	1
11	1	0	1	3	8	4	8	3	inf
11	1	0	1	5	8	4	8	3	10
11	1	0	1	7	8	4	8	3	8
11	1	0	2	0	8	4	8	3	10
11	1	0	2	2	8	4	8	3	3
11	1	0	2	4	8	4	8	3	1
11	1	0	2	6	8	4	8	3	8
11	1	0	3	1	8	4	8	3	10
11	1	0	3	3	8	4	8	3	8
11	1	0	3	5	8	4	8	3	1
11	1	0	3	7	8	4	8	3	inf
11	1	1	0	1	8	4	8	3	8
11	1	1	0	3	8	4	8	3	10
11	1	1	0	5	8	4	8	3	3
11	1	1	0	7	8	4	8	3	1
11	1	1	1	0	8	4	8	3	1
11	1	1	1	2	8	4	8	3	inf
11	1	1	1	4	8	4	8	3	10
11	1	1	1	6	8	4	8	3	8
11	1	1	2	1	8	4	8	3	3
11	1	1	2	3	8	4	8	3	1
11	1	1	2	5	8	4	8	3	8
11	1	1	2	7	8	4	8	3	10
11	1	1	3	0	8	4	8	3	10
11	1	1	3	2	8	4	8	3	8
11	1	1	3	4	8	4	8	3	1
11	1	1	3	6	8	4	8	3	inf
11	1	2	0	0	8	4	8	3	8
11	1	2	0	2	8	4	8	3	10
11	1	2	0	4	8	4	8	3	3
11	1	2	0	6	8	4	8	3	1
11	1	2	1	1	8	4	8	3	inf
11	1	2	1	3	8	4	8	3	10
11	1	2	1	5	8	4	8	3	8
11	1	2	1	7	8	4	8	3	1
11	1	2	2	0	8	4	8	3	3
11	1	2	2	2	8	4	8	3	1
11	1	2	2	4	8	4	8	3	8
11	1	2	2	6	8	4	8	3	10
11	1	2	3	1	8	4	8	3	8
11	1	2	3	3	8	4	8	3	1
11	1	2	3	5	8	4	8	3	inf
11	1	2	3	7	8	4	8	3	10
11	1	3	0	1	8	4	8	3	10
11	1	3	0	3	8	4	8	3	3
11	1	3	0	5	8	4	8	3	1
11	1	3	0	7	8	4	8	3	8
11	1	3	1	0	8	4	8	3	inf
11	1	3	1	2	8	4	8	3	10
11	1	3	1	4	8	4	8	3	8
11	1	3	1	6	8	4	8	3	1
