prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	2	8	8	3	8
11	1	0	6	8	8	3	3
11	1	1	2	8	8	3	3
11	1	1	6	8	8	3	inf
11	1	2	0	8	8	3	8
11	1	2	4	8	8	3	3
11	1	3	0	8	8	3	3
11	1	3	4	8	8	3	inf
11	1	4	2	8	8	3	3
11	1	4	6	8	8	3	8
11	1	5	2	8	8	3	inf
11	1	5	6	8	8	3	3
11	1	6	0	8	8	3	3
11	1	6	4	8	8	3	8
11	1	7	0	8	8	3	inf
11	1	7	4	8	8	3	3
11	2	0	0	8	8	3	3
11	2	0	4	8	8	3	8
11	2	1	0	8	8	3	inf
11	2	1	4	8	8	3	3
11	2	2	2	8	8	3	8
11	2	2	6	8	8	3	3
11	2	3	2	8	8	3	3
11	2	3	6	8	8	3	inf
11	2	4	0	8	8	3	8
11	2	4	4	8	8	3	3
11	2	5	0	8	8	3	3
11	2	5	4	8	8	3	inf
11	2	6	2	8	8	3	3
11	2	6	6	8	8	3	8
11	2	7	2	8	8	3	inf
11	2	7	6	8	8	3	3
11	3	0	2	8	8	3	3
11	3	0	6	8	8	3	8
11	3	1	2	8	8	3	inf
11	3	1	6	8	8	3	3
11	3	2	0	8	8	3	3
11	3	2	4	8	8	3	8
11	3	3	0	8	8	3	inf
11	3	3	4	8	8	3	3
11	3	4	2	8	8	3	8
11	3	4	6	8	8	3	3
11	3	5	2	8	8	3	3
11	3	5	6	8	8	3	inf
11	3	6	0	8	8	3	8
11	3	6	4	8	8	3	3
11	3	7	0	8	8	3	3
11	3	7	4	8	8	3	inf
11	4	0	0	8	8	3	8
11	4	0	4	8	8	3	3
11	4	1	0	8	8	3	3
11	4	1	4	8	8	3	inf
11	4	2	2	8	8	3	3
11	4	2	6	8	8	3	8
11	4	3	2	8	8	3	inf
11	4	3	6	8	8	3	3
11	4	4	0	8	8	3	3
11	4	4	4	8	8	3	8
11	4	5	0	8	8	3	inf
11	4	5	4	8	8	3	3
11	4	6	2	8	8	3	8
11	4	6	6	8	8	3	3
11	4	7	2	8	8	3	3
11	4	7	6	8	8	3	inf
13	1	0	0	5	20	3	1
