prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	7	8	8	3	inf
11	1	1	4	8	8	3	inf
11	1	2	1	8	8	3	inf
11	1	3	6	8	8	3	inf
11	1	4	3	8	8	3	inf
11	1	5	0	8	8	3	inf
11	1	6	5	8	8	3	inf
11	1	7	2	8	8	3	inf
11	2	0	3	8	8	3	inf
11	2	1	0	8	8	3	inf
11	2	2	5	8	8	3	inf
11	2	3	2	8	8	3	inf
11	2	4	7	8	8	3	inf
11	2	5	4	8	8	3	inf
11	2	6	1	8	8	3	inf
11	2	7	6	8	8	3	inf
17	1	0	0	10	2	3	1
17	1	0	1	10	2	3	16
17	1	1	0	10	2	3	4
17	1	1	1	10	2	3	13
17	1	2	0	10	2	3	1
17	1	2	1	10	2	3	16
17	1	3	1	10	2	3	inf
17	1	5	0	10	2	3	16
17	1	5	1	10	2	3	1
17	1	6	0	10	2	3	13
17	1	6	1	10	2	3	4
17	1	7	0	10	2	3	16
17	1	7	1	10	2	3	1
17	1	8	0	10	2	3	inf
17	2	0	0	10	2	3	16
17	2	0	1	10	2	3	1
17	2	1	0	10	2	3	13
17	2	1	1	10	2	3	4
17	2	2	0	10	2	3	16
17	2	2	1	10	2	3	1
17	2	3	0	10	2	3	inf
17	2	5	0	10	2	3	1
17	2	5	1	10	2	3	16
17	2	6	0	10	2	3	4
17	2	6	1	10	2	3	13
17	2	7	0	10	2	3	1
17	2	7	1	10	2	3	16
17	2	8	1	10	2	3	inf
19	1	0	0	6	3	3	1
19	1	0	1	6	3	3	inf
19	1	0	2	6	3	3	inf
19	1	1	0	6	3	3	inf
19	1	1	1	6	3	3	inf
19	1	1	2	6	3	3	inf
19	1	2	0	6	3	3	inf
19	1	2	1	6	3	3	inf
19	1	2	2	6	3	3	1
19	1	3	0	6	3	3	inf
19	1	3	1	6	3	3	inf
19	1	3	2	6	3	3	inf
19	1	4	0	6	3	3	inf
19	1	4	1	6	3	3	1
19	1	4	2	6	3	3	inf
19	1	5	0	6	3	3	inf
19	1	5	1	6	3	3	inf
19	1	5	2	6	3	3	inf
19	2	0	0	6	3	3	inf
19	2	0	1	6	3	3	inf
19	2	0	2	6	3	3	inf
19	2	1	0	6	3	3	inf
19	2	1	1	6	3	3	1
19	2	1	2	6	3	3	inf
19	2	2	0	6	3	3	inf
19	2	2	1	6	3	3	inf
19	2	2	2	6	3	3	inf
19	2	3	0	6	3	3	1
19	2	3	1	6	3	3	inf
19	2	3	2	6	3	3	inf
19	2	4	0	6	3	3	inf
19	2	4	1	6	3	3	inf
19	2	4	2	6	3	3	inf
19	2	5	0	6	3	3	inf
19	2	5	1	6	3	3	inf
19	2	5	2	6	3	3	1
23	1	0	0	16	4	3	1
23	1	0	1	16	4	3	12
23	1	0	2	16	4	3	22
23	1	0	3	16	4	3	11
23	1	1	0	16	4	3	18
23	1	1	1	16	4	3	18
23	1	1	2	16	4	3	5
23	1	1	3	16	4	3	5
23	1	2	0	16	4	3	12
23	1	2	1	16	4	3	1
23	1	2	2	16	4	3	inf
23	1	2	3	16	4	3	22
23	1	3	0	16	4	3	19
23	1	3	1	16	4	3	inf
23	1	3	2	16	4	3	4
23	1	3	3	16	4	3	inf
23	1	4	0	16	4	3	12
23	1	4	1	16	4	3	22
23	1	4	2	16	4	3	11
23	1	4	3	16	4	3	1
23	1	5	0	16	4	3	18
23	1	5	1	16	4	3	5
23	1	5	2	16	4	3	5
23	1	5	3	16	4	3	18
23	1	6	0	16	4	3	1
23	1	6	1	16	4	3	inf
23	1	6	2	16	4	3	22
23	1	6	3	16	4	3	12
23	1	7	0	16	4	3	inf
23	1	7	1	16	4	3	4
23	1	7	2	16	4	3	inf
23	1	7	3	16	4	3	19
23	1	8	0	16	4	3	22
23	1	8	1	16	4	3	11
23	1	8	2	16	4	3	1
23	1	8	3	16	4	3	12
23	1	9	0	16	4	3	5
23	1	9	1	16	4	3	5
23	1	9	2	16	4	3	18
23	1	9	3	16	4	3	18
23	1	10	0	16	4	3	inf
23	1	10	1	16	4	3	22
23	1	10	2	16	4	3	12
23	1	10	3	16	4	3	1
23	1	11	0	16	4	3	4
23	1	11	1	16	4	3	inf
23	1	11	2	16	4	3	19
23	1	11	3	16	4	3	inf
23	1	12	0	16	4	3	11
23	1	12	1	16	4	3	1
23	1	12	2	16	4	3	12
23	1	12	3	16	4	3	22
23	1	13	0	16	4	3	5
23	1	13	1	16	4	3	18
23	1	13	2	16	4	3	18
23	1	13	3	16	4	3	5
23	1	14	0	16	4	3	22
23	1	14	1	16	4	3	12
23	1	14	2	16	4	3	1
23	1	14	3	16	4	3	inf
23	1	15	0	16	4	3	inf
23	1	15	1	16	4	3	19
23	1	15	2	16	4	3	inf
23	1	15	3	16	4	3	4
23	2	0	0	16	4	3	22
23	2	0	1	16	4	3	11
23	2	0	2	16	4	3	1
23	2	0	3	16	4	3	12
23	2	1	0	16	4	3	5
23	2	1	1	16	4	3	5
23	2	1	2	16	4	3	18
23	2	1	3	16	4	3	18
23	2	2	0	16	4	3	inf
23	2	2	1	16	4	3	22
23	2	2	2	16	4	3	12
23	2	2	3	16	4	3	1
23	2	3	0	16	4	3	4
23	2	3	1	16	4	3	inf
23	2	3	2	16	4	3	19
23	2	3	3	16	4	3	inf
23	2	4	0	16	4	3	11
23	2	4	1	16	4	3	1
23	2	4	2	16	4	3	12
23	2	4	3	16	4	3	22
23	2	5	0	16	4	3	5
23	2	5	1	16	4	3	18
23	2	5	2	16	4	3	18
23	2	5	3	16	4	3	5
23	2	6	0	16	4	3	22
23	2	6	1	16	4	3	12
23	2	6	2	16	4	3	1
23	2	6	3	16	4	3	inf
23	2	7	0	16	4	3	inf
23	2	7	1	16	4	3	19
23	2	7	2	16	4	3	inf
23	2	7	3	16	4	3	4
23	2	8	0	16	4	3	1
23	2	8	1	16	4	3	12
23	2	8	2	16	4	3	22
23	2	8	3	16	4	3	11
23	2	9	0	16	4	3	18
23	2	9	1	16	4	3	18
23	2	9	2	16	4	3	5
23	2	9	3	16	4	3	5
23	2	10	0	16	4	3	12
23	2	10	1	16	4	3	1
23	2	10	2	16	4	3	inf
23	2	10	3	16	4	3	22
23	2	11	0	16	4	3	19
23	2	11	1	16	4	3	inf
23	2	11	2	16	4	3	4
23	2	11	3	16	4	3	inf
23	2	12	0	16	4	3	12
23	2	12	1	16	4	3	22
23	2	12	2	16	4	3	11
23	2	12	3	16	4	3	1
23	2	13	0	16	4	3	18
23	2	13	1	16	4	3	5
23	2	13	2	16	4	3	5
