family	numerator	denominator
3	88749	3916
3	-88749	3916
3	-45097	4722
3	45097	4722
3	-96269	5035
3	96269	5035
3	67461	5687
3	-67461	5687
3	-27661	6901
3	27661	6901
3	42970	7839
3	-42970	7839
3	62959	9158
3	-62959	9158
3	17281	10380
3	-17281	10380
3	72475	12118
3	-72475	12118
3	-32276	12157
3	32276	12157
3	95816	13893
3	-95816	13893
3	80358	14773
3	-80358	14773
3	-86792	16575
3	86792	16575
3	10380	17281
3	-10380	17281
3	-44433	20119
3	44433	20119
3	-69013	20767
3	69013	20767
3	99047	22663
3	-99047	22663
3	-44890	24123
3	44890	24123
3	-98611	25480
3	98611	25480
3	-55246	25623
3	55246	25623
3	-6901	27661
3	6901	27661
3	-80869	29623
3	80869	29623
3	-36574	30887
3	36574	30887
3	-12157	32276
3	12157	32276
3	81746	32763
3	-81746	32763
3	50809	35131
3	-50809	35131
3	30887	36574
3	-30887	36574
3	-60855	38192
3	60855	38192
3	49819	40375
3	-49819	40375
3	77034	41141
3	-77034	41141
3	-7839	42970
3	7839	42970
3	66671	44092
3	-66671	44092
3	-20119	44433
3	20119	44433
3	24123	44890
3	-24123	44890
3	-4722	45097
3	4722	45097
3	-50652	45617
3	50652	45617
3	40375	49819
3	-40375	49819
3	-45617	50652
3	45617	50652
3	35131	50809
3	-35131	50809
3	72117	53801
3	-72117	53801
3	-25623	55246
3	25623	55246
3	-84593	60357
3	84593	60357
3	-38192	60855
3	38192	60855
3	9158	62959
3	-9158	62959
3	-95131	65585
3	95131	65585
3	44092	66671
3	-44092	66671
3	5687	67461
3	-5687	67461
3	85019	67748
3	-85019	67748
3	-20767	69013
3	20767	69013
3	-53801	72117
3	53801	72117
3	12118	72475
3	-12118	72475
3	41141	77034
3	-41141	77034
3	-82386	78793
3	82386	78793
3	14773	80358
3	-14773	80358
3	29623	80869
3	-29623	80869
3	32763	81746
3	-32763	81746
3	-78793	82386
3	78793	82386
3	-60357	84593
3	60357	84593
3	-92665	84833
3	92665	84833
3	67748	85019
3	-67748	85019
3	-16575	86792
3	16575	86792
3	3916	88749
3	-3916	88749
3	-84833	92665
3	84833	92665
3	95273	92928
3	-95273	92928
3	-65585	95131
3	65585	95131
3	92928	95273
3	-92928	95273
3	13893	95816
3	-13893	95816
3	-5035	96269
3	5035	96269
3	-25480	98611
3	25480	98611
3	22663	99047
3	-22663	99047
