family	n	d	parameter	status	jacobian_order
4	0	1	0	boundary	0
4	1	1	1	boundary	0
4	3	1	3	good_allowed	3072
4	9	1	9	good_allowed	2400
4	10	1	10	boundary	0
4	12	1	12	good_allowed	3264
4	14	1	14	good_allowed	3072
4	17	1	17	boundary	0
4	18	1	18	good_allowed	2784
4	19	1	19	good_allowed	3072
4	20	1	20	good_allowed	2880
4	21	1	21	good_allowed	2880
4	23	1	23	boundary	0
4	27	1	27	boundary	0
4	28	1	28	good_allowed	2880
4	29	1	29	boundary	0
4	30	1	30	boundary	0
4	31	1	31	good_allowed	2880
4	32	1	32	good_allowed	2880
4	46	1	46	boundary	0
4	47	1	47	boundary	0
4	48	1	48	good_allowed	3072
4	50	1	50	good_allowed	2784
4	51	1	51	good_allowed	2880
4	52	1	52	boundary	0
4	1	0	infinity	boundary	0
