family	n	d	parameter	status	jacobian_order
1	0	1	0	boundary	0
1	1	1	1	boundary	0
1	2	1	2	boundary	0
1	3	1	3	boundary	0
1	4	1	4	boundary	0
1	5	1	5	boundary	0
1	6	1	6	boundary	0
1	7	1	7	boundary	0
1	8	1	8	boundary	0
1	9	1	9	boundary	0
1	10	1	10	boundary	0
1	1	0	infinity	boundary	0
2	0	1	0	boundary	0
2	1	1	1	boundary	0
2	3	1	3	boundary	0
2	4	1	4	boundary	0
2	7	1	7	boundary	0
2	8	1	8	boundary	0
2	10	1	10	boundary	0
2	1	0	infinity	boundary	0
3	0	1	0	boundary	0
3	1	1	1	boundary	0
3	10	1	10	boundary	0
3	1	0	infinity	boundary	0
