family	family_name	m	n	a	b	c	d	tuple_height	curve_key	bad11	bad13
1	filip1	-901	1	657560431801	-2919240000	-3243600	2922483600	657560431801	10520940960000,8521962177600000000,8540910392268960000,432385721470317572103601	1	1
1	filip1	-611	1	138913489521	-909412400	-1490840	910903240	138913489521	2222603905600,827030913273760000,829744712642497600,19296957570900976809441	1	1
1	filip1	-1643	11	7190426161009	-192544247808	-1297785984	193842033792	7190426161009	1684248460266848256,37073287363948512804864,37574734064618869899264,51702228376922625591898081	1	1
3	adam	-1597	11	11046990383	77146212	-1626069366948	-11355589872	1626069366948	5951538025948944,122035996522094486689,128949421341068976384,2644101586126669474834704	1	1
2	filip2	-511	13	475685859178075	-10929748404289	-429623187276283	16887496053706201	16887496053706201	119459400181057941793595521,184576083045432135024174296089,226277036621983399714560705625,285187522963942512009748025852401	1	1
2	filip2	511	13	429623187276283	12101597200225	-475685859178075	-18698113387692025	18698113387692025	146448654796493558740050625,184576083045432135024174296089,226277036621983399714560705625,349619444258987735602756248600625	1	1
3	adam	-651	13	861203343	17898452	-44883916308	-932825712	44883916308	320354583996304,741671197994375649,870163808968306944,2014565943143548350864	1	1
1	filip1	-1235	14	2274459113161	-103106563560	-1182221040	104288784600	2274459113161	1397646587418681600,10630963449152319873600,10876150593345197160000,5173164257441122603411921	1	1
2	filip2	-1465	14	96271709302065710	-885494879794756	-92660714207094110	9696281879528062225	9696281879528062225	784101182142729377740685099536,8586007957368772238477050396692100,9268242011941445355240473157804100,94017882287264251007782691263471950625	1	1
2	filip2	1465	14	92660714207094110	920002682750116	-96271709302065710	-10074146723394733225	10074146723394733225	846404936267410588184898013456,8586007957368772238477050396692100,9268242011941445355240473157804100,101488432204484839579341757668918900625	1	1
1	filip1	-1531	16	5381105517841	-224895326400	-2375132160	227270458560	5381105517841	5641252777466265600,50577907836562536960000,51651861334072677273600,28956296594138856769301281	1	1
1	filip1	-1771	17	9651106464129	-370498668848	-3590922104	374089590952	9651106464129	12894721556995786816,137269263618139965647104,139943022058634680266304,93143855981952568763728641	1	1
1	filip1	-1183	17	1903481030889	-109368122864	-1594560968	110962683832	1903481030889	2542624680669097024,11961386298794999562496,12312717203200394204224,3623240034954250172130321	1	1
1	filip1	-1505	18	5009803351081	-239602272840	-2900363760	242502636600	5009803351081	8412109940321337600,57409249150093801665600,58807528757951659560000,25098129616502417343868561	1	1
3	adam	-1496	21	68349435000	986770575	-5007728651200	-72297295224	5007728651200	973716167685830625,4671645264819225000000,5226898896706213210176,25077346244049371261440000	1	1
1	filip1	-261	23	3924646609	-1360135728	-131441688	1491577416	3924646609	17276917344289344,1849969198582089984,2224803187921237056,15402851005535198881	1	1
3	adam	-494	23	2520557442	128815203	-59424474252	-3036937618	59424474252	16593356523931209,6353209818421583364,9222990095623513924,3531268140126610959504	1	1
1	filip1	-1672	29	7551157755969	-523563532448	-9241230944	532804763392	7551157755969	85400349360343131136,274118772509427948872704,283880915893205103345664,57019983455530783755128961	1	1
2	filip2	-770	29	8428990921357930	-272981143223881	-7248120009737530	192450083017168900	192450083017168900	74518704555817031602088702161,52535243675557571982019490500900,71047887952334405681835173884900,37037034453315201460332171127210000	1	1
2	filip2	770	29	7248120009737530	317455502232961	-8428990921357930	-223804241705020900	223804241705020900	100777995897981506457114827521,52535243675557571982019490500900,71047887952334405681835173884900,50088338605159416324328269436810000	1	1
3	adam	-297	29	154655028	18369122	-1926660978	-228838797	1926660978	337424643050884,23918177685680784,52367195012407209,3712022524147916484	1	1
1	filip1	-1081	37	1276748584489	-174376680768	-6180016464	180556697232	1276748584489	38192603495311063296,30407226795664981069824,32600720915328116461824,1630086947994665171391121	1	1
1	filip1	-901	39	605568781489	-104439292464	-4725211608	109164504072	605568781489	22327624740377945664,10907565810380927191296,11916888949285704581184,366713549114072229057121	1	1
3	adam	-536	41	5384669400	480118815	-82056047040	-7316447704	82056047040	230514076517004225,28994664547296360000,53530407005366871616,6733194855830692761600	1	1
1	filip1	-884	43	555461655849	-107540661488	-5498511824	113039173312	555461655849	30233632278667806976,11564993873276606374144,12777854703060373049344,308537651118512915910801	1	1
1	filip1	-620	43	129304248921	-35503548560	-2645845040	38149393600	129304248921	7000495975692601600,1260501960352278073600,1455376232047720960000,16719588789023929664241	1	1
3	adam	-603	44	8290745892	700198928	-131507557857	-11106533988	131507557857	490278538772349184,68736467445714875664,123355097226599184144,17294237773512202432449	1	1
3	adam	-157	44	88208252	43972368	-559852737	-279090108	559852737	1933569147527424,7780695720895504,77891288383451664,313435087126391169	1	1
3	adam	-849	46	25182370686	1520737460	-518028866685	-31283230350	518028866685	2312642422247251600,634151793367112110596,978640501131161122500,268353906718945502889225	1	1
1	filip1	-786	47	339962461969	-80699207928	-5132425944	85831633872	339962461969	26341796070644291136,6512362160206578053184,7367069373137057712384,115574475548023771356961	1	1
1	filip1	1972	47	15869682440329	1511253771696	-35180251248	-1476073520448	15869682440329	1237650077872405557504,2178793037767752274120704,2283887962465385690716416,251846820756886604645628241	1	1
3	adam	-330	47	1242180390	235680419	-11618649900	-2204420790	11618649900	55545259900015561,1543012121300552100,4859471019384224100,134993025498770010000	1	1
3	adam	-286	49	787152366	190627395	-6494193420	-1572721150	6494193420	36338803724486025,619608847299397956,2473451815657322500,42174548176371296400	1	1
1	filip1	-620	51	126295655161	-40949291280	-3670323120	44619614400	126295655161	13471271805206534400,1676844456334284038400,1990909989204687360000,15950592512546225935921	1	1
3	adam	-1300	57	114488130900	5480253999	-2850609190000	-136451370900	2850609190000	30033183893555492001,13107532116975534810000,18618976620489366810000,8125972754112456100000000	1	1
3	adam	-871	57	8223975903	613567152	-143267835568	-10688800512	143267835568	376464650013391104,67633779653124665409,114250456385331462144,20525672708339485882624	1	1
1	filip1	-1833	58	10607651649721	-1339822185000	-43780105200	1383602290200	10607651649721	1916697611323067040000,1795123487418174225000000,1914355297446685016040000,112522273521828652879377841	1	1
1	filip1	-696	59	199659729889	-66649992864	-6173233248	72823226112	199659729889	38108808734212629504,4442221548771250922496,5303222261359478636544,39864007739348439952321	1	1
1	filip1	1989	64	16707762525169	2146113305856	-66902704128	-2079210601728	16707762525169	4475971819638708240384,4323116726338111836585984,4605802321572169003892736,279149328597441599358478561	1	1
1	filip1	-551	65	73989984121	-33837438960	-4525583400	38363022360	73989984121	20480905110355560000,1144972275371725881600,1471721484593859969600,5474517750225832142641	1	1
1	filip1	-834	67	414951123889	-131489650968	-11486058168	142975709136	414951123889	131929532238679516224,17289528311686463337024,20442053402942073866496,172184435216744226484321	1	1
1	filip1	-757	69	276231182929	-98896708608	-9918419904	108815128512	276231182929	98375053392063369216,9780558973495661297664,11840732193083075334144,76303666422354661019041	1	1
1	filip1	-515	73	54269895681	-29378838320	-4852161080	34230999400	54269895681	23543467146266766400,863116141032700422400,1171761319922800360000,2945221577226622453761	1	1
2	filip2	-379	73	762198969877147	-65239302097225	-338708157463675	1758498516147025	1758498516147025	4256166538132986283352700625,114723215932437658608944505625,580947269681784039892272859609,3092317031291288744651416350625	1	1
2	filip2	379	73	338708157463675	146808772562089	-762198969877147	-3957169994293681	3957169994293681	21552815701187176005360043921,114723215932437658608944505625,580947269681784039892272859609,15659194363738251318102076529761	1	1
3	adam	-508	77	7266227276	1494908415	-65066966640	-13386473100	65066966640	2234751169237812225,52798058826486380176,179197662057023610000,4233710147730872889600	1	1
1	filip1	-1549	85	5175447551521	-1128788271360	-65537570400	1194325841760	5175447551521	4295173133934956160000,1274162961559896996249600,1426414216295732559897600,26785257358544713949413441	1	1
1	filip1	-878	85	494882703441	-187724003480	-20121740600	207845744080	494882703441	404884444773688360000,35240301482559052110400,43199853332168855046400,244908890165072753240481	1	1
2	filip2	-1311	86	375132438780320586	-18900143843106436	-288117309050145786	4392113862380710761	4392113862380710761	357215437290114120069158424622096,83011583774297218842534347853557796,140724346625270972304437552935383396,19290664180116805065746278647541199121	1	1
2	filip2	1311	86	288117309050145786	24608230156451236	-375132438780320586	-5718588688848840561	5718588688848840561	605564991432876023021549245927696,83011583774297218842534347853557796,140724346625270972304437552935383396,32702256592229901404820878233998794721	1	1
3	adam	-1729	90	418018410810	24148862100	-8912543020381	-514876299210	8912543020381	583167540724816410000,174739391776117924856100,265097603488185446624100,79433423090142078181385161	1	1
3	adam	-542	91	10032144122	2364084723	-83864628012	-19762782858	83864628012	5588896577521986729,100643915684579150884,390567586292458648164,7033275831591135072144	1	1
1	filip1	-1973	94	13809421506609	-2619198964568	-131029644848	2750228609416	13809421506609	17168767828993012943104,6860203215994083319426624,7563757404050265083861056,190700122347195183430678881	1	1
1	filip1	-591	98	90581135089	-56307647928	-11193001008	67500648936	90581135089	125283271565089016064,3170551215183602693184,4556337606781117932096,8204942034011667037921	1	1
1	filip1	-689	103	171696695769	-97479135728	-17133704744	114612840472	171696695769	293563838254568105536,9502181902277846089984,13136103201060121182784,29479755337992542501361	1	1
3	adam	-1809	104	546916055400	35278168640	-10673736740865	-688496673384	10673736740865	1244549182592279449600,299117171654295869160000,474027669260834374011456,113928656013291392160948225	1	1
2	filip2	-1695	107	1679347391060321565	-82244246470760929	-1302841100634951165	20638464164263946025	20638464164263946025	6764116077543271525344920272943041,1697394933503690948912925981934857225,2820207659861108606611212521204049225,425946203059607100052455163704113300625	1	1
