fiber	signs	k	a	b	c	d	primitive_a	primitive_b	primitive_c	primitive_d	curve_key	known_bank
28	0	1	6	36	839	5034	6	36	839	5034	6,36,839,5034	1
84	0	1	14	116	259	2146	14	116	259	2146	14,116,259,2146	1
139	0	1	22	43	308	602	22	43	308	602	22,43,308,602	1
149	0	2	24	171	704	5016	24	171	704	5016	24,171,704,5016	1
202	0	1	33	253	747	5727	33	253	747	5727	33,253,747,5727	1
213	0	1	34	76	221	494	34	76	221	494	34,76,221,494	1
353	0	2	64	136	225	136	64	136	225	136	64,136,136,225	0
356	0	14	64	225	6664	6664	64	225	6664	6664	64,225,6664,6664	0
364	0	1	65	185	247	703	65	185	247	703	65,185,247,703	1
472	0	10	92	805	1520	13300	92	805	1520	13300	92,805,1520,13300	1
1257	0	1	477	1023	3657	7843	477	1023	3657	7843	477,1023,3657,7843	1
1300	0	6	488	1281	2112	5544	488	1281	2112	5544	488,1281,2112,5544	1
1519	0	3	658	1932	2397	7038	658	1932	2397	7038	658,1932,2397,7038	1
1617	0	3	754	1716	4611	10494	754	1716	4611	10494	754,1716,4611,10494	1
1702	0	7	833	2529	4496	833	833	2529	4496	833	833,833,2529,4496	0
2164	0	1	1508	2726	4186	7567	1508	2726	4186	7567	1508,2726,4186,7567	1
2314	0	17	2529	4496	4913	4913	2529	4496	4913	4913	2529,4496,4913,4913	0
2396	0	7	3724	4802	8398	10829	3724	4802	8398	10829	3724,4802,8398,10829	1
