family	p	parameter	boundary	jorder	jmod3	allowed	a	b	c	d
1	5	0	1	0	-1	1	4	0	0	0
1	5	1	1	0	-1	1	1	4	3	3
1	5	2	1	0	-1	1	1	3	4	3
1	5	3	1	0	-1	1	1	3	3	4
1	5	4	1	0	-1	1	4	0	0	0
1	5	inf	1	0	-1	1	4	0	0	0
2	5	0	1	0	-1	1	0	4	0	0
2	5	1	1	0	-1	1	4	4	1	1
2	5	2	1	0	-1	1	3	0	0	0
2	5	3	1	0	-1	1	0	4	3	4
2	5	4	1	0	-1	1	1	4	4	1
2	5	inf	1	0	-1	1	0	0	0	1
3	5	0	1	0	-1	1	0	4	0	0
3	5	1	1	0	-1	1	1	0	0	0
3	5	2	1	0	-1	1	2	3	3	2
3	5	3	1	0	-1	1	2	3	3	2
3	5	4	1	0	-1	1	0	0	0	1
3	5	inf	1	0	-1	1	0	0	4	0
1	7	0	1	0	-1	1	6	0	0	0
1	7	1	1	0	-1	1	5	5	1	1
1	7	2	1	0	-1	1	0	5	3	6
1	7	3	1	0	-1	1	6	4	6	4
1	7	4	1	0	-1	1	0	6	3	5
1	7	5	1	0	-1	1	5	1	1	5
1	7	6	1	0	-1	1	6	0	0	0
1	7	inf	1	0	-1	1	6	0	0	0
2	7	0	1	0	-1	1	0	6	0	0
2	7	1	1	0	-1	1	6	6	1	1
2	7	2	1	0	-1	1	5	3	1	2
2	7	3	1	0	-1	1	2	5	6	4
2	7	4	1	0	-1	1	6	3	2	1
2	7	5	1	0	-1	1	1	6	5	4
2	7	6	1	0	-1	1	1	6	6	1
2	7	inf	1	0	-1	1	0	0	0	1
3	7	0	1	0	-1	1	0	6	0	0
3	7	1	1	0	-1	1	3	0	0	0
3	7	2	1	0	-1	1	3	3	2	2
3	7	3	1	0	-1	1	1	1	5	5
3	7	4	1	0	-1	1	5	1	5	1
3	7	5	1	0	-1	1	2	3	2	3
3	7	6	1	0	-1	1	0	0	0	3
3	7	inf	1	0	-1	1	0	0	6	0
1	11	0	1	0	-1	1	10	0	0	0
1	11	1	1	0	-1	1	2	6	8	8
1	11	2	1	0	-1	1	6	5	2	4
1	11	3	1	0	-1	1	7	6	4	1
1	11	4	1	0	-1	1	10	7	3	1
1	11	5	1	0	-1	1	7	6	10	6
1	11	6	1	0	-1	1	10	1	3	7
1	11	7	1	0	-1	1	7	1	4	6
1	11	8	1	0	-1	1	6	4	2	5
1	11	9	1	0	-1	1	2	8	8	6
1	11	10	1	0	-1	1	10	0	0	0
1	11	inf	1	0	-1	1	10	0	0	0
2	11	0	1	0	-1	1	0	10	0	0
2	11	1	1	0	-1	1	10	10	1	1
2	11	2	0	128	2	0	9	8	6	1
2	11	3	1	0	-1	1	2	0	0	0
2	11	4	1	0	-1	1	0	2	3	1
2	11	5	0	128	2	0	10	6	3	4
2	11	6	0	128	2	0	3	2	10	5
2	11	7	1	0	-1	1	3	0	0	0
2	11	8	1	0	-1	1	0	8	2	5
2	11	9	0	128	2	0	6	10	9	4
2	11	10	1	0	-1	1	1	10	10	1
2	11	inf	1	0	-1	1	0	0	0	1
3	11	0	1	0	-1	1	0	10	0	0
3	11	1	1	0	-1	1	7	0	0	0
3	11	2	0	128	2	0	4	3	10	2
3	11	3	0	128	2	0	7	8	5	1
3	11	4	0	128	2	0	10	4	2	3
3	11	5	0	128	2	0	7	2	5	3
3	11	6	0	128	2	0	3	2	5	7
3	11	7	0	128	2	0	3	4	2	10
3	11	8	0	128	2	0	1	8	5	7
3	11	9	0	128	2	0	2	3	10	4
3	11	10	1	0	-1	1	0	0	0	7
3	11	inf	1	0	-1	1	0	0	10	0
1	13	0	1	0	-1	1	12	0	0	0
1	13	1	1	0	-1	1	4	10	8	8
1	13	2	0	256	1	0	3	6	11	9
1	13	3	1	0	-1	1	0	3	9	1
1	13	4	0	256	1	0	1	3	2	8
1	13	5	0	256	1	0	1	8	3	2
1	13	6	1	0	-1	1	10	7	12	7
1	13	7	0	256	1	0	1	2	3	8
1	13	8	0	256	1	0	1	8	2	3
1	13	9	1	0	-1	1	0	1	9	3
1	13	10	0	256	1	0	3	9	11	6
1	13	11	1	0	-1	1	4	8	8	10
1	13	12	1	0	-1	1	12	0	0	0
1	13	inf	1	0	-1	1	12	0	0	0
2	13	0	1	0	-1	1	0	12	0	0
2	13	1	1	0	-1	1	12	12	1	1
2	13	2	1	0	-1	1	11	1	11	9
2	13	3	1	0	-1	1	3	9	12	10
2	13	4	1	0	-1	1	10	3	1	4
2	13	5	1	0	-1	1	2	4	6	4
2	13	6	1	0	-1	1	11	9	11	1
2	13	7	1	0	-1	1	11	4	11	12
2	13	8	1	0	-1	1	6	3	2	3
2	13	9	1	0	-1	1	1	9	10	12
2	13	10	1	0	-1	1	12	1	3	4
2	13	11	1	0	-1	1	11	12	11	4
2	13	12	1	0	-1	1	1	12	12	1
2	13	inf	1	0	-1	1	0	0	0	1
3	13	0	1	0	-1	1	0	12	0	0
3	13	1	1	0	-1	1	9	0	0	0
3	13	2	0	256	1	0	8	3	1	2
3	13	3	0	256	1	0	4	8	6	12
3	13	4	0	256	1	0	4	2	7	10
3	13	5	1	0	-1	1	2	11	11	2
3	13	6	0	256	1	0	5	9	1	7
3	13	7	0	256	1	0	7	9	1	5
3	13	8	1	0	-1	1	2	11	11	2
3	13	9	0	256	1	0	10	2	7	4
3	13	10	0	256	1	0	12	8	6	4
3	13	11	0	256	1	0	2	3	1	8
3	13	12	1	0	-1	1	0	0	0	9
3	13	inf	1	0	-1	1	0	0	12	0
1	17	0	1	0	-1	1	16	0	0	0
1	17	1	1	0	-1	1	8	1	8	8
1	17	2	0	256	1	0	2	13	7	14
1	17	3	0	256	1	0	1	12	14	8
1	17	4	0	256	1	0	1	8	12	14
1	17	5	0	256	1	0	8	11	1	5
1	17	6	0	256	1	0	4	14	15	5
1	17	7	0	256	1	0	15	10	3	4
1	17	8	1	0	-1	1	9	9	16	9
1	17	9	0	256	1	0	15	4	3	10
1	17	10	0	256	1	0	4	5	15	14
1	17	11	0	256	1	0	8	5	1	11
1	17	12	0	256	1	0	1	14	12	8
1	17	13	0	256	1	0	1	8	14	12
1	17	14	0	256	1	0	2	14	7	13
1	17	15	1	0	-1	1	8	8	8	1
1	17	16	1	0	-1	1	16	0	0	0
1	17	inf	1	0	-1	1	16	0	0	0
2	17	0	1	0	-1	1	0	16	0	0
2	17	1	1	0	-1	1	16	16	1	1
2	17	2	1	0	-1	1	15	9	16	15
2	17	3	0	256	1	0	10	15	6	1
