a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
3004	4432	5257	7756	6	3004	4432	-5257	-7756	1	0	0	0	0
3007	6200	6208	6728	6	3007	6200	-6208	-6728	0	0	0	0	0
3008	3072	3243	3312	6	3008	3072	-3243	-3312	1	0	0	0	0
3008	3384	4608	5184	6	376	423	-576	-648	1	0	0	0	0
3008	3928	4888	6383	6	3008	3928	-4888	-6383	1	0	0	0	0
3009	4661	5661	8769	6	3009	4661	-5661	-8769	1	0	0	0	0
3012	3263	3312	3588	6	3012	3263	-3312	-3588	1	0	0	0	0
3014	3476	5069	5846	6	3014	3476	-5069	-5846	1	0	0	0	0
3014	3836	7535	9590	6	22	28	-55	-70	1	0	0	0	0
3016	3484	5104	5896	6	754	871	-1276	-1474	1	0	0	0	0
3016	3744	6786	8424	6	116	144	-261	-324	1	0	0	0	0
3017	6300	6498	7758	6	3017	6300	-6498	-7758	0	0	0	0	0
3021	3127	6327	6549	6	3021	3127	-6327	-6549	1	0	0	0	0
3024	3150	3360	5040	6	72	75	-80	-120	0	0	0	0	0
3024	3276	4032	4368	6	36	39	-48	-52	1	0	0	0	0
3024	3456	4914	5616	6	56	64	-91	-104	1	0	0	0	0
3024	4032	4107	7056	6	1008	1344	-1369	-2352	0	0	0	0	0
3024	6048	6174	9072	6	24	48	-49	-72	0	0	0	0	0
3025	3751	6775	8401	6	3025	3751	-6775	-8401	1	0	0	0	0
3026	3649	6052	7298	6	34	41	-68	-82	1	0	0	0	0
3026	3774	6942	8658	6	1513	1887	-3471	-4329	1	0	0	0	0
3030	4545	4848	5050	6	30	45	-48	-50	0	0	0	0	0
3034	3526	5254	6106	6	1517	1763	-2627	-3053	1	0	0	0	0
3036	3432	3450	7644	6	506	572	-575	-1274	0	0	0	0	0
3036	3864	7590	9660	6	22	28	-55	-70	1	0	0	0	0
3036	4400	5175	7500	6	3036	4400	-5175	-7500	1	0	0	0	0
3036	4464	4807	7068	6	3036	4464	-4807	-7068	1	0	0	0	0
3038	4464	4557	9114	6	98	144	-147	-294	0	0	0	0	0
3040	3460	4864	5536	6	760	865	-1216	-1384	1	0	0	0	0
