t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	37	0	1	0	-1	1
1	2	37	1	1	0	-1	1
1	2	37	2	0	1536	0	1
1	2	37	3	0	1024	1	0
1	2	37	4	0	1536	0	1
1	2	37	5	1	0	-1	1
1	2	37	6	0	1024	1	0
1	2	37	7	0	1024	1	0
1	2	37	8	0	1024	1	0
1	2	37	9	0	1024	1	0
1	2	37	10	1	0	-1	1
1	2	37	11	0	1024	1	0
1	2	37	12	0	1536	0	1
1	2	37	13	0	1024	1	0
1	2	37	14	0	1024	1	0
1	2	37	15	1	0	-1	1
1	2	37	16	0	1024	1	0
1	2	37	17	0	1024	1	0
1	2	37	18	0	1024	1	0
1	2	37	19	0	1536	0	1
1	2	37	20	0	1024	1	0
1	2	37	21	0	1536	0	1
1	2	37	22	0	1024	1	0
1	2	37	23	1	0	-1	1
1	2	37	24	0	1024	1	0
1	2	37	25	0	1024	1	0
1	2	37	26	1	0	-1	1
1	2	37	27	0	1024	1	0
1	2	37	28	0	1536	0	1
1	2	37	29	1	0	-1	1
1	2	37	30	0	1536	0	1
1	2	37	31	0	1024	1	0
1	2	37	32	0	1024	1	0
1	2	37	33	0	1024	1	0
1	2	37	34	0	1536	0	1
1	2	37	35	0	1024	1	0
1	2	37	36	1	0	-1	1
1	2	37	inf	1	0	-1	1
1	2	41	0	1	0	-1	1
1	2	41	1	1	0	-1	1
1	2	41	2	0	2304	0	1
1	2	41	3	0	1536	0	1
1	2	41	4	0	2304	0	1
1	2	41	5	0	1536	0	1
1	2	41	6	0	2304	0	1
1	2	41	7	0	2304	0	1
1	2	41	8	0	1920	0	1
1	2	41	9	0	2304	0	1
1	2	41	10	0	1920	0	1
1	2	41	11	0	1536	0	1
1	2	41	12	0	2304	0	1
1	2	41	13	0	2304	0	1
1	2	41	14	0	1536	0	1
1	2	41	15	0	1536	0	1
1	2	41	16	0	1536	0	1
1	2	41	17	0	1920	0	1
1	2	41	18	0	1536	0	1
1	2	41	19	0	2304	0	1
1	2	41	20	1	0	-1	1
1	2	41	21	0	2304	0	1
1	2	41	22	0	1920	0	1
1	2	41	23	0	1920	0	1
1	2	41	24	0	2304	0	1
1	2	41	25	0	1920	0	1
1	2	41	26	0	1920	0	1
1	2	41	27	0	1920	0	1
1	2	41	28	0	1920	0	1
1	2	41	29	0	1920	0	1
1	2	41	30	0	1920	0	1
1	2	41	31	0	2304	0	1
1	2	41	32	0	2304	0	1
1	2	41	33	0	1536	0	1
1	2	41	34	0	1920	0	1
1	2	41	35	0	1920	0	1
1	2	41	36	0	1920	0	1
1	2	41	37	0	1920	0	1
1	2	41	38	0	1920	0	1
1	2	41	39	1	0	-1	1
1	2	41	40	1	0	-1	1
1	2	41	inf	1	0	-1	1
1	2	43	0	1	0	-1	1
1	2	43	1	1	0	-1	1
1	2	43	2	0	2304	0	1
1	2	43	3	0	1920	0	1
1	2	43	4	0	2304	0	1
1	2	43	5	0	1536	0	1
1	2	43	6	0	2688	0	1
1	2	43	7	0	2304	0	1
1	2	43	8	0	1920	0	1
1	2	43	9	0	1920	0	1
1	2	43	10	0	1920	0	1
1	2	43	11	0	2304	0	1
1	2	43	12	0	1920	0	1
1	2	43	13	0	1920	0	1
1	2	43	14	1	0	-1	1
1	2	43	15	0	2304	0	1
1	2	43	16	0	2304	0	1
1	2	43	17	0	2688	0	1
1	2	43	18	0	1920	0	1
1	2	43	19	0	1920	0	1
1	2	43	20	0	1920	0	1
1	2	43	21	0	1536	0	1
1	2	43	22	0	2304	0	1
1	2	43	23	0	2304	0	1
1	2	43	24	0	1920	0	1
1	2	43	25	0	1920	0	1
1	2	43	26	0	1536	0	1
1	2	43	27	0	1920	0	1
1	2	43	28	0	1920	0	1
1	2	43	29	0	1920	0	1
1	2	43	30	0	2304	0	1
1	2	43	31	0	1920	0	1
1	2	43	32	1	0	-1	1
1	2	43	33	0	2304	0	1
1	2	43	34	0	1920	0	1
1	2	43	35	0	2304	0	1
1	2	43	36	0	2688	0	1
1	2	43	37	0	2304	0	1
1	2	43	38	0	2688	0	1
1	2	43	39	1	0	-1	1
1	2	43	40	1	0	-1	1
1	2	43	41	0	1536	0	1
1	2	43	42	1	0	-1	1
