t_num	t_den	r	a	b	c	d	curve_key	known_bank
1	2	-9984	89872	-897282048	159753	-1594973952	89872,159753,897282048,1594973952	0
1	2	-9942	89494	-889749348	159081	-1581583302	89494,159081,889749348,1581583302	0
1	2	-9933	89413	-888139329	158937	-1578721221	89413,158937,888139329,1578721221	0
1	2	-9929	89377	-887424233	158873	-1577450017	89377,158873,887424233,1577450017	0
1	2	-9920	89296	-885816320	158729	-1574591680	89296,158729,885816320,1574591680	0
1	2	-9919	89287	-885637753	158713	-1574274247	89287,158713,885637753,1574274247	0
1	2	-9767	87919	-858704873	156281	-1526396527	87919,156281,858704873,1526396527	0
1	2	-9710	87406	-848712260	155369	-1508632990	87406,155369,848712260,1508632990	0
1	2	-9578	86218	-825796004	153257	-1467895546	86218,153257,825796004,1467895546	0
1	2	-9520	85696	-815825920	152329	-1450172080	85696,152329,815825920,1450172080	0
1	2	-9425	84841	-799626425	150809	-1421374825	84841,150809,799626425,1421374825	0
1	2	-9361	16853	-157760933	29957	-280427477	16853,29957,157760933,280427477	0
1	2	-9338	84058	-784933604	149417	-1395255946	84058,149417,784933604,1395255946	0
1	2	-9333	84013	-784093329	149337	-1393762221	84013,149337,784093329,1393762221	0
1	2	-9282	83554	-775548228	148521	-1378571922	83554,148521,775548228,1378571922	0
1	2	-9281	2387	-22153747	4243	-39379283	2387,4243,22153747,39379283	0
1	2	-9216	16592	-152911872	29493	-271807488	16592,29493,152911872,271807488	0
1	2	-9179	82627	-758433233	146873	-1348147267	82627,146873,758433233,1348147267	0
1	2	-9130	82186	-750358180	146089	-1333792570	82186,146089,750358180,1333792570	0
1	2	-9021	16241	-146510061	28869	-260427249	16241,28869,146510061,260427249	0
1	2	-8931	2297	-20514507	4083	-36465273	2297,4083,20514507,36465273	0
1	2	-8811	15863	-139768893	28197	-248443767	15863,28197,139768893,248443767	0
1	2	-8753	78793	-689675129	140057	-1225918921	78793,140057,689675129,1225918921	0
1	2	-8724	78532	-685113168	139593	-1217809332	78532,139593,685113168,1217809332	0
1	2	-8723	78523	-684956129	139577	-1217530171	78523,139577,684956129,1217530171	0
1	2	-8701	3133	-27260233	5569	-48455869	3133,5569,27260233,48455869	0
1	2	-8525	10963	-93459575	19487	-166126675	10963,19487,93459575,166126675	0
1	2	-8434	10846	-91475164	19279	-162599086	10846,19279,91475164,162599086	0
1	2	-8382	75454	-632455428	134121	-1124202222	75454,134121,632455428,1124202222	0
1	2	-8346	15026	-125406996	26709	-222913314	15026,26709,125406996,222913314	0
1	2	-8324	74932	-623733968	133193	-1108698532	74932,133193,623733968,1108698532	0
1	2	-8294	10666	-88463804	18959	-157245946	10666,18959,88463804,157245946	0
1	2	-8293	74653	-619097329	132697	-1100456221	74653,132697,619097329,1100456221	0
1	2	-8280	10648	-88165440	18927	-156715560	10648,18927,88165440,156715560	0
1	2	-8259	10621	-87718839	18879	-155921661	10621,18879,87718839,155921661	0
1	2	-8073	72673	-586689129	129177	-1042845921	72673,129177,586689129,1042845921	0
1	2	-8061	14513	-116989293	25797	-207949617	14513,25797,116989293,207949617	0
1	2	-7947	71539	-568520433	127161	-1010548467	71539,127161,568520433,1010548467	0
1	2	-7774	69982	-544040068	124393	-967031182	69982,124393,544040068,967031182	0
1	2	-7771	13991	-108724061	24869	-193256999	13991,24869,108724061,193256999	0
1	2	-7709	69397	-534981473	123353	-950928277	69397,123353,534981473,950928277	0
1	2	-7700	69316	-533733200	123209	-948709300	69316,123209,533733200,948709300	0
1	2	-7687	69199	-531932713	123001	-945508687	69199,123001,531932713,945508687	0
1	2	-7657	9847	-75398479	17503	-134020471	9847,17503,75398479,134020471	0
1	2	-7656	13784	-105530304	24501	-187579656	13784,24501,105530304,187579656	0
1	2	-7580	9748	-73889840	17327	-131338660	9748,17327,73889840,131338660	0
1	2	-7410	66706	-494291460	118569	-878596290	66706,118569,494291460,878596290	0
1	2	-7381	13289	-98086109	23621	-174346601	13289,23621,98086109,174346601	0
1	2	-7316	13172	-96366352	23413	-171289508	13172,23413,96366352,171289508	0
1	2	-7162	64474	-461762788	114601	-820772362	64474,114601,461762788,820772362	0
1	2	-7071	12731	-90020901	22629	-160009659	12731,22629,90020901,160009659	0
1	2	-7058	63538	-448451204	112937	-797109346	63538,112937,448451204,797109346	0
1	2	-6968	62728	-437088704	111497	-776911096	62728,111497,437088704,776911096	0
1	2	-6930	62386	-432334980	110889	-768460770	62386,110889,432334980,768460770	0
1	2	-6904	62152	-429097408	110473	-762705592	62152,110473,429097408,762705592	0
1	2	-6707	60379	-404961953	107321	-719801947	60379,107321,404961953,719801947	0
1	2	-6699	60307	-403996593	107193	-718085907	60307,107193,403996593,718085907	0
1	2	-6565	8443	-55428295	15007	-98520955	8443,15007,55428295,98520955	0
1	2	-6553	58993	-386581129	104857	-687127921	58993,104857,386581129,687127921	0
1	2	-6478	58318	-377784004	103657	-671490046	58318,103657,377784004,671490046	0
1	2	-6410	57706	-369895460	102569	-657467290	57706,102569,369895460,657467290	0
1	2	-6304	56752	-357764608	100873	-635903392	56752,100873,357764608,635903392	0
1	2	-6293	56653	-356517329	100697	-633686221	56653,100697,356517329,633686221	0
1	2	-6292	8092	-50914864	14383	-90497836	8092,14383,50914864,90497836	0
1	2	-6279	56527	-354933033	100473	-630869967	56527,100473,354933033,630869967	0
