p	u	t	w	a	b	c	d	flags	r0	r1	r2	r3
41	0	0	0	0	0	0	20	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
41	0	0	0	0	0	0	21	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
41	0	0	9	0	10	35	6	t0+qrep+qgcd+root0+rootrep+rad0	0	0	4	0
41	0	0	9	0	10	6	35	t0+qrep+qgcd+root0+rootrep+rad0	0	0	4	0
41	0	0	9	0	31	35	6	t0+qrep+qgcd+root0+rootrep+rad0	0	0	4	0
41	0	0	9	0	31	6	35	t0+qrep+qgcd+root0+rootrep+rad0	0	0	4	0
41	0	0	32	0	33	22	30	t0+qrep+qgcd+root0+rad0	0	0	32	39
41	0	0	32	0	33	19	11	t0+qrep+qgcd+root0+rad0	0	0	21	25
41	0	0	32	0	8	22	30	t0+qrep+qgcd+root0+rad0	0	0	21	25
41	0	0	32	0	8	19	11	t0+qrep+qgcd+root0+rad0	0	0	32	39
41	0	21	31	37	37	36	36	qgcd+rootrep	31	9	9	32
41	0	21	31	37	37	36	5	qgcd+rootrep+rad0	10	40	40	0
41	0	21	31	37	37	5	36	qgcd+rootrep+rad0	10	40	40	0
41	0	21	31	37	37	5	5	qgcd+rootrep	31	32	32	9
41	0	21	31	37	4	36	36	qgcd+rootrep+rad0	10	0	0	40
41	0	21	31	37	4	36	5	qgcd+rootrep+rad0	31	0	0	0
41	0	21	31	37	4	5	36	qgcd+rootrep+rad0	31	0	0	0
41	0	21	31	37	4	5	5	qgcd+rootrep+rad0	10	0	0	40
41	0	21	31	4	37	36	36	qgcd+rootrep+rad0	10	0	0	40
41	0	21	31	4	37	36	5	qgcd+rootrep+rad0	31	0	0	0
41	0	21	31	4	37	5	36	qgcd+rootrep+rad0	31	0	0	0
41	0	21	31	4	37	5	5	qgcd+rootrep+rad0	10	0	0	40
41	0	21	31	4	4	36	36	qgcd+rootrep	31	32	32	9
41	0	21	31	4	4	36	5	qgcd+rootrep+rad0	10	40	40	0
41	0	21	31	4	4	5	36	qgcd+rootrep+rad0	10	40	40	0
41	0	21	31	4	4	5	5	qgcd+rootrep	31	9	9	32
41	0	23	33	24	24	27	27	qgcd+rootrep	23	31	31	4
41	0	23	33	24	24	14	14	qgcd+rootrep	23	36	36	2
41	0	23	33	24	17	27	14	qgcd+rootrep+rad0	23	0	0	0
41	0	23	33	24	17	14	27	qgcd+rootrep+rad0	23	0	0	0
41	0	23	33	17	24	27	14	qgcd+rootrep+rad0	23	0	0	0
41	0	23	33	17	24	14	27	qgcd+rootrep+rad0	23	0	0	0
41	0	23	33	17	17	27	27	qgcd+rootrep	23	36	36	2
41	0	23	33	17	17	14	14	qgcd+rootrep	23	31	31	4
41	0	31	20	7	7	29	29	qgcd+rootrep	4	31	31	25
41	0	31	20	7	7	12	12	qgcd+rootrep	4	36	36	33
41	0	31	20	7	34	29	12	qgcd+rootrep+rad0	4	0	0	0
41	0	31	20	7	34	12	29	qgcd+rootrep+rad0	4	0	0	0
41	0	31	20	34	7	29	12	qgcd+rootrep+rad0	4	0	0	0
41	0	31	20	34	7	12	29	qgcd+rootrep+rad0	4	0	0	0
41	0	31	20	34	34	29	29	qgcd+rootrep	4	36	36	33
41	0	31	20	34	34	12	12	qgcd+rootrep	4	31	31	25
41	0	33	37	2	7	34	37	rootrep+rad0	23	16	0	0
41	0	33	37	2	34	7	37	rootrep+rad0	23	16	0	0
41	0	33	37	39	7	34	4	rootrep+rad0	23	16	0	0
41	0	33	37	39	34	7	4	rootrep+rad0	23	16	0	0
41	1	0	1	0	1	1	1	t0+qgcd+root0+rootrep+rad0	0	0	4	4
41	1	0	1	0	1	1	40	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	1	0	1	40	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	1	0	1	40	40	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	1	0	40	1	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	1	0	40	1	40	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	1	0	40	40	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	1	0	40	40	40	t0+qgcd+root0+rootrep+rad0	0	0	4	4
41	1	0	4	0	13	13	9	t0+qgcd+root0+rootrep+rad0	0	0	31	31
41	1	0	4	0	13	28	32	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	4	0	13	28	9	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	4	0	28	13	32	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	4	0	28	13	9	t0+qgcd+root0+rootrep+rad0	0	0	0	0
41	1	0	4	0	28	28	32	t0+qgcd+root0+rootrep+rad0	0	0	31	31
41	1	0	24	0	24	25	18	t0+qgcd+root0+rad0	0	0	16	37
41	1	0	24	0	17	16	23	t0+qgcd+root0+rad0	0	0	16	37
41	1	21	1	1	29	12	20	qrep+qgcd+rootrep+rad0	31	31	0	0
41	1	21	1	1	12	29	20	qrep+qgcd+rootrep+rad0	31	31	0	0
41	1	21	1	40	29	12	21	qrep+qgcd+rootrep+rad0	31	31	0	0
41	1	21	1	40	12	29	21	qrep+qgcd+rootrep+rad0	31	31	0	0
