u_num	u_den	t_num	t_den	w_num	w_den
-39364325	58978691	26951782	35537707	31879991	55148468
23086921	29847990	25724842	42131153	56398342	34128663
53842217	53635788	-10081357	61123781	-53330992	6332631
35438117	19055802	43126941	18952150	49609274	60038881
-8813519	48593991	18383651	29365684	31920889	44822532
42554369	26620018	5643924	35181361	14580137	10190985
5050903	8448576	6605027	628526	-52840216	60924027
-61735531	53123768	-21941777	6132943	-10408541	50619112
29058029	35629388	57502588	9466565	54864667	12869873
56336995	65921896	-60222305	60612041	-25254515	2024618
-31102929	16093639	-31859542	43612841	66234311	41146825
-45171841	59947229	8322743	53156149	-37523915	47997571
-38505467	22558139	-64312105	45821889	-21819083	49633462
-24252514	54316125	60672183	61480492	-27094925	32187192
-2351635	39503037	16522792	24906807	-50263642	37963649
-8200049	59364834	45723964	49763089	-20224061	60339159
-18485896	40628975	22187165	66287509	-18015569	44523295
26399659	13151390	30080479	26616453	-14334749	23762561
-47871109	7437852	10081357	56983460	-48157395	55549172
64639289	59454710	32329869	34173947	11471889	29175041
21778185	48947939	13066911	65782549	-38996243	9466437
-35969791	5613371	55150953	40644232	-3823963	38015425
16788629	670113	-59792876	4647133	-8833968	65793737
-32800196	60317619	35131382	5897743	35233627	30377766
48689069	31299893	-9713275	8642266	47993803	33668006
12862421	31017827	-30244071	25636964	-65825331	62554196
-47278088	7283261	-53883115	9333903	-1002001	64027890
-58709079	22148251	-47707517	24169830	-14457443	45491486
42227185	16669102	46910006	59638353	38260079	298434
-56234750	2365719	-17688385	26898108	-52860665	42344333
39895999	38888943	-55273647	61093679	48116497	26656181
-18383651	5047609	-36767302	54928629	-36583261	3984254
-8895315	26644364	-25990679	62325932	-48116497	26317177
33679503	36217540	-45069596	3199267	-39916448	23656769
-9161152	40835863	51286092	11651603	-21532797	7697411
-21082919	31069528	63719084	51476235	-51040704	62553449
41797756	8513543	1676818	42310001	-2637921	40560166
-5541679	20802027	60672183	51414263	-35601709	64083782
-5664373	65892862	38587263	24219301	14845974	14839769
2862860	4295783	10428990	37779509	-25929332	26414507
2433431	4348749	-20162714	15808495	-45110494	57370919
-63453247	27347273	66418352	36652309	-65825331	11566721
-46521475	19437771	-48627722	10466427	2351635	23878583
49936458	52403105	-51981358	11397235	-31021133	1170849
27340313	26084636	-60672183	6880156	48402783	37587413
51551929	25450264	55171402	1563715	16502343	28182355
12167155	3146578	63616839	57910783	-31286970	56409637
60467693	46682098	-62042266	59324709	64618840	3390603
59036263	28711225	7545681	755434	29282968	44118861
-61347	9589760	11267399	45861391	-3210493	10455352
-42533920	39329507	27994681	38726418	-33290972	53989599
-55314545	11798682	-37728405	8452712	52165399	13709136
-48300538	11643393	-16706833	40380286	30530357	1834104
-2883309	59732716	49016253	41166361	30121377	10610735
36787751	14223812	-59445243	20204713	-61551490	6112709
-36256077	15862799	-24968229	46518961	-14845974	34182281
41061592	11223393	50406785	7516807	-20060469	16208645
65375453	29202047	-26767741	31247603	-17013568	66596065
-63964472	38917687	29160274	8894187	3762616	24780975
44435677	27827531	-30775745	10391581	-10224500	63090787
59608835	38831854	756613	31948362	5909761	20812288
5255393	56137416	38546365	3999524	-51511031	22779973
-43576819	756593	-28608151	51967464	13557687	16097143
-18117814	53005035	-42472573	14127896	29773744	60124711
41940899	58790051	60140509	44804901	-47278088	971449
-7198048	42460267	21941777	22675990	-16175159	53551907
37237629	49639318	14252953	54405643	27381211	31839879
-40734408	48042347	58320548	18272301	28321865	25607511
-4355637	56439730	9488336	19638093	52635726	44559479
-28015130	23611261	-25499903	5495426	-23966228	27607603
53474135	21618081	34374769	39700042	-40468571	44413689
59322549	34316254	60672183	6610283	35029137	39584342
61347	13272598	-50324989	10046529	1410981	27229229
26685945	32406866	64434799	63875813	-3762616	39788913
24027575	64362361	-24681943	64116808	-41020694	22807305
-61980919	30818384	7382089	38831032	-14089361	37160122
31368766	65976843	-15929771	38529831	21042021	27457897
60160958	45345935	61878674	51818177	-26440557	17991367
-21471450	30730267	-19283407	13805257	-33515911	62079261
-21819083	11706247	-59445243	50391347	-66193413	21220759
-11574134	28570793	-25867985	16218996	-56091607	11818753
47339435	39082046	50079601	34263444	63780431	10766619
-43985799	21544232	2965105	58655006	-22800635	34370357
-17442997	17559271	-13639483	50082678	-8465886	21231907
59424794	23512559	-23455003	21912482	-17688385	46333253
23168717	11707870	33147829	55923357	-60958469	4422284
-20080918	35930105	-29160274	39825605	43188288	52439599
8077355	45205619	41940899	1623586	40775306	64698087
-1145144	55014117	-47666619	52822670	-21021572	43002369
59895121	20345453	-47503027	15138268	7116252	14932943
44026697	29002067	-8322743	63991410	37810201	42212075
-64250758	53891699	-60856224	41639497	-51020255	44949824
5398536	59520623	62226307	1772860	6891313	49386669
20633041	2059762	11267399	17903045	-25315862	57403369
-56152954	60128843	36767302	45962573	30019132	30325927
-29651050	11675819	58954467	39481711	42881553	38728571
-42697512	15057397	12862421	63298753	-13250952	24342313
-22268961	31275215	48382334	20141839	-41654613	956870
-5950659	26175499	-20224061	63509513	-44967351	22747678
-29548805	27573968	-13905320	12451657	64312105	45737444
-14580137	56685522	18383651	43682185	-44374330	25437337
-26706394	28426271	-17402099	32024193	-54271646	6264155
6523231	41154860	2821962	5657323	-24784188	34054619
56009811	54340739	6952660	13264289	49261641	16949099
-12576135	6060167	25724842	30769275	35847097	10103091
35315423	24041291	15929771	29727622	-9345193	66342121
16727282	2261635	-43126941	22151653	58974916	52615839
52022256	27659705	-21941777	13102233	60508591	6886760
43699513	43041566	21941777	66057581	7463885	28440661
-64843779	546206	27258517	22827897	-53515033	64946865
61367449	15984169	24313861	58492428	15582138	32519885
27565252	37156971	-38587263	44531984	-8200049	49248534
-21614593	53389759	-37687507	20773953	-34354320	3315161
21532797	51629882	20162714	57805223	20162714	6525045
25786189	36911612	41368327	49409982	-49854662	13407127
28240069	63160283	-29896438	53158725	38423671	66482633
-15438995	15158894	-55273647	40105237	12862421	17257202
-8077355	65006064	-14948219	36733382	20551245	52959899
-33311421	19905791	30591704	26860659	-9140703	46514164
21675940	48159961	18015569	27416419	41675062	12724897
-21737287	45439281	-65948025	28137017	-58422793	60364894
-26849537	42504356	55968913	66449049	13148707	3552019
1308736	18609171	10101806	42286537	36378771	4557208
-35417668	56238515	33802197	39198655	-3762616	35857429
1451879	14463452	48566375	48379571	-50693071	19180009
511225	41674306	48177844	58781623	21512348	42703071
-20346755	9277504	54476136	65306155	23373207	62123135
-60529040	63905359	42411226	14307487	51449684	44263455
-3905759	37016607	62226307	3491958	8220498	42862867
-53780870	13706261	-50999806	13458079	16461445	38788201
39241631	62415021	33025135	46788634	14375647	42280787
-60815326	52816919	58320548	6826505	-20510347	46866993
-44353881	61398877	-54782871	21385655	6461884	10773441
12780625	43266502	53883115	58147286	-36112934	42929611
-4355637	38946220	-53228747	36053359	-46603271	50993555
45887556	38637653	-29896438	21088051	52492583	10957403
-11839971	4871323	17402099	53333177	-21716838	45799271
-66070719	49786085	-18383651	41500474	5418985	35928
5316740	25375903	-53883115	39198067	-8363641	56869217
-30898439	57309971	49220743	61122723	2617472	59451485
-6973109	39979525	12044461	25787777	-40570816	23073053
17851977	499190	-6400537	54279671	-63862227	23476120
47053149	15657172	31021133	5532149	59465692	33427621
54762422	30413131	-25499903	34143449	-45417229	30656517
36419669	2423613	48811763	6062093	-20142265	31614991
-16584139	2770015	6952660	14628511	-41736409	48346468
-695266	38180673	-8936213	2804385	-37973793	37182551
64700636	3776427	11267399	35851476	10510786	47780243
-7709273	19723136	54557932	15380825	53515033	33127085
-50406785	13543771	-21553246	44191451	-50406785	51756212
-35192729	10319284	30939337	40995014	23332309	43601820
-63514594	8172513	-60222305	12103407	-1451879	34128966
-5337189	51324877	59445243	61141480	-6114251	19550892
-34497463	12467974	39732407	38171756	6277843	24147460
55028259	26453279	27278966	30430299	-6155149	60479644
38423671	20054733	59445243	50251874	-9263397	51683416
61735531	35267902	22534798	56687	-1819961	17796615
6461884	28037447	48443681	47968853	36256077	63230675
-2903758	18417449	14375647	42547528	-2412982	52751013
-35397219	36362146	24313861	53574115	15643485	60738266
-51347439	4353001	-12044461	36296063	36256077	61529540
-12576135	14257718	-42758859	45787087	45049147	4598677
-15336750	49853113	-14252953	22305053	42227185	32771184
-24211616	61588231	-15929771	66706988	47666619	53993899
-35887995	20015252	32534359	11167473	59118059	31217922
-49220743	62389841	-43126941	10792997	29180723	64614384
-10367643	24335326	24681943	48188885	-12739727	92142
16216057	17894224	43883554	56401331	-13762177	58329343
34211177	26391709	25867985	101537	-6850415	44575662
39078039	1344260	14252953	44683233	31389215	28410634
55600831	1379029	-28505906	7686641	-14641484	52204729
32779747	7395992	40570816	36813691	-9079356	45900499
-35519913	2280895	-10674378	23237897	-41552368	48674163
32084481	19086307	46910006	9600589	-16338751	64096363
50447683	65881033	24313861	29195013	-8424988	26341397
-8690825	10200603	51879113	18300654	46603271	22937021
-21328307	30507104	-12412543	40421110	-58259201	42753948
-64516595	44986728	44640167	61916487	-55968913	46328899
-47155394	14437167	-2535676	13299875	-25111372	13043801
-15725281	10009908	21941777	24984320	-53842217	4318154
-2842411	64644535	51981358	10088303	66234311	6855122
65211861	3656330	24313861	42337745	34252075	31145911
23373207	23273681	59792876	56426543	4519229	30930587
-16420547	14887819	28751294	36356759	20224061	11534188
-34620157	38276455	57850221	5313413	4192045	59907037
-64189411	39521489	15991118	17001551	2351635	52385798
-17361201	63166151	-43126941	27966073	35315423	33519890
-20960225	22001736	-21941777	10183737	-4682821	18617251
12862421	63240608	5705271	6638404	5296291	59530517
-39487019	34246422	-54557932	17581181	429429	54002122
-65130065	13769922	23455003	33585802	59220304	2796103
-62103613	61778870	39037141	29973154	37339874	3997287
-65416351	46197251	-24620596	22037173	-65477698	64151127
66234311	4782342	-46276087	27438668	-43004247	15620350
-28976233	49488367	-32534359	40864137	-38689508	45975925
-29794193	12985976	-24088922	66336323	-21553246	59025859
30837092	47630443	62553491	46590526	-18956223	56694262
34926892	42704735	-39527917	12508476	19896877	53584928
-20387653	59958282	-47564374	40212907	-48995804	22473999
327184	43292053	-11430991	20637722	66111617	30342798
30632602	14420823	-64312105	14758704	-64291656	57108641
65641290	36602597	17402099	60227105	36358322	64635657
-23536799	34486037	-15847975	21226461	-58954467	11097382
14927770	46668707	-8159151	65192126	-41920450	27559461
-16175159	58959112	-32329869	4908485	327184	4650475
54619279	48650389	-65825331	18989999	-25315862	63988269
49200294	5968057	-43086043	56833173	-16400098	14959693
-52104052	36906659	40448122	46611095	21082919	66659789
-55723525	28098002	15929771	13164102	-44967351	23749613
-15234505	14045116	26399659	51622305	-4212494	64836461
-5848414	46812459	56664179	23908735	20837531	2755516
-39936897	12080296	-43106492	63554765	-41450123	30929666
-49098049	41411943	-21941777	43135691	-48648171	15178153
42043144	10082827	-16338751	55126573	57932017	15678906
-20019571	27082083	-14948219	8979769	-2228941	20064358
-14682382	48018601	14825525	51858518	2065349	62625495
-40611714	44579393	-7995559	23548900	47339435	35502211
-18833529	10035137	-44681065	3989481	-52369889	42708685
44149391	57352136	2781064	21759721	49752417	46625075
17218058	46295751	54926014	60098679	-24395657	63831979
-41572817	38874586	-2331186	21588469	30305418	27953531
-18874427	32098137	-35581260	838241	6523231	49135858
18506345	43841371	-19815081	51681374	8813519	38194336
34068034	42316607	40325428	37900167	35622158	46221723
-36787751	66366161	11267399	53011902	-46316985	12947501
-8609029	30674653	38566814	655049	-65948025	49168261
-33965789	31703465	-54557932	45346325	2699268	31392637
-3946657	12477675	21941777	62172039	41981797	52929694
49956907	19486062	43883554	9103175	20673939	23676728
53515033	3469217	-5296291	54179733	-52288093	65885147
-56234750	48234847	1881308	45524669	35274525	9415162
65620841	58395215	-25499903	11855973	35110933	260765
-54578381	26734628	-7995559	66138197	-49016253	5600957
16338751	48797830	14252953	38408471	24722841	36028703
40059591	31016632	15847975	41425973	59118059	21854499
5950659	33188956	52799318	41070969	16461445	9883504
-20142265	53195683	22534798	62311661	2269839	8195060
27667497	4623497	-18383651	653595	-34558810	50272353
54292095	9111043	-22350757	64825052	-37851099	30805594
9058907	29614613	-43126941	51814825	-58381895	38997887
-63514594	26895711	3558126	52442837	57870670	59323747
-60897122	13066329	-20162714	31627363	55825770	42110273
59077161	2505286	-61899123	34694305	38812202	50303573
44619718	54812099	-46235189	66531649	41675062	7797379
-64046268	13035455	59895121	23612144	55355443	15969110
24518351	23110740	-45069596	64833771	-21778185	33864037
45744413	34932428	-38096487	41593009	46051148	31416973
-60467693	35293200	8936213	45286699	-45499025	51829159
41143388	10191013	39732407	34464280	47584823	615762
-57972915	60178394	59097610	11446091	-30469010	6932163
-46112495	29918826	-45069596	38376607	-64680187	48022096
-4232943	18897475	-8936213	39993680	18956223	24319153
11880869	35054267	-32534359	53259346	8384090	8188267
25622597	22716839	-41613715	9833442	-1635920	17876437
10940215	41863131	-36767302	39647293	59363447	23260849
13925769	50969653	-21553246	22425291	37135384	17759175
19999122	1980065	64046268	40197871	24109371	25062776
-34415667	11354087	-65293657	39455866	44885555	5976759
-23823085	9918396	5562128	52850857	-39037141	17931647
41756858	61998583	-60222305	14742463	50018254	31184447
54762422	10314697	14252953	46198156	57645731	62036110
-47850660	50627527	-26624598	47594737	-21716838	14462165
-17708834	3493753	33802197	10707791	49118498	64630301
-55150953	34881383	11267399	9577479	36767302	57230113
-48218742	36210463	42758859	24727253	-8731723	43560246
51081602	58005599	22555247	3951858	63003369	7164400
44108493	62374355	-26420108	20735315	-17995120	14379589
-64046268	41336213	5296291	42421387	-9835969	54087222
-60938020	23350117	-56930016	35663623	38137385	51267651
-4641923	7421391	27994681	9226942	-55069157	33307117
55928015	47120761	55150953	38112121	-40100489	15493839
961103	39155224	14375647	10118250	37646609	64591088
1860859	36708011	49159396	31883507	-55069157	46289561
-37646609	56294410	-7627477	18129096	-22350757	66142646
37523915	59537862	28505906	64610071	-46112495	24826899
37401221	32188383	54517034	18647269	-2044900	2939543
-3783065	49088106	-27258517	46372712	55232749	63764647
54701075	17771453	29160274	64641219	-61899123	17727839
-36746853	17509889	32534359	15520185	-53146951	39039036
29098927	45892434	61081163	43631854	6564129	62226491
-60017815	66531666	42799757	41717688	-15807077	42141146
8240947	63309585	12228502	51358575	-27258517	58498878
-18138263	5302105	58913569	53935109	26726843	52762570
44456126	55410019	-59895121	66256998	-11430991	59802763
52288093	54814191	-14252953	15058578	66193413	19092352
32166277	7303997	19283407	43671494	43576819	38593411
-6175598	43945375	-12862421	57995250	4355637	10737475
-52513032	29076947	14948219	55482303	55048708	57415323
-28240069	50484574	-32023134	42972049	-40264081	7476087
-57686629	9795090	-64659738	27143923	33720401	45752396
65825331	31083035	31859542	55606501	60099611	62063883
-184041	63232970	1779063	51500161	-3762616	9871561
62042266	54206733	-28505906	35365193	18915325	61535896
6645925	64300881	2269839	55534865	30571255	50275811
11492338	66034141	62860226	60455273	-62717083	66116125
-53596829	55578687	28751294	58314925	3701269	14618160
-6584578	11165093	-57850221	131918	55232749	41533994
38505467	20141378	-10081357	7052938	10081357	4034311
-55007810	8107591	245388	55368545	-11553685	30971683
6891313	60884829	40448122	17801675	10244949	3764236
44783310	35785027	46910006	40789427	-24048024	33425407
34906443	35718796	21941777	337121	36583261	13519582
-51490582	17729615	10081357	61851410	-24395657	31527982
-55048708	52932127	39732407	13507254	-10388092	11468101
33618156	34229749	29589703	27270616	64557493	8338030
15704832	43163993	-8936213	23344582	-51122500	33654721
46848659	469473	-46112495	49304521	57298098	54254639
-26154271	53303994	39037141	33556940	56909567	63981023
2392533	63709376	-48034701	5754292	-40898	4500943
-52308542	17160151	46235189	54082240	-9058907	64966470
-8077355	60186694	-38791753	29363077	-45989801	41161203
6523231	42243775	29794193	55330867	49793315	32670108
51245194	14099383	55150953	52051009	66295658	65341527
12617033	63508663	-2351635	19833002	-44026697	20364548
-63248757	41409457	-50406785	33993683	-23945779	2981566
65804882	46398557	63719084	15317033	16727282	1944747
48586824	29174905	28751294	66064997	31000684	47455329
36276526	51664931	33802197	51679451	-14661933	2122079
-49588825	36448227	-63269206	7812963	-49302539	35190640
55968913	30386560	-7995559	1235876	22105369	1703814
-66479699	31186960	63719084	62613467	7668375	52316512
46194291	2810840	-43270084	37040803	-14498341	30331373
38730406	23102069	-17402099	7949377	-35294974	63327457
-15275403	30129104	66050270	8351757	18015569	33832672
25806638	5813395	-35438117	28487730	13864422	21620809
-44640167	36535496	48361885	38575236	-12841972	28690677
64393901	44994722	-16461445	53033859	-14866423	850274
-48280089	6108119	-8547682	32316249	-7586579	24185170
-17729283	4866332	-54230748	62234969	-47094047	5770992
-49711519	39412146	34988239	39270551	5787067	55708759
-58872671	43419210	-63964472	32010669	13353197	5709571
63698635	61711781	-31982236	29650311	-38873549	64079764
43106492	52898787	38566814	38971467	-27892436	44597101
-55682627	23227107	6605027	47771025	59077161	9821678
5827965	29180869	-47789313	58539560	-28362763	1530730
-56521036	46500635	15991118	31284259	7259395	23143687
-511225	64316502	58320548	5754061	-59036263	37493769
-29058029	45113093	-2719717	10650462	63371451	5559758
-6523231	32806386	-21451001	29495041	-32779747	57640876
20960225	1800924	48198293	41783250	-2760615	62611183
-54721524	26350301	45069596	63988215	28567253	21662038
-64066717	55384709	-31021133	7497614	-61878674	9811865
-7750171	54423856	-58054711	52657356	-57195853	51625326
38382773	33593334	-24088922	16012327	38198732	19516335
27994681	52339785	-31062031	17061488	-29855540	47284189
52901563	45976171	27278966	55251005	66725087	14402640
15909322	15219371	26031577	54727864	-8486335	64964298
49997805	32142403	36133383	34504355	43270084	19596349
5378087	17671044	44844657	15632762	37626160	11039123
28914886	3000973	-50406785	37851614	-17402099	16087928
-5459883	2634107	-25990679	18570185	61755980	57155281
18444998	19863773	-43106492	12948729	36112934	12243147
66479699	35459570	11819522	39966259	49711519	55640912
31430113	49339145	-43597268	8599625	20264959	14828053
-49425233	30463910	50406785	27429003	2085798	29586163
36194730	35429923	-57850221	29213398	43760860	37620291
63146512	49121263	40325428	66558709	35663056	54875451
-15275403	40247836	63698635	1538444	54619279	65358572
-60467693	11000103	-25724842	63913571	46153393	19777280
-43699513	43853135	-19815081	42881647	45314984	50051003
-49302539	47877634	-29896438	2007305	23802636	36906281
17034017	25339774	-38587263	18513082	-35806199	54838666
-25540801	23366102	-35744852	6808343	30387214	48864011
13066911	58377106	55968913	17242551	53024257	55165419
14252953	44136636	-10081357	10854995	34415667	25506796
41082041	59202657	38566814	63574059	52553930	60685967
20469449	58238465	-43597268	42782241	-53085604	7343943
-33659054	40479371	3026452	63717593	44762861	50613185
37523915	47532037	-756613	50539348	46092046	64459751
-23046023	53222760	47625721	57849078	33924891	19454077
3414983	33256934	50999806	34499709	19119815	59277627
34027136	38251487	-7995559	37449389	-62062715	14544347
-66561495	15596297	-21553246	59294627	-122694	17183965
-58218303	60221071	54332993	32743629	-61817327	62773327
37074037	40412864	32329869	32360995	-19119815	1249711
41695511	14680461	-56336995	11044622	50038703	22506524
-2249390	22848861	-25499903	30802498	25090923	20353007
21737287	824647	-36174281	51861049	-39159835	45514906
-34374769	13131199	-23720840	43990657	3783065	49519083
19262958	51390011	-10081357	37891962	30244071	24538940
-56255199	3709289	18383651	33448574	59731529	15583569
2740166	26144375	-48627722	23924289	25418107	66041795
-61612837	16788029	19283407	47149781	30530357	62557372
-1329185	65342774	-8936213	38658709	46173842	41940633
-23270962	54703159	46235189	55080665	-48545926	42420581
66581944	11653419	-53719523	11839369	-59772427	36429983
-981552	6260447	23455003	39955092	-50529479	30849919
64761983	17368522	8936213	11033163	-65252759	5233505
-36399220	54074027	17402099	25253042	2106247	15556287
3823963	45871558	-47973354	56421005	24641045	54116619
38505467	46267861	-59772427	53989483	-58913569	63899512
10163153	43227227	-50406785	1826112	48259640	56506503
-7218497	33719234	52492583	52140065	49036702	62411715
-27054027	49137358	-65825331	43565419	35847097	18574806
1145144	51483469	-19119815	23805011	-16175159	13311692
28812641	37996473	65845780	39159859	-49486580	46625141
9488336	32804579	15929771	16686619	-53964911	61489020
50999806	62830747	62042266	31462615	32288971	23251416
40264081	28755256	38587263	10983085	21900879	46127372
45171841	20119414	10776623	59329399	-66602393	27371397
-31511909	12411745	63964472	34709013	31511909	30563069
-66602393	3827656	30775745	25576556	66520597	31790776
-35928893	38494719	57379894	14100985	-61162959	8648953
23782187	22493733	5909761	53915414	-38382773	50546146
36031138	63520617	48914008	50039923	43699513	38228686
37707956	30696047	32534359	51010493	52288093	26185193
11533236	41108579	4703270	41291817	15888873	25664332
51920011	26015608	-33025135	3348623	756613	14454333
-26256516	21182477	10081357	22210459	47932456	31562161
14396096	16406749	2781064	57166205	-42677063	33674815
2269839	60250082	59302100	35084667	37994242	5094387
37442119	37906705	62798879	18704632	-37830650	21047757
48116497	22354986	10776623	5814586	31246072	51749449
-5623475	66243292	-14948219	20748594	41613715	20915104
-24129820	36951019	53883115	49331547	-35560811	409977
-55396341	64110916	18669937	22048159	-37626160	32766819
-47134945	56524444	-50202295	26686303	-41818205	14169277
50693071	14622323	-63964472	42610905	-34068034	1755469
-10817521	17823359	36051587	28238946	-58913569	27791271
35029137	20570909	34395218	28387369	-35601709	38957214
40264081	30035833	-24313861	65642545	-44231187	66481003
-57523037	16305001	8363641	30613642	-58013813	20042357
-49916009	42164274	46582822	34585747	-39527917	8217195
9856418	14945451	12862421	28065296	47748415	54685998
26522353	15012017	63964472	56548905	-30632602	22208499
-40509469	5430630	-22534798	33162945	-7484334	21186587
33066033	65655584	6052904	58657377	7136701	57826958
-10204051	23863116	-2535676	41368945	-57379894	19546713
-37278527	32152544	18383651	7598403	-61735531	42912
-32329869	4326808	-27892436	4965971	-55989362	58365377
18056467	18338635	55028259	53294812	39650611	3682015
44640167	21058333	52840216	56483731	51020255	5814301
-11062909	21238598	13639483	9806734	12617033	58952051
-21614593	65267262	-61612837	32595658	8752172	39863663
-42779308	18335341	-59792876	60511145	25397658	28055189
-3476330	3244609	42513471	54120772	12024012	8601937
-3149146	40433049	-1513226	42539877	-51879113	29959362
-64925575	63370471	-25724842	20905981	-30080479	50279249
56500587	34686877	20224061	28482057	-9938214	17864621
-28853539	11624433	18015569	35149416	19549244	21589713
19712836	16855799	9835969	36879556	-46664618	10724443
-18056467	66048783	-51981358	10762913	25172719	30669352
59363447	23866044	-13639483	3775654	22105369	56925357
50631724	65308459	12044461	56715411	5848414	35308131
15357199	45028226	39037141	16612036	-12841972	28246169
-3394534	50034229	23455003	872739	32534359	21588603
37810201	42937819	7709273	4927203	25172719	10424539
-12085359	14080648	-46316985	34991482	-38178283	34597158
-62389899	36116749	48627722	49459611	-42104491	60272319
-21859981	23730471	-39630162	45836699	-41163837	25169647
-51388337	14627773	4171596	41303737	-56377893	62600726
58709079	16480093	53883115	8788888	52001807	61383342
-44619718	44786561	-40918449	3297628	22309859	5912424
-62267205	25071884	-14375647	43497561	34988239	49335089
29078478	19942397	38096487	30361499	44190289	54176801
60058713	61826420	-40918449	61765342	1410981	16189114
-32452563	40077790	61203857	1649092	54067156	30657195
-26154271	46425268	55334994	66075257	-37810201	56709673
58136507	43086397	-41818205	64895126	49179845	121262
-37585262	32279839	-31430113	21733456	66152515	7919448
-16440996	24062377	34988239	23217702	-30898439	36653856
10449439	10293923	-25867985	24293317	-30284969	55637383
38485018	44393267	-34088483	58256415	28689947	57667733
-4130698	5505805	25724842	21256487	-30264520	20417693
-39650611	32493829	27463007	21286962	-26276965	9314242
-49425233	1326762	-32677502	36792049	-7566130	62081187
21082919	47368242	-24088922	62554819	18036018	18549437
-62451246	64109143	41327429	29061803	46153393	65948138
-35294974	49189555	10081357	16921638	-44865106	55868745
17504344	27661923	-41082041	35193108	30162275	42615178
-66070719	21892094	60835775	51378363	-5562128	46634361
