u_num	u_den	t_num	t_den	w_num	w_den
-129914	57743	-75429	97772	79308	38023
-17247	20294	62192	32179	-70028	211977
176758	126167	178126	176269	245181	150577
-163549	77668	-220545	194261	-60923	18925
24456	195995	212723	27479	71941	37424
213771	252683	192508	198975	-11201	81161
-165747	98833	-45853	104684	219975	109856
31754	258473	112723	165514	-172981	256287
-89185	102437	-253667	51940	125757	172742
115375	72978	-198679	194188	-32500	72467
227956	259319	147368	178513	142184	106945
33437	226581	-57460	170569	35971	221586
-47521	105874	151931	171801	-47514	201431
97142	213007	-83317	58868	-3975	19507
127257	227353	-135677	55557	109159	90667
214123	214000	-133229	224734	49524	10337
-250937	244097	-178959	172540	-181251	178358
195310	55609	-82472	158001	166641	55691
121521	157096	-178959	243788	-188686	12303
-211930	96909	112723	47737	12013	102035
49952	49921	150858	131783	-170471	176950
-179165	58056	30566	36625	-2434	99685
139488	141737	-94656	81611	-43178	176531
133592	121035	116705	120702	-123542	190103
-246407	113279	158669	16897	6196	70133
-29377	239290	-230347	28273	-65772	105671
49703	184320	226228	174701	-119862	133007
-167377	139481	-260710	231471	-12137	36259
201241	137928	242420	56319	121991	50918
105777	8198	-44919	66784	-255369	192383
-238696	38287	3887	234710	-75008	148183
-63874	49553	-81282	230215	173245	245877
-71363	112831	218348	20541	138254	36129
211105	71692	-184041	17222	-175881	27815
151443	112238	-247342	260571	114641	142492
-145461	36254	151931	73629	-127361	100972
-197623	243537	-178126	46547	-641	211678
-138253	207962	11569	76842	64104	33895
-20458	198647	-122406	195037	1526	121599
89900	147733	-220224	214343	-152270	260717
-126835	119148	-130975	261213	207149	177873
-60706	200791	166634	17995	50763	184708
232360	153317	-151931	91470	-160651	49342
-237189	208825	198911	42395	-151425	73864
40598	5007	-148614	215701	158480	168627
132683	146864	-42398	143987	116783	137812
212678	249175	153845	56018	-150255	134209
-256670	57809	-163229	47990	-13843	165859
-143458	236281	94829	181556	201691	87257
3217	22224	-249951	234725	225446	121351
-58712	192199	-108054	190691	-63029	36189
-17905	30882	112723	132789	137669	194287
-34744	175951	-210059	137704	104298	59887
-216008	220057	-136803	255785	-47034	236957
206450	248397	-70414	89139	-38327	110322
-165431	86627	37352	6949	246190	37123
169006	221469	-221464	80207	-34387	27138
-233913	14648	-14858	216077	-86711	260037
-28735	84296	112723	147894	36579	201275
-153131	37590	-46475	31154	-153043	207832
-28948	204007	-36673	234723	94286	203495
-17731	157578	260797	32795	-97849	165455
-56187	118435	-73853	235636	-247560	122839
-187697	67385	92597	153863	-247810	249471
141887	12071	-240994	42969	-135681	162926
219635	243091	-98239	130060	-187395	201247
-216668	98799	171235	250207	-14745	211777
-242738	118603	259198	255135	-12197	236526
-159084	217457	176494	7373	-16595	204768
180694	79481	246721	104180	-99194	11467
65627	37061	-178126	214323	256587	123839
-19978	140485	-233985	74534	185135	137416
69650	107309	-97682	59841	151604	142887
-105637	79714	-49589	73992	175858	124249
33249	14546	-66079	249913	127279	175963
-65084	89665	-102245	185162	-141397	257353
227939	55945	-109021	136223	-1117	92135
210236	246269	-141797	217842	-166550	46837
-216247	19224	-29481	67172	63728	175129
-139972	194885	204085	166371	63911	208581
-119813	4171	39208	37897	-125041	153856
42474	205147	177973	72944	215044	245343
-118334	201865	-147136	80547	231269	238490
259023	171364	215992	43781	170644	130315
-60069	89183	78416	169659	-69550	8643
130097	35868	-28985	38239	-152471	113963
78151	159746	-120497	93539	196322	160313
-39992	48225	40641	65414	182683	33951
43346	85741	-193749	101720	-68921	156118
71025	22772	225446	209097	-87143	218733
-123436	59883	-83317	48913	248698	144921
108557	80855	63365	196177	-249163	43001
10543	149000	-158631	17491	97500	239341
-234452	96289	-225446	241253	-179438	237001
-76391	16633	37360	136651	-120651	200258
26401	206633	49657	83626	54629	61524
92132	94203	-186961	247541	-236003	60773
68760	90461	83661	197062	-224132	163973
138454	73299	-14858	144335	160429	24649
134791	85907	127224	184157	193920	248917
178589	139470	-2436	109271	-194267	216993
34277	144554	-99541	48379	2126	94795
-96294	54323	171028	104495	-239151	23141
31818	248819	-174179	153282	-63641	140941
-81577	82079	229333	158511	33350	168379
146777	229887	-191301	43744	-204797	60193
-259361	187047	66079	129114	92333	170091
29626	188567	43741	67763	-32013	143252
-29739	47722	215441	194567	120244	217467
161615	86271	116436	211781	131287	160917
41978	246439	-27830	198771	38065	162828
218877	13714	167040	197167	-75413	211703
124499	135914	222952	192623	213217	199046
111759	121943	143888	155117	133911	99971
232667	6896	46835	258254	9389	169996
-190427	203842	163761	82520	255700	246409
177842	14425	-147706	15935	162027	40879
98949	220469	140777	103578	-100469	18171
-74596	166767	199709	138961	-157902	140753
-100349	61040	83317	28076	111475	144154
-184859	244736	108708	102913	-29398	20161
56966	22047	-14858	127209	-158561	105542
-138173	20806	-199082	240275	-197143	113785
87105	222472	96007	151949	203539	12058
-244919	79265	-210743	252887	117734	159785
29229	221326	20677	245944	-187366	103491
221801	699	35836	200839	-215379	30089
-242280	151513	197055	149561	88763	195387
102677	144996	-90712	91369	179928	153619
165244	9235	126730	75759	66075	73504
-218271	102526	244528	122137	-201133	242196
-21948	122069	-181815	55168	251173	242826
113993	224742	6479	246875	-98604	211345
231931	13589	130355	113422	155489	47594
-52390	53433	86273	177434	241637	173925
85007	23603	-137547	146977	-183985	99791
124843	149255	30566	171837	-229039	91955
186766	58445	-191835	228451	114184	20555
248165	153418	-190037	21016	-249493	182911
-138972	212581	83317	243324	-189298	150105
