u_num	u_den	t_num	t_den	w_num	w_den
3267	243458	-83732	70405	260634	39775
73326	139277	61347	70025	-847	83361
-27409	64672	31097	183270	-76411	215562
-11195	256578	-224939	72594	-84468	55771
78335	148999	-38115	222179	-204219	39475
-48845	163873	142780	136613	73314	253339
-13004	235167	-224939	72594	71406	245959
-225936	233017	-175900	170431	-260162	213897
217471	152736	-123949	162957	122394	247517
-221415	225922	85852	74941	177107	139851
-50228	136161	-42592	154929	132930	47323
-216050	208421	40898	20951	-4491	227518
-216050	208421	40898	20951	62828	235975
-73390	201121	-126929	82492	-77800	58867
166663	172860	69817	107707	-31381	113518
-219337	186591	-54087	72412	-125289	257168
-254190	36701	-40656	82861	-212000	239797
-21963	15170	-79618	207153	-242140	177977
-126989	234725	34001	223901	82062	50653
246872	58451	-57967	75938	-149570	203811
-177673	131425	-57967	75938	-208211	62197
-21963	15170	259823	12083	-18424	187087
-52434	80969	-222874	241203	21468	257965
-224047	120013	39201	127727	203719	182040
58895	56499	-57967	75938	-131683	109199
58895	56499	-57967	75938	-149570	203811
-102299	101566	57059	130943	51121	84542
-2291	178235	-58195	207798	47573	30340
231163	116143	-224385	21976	-167129	201823
-213857	47601	-26364	15503	-160657	88167
-192370	67281	114751	205167	-221899	59297
-100212	48757	-126186	42283	8083	130462
-239136	44881	-86359	116563	-69886	251507
-219337	186591	38959	193320	103335	85183
175953	98771	-86359	116563	247096	12691
126193	124809	207245	181589	233049	134791
186657	208895	-194519	146587	258887	21349
76672	182881	220714	7955	-26478	193447
-40295	83066	220714	7955	-253991	177024
-191603	145306	80942	251859	252431	31347
-247165	36249	250889	165885	-18178	194299
-224047	120013	-202229	89691	203719	182040
112781	157030	-257515	195392	126177	177082
231163	116143	219839	58952	-260649	166181
-156005	144949	72584	168387	240083	180689
59305	165804	219959	133644	-27751	166945
-170032	178801	-58147	233877	-137065	157338
172927	189551	33177	171011	124681	25799
-199553	135635	-177388	221519	-3430	51291
65975	225612	58154	107543	132431	168683
-21963	15170	-235327	98661	-100553	243509
200885	244759	64629	192844	-118399	84255
231163	116143	-207986	226607	-120369	219644
159355	254523	-82641	225631	-1396	12341
96823	113897	123708	160027	256211	65231
215702	101781	-121802	103563	152159	96760
159355	254523	-141791	209574	-1396	12341
-90207	64417	-97487	107953	226161	67682
251575	149076	143988	128957	199675	83509
213663	144559	-238121	227642	58496	200455
-189158	116847	220157	63640	-50302	98031
42920	85871	62697	129806	92155	53243
-170432	43665	209035	209711	178331	145410
-45913	96363	258812	175195	149793	204836
-20761	227402	-226223	216111	-135681	16760
-21963	15170	255076	75687	175563	135220
124149	259697	169927	58867	162447	84173
-213857	47601	196538	15651	-39143	131686
209477	47499	-140958	259333	41512	217395
-100212	48757	-73035	51307	8083	130462
-219337	186591	-24238	178527	103335	85183
-21963	15170	234737	7729	-168505	104133
-109243	208125	-214485	87118	64756	11111
-224047	120013	-7401	168574	225792	9553
-83723	169009	236262	160691	-190613	44731
245591	141409	-25224	217967	71501	171555
141549	197497	236262	160691	28801	146550
141549	197497	236262	160691	-173384	212049
141549	197497	236262	160691	230986	81051
141549	197497	236262	160691	-67395	21833
141549	197497	236262	160691	96196	124717
-21963	15170	252873	133343	-225152	212821
132783	115627	-210229	48339	-254797	240167
-184549	32301	245884	93439	113653	184029
131729	241869	10001	216193	205621	109177
127430	161267	4729	42312	68108	193769
-18096	194279	146858	48803	-259207	79335
64228	173599	-159856	204795	-106882	43731
-58783	247844	205949	30874	-112139	181582
-188236	19733	-38932	61705	-49455	10471
-219337	186591	-143207	69728	-214978	220203
69563	198316	179071	246542	-218881	95571
160254	91549	-27910	146329	-56065	244792
-258866	74333	-184041	85793	-131371	169076
30593	252765	-224939	72594	-22313	235726
-88450	59387	-260029	183803	-167159	20979
-176017	245928	127655	23329	234097	229104
-253591	12347	-153428	28527	-124475	120827
246643	3034	-61347	64564	-228630	181757
51245	156901	-213278	52761	196276	198727
-224062	212845	-213278	52761	196276	198727
180085	157138	-213278	52761	196276	198727
-22897	119131	-213278	52761	-109179	165314
27463	165866	136381	225922	-172005	147518
19444	75303	-213278	52761	196276	198727
146706	147655	-138252	119473	227002	188641
-102309	144074	-213278	52761	196276	198727
-82865	219377	-213278	52761	196276	198727
40971	75809	-228826	21133	139595	246827
-121753	68771	-213278	52761	196276	198727
-85423	159285	-64129	249012	206232	17759
-107909	245199	-184379	199137	-224144	251065
-238757	50912	-184379	199137	48867	204268
73845	87974	-150101	164761	117472	35905
59711	48339	18421	70864	-82565	20453
67889	106893	130311	17372	-18608	220621
81399	104755	-60649	249824	153095	236543
-51939	68843	177687	56252	-34577	157361
221299	203278	-86693	59764	121732	20253
92269	56109	-134143	8425	-139966	195693
148161	67118	58154	107543	147667	12387
-219338	17673	124046	22237	193444	106395
103187	192167	-166954	187713	61961	66179
233150	159039	-148441	82806	42219	71251
103187	192167	190129	55091	-147989	103970
183506	220113	152607	96589	233748	250715
-252840	79991	222235	82741	141671	14319
166431	121471	227527	3117	-144359	124485
-250119	259228	256373	222741	-167560	259161
49927	28208	181168	33309	49682	192733
-37671	19352	-135369	241303	227174	64457
246815	103329	179356	69987	-98015	51097
103187	192167	-4639	33818	160972	125689
81399	104755	210844	60579	200802	204203
-173124	925	-22815	137638	171993	245057
-235364	92537	-46137	73366	219	249916
-259144	222333	-27609	115538	2689	175569
-154373	79550	257049	173431	-121013	179457
49927	28208	-238290	93251	241518	61531
135943	15621	168493	168825	38569	205239
131441	106487	-203917	258956	-177690	105737
26762	151919	-43237	119597	-106368	100751
69121	187997	-164802	141685	-37951	178760
65915	79171	-224939	72594	-84468	55771
-85334	185115	-40898	20325	-154459	143116
-12948	65231	78529	133533	-25493	42954
-225678	104821	-110836	86387	-236253	41546
204399	81920	-116402	50389	145561	229104
197027	115208	-189063	65231	79171	117114
40787	166981	-86359	116563	228978	244369
-189955	198986	-183703	178965	-114451	94729
193212	173935	205495	154179	-42393	6437
-111767	255592	103161	186851	-190296	71299
-59233	10085	207245	181589	-133810	90243
255124	4773	181699	22966	-188599	40978
13195	239871	-60056	56631	5213	184787
94399	37524	4629	165686	38911	192167
203242	98829	-239396	93869	29354	22837
-12948	65231	-188084	223543	-62075	67129
-34141	58671	24674	162325	31821	129785
-12948	65231	189709	236604	-21034	222757
-47489	81875	-197398	214385	111878	248583
-85334	185115	258063	9740	-154459	143116
194619	115669	-240332	154327	-48689	25338
43645	235656	5501	3034	228777	200638
239221	217752	204824	162319	-189319	14557
29638	71595	175207	193481	-48689	25338
-12948	65231	221161	146101	-25493	42954
126266	125689	-148213	131503	-67933	12095
61857	193288	-103259	97739	-8267	240998
56383	164354	-138053	13899	110689	49063
-154867	10371	219193	227235	-42564	65231
21349	182800	185838	115415	-19449	44548
-146314	111499	-109173	236804	-253867	50912
42413	214987	68659	218202	196319	190920
26787	65998	-200099	174236	247993	189625
-37595	76282	194195	119843	-95548	153523
71685	3478	52529	152870	-198439	227427
-12948	65231	108173	69467	165191	21370
188619	94136	13389	189218	156855	68542
-15602	164839	236262	160691	-53639	92988
108228	203237	236262	160691	-200465	76338
108228	203237	236262	160691	-1237	198001
-37091	236488	236262	160691	-175994	79113
226519	198235	-86021	258491	-186902	97051
28069	17097	-25224	217967	-129401	57844
-67512	228739	236262	160691	-197810	114989
253547	169986	236262	160691	-29168	95763
129717	131588	236262	160691	227159	223901
99879	223081	150313	33411	-228363	57986
152250	209309	179677	119146	256040	250709
-12948	65231	-26637	97670	-227266	45759
-117019	142803	233727	39272	-210097	228993
