u	t	w	u0	t0	w0
0	0	0	0	0	0
0	7	10	0	7	10
0	7	23	0	7	10
0	7	36	0	7	10
0	7	49	0	7	10
0	7	62	0	7	10
0	7	75	0	7	10
0	7	88	0	7	10
0	7	101	0	7	10
0	7	114	0	7	10
0	7	127	0	7	10
0	7	140	0	7	10
0	7	153	0	7	10
0	7	166	0	7	10
0	13	0	0	0	0
0	20	10	0	7	10
0	20	23	0	7	10
0	20	36	0	7	10
0	20	49	0	7	10
0	20	62	0	7	10
0	20	75	0	7	10
0	20	88	0	7	10
0	20	101	0	7	10
0	20	114	0	7	10
0	20	127	0	7	10
0	20	140	0	7	10
0	20	153	0	7	10
0	20	166	0	7	10
0	26	0	0	0	0
0	33	10	0	7	10
0	33	23	0	7	10
0	33	36	0	7	10
0	33	49	0	7	10
0	33	62	0	7	10
0	33	75	0	7	10
0	33	88	0	7	10
0	33	101	0	7	10
0	33	114	0	7	10
0	33	127	0	7	10
0	33	140	0	7	10
0	33	153	0	7	10
0	33	166	0	7	10
0	39	0	0	0	0
0	46	10	0	7	10
0	46	23	0	7	10
0	46	36	0	7	10
0	46	49	0	7	10
0	46	62	0	7	10
0	46	75	0	7	10
0	46	88	0	7	10
0	46	101	0	7	10
0	46	114	0	7	10
0	46	127	0	7	10
0	46	140	0	7	10
0	46	153	0	7	10
0	46	166	0	7	10
0	52	0	0	0	0
0	59	10	0	7	10
0	59	23	0	7	10
0	59	36	0	7	10
0	59	49	0	7	10
0	59	62	0	7	10
0	59	75	0	7	10
0	59	88	0	7	10
0	59	101	0	7	10
0	59	114	0	7	10
0	59	127	0	7	10
0	59	140	0	7	10
0	59	153	0	7	10
0	59	166	0	7	10
0	65	0	0	0	0
0	72	10	0	7	10
0	72	23	0	7	10
0	72	36	0	7	10
0	72	49	0	7	10
0	72	62	0	7	10
0	72	75	0	7	10
0	72	88	0	7	10
0	72	101	0	7	10
0	72	114	0	7	10
0	72	127	0	7	10
0	72	140	0	7	10
0	72	153	0	7	10
0	72	166	0	7	10
0	75	0	0	10	0
0	78	0	0	0	0
0	85	10	0	7	10
0	85	23	0	7	10
0	85	36	0	7	10
0	85	49	0	7	10
0	85	62	0	7	10
0	85	75	0	7	10
0	85	88	0	7	10
0	85	101	0	7	10
0	85	114	0	7	10
0	85	127	0	7	10
0	85	140	0	7	10
0	85	153	0	7	10
0	85	166	0	7	10
0	91	0	0	0	0
0	98	10	0	7	10
0	98	23	0	7	10
0	98	36	0	7	10
0	98	49	0	7	10
0	98	62	0	7	10
0	98	75	0	7	10
0	98	88	0	7	10
0	98	101	0	7	10
0	98	114	0	7	10
0	98	127	0	7	10
0	98	140	0	7	10
0	98	153	0	7	10
0	98	166	0	7	10
0	104	0	0	0	0
0	111	10	0	7	10
0	111	23	0	7	10
0	111	36	0	7	10
0	111	49	0	7	10
0	111	62	0	7	10
0	111	75	0	7	10
0	111	88	0	7	10
0	111	101	0	7	10
0	111	114	0	7	10
0	111	127	0	7	10
0	111	140	0	7	10
0	111	153	0	7	10
0	111	166	0	7	10
