p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
31	4	15	18	1	30	15	4	19	3	4	1
31	4	15	18	2	30	4	15	19	3	4	1
31	4	15	18	3	30	19	15	4	3	4	1
31	4	15	18	1	1	16	27	12	3	4	1
31	4	15	18	2	1	27	16	12	3	4	1
31	4	15	18	3	1	12	16	27	3	4	1
31	6	17	22	1	2	24	22	5	3	4	1
31	6	17	22	2	2	22	24	5	3	4	1
31	6	17	22	3	2	5	24	22	3	4	1
31	6	17	22	1	29	7	9	26	3	4	1
31	6	17	22	2	29	9	7	26	3	4	1
31	6	17	22	3	29	26	7	9	3	4	1
31	7	23	24	1	16	28	14	19	3	4	1
31	7	23	24	2	16	14	28	19	3	4	1
31	7	23	24	3	16	19	28	14	3	4	1
31	7	23	24	1	15	3	17	12	3	4	1
31	7	23	24	2	15	17	3	12	3	4	1
31	7	23	24	3	15	12	3	17	3	4	1
31	16	12	15	1	21	15	7	5	3	4	1
31	16	12	15	2	21	7	15	5	3	4	1
31	16	12	15	3	21	5	15	7	3	4	1
31	16	12	15	1	10	16	24	26	3	4	1
31	16	12	15	2	10	24	16	26	3	4	1
31	16	12	15	3	10	26	16	24	3	4	1
31	18	23	28	1	30	8	21	7	3	4	1
31	18	23	28	2	30	21	8	7	3	4	1
31	18	23	28	3	30	7	8	21	3	4	1
31	18	23	28	1	1	23	10	24	3	4	1
31	18	23	28	2	1	10	23	24	3	4	1
31	18	23	28	3	1	24	23	10	3	4	1
31	24	16	26	1	30	15	28	5	3	4	1
31	24	16	26	2	30	28	15	5	3	4	1
31	24	16	26	3	30	5	15	28	3	4	1
31	24	16	26	1	1	16	3	26	3	4	1
31	24	16	26	2	1	3	16	26	3	4	1
31	24	16	26	3	1	26	16	3	3	4	1
31	25	29	10	1	8	10	18	9	3	4	1
31	25	29	10	2	8	18	10	9	3	4	1
31	25	29	10	3	8	9	10	18	3	4	1
31	25	29	10	1	23	21	13	22	3	4	1
31	25	29	10	2	23	13	21	22	3	4	1
31	25	29	10	3	23	22	21	13	3	4	1
31	28	12	19	1	10	3	22	5	3	4	1
31	28	12	19	2	10	22	3	5	3	4	1
31	28	12	19	3	10	5	3	22	3	4	1
31	28	12	19	1	21	28	9	26	3	4	1
31	28	12	19	2	21	9	28	26	3	4	1
31	28	12	19	3	21	26	28	9	3	4	1
