u_num	u_den	t_num	t_den	w_num	w_den
-101994257	174257088	-259625655	362918552	-122299767	251735975
-49206835	433646808	-350542168	100758833	-97471112	389289793
25547155	116738676	296276301	421924645	-354336830	166429737
241198952	429565569	-215149907	331679576	333660266	399378777
-317178555	47937733	441016179	254105561	381790181	152099637
-274567687	164810861	424008920	281739571	-66587051	244120847
-238648933	429445174	289248579	136978048	327060275	213921716
-43254863	271927185	-102476801	277823787	-172526111	372845923
-404072842	279720461	-189248342	149759757	92808580	445362449
-444479656	172192291	-27791293	103562515	145984297	48130932
-417032719	24624764	-385638531	267154708	166502087	233948810
397591736	49476733	59237043	301389623	362741851	197840908
169513010	438147599	377443405	308224511	-29677205	424117471
-373734065	217397078	123986201	56467291	196965627	136387756
-180429583	206902728	-141173272	260278699	-203082999	104766055
-251438280	214027733	325012162	323762691	288673698	16928819
-229199557	157987268	231287205	15277556	106087027	188803822
21088702	185159075	-230841515	199713499	418213548	118562615
-81238555	382943731	-346509675	12080291	131617261	158779395
-300438663	31265870	-321631735	304949841	-58485617	267656964
181370929	135715897	-296122721	328780927	228549745	378651894
299273811	196448123	370534621	406635171	365837627	206544249
-152001666	265895269	160298973	39779471	30196025	143549987
352525827	52858799	262764785	85949002	-122910705	10317466
-349947796	33931731	306958729	425026215	350168918	49249405
191933291	191559205	-362592109	374579063	276943106	320070313
-212066217	83575058	260076311	98033387	-291114747	369479905
-349947796	33931731	145314466	272564441	350168918	49249405
-64221289	364445468	-334665551	329657494	-110626307	18855900
-349947796	33931731	-180998213	265497861	350168918	49249405
-349947796	33931731	309982882	127169247	350168918	49249405
-349947796	33931731	-125436707	150842359	350168918	49249405
346097202	118407595	90103860	277550579	-348686547	205460348
355684395	86747461	-38368253	90857237	87917148	38446069
-349947796	33931731	-299701391	348442022	350168918	49249405
-349947796	33931731	-133178287	318026213	350168918	49249405
428453366	315200299	398325103	389781670	-105842814	372983843
-349947796	33931731	19877759	423406800	350168918	49249405
441321507	55270993	-396839465	115868832	-170427653	173799508
-349947796	33931731	75439265	308751298	350168918	49249405
57120943	95404745	328842789	361166176	419927596	150541267
-349947796	33931731	-317724462	40014607	350168918	49249405
441321507	55270993	-278922908	439073387	-170427653	173799508
330085569	194463749	39290152	286171923	23841235	143540627
79640396	356011077	-421274326	256186621	-378574878	175734181
-349947796	33931731	192287755	110827752	350168918	49249405
-349947796	33931731	188416965	194419679	350168918	49249405
44846934	438553261	46844303	149195036	-49553735	103212129
-349947796	33931731	219060457	152785657	350168918	49249405
-349947796	33931731	-325466042	207198461	350168918	49249405
-64553907	199780279	197280578	402208401	162997043	85316645
-349947796	33931731	68867150	63098799	350168918	49249405
-349947796	33931731	-278492753	45461772	350168918	49249405
-349947796	33931731	381712771	205961775	350168918	49249405
-389898476	23375343	-11255541	420424414	412602740	70560807
-349947796	33931731	380704720	305247431	350168918	49249405
-349947796	33931731	-381027548	321853963	350168918	49249405
-349947796	33931731	213173565	434948896	350168918	49249405
321193642	243758357	422319161	5960293	-177628363	384062451
-349947796	33931731	349214591	132616412	350168918	49249405
-349947796	33931731	137572886	439748295	350168918	49249405
441321507	55270993	125751065	125844101	-170427653	173799508
-349947796	33931731	150193307	89686858	350168918	49249405
230488093	179994431	-419337479	360171727	-237022060	112713059
-349947796	33931731	98341177	434301130	350168918	49249405
-212066217	83575058	171715577	192786872	-291114747	369479905
-349947796	33931731	356794757	278983255	350168918	49249405
-349947796	33931731	-121565917	67250432	350168918	49249405
-349947796	33931731	100357279	235729818	350168918	49249405
-349947796	33931731	-290105123	296237553	350168918	49249405
-349947796	33931731	-3870790	83591927	350168918	49249405
-349947796	33931731	-97817368	407065305	350168918	49249405
-349947796	33931731	256437478	43253437	350168918	49249405
-349947796	33931731	270751173	121722082	350168918	49249405
-349947796	33931731	369253764	242472515	350168918	49249405
-349947796	33931731	184546175	278011606	350168918	49249405
-349947796	33931731	-306273506	102789523	350168918	49249405
-349947796	33931731	50521251	381772778	350168918	49249405
-349947796	33931731	337602221	383392193	350168918	49249405
-349947796	33931731	400743893	415103534	350168918	49249405
-349947796	33931731	427678009	143510742	350168918	49249405
-134984894	306562151	-403018451	3982458	-74221279	111048500
-238481969	256487182	-174754855	362378802	-120105568	80600711
-64553907	199780279	371450519	71362427	162997043	85316645
-349947796	33931731	-5886892	282163239	350168918	49249405
-246763418	271077715	-414880202	203402681	403090446	242753189
-349947796	33931731	81326157	26588059	350168918	49249405
-349947796	33931731	-58585659	412512470	350168918	49249405
-349947796	33931731	419089792	96429555	350168918	49249405
-349947796	33931731	287927607	215884456	350168918	49249405
-349947796	33931731	23748549	339814873	350168918	49249405
-349947796	33931731	-324619405	421463502	350168918	49249405
-82367395	334899179	-164070071	209091923	-358893986	49084755
79640396	356011077	348175927	431420147	-378574878	175734181
-442203850	434442513	283900727	30236955	-120224753	401278070
-349947796	33931731	-403929460	196304131	350168918	49249405
-349947796	33931731	-372439331	368935150	350168918	49249405
-64221289	364445468	-236881095	366027754	-110626307	18855900
324011765	292221883	-187309573	145558999	424520030	98408533
-349947796	33931731	74592628	94486257	350168918	49249405
-349947796	33931731	-362681649	3179984	350168918	49249405
-349947796	33931731	113824337	99933422	350168918	49249405
79640396	356011077	21892409	323576885	-378574878	175734181
-349947796	33931731	144306415	371850097	350168918	49249405
37692875	149418417	-361344115	217909724	129661543	404441548
-988636	176777401	-411205069	444566895	-333072707	296115884
372005117	190120786	336224757	415849388	364406867	311783460
-248455570	119714031	-427965868	344045795	-355101725	249282613
-349947796	33931731	-46973289	161736689	350168918	49249405
57120943	95404745	-51077851	11421974	419927596	150541267
153252704	193796373	538813	278322584	-273052714	306014447
-349947796	33931731	66851048	261670111	350168918	49249405
-424561786	329017333	266288693	410003882	428716310	437622453
-349947796	33931731	-205916227	338519341	350168918	49249405
-349947796	33931731	-12459007	36510740	350168918	49249405
-349947796	33931731	180675385	361603533	350168918	49249405
-238481969	256487182	-22074030	414922351	-120105568	80600711
414934267	101976801	196111960	245543803	-187103026	201626151
-171512330	68827483	374951049	162708388	164782519	64393657
413513639	368180003	410588453	419250215	-290689795	355134584
191933291	191559205	-238006637	174708957	276943106	320070313
-349947796	33931731	-331191520	175811003	350168918	49249405
195262991	322361918	-389506139	238442101	110387211	147435121
-349947796	33931731	-30804906	355184719	350168918	49249405
-249121422	115597879	287566785	402896627	-246371851	217588484
287700050	282652287	289287647	372866874	-198573705	224929897
-30923717	330916304	-343847031	434150312	380653537	133722880
-349947796	33931731	156765422	335339357	350168918	49249405
424344646	442851081	293358571	54344475	-85029241	115873130
-349947796	33931731	337763635	69841496	350168918	49249405
-349947796	33931731	-343650527	212321743	350168918	49249405
-346662811	178633954	-217808228	158964913	-51209499	177760394
-349947796	33931731	419936429	310694596	350168918	49249405
-349947796	33931731	-387599663	76201464	350168918	49249405
79640396	356011077	333362381	102826201	-378574878	175734181
-349947796	33931731	-207770915	223539956	350168918	49249405
-349947796	33931731	-156080199	192476381	350168918	49249405
346097202	118407595	369604543	276028843	-348686547	205460348
178398517	31946119	-170303507	5440036	350593507	24898034
230488093	179994431	-230400335	409689567	-237022060	112713059
-349947796	33931731	-106244171	46433421	350168918	49249405
367872472	145002555	423390495	28049959	-51452225	293702434
-349947796	33931731	425661907	342082054	350168918	49249405
79640396	356011077	-297148291	295373579	-378574878	175734181
-349947796	33931731	-437435691	222244424	350168918	49249405
-182851757	106408300	47762693	169288549	-285953976	182871005
287700050	282652287	-333376417	38083465	-198573705	224929897
-349947796	33931731	-54714869	328920543	350168918	49249405
79640396	356011077	-293526882	335193557	-378574878	175734181
407801867	97294939	304407081	377839190	-302641207	136214906
-349947796	33931731	-439290379	107265039	350168918	49249405
-238481969	256487182	-405799757	29355713	-120105568	80600711
-349947796	33931731	-131162185	119454901	350168918	49249405
-349947796	33931731	-282363543	129053699	350168918	49249405
369736620	271151201	198380347	409688031	197938213	1000223
230488093	179994431	-159548906	428258757	-237022060	112713059
-349947796	33931731	-43263913	391695459	350168918	49249405
-349947796	33931731	345343801	216208339	350168918	49249405
-64553907	199780279	121340252	122668187	162997043	85316645
-349947796	33931731	319417736	388515475	350168918	49249405
57120943	95404745	-116506786	243403945	419927596	150541267
-349947796	33931731	423807219	227102669	350168918	49249405
-112237279	30441232	269981734	155152815	26599551	278161603
191933291	191559205	-402556231	24451606	276943106	320070313
-349947796	33931731	119388401	444871577	350168918	49249405
-349947796	33931731	-211641705	307131883	350168918	49249405
-82367395	334899179	311733873	427506754	-358893986	49084755
-349947796	33931731	-82334208	72697597	350168918	49249405
191933291	191559205	266806452	400449755	276943106	320070313
346097202	118407595	-374855459	200641713	-348686547	205460348
-349947796	33931731	-193457220	302008601	350168918	49249405
-349947796	33931731	-93785164	9922681	350168918	49249405
-349947796	33931731	302241302	294353101	350168918	49249405
-349947796	33931731	-239261044	50908937	350168918	49249405
313658026	285254589	353335730	377151949	163570220	260156777
4975179	118951984	-20371318	357880021	249857135	21496173
385067749	318930308	-69344979	31691731	-257998983	314370241
422750922	395619049	-171995208	56807099	-352998624	157946771
-238481969	256487182	-353557039	216342073	-120105568	80600711
-349947796	33931731	-443161169	190856966	350168918	49249405
-326384861	327172415	-436629710	15128819	68044592	74842849
-349947796	33931731	59109468	428853965	350168918	49249405
287700050	282652287	-44088770	410950339	-198573705	224929897
7461047	16917375	366462173	231161895	-271869939	390079345
-246763418	271077715	156237983	249572945	403090446	242753189
-349947796	33931731	-293975913	379829480	350168918	49249405
-349947796	33931731	-230834241	411540821	350168918	49249405
-349947796	33931731	-405945562	394875443	350168918	49249405
-349947796	33931731	-118703178	82944161	350168918	49249405
-82367395	334899179	-177494053	151219316	-358893986	49084755
279012580	329547299	62194	391183943	119523679	410693188
-67873311	107530249	441197581	240104561	51995273	354606931
-349947796	33931731	-160797626	61803267	350168918	49249405
191933291	191559205	39964122	350127457	276943106	320070313
441321507	55270993	117916557	323204555	-170427653	173799508
-349947796	33931731	175111321	16665378	350168918	49249405
-349947796	33931731	266880383	205314009	350168918	49249405
-349947796	33931731	56408143	99609539	350168918	49249405
-246763418	271077715	137140553	140327994	403090446	242753189
367872472	145002555	35010987	316974079	-51452225	293702434
-349947796	33931731	-90075788	239881451	350168918	49249405
44846934	438553261	-126104143	149219890	-49553735	103212129
385067749	318930308	318954427	226346539	-257998983	314370241
-349947796	33931731	-43102499	78144762	350168918	49249405
445723855	332774248	-243087697	89142012	-407158140	225618859
-43622971	37881581	-71786492	296544021	79363714	28496401
-361822009	270266076	149405310	328307623	-179664346	392825129
94606631	6635502	381116343	297473081	432089591	182947249
-423530413	83976239	300228939	376363477	-404623135	72816407
158993863	272884069	383160927	217530464	-260889427	68537949
113317496	140939509	-174375895	182493768	104527999	77526467
116529184	284584119	119947517	100011259	131279011	241107751
-262059888	166274311	112219801	202770397	231927114	152641873
16149253	224522933	-383210543	394375790	76742261	310400770
-424139047	428791489	319191087	392771761	101470493	203831900
370988050	56700403	-444109063	396862555	170691024	42659311
315521073	286800841	-265685031	211795340	-170607929	148724793
318102049	38677081	-380023255	418946856	362342416	309879959
-213672838	244885989	-199581849	62940589	-438262365	301645126
-192757751	165350595	-123651782	382361117	-220433372	254087619
95786777	424198956	-33570028	121796877	-202897349	134912619
-269654914	341770591	20521844	120548075	-287011525	374775014
296688966	91466183	-14827928	184488103	-8230689	329897111
-37036306	121442621	150149563	252731802	373707218	386585249
243096168	140979343	-89652364	210313559	-171187376	271904157
-197241263	445106522	336698709	319875256	-105024027	168685603
312166131	373158220	-405021764	218420435	-58597573	48863805
-419168929	72451689	28847119	61286817	216651845	87440768
190984372	220800623	-389316025	334366521	256063825	88018936
-49693269	213773167	-151970188	1450337	359619125	315029322
-156681040	210011717	126833533	409755686	-383031359	268392571
285539697	251009702	126288809	17623563	274611339	322572545
353289397	227962952	-33224913	283554643	-432761821	58802246
-115645787	271705796	-64172092	274379603	-292778735	55473656
397157945	136018808	434991877	260342032	-233491604	437871021
-62697087	20962672	-437911865	426334769	-79846289	316060179
-161906884	85890135	377754411	44345108	182765996	229740439
320077031	159848125	198870561	130356650	-231758266	176276917
-278588732	290573183	331605425	307581666	-152225833	434227806
-197836805	395543068	194469585	27735311	130087644	290932087
-192082743	152079734	-79349093	268204601	27564059	151726855
353399742	163379753	-243452492	35172999	6584926	272674395
-110107455	224446432	277592113	152266655	181801745	390083184
170392319	285984396	-199591298	385565925	-251603711	66699948
62828222	116419189	57173178	352376345	-301865164	107820797
-237983584	124710621	-377285990	440075671	6770139	203450938
-288992615	248673747	22054827	376707104	-309240759	36072743
201999926	185931899	-277011023	156604873	116773460	3272169
-144241948	248181405	-432830185	430734588	84775675	442961447
-180952866	310758463	-184628030	368290331	410962285	68934737
-396611335	367415557	39812040	174270787	-362578195	280763363
-286836963	231288380	423431941	206262013	-72108878	363157581
-67052237	381593094	-331207189	259164727	-389025070	50600027
359853471	105992950	280634483	208527634	-56840162	43720473
292634897	386363179	98151211	298608759	-438950443	402616310
333727189	73708867	-409829587	400243097	-61197979	88682590
165369687	140759726	262626745	316132181	-14120176	154371045
371456621	76073450	349378769	339480365	4143593	139406594
-407297841	39214237	221836636	103366863	205497469	11089231
14696881	68924485	-2370699	405923744	229829029	411553218
265292087	296081746	-270969995	384205046	288689262	336382207
-253373693	153343429	-13902071	170194638	401245722	398094215
-371520595	258909424	-250191939	173982527	375988489	52641460
-145976066	54397119	-390110257	262267433	-125708002	104980845
-8409043	306307096	-158806526	420893159	-156227982	390228529
-346567963	21652363	31799905	340116197	244561175	155500993
421272442	185925775	78951501	115731263	-265596373	28128769
79257041	69926853	-387436384	237985349	429880395	197945782
16448394	81932495	-222151582	419683585	166677109	140101869
147737049	158623921	440502977	329235125	384667735	420654552
-77326499	298800049	-394016955	48416402	234265255	205828487
-11745377	325177901	-19000673	171534775	-427879897	179790396
-69969532	161584559	100400629	360129732	-182545325	339762737
-323933486	172350715	347180294	30896575	63935049	203866892
