u	t	w	source
521	11306	7116	target_22224_direct_contact_deep13_padic_tangent_p11
521	25947	94962	target_22224_direct_contact_deep13_padic_tangent_p11
521	40588	21757	target_22224_direct_contact_deep13_padic_tangent_p11
521	55229	109603	target_22224_direct_contact_deep13_padic_tangent_p11
521	69870	36398	target_22224_direct_contact_deep13_padic_tangent_p11
521	84511	124244	target_22224_direct_contact_deep13_padic_tangent_p11
521	99152	51039	target_22224_direct_contact_deep13_padic_tangent_p11
521	113793	138885	target_22224_direct_contact_deep13_padic_tangent_p11
521	128434	65680	target_22224_direct_contact_deep13_padic_tangent_p11
521	143075	153526	target_22224_direct_contact_deep13_padic_tangent_p11
521	157716	80321	target_22224_direct_contact_deep13_padic_tangent_p11
2083	2781	58365	target_22224_direct_contact_deep13_padic_tangent_p11
2083	17422	146211	target_22224_direct_contact_deep13_padic_tangent_p11
2083	32063	73006	target_22224_direct_contact_deep13_padic_tangent_p11
2083	46704	160852	target_22224_direct_contact_deep13_padic_tangent_p11
2083	61345	87647	target_22224_direct_contact_deep13_padic_tangent_p11
2083	75986	14442	target_22224_direct_contact_deep13_padic_tangent_p11
2083	90627	102288	target_22224_direct_contact_deep13_padic_tangent_p11
2083	105268	29083	target_22224_direct_contact_deep13_padic_tangent_p11
2083	119909	116929	target_22224_direct_contact_deep13_padic_tangent_p11
2083	134550	43724	target_22224_direct_contact_deep13_padic_tangent_p11
2083	149191	131570	target_22224_direct_contact_deep13_padic_tangent_p11
5185	10965	120911	target_22224_direct_contact_deep13_padic_tangent_p11
5185	25606	47706	target_22224_direct_contact_deep13_padic_tangent_p11
5185	40247	135552	target_22224_direct_contact_deep13_padic_tangent_p11
5185	54888	62347	target_22224_direct_contact_deep13_padic_tangent_p11
5185	69529	150193	target_22224_direct_contact_deep13_padic_tangent_p11
5185	84170	76988	target_22224_direct_contact_deep13_padic_tangent_p11
5185	98811	3783	target_22224_direct_contact_deep13_padic_tangent_p11
5185	113452	91629	target_22224_direct_contact_deep13_padic_tangent_p11
5185	128093	18424	target_22224_direct_contact_deep13_padic_tangent_p11
5185	142734	106270	target_22224_direct_contact_deep13_padic_tangent_p11
5185	157375	33065	target_22224_direct_contact_deep13_padic_tangent_p11
5720	242	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	1089	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	1573	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	2420	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	2904	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	3751	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	4235	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	5082	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	5566	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	6413	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	6897	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	7744	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	8228	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	9075	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	9559	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	10406	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	10890	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	11737	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	12221	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	13068	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	13552	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	14399	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	14883	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	15730	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	16214	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	17061	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	17545	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	18392	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	18876	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	19723	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	20207	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	21054	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	21538	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	22385	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	22869	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	23716	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	24200	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	25047	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	25531	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	26378	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	26862	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	27709	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	28193	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	29040	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	29524	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	30371	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	30855	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	31702	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	32186	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	33033	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	33517	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	34364	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	34848	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	35695	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	36179	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	37026	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	37510	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	38357	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	38841	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	39688	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	40172	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	41019	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	41503	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	42350	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	42834	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	43681	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	44165	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	45012	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	45496	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	46343	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	46827	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	47674	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	48158	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	49005	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	49489	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	50336	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	50820	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	51667	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	52151	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	52998	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	53482	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	54329	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	54813	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	55660	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	56144	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	56991	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	57475	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	58322	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	58806	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	59653	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	60137	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	60984	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	61468	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	62315	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	62799	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	63646	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	64130	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	64977	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	65461	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	66308	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	66792	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	67639	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	68123	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	68970	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	69454	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	70301	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	70785	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	71632	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	72116	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	72963	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	73447	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	74294	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	74778	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	75625	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	76109	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	76956	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	77440	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	78287	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	78771	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	79618	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	80102	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	80949	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	81433	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
