u_num	u_den	t_num	t_den	w_num	w_den
-101994257	174257088	-259625655	362918552	-122299767	251735975
-49206835	433646808	-350542168	100758833	-97471112	389289793
25547155	116738676	296276301	421924645	-354336830	166429737
241198952	429565569	-215149907	331679576	333660266	399378777
-317178555	47937733	441016179	254105561	381790181	152099637
-274567687	164810861	424008920	281739571	-66587051	244120847
-238648933	429445174	289248579	136978048	327060275	213921716
-43254863	271927185	-102476801	277823787	-172526111	372845923
-404072842	279720461	-189248342	149759757	92808580	445362449
-444479656	172192291	-27791293	103562515	145984297	48130932
-417032719	24624764	-385638531	267154708	166502087	233948810
397591736	49476733	59237043	301389623	362741851	197840908
169513010	438147599	377443405	308224511	-29677205	424117471
-373734065	217397078	123986201	56467291	196965627	136387756
-180429583	206902728	-141173272	260278699	-203082999	104766055
-251438280	214027733	325012162	323762691	288673698	16928819
-229199557	157987268	231287205	15277556	106087027	188803822
21088702	185159075	-230841515	199713499	418213548	118562615
-81238555	382943731	-346509675	12080291	131617261	158779395
-300438663	31265870	-321631735	304949841	-58485617	267656964
181370929	135715897	-296122721	328780927	228549745	378651894
299273811	196448123	370534621	406635171	365837627	206544249
-152001666	265895269	160298973	39779471	30196025	143549987
352525827	52858799	262764785	85949002	-122910705	10317466
445723855	332774248	-243087697	89142012	-407158140	225618859
-43622971	37881581	-71786492	296544021	79363714	28496401
-361822009	270266076	149405310	328307623	-179664346	392825129
94606631	6635502	381116343	297473081	432089591	182947249
-423530413	83976239	300228939	376363477	-404623135	72816407
158993863	272884069	383160927	217530464	-260889427	68537949
113317496	140939509	-174375895	182493768	104527999	77526467
116529184	284584119	119947517	100011259	131279011	241107751
-262059888	166274311	112219801	202770397	231927114	152641873
16149253	224522933	-383210543	394375790	76742261	310400770
-424139047	428791489	319191087	392771761	101470493	203831900
370988050	56700403	-444109063	396862555	170691024	42659311
315521073	286800841	-265685031	211795340	-170607929	148724793
318102049	38677081	-380023255	418946856	362342416	309879959
-213672838	244885989	-199581849	62940589	-438262365	301645126
-192757751	165350595	-123651782	382361117	-220433372	254087619
95786777	424198956	-33570028	121796877	-202897349	134912619
-269654914	341770591	20521844	120548075	-287011525	374775014
296688966	91466183	-14827928	184488103	-8230689	329897111
-37036306	121442621	150149563	252731802	373707218	386585249
243096168	140979343	-89652364	210313559	-171187376	271904157
-197241263	445106522	336698709	319875256	-105024027	168685603
312166131	373158220	-405021764	218420435	-58597573	48863805
-419168929	72451689	28847119	61286817	216651845	87440768
190984372	220800623	-389316025	334366521	256063825	88018936
-49693269	213773167	-151970188	1450337	359619125	315029322
-156681040	210011717	126833533	409755686	-383031359	268392571
285539697	251009702	126288809	17623563	274611339	322572545
353289397	227962952	-33224913	283554643	-432761821	58802246
-115645787	271705796	-64172092	274379603	-292778735	55473656
397157945	136018808	434991877	260342032	-233491604	437871021
-62697087	20962672	-437911865	426334769	-79846289	316060179
-161906884	85890135	377754411	44345108	182765996	229740439
320077031	159848125	198870561	130356650	-231758266	176276917
-278588732	290573183	331605425	307581666	-152225833	434227806
-197836805	395543068	194469585	27735311	130087644	290932087
-192082743	152079734	-79349093	268204601	27564059	151726855
353399742	163379753	-243452492	35172999	6584926	272674395
-110107455	224446432	277592113	152266655	181801745	390083184
170392319	285984396	-199591298	385565925	-251603711	66699948
62828222	116419189	57173178	352376345	-301865164	107820797
-237983584	124710621	-377285990	440075671	6770139	203450938
-288992615	248673747	22054827	376707104	-309240759	36072743
201999926	185931899	-277011023	156604873	116773460	3272169
-144241948	248181405	-432830185	430734588	84775675	442961447
-180952866	310758463	-184628030	368290331	410962285	68934737
-396611335	367415557	39812040	174270787	-362578195	280763363
-286836963	231288380	423431941	206262013	-72108878	363157581
-67052237	381593094	-331207189	259164727	-389025070	50600027
359853471	105992950	280634483	208527634	-56840162	43720473
292634897	386363179	98151211	298608759	-438950443	402616310
333727189	73708867	-409829587	400243097	-61197979	88682590
165369687	140759726	262626745	316132181	-14120176	154371045
371456621	76073450	349378769	339480365	4143593	139406594
-407297841	39214237	221836636	103366863	205497469	11089231
14696881	68924485	-2370699	405923744	229829029	411553218
265292087	296081746	-270969995	384205046	288689262	336382207
-253373693	153343429	-13902071	170194638	401245722	398094215
-371520595	258909424	-250191939	173982527	375988489	52641460
-145976066	54397119	-390110257	262267433	-125708002	104980845
-8409043	306307096	-158806526	420893159	-156227982	390228529
-346567963	21652363	31799905	340116197	244561175	155500993
421272442	185925775	78951501	115731263	-265596373	28128769
79257041	69926853	-387436384	237985349	429880395	197945782
16448394	81932495	-222151582	419683585	166677109	140101869
147737049	158623921	440502977	329235125	384667735	420654552
-77326499	298800049	-394016955	48416402	234265255	205828487
-11745377	325177901	-19000673	171534775	-427879897	179790396
-69969532	161584559	100400629	360129732	-182545325	339762737
-323933486	172350715	347180294	30896575	63935049	203866892
-54202595	18753318	-261522823	104749849	90896613	57885889
-141681037	166424018	383219038	54452715	164504435	137173106
296868853	271706057	50332803	286958747	258120131	201045554
228622051	438139311	-421356857	45353175	-91588331	286930676
433571449	85970773	-21441360	316345109	-340378534	87829083
-361947635	274794934	-227046353	84523013	8264921	357707411
-408090465	375442589	-56875175	200863044	-124442403	146515058
-65787236	428696659	-429024095	11994364	-358448617	72799000
-138725183	267525799	377485360	420594653	-358069150	56397439
-150817388	271362477	43379924	14974171	141316482	187806499
-416670844	326877277	-290181293	171609474	140628404	6815717
353202517	328280317	195158498	22063945	154937768	395109719
109340411	226432372	-428775381	127482548	-318771405	266664328
173029957	345825604	132579695	369473673	-293532478	354298799
212597985	144591476	390015723	332019722	443852681	394006979
-110549046	257569765	-326852756	356161547	-130403818	199656221
49002587	34247124	-386409367	121468937	52595617	253714365
166674529	437416823	-167144191	418163270	239617827	389936780
-138001691	189374880	-2900991	12323473	258232906	86727259
277387179	227706862	176094982	261074183	-441037042	15118241
-322054030	308847547	425118700	219028389	-11639281	347241383
-129792239	282752950	-439791331	423107284	357904133	190212161
-379843168	198641913	52649693	46221732	-402149184	324289787
268341003	70731803	-345568636	75510361	292564483	309899753
-304753193	315370647	103470379	402354397	254261797	285256237
152886050	104486409	204671663	423627513	137999841	76631246
-239530355	139991561	-135188682	30201953	324838563	128944250
114196092	254759689	90276458	304701569	-345358489	404454053
435522661	66935534	198027787	52811654	214890857	253083859
79326252	313116467	-384071739	256594556	-359264211	166826713
-217025255	406211246	249355033	312116231	-338757407	245798178
-348441259	254849229	-80562828	179891489	312758637	443879366
-112588089	73996808	-244359083	167862118	-394961803	125710238
3279581	96969193	270817315	67829834	-24473369	189185070
334431509	201548978	61987285	138733646	-176546446	316544887
167590739	248379683	12917119	87732169	-316038693	341347570
431210007	136006004	166842462	329392445	-251817517	264446474
242967563	263571273	-127105085	376776019	-435120221	372252042
-406508337	38498426	-240523209	404486276	-96919747	199405405
246586913	350222205	276235901	436135240	53430306	351140399
429161059	6780842	-49790571	184753462	15430462	38036567
-104415457	63950460	-31908685	36406483	98925974	238208989
402208561	198946626	-321603597	34013989	-300002849	446237850
-4551878	86670757	9865197	67639885	1182849	52949614
-387149748	257681843	-255242602	371225893	-341739599	329460728
-443699987	214664127	-11450183	141703093	90531269	131460556
-338647261	71855180	-90874941	134712464	102910811	372541826
-243148325	208923423	161260389	30055364	-268103437	35274104
-250692995	384714937	367677181	205824018	7817473	6369920
381257374	117663071	-95037707	132545823	-31825610	34228593
-101520426	6001381	-104253239	74384619	-116503615	24782304
332703548	399617243	401854903	204081477	27810443	426679153
406786851	331357570	64821019	182138974	211728443	175994772
381285185	75946493	-373482861	205556254	389352934	101027649
238285941	151574828	107085372	196504595	352412677	319043713
8948167	406812254	-92707540	421902009	124635856	265714071
-217141415	247209623	91201496	404837757	70721962	15331071
-317297666	155537887	297274603	408761139	-61343428	292044811
417526701	351715160	69192529	202718819	-21052641	264886880
337378225	292770832	-365162714	22013961	-283445153	321441089
411542675	364516123	143938073	157340698	33227752	417615707
-54128999	10829959	-407633711	89180207	-149659904	247491187
398147931	211451596	-103843209	338399626	-273680799	208159904
178404747	9321632	-43401932	80724975	244018413	311303365
277674937	361031311	-197541788	8435979	443610758	253572905
18890851	149564286	242435551	408636181	140713739	120828025
46689039	306285334	-99547354	303275431	-233399861	232518090
278308443	441285665	267514331	344539736	300719855	287104349
-1012071	64736569	147970348	193185455	-47108240	334642289
-74314668	184064213	-128328644	391750339	-293752541	393072740
-369193443	339919945	225224453	152713356	205651184	280130101
-201587457	167267195	-276516782	430158197	165937307	113654665
229679993	392900718	155093689	182246255	-299712053	262165808
-170104505	377236764	-396930494	208271021	-301143748	59435875
-250254253	375560065	260024157	327681020	-121360699	96033870
347928985	385635791	5300745	408096574	122461419	67367803
296737773	120851176	-6000281	371236960	-187689181	443650436
-149463084	360669251	414924571	128662949	-14778515	123422776
276897481	359900110	19732871	10289442	360438632	336951105
95494968	10536385	-138120636	308556949	-435425813	86982267
408075441	367894726	-230916093	278795402	-392825713	26608180
245031899	311507026	-135188682	30201953	-354174806	418241105
415356349	388615384	-336437176	264234871	283605811	14715113
-420558551	203011131	18464365	3306624	-415833112	343097559
-241088069	121807691	-203450877	125170063	88711514	298798939
-181933888	74437263	114280971	177010811	61087523	292227813
378856470	97431101	113123323	349779323	-393865891	60322164
-328388994	234714769	417307661	178836399	426085703	377324927
-358538179	421777689	-304435916	443706551	402367792	189941541
-176116544	135264627	113710955	96147576	-125683581	387470623
154624201	390159425	-42245261	189149550	316792318	254132883
-49877738	118742135	-106459759	38339141	-304431671	191531466
-62729419	189014756	95553114	411104855	322331248	125440175
-12974259	67230457	-166215262	271681269	-370673167	320043335
-30427583	21932177	-351974027	202992107	-160407017	317542831
-383681036	102483969	139238909	398234344	-57778007	398348732
-368328362	334664169	245345431	223080918	-304553043	107766299
1037997	297013696	149405310	328307623	371971839	236199967
80584172	446526921	-42886182	293984239	33973778	313953769
-433670729	367317278	261884981	285594691	-84485251	343441058
-19196005	189089834	-441628309	168044047	-344346759	403742293
-415087005	357878171	-197194769	180096126	238283973	413789548
-108340209	154340266	-139147753	402046033	271403936	412462665
108909181	180501639	99857125	417463489	13948650	17774833
292310045	68117031	322464907	163560559	280300010	370204647
32335174	90179175	-294264853	191849291	-412281581	352152886
13323151	235018890	-196221738	124786903	65707960	96413461
-51309086	118623	-195514635	284269517	-55657713	375906532
269294225	128772749	-235967366	288628971	-219940690	380400231
30557275	82657886	-108098985	405919522	125977941	36721871
-45399773	284029501	121777163	161542820	398633090	318815631
-70957437	435405814	-404609753	181507644	-43665052	378629385
29264596	126553949	342950563	286298238	-73126057	334092026
126505656	341785307	-341264842	34109375	-10389914	418019125
-31632591	399147218	-389195187	32609641	78384162	252709667
-442518776	72353557	431092594	184296927	-325842734	59512549
-320163596	14606379	-348768679	372983075	152312159	188010461
-290682823	340301010	-125719093	134316993	-346081927	83966524
145648981	291418857	-384044099	349593612	416529832	11505369
-153718766	267573011	432362413	375595149	-137439338	353749949
110142522	170406815	-243189867	199591165	-317304241	432525523
425898381	57318656	158175808	19414973	71811827	436559729
372568887	405050233	40436287	269172854	-351839143	301548727
-33590743	103932095	-184389765	255549739	-84001277	443962186
-308995812	98677853	-304240291	416727362	280480441	142212654
310155513	74264698	209596744	61130259	-398994733	195239786
136550096	37384845	424698737	342273310	-240377530	408762087
310155513	74264698	-369423283	411909288	-226388419	19784967
63484615	240910922	140434143	302124431	-315521757	268825723
-202380813	267634838	-393564156	306749177	408520857	229446209
228240933	129237781	-68672951	294057349	326776393	252847696
243198051	161007497	-135188682	30201953	-147537171	276733513
41105006	308419817	-339564383	352988473	355534655	280983414
-131794852	323934165	5303963	259596461	320455123	28079855
-252812844	91912343	386249023	12651900	-309240759	36072743
388345459	113272873	326130590	399050127	-391119783	319182335
314113993	189649522	-13420016	361511719	-330483189	164715103
244634783	292047065	174353437	277907259	102650924	92587471
13765537	408541753	-283703263	51203123	413624047	104299601
-301026692	283370827	219205765	77079707	-269414715	54305689
271832817	118186231	-322503900	306553909	-443943609	375229007
282292085	198794117	-120883313	191843108	287471517	217915981
224279998	212720785	-229023937	324765633	-56859098	394977109
13765537	408541753	378858418	59594643	257936816	152816637
-63657730	417081279	-38389697	85648054	359097522	430600409
-200548763	391935487	225726516	441714007	-186009669	400282508
-424650898	178104231	207000142	367100675	240355227	310123603
64186715	185156243	-176442693	255127256	-280554203	83394559
-180696748	342711333	282580607	351069416	-436344635	47926396
-147860444	264586095	-386061178	350107135	-34010467	431653658
-85632824	401490655	-49592687	366582310	65696955	202286398
374084195	86119091	73831881	1035913	-140811156	311037685
-385029375	364433461	-106339619	417897013	204919662	334343843
287763687	364763020	63389836	354684867	-209490499	42399806
-81174493	275151238	258805375	333325859	-282192985	133284247
158833667	146076126	-63704239	441790170	-121509103	149514003
-238775241	135148054	322088474	192464787	7704848	356959067
-135953317	344214680	-442742920	88598017	171216242	88118273
-314856741	304448944	358942578	260137727	233615443	257980354
-296725999	427106059	-210915942	176678615	-95130345	394494421
34402090	55531709	-74786807	250595838	55445224	443618143
-4335269	179168186	602688	28900367	-95990387	258976144
364633895	12288669	-369304961	310657123	-415678115	21619692
-68182791	275366876	4636191	85143757	-258138156	156775807
-355082102	410657783	-118495667	36042382	-423233196	194833189
-355082102	410657783	34079116	296024633	-367239446	340621415
147901827	161730568	-142351941	128355109	113470640	19260299
230672945	111605826	195158498	22063945	420204775	368594467
280972996	130149293	266698490	112157027	235521713	437940208
-380320614	144645283	-211957986	223106707	369837075	70380043
10828426	194244931	-47185403	340612300	-142678607	350735566
198208122	426698245	-354672026	227753677	-195067603	180852886
-251256609	143764118	-20165537	344689728	-318771405	266664328
-54492435	339630146	177400897	401279300	-354336830	166429737
359150661	333801746	-176565815	361849921	-25177864	102780191
-251304214	114443627	-389766679	135137934	242585566	82683675
-245606590	309262201	361445061	67787737	-191868329	369601511
-39909091	444359778	343964120	120643999	262702684	35663153
-23420542	149546303	162534305	429864298	-225760499	121351964
