u_num	u_den	t_num	t_den	w_num	w_den
-101994257	174257088	-259625655	362918552	-122299767	251735975
-49206835	433646808	-350542168	100758833	-97471112	389289793
25547155	116738676	296276301	421924645	-354336830	166429737
241198952	429565569	-215149907	331679576	333660266	399378777
-238648933	429445174	289248579	136978048	327060275	213921716
-43622971	37881581	-71786492	296544021	79363714	28496401
-361822009	270266076	149405310	328307623	-179664346	392825129
94606631	6635502	381116343	297473081	432089591	182947249
318102049	38677081	-380023255	418946856	362342416	309879959
-213672838	244885989	-199581849	62940589	-438262365	301645126
-192757751	165350595	-123651782	382361117	-220433372	254087619
-269654914	341770591	20521844	120548075	-287011525	374775014
296688966	91466183	-14827928	184488103	-8230689	329897111
-37036306	121442621	150149563	252731802	373707218	386585249
-197241263	445106522	336698709	319875256	-105024027	168685603
312166131	373158220	-405021764	218420435	-58597573	48863805
-419168929	72451689	28847119	61286817	216651845	87440768
-161906884	85890135	377754411	44345108	182765996	229740439
320077031	159848125	198870561	130356650	-231758266	176276917
-278588732	290573183	331605425	307581666	-152225833	434227806
-192082743	152079734	-79349093	268204601	27564059	151726855
170392319	285984396	-199591298	385565925	-251603711	66699948
-145976066	54397119	-390110257	262267433	-125708002	104980845
-8409043	306307096	-158806526	420893159	-156227982	390228529
421272442	185925775	78951501	115731263	-265596373	28128769
-141681037	166424018	383219038	54452715	164504435	137173106
296868853	271706057	50332803	286958747	258120131	201045554
228622051	438139311	-421356857	45353175	-91588331	286930676
-361947635	274794934	-227046353	84523013	8264921	357707411
-408090465	375442589	-56875175	200863044	-124442403	146515058
-65787236	428696659	-429024095	11994364	-358448617	72799000
-110549046	257569765	-326852756	356161547	-130403818	199656221
49002587	34247124	-386409367	121468937	52595617	253714365
166674529	437416823	-167144191	418163270	239617827	389936780
277387179	227706862	176094982	261074183	-441037042	15118241
-129792239	282752950	-439791331	423107284	357904133	190212161
-217025255	406211246	249355033	312116231	-338757407	245798178
-348441259	254849229	-80562828	179891489	312758637	443879366
-112588089	73996808	-244359083	167862118	-394961803	125710238
334431509	201548978	61987285	138733646	-176546446	316544887
167590739	248379683	12917119	87732169	-316038693	341347570
431210007	136006004	166842462	329392445	-251817517	264446474
-443699987	214664127	-11450183	141703093	90531269	131460556
-338647261	71855180	-90874941	134712464	102910811	372541826
381257374	117663071	-95037707	132545823	-31825610	34228593
-101520426	6001381	-104253239	74384619	-116503615	24782304
332703548	399617243	401854903	204081477	27810443	426679153
406786851	331357570	64821019	182138974	211728443	175994772
381285185	75946493	-373482861	205556254	389352934	101027649
238285941	151574828	107085372	196504595	352412677	319043713
8948167	406812254	-92707540	421902009	124635856	265714071
277674937	361031311	-197541788	8435979	443610758	253572905
46689039	306285334	-99547354	303275431	-233399861	232518090
-74314668	184064213	-128328644	391750339	-293752541	393072740
-369193443	339919945	225224453	152713356	205651184	280130101
-170104505	377236764	-396930494	208271021	-301143748	59435875
347928985	385635791	5300745	408096574	122461419	67367803
-49877738	118742135	-106459759	38339141	-304431671	191531466
1037997	297013696	149405310	328307623	371971839	236199967
292310045	68117031	322464907	163560559	280300010	370204647
-51309086	118623	-195514635	284269517	-55657713	375906532
269294225	128772749	-235967366	288628971	-219940690	380400231
30557275	82657886	-108098985	405919522	125977941	36721871
29264596	126553949	342950563	286298238	-73126057	334092026
126505656	341785307	-341264842	34109375	-10389914	418019125
-442518776	72353557	431092594	184296927	-325842734	59512549
-320163596	14606379	-348768679	372983075	152312159	188010461
-33590743	103932095	-184389765	255549739	-84001277	443962186
-200548763	391935487	225726516	441714007	-186009669	400282508
-314856741	304448944	358942578	260137727	233615443	257980354
-296725999	427106059	-210915942	176678615	-95130345	394494421
34402090	55531709	-74786807	250595838	55445224	443618143
-4335269	179168186	602688	28900367	-95990387	258976144
147901827	161730568	-142351941	128355109	113470640	19260299
359150661	333801746	-176565815	361849921	-25177864	102780191
-251304214	114443627	-389766679	135137934	242585566	82683675
-23420542	149546303	162534305	429864298	-225760499	121351964
-206213681	393637598	-235643728	441939405	-165915735	150753313
155980125	356562196	-106459759	38339141	266712049	189973785
-179321007	211046174	-304998698	27764541	219842427	89227972
-327081626	497983	76296228	224448187	390224599	267827785
15945569	232225472	223960862	355999191	276895081	77963181
207842021	27124697	399665621	261445848	-340748699	398115910
363525092	393922957	-272370606	157486319	183436261	15042206
-358984827	425205629	2622661	393607221	103281873	278591795
-186446375	375943883	250624526	95747807	381846397	331469976
-223155297	422031901	-184766905	64680662	442758123	224766031
-437646569	127184583	178394208	418724915	-68323118	96317623
-58642959	144145823	149405310	328307623	159982728	54360379
186604295	395637896	230583680	20022867	-251817517	264446474
-321712093	98847884	205235692	262608323	-170496093	57720925
-122718523	89603942	-426327089	9236310	2458666	50231697
331274915	355340481	26614085	161704349	249127585	12737546
-351919341	248881577	-321310734	202427185	251506397	411642870
-416436693	228770371	-6942214	145442211	-427073555	393895773
396404219	362270959	290746855	284736841	-125646979	365145722
324291731	98936567	-132927133	318860376	-172397057	199184169
-294439370	440007861	-168400673	424007568	-41048823	350342038
-414701824	41671273	399665621	261445848	-81674301	81676622
-279194658	385542557	426269813	146812148	359056111	109955564
-360800244	426121327	-148379895	29304629	-86171191	375892469
305860020	273080831	-71888439	160439068	425311396	6739883
305860020	273080831	386390605	147724854	-73197277	84203217
-18110601	97118980	-165122807	6409795	-90782194	338291
-2139147	95943664	41198637	220362782	-431973354	357148637
166221577	427374457	-114219244	443621517	-286198850	321372263
230663332	4930183	-362364097	435967596	230211097	192261162
340409208	294860807	-227324883	162184261	-77990366	100878165
13371944	184999043	175531871	178189936	-413167393	188675543
-106571230	229993369	3172071	351826535	-8643925	40868381
-71564904	165340735	399665621	261445848	-280371178	7930889
205685827	328750858	-311611480	537869	-221783589	164648005
-271229162	327930739	-357864789	69494192	-181394402	140418071
79855792	415958723	-387265433	319110052	-112393243	43843542
-424964992	63748891	-111196087	393714080	331032033	102721969
-330711331	353797077	-333572619	358501399	445081979	429182577
-230972530	48022357	-343281386	207922499	-37944113	195827916
169727816	358627955	177429301	337059693	316074261	356296273
-408454337	240532486	76211171	379486727	-211483694	340778827
-27094709	112606207	343757835	316483633	208405267	3324064
-117196367	99883404	-380023255	418946856	-379647955	376705026
-408454337	240532486	408307495	127587063	10513179	154731835
-326590343	310764745	397335721	206917611	408380910	190460201
78992723	92449818	-655693	23187304	262361571	54108319
-425949477	271653446	-270270791	250559446	-56075351	214915351
-105105259	109707294	349786433	243551398	335153229	302182657
276513927	203303641	-354101425	237698701	434972368	351572171
-76553628	254340425	-423239665	307295286	-387224014	291994693
212361827	278378792	-289145293	89603122	67902821	117597131
285255339	122835896	209300646	545713	-241934057	166591856
74214277	194409505	22492544	16008901	306806468	63180545
430429223	180196963	149405310	328307623	150141919	277953133
14928475	19367021	362270149	322101863	38754032	408396771
352125835	16898603	225557062	202387111	39240568	339242911
-445732739	441654419	338707542	286842167	-149259973	316355946
145103377	58064394	-285315689	209809341	-62206101	131102951
46985747	353602377	-43002107	171135434	-13771279	78189050
-215512688	370144559	-291443079	398193655	-133320361	167058395
-411974522	183537279	139204775	93821197	329717668	11812917
164915518	344978551	-397534253	348642187	-91739513	74539858
265399358	180037661	-137073383	27988937	-25464809	363304850
-254051770	14152167	-384933053	359055548	353930517	220553063
-230188867	324094519	74617398	274101587	-438809227	123080319
-83374913	20354272	-387265433	319110052	-234263982	414410069
416950052	269982081	163475423	9945083	151377011	411835243
229999751	380601758	236810448	236166191	364987130	241924681
-77523071	146907797	372256996	106392577	342513945	417483689
-440472947	425552022	-123091041	97049665	-12538577	317183566
315138743	411803303	-353423146	248267013	-192022111	298062859
-279406925	138216038	399665621	261445848	-207039959	135348933
53218645	128650631	301215076	339905067	268779565	313564351
315138743	411803303	363582040	360955833	21492158	155710791
315138743	411803303	358502593	56344410	256498585	169069514
-122613160	186805589	-225925795	263825769	94817548	44288815
