u	t	w	center	a	b	c	d	y0	y1	y2	y3
57	211410	145242	4	64396	320119	197907	14864	202754	365552	231886	102765
902	228310	329452	6	173570	282770	52567	245887	14995	20623	284952	78598
1230	234389	289686	11	233757	199086	25659	297976	217300	333441	271249	130988
4282	291516	176507	0	356090	205199	7275	135192	265791	310965	35508	328211
4620	50015	144735	7	95661	259279	113914	186737	60625	68619	270080	96681
6479	221212	169916	2	160557	301867	211596	352695	131774	341723	140964	317902
7145	17393	70493	9	80908	95156	102105	18054	106098	225112	195199	201968
10058	134023	95426	10	123771	272959	265190	50502	208121	172385	67449	210249
11887	164597	70206	3	72170	109545	186584	331570	186361	231366	243378	1872
19999	118122	258979	1	57805	163118	230355	224086	227597	262800	203325	204672
25069	127248	300891	5	234917	100588	118477	28384	89693	190806	103784	258921
28618	40044	59559	4	264323	320119	112224	100547	316998	365552	317569	102765
29463	56944	243769	6	2204	282770	338177	331570	129239	20623	370635	78598
29791	63023	146881	11	290879	199086	368391	326537	331544	219197	157005	130988
32843	120150	90824	0	184724	205199	292885	220875	8742	310965	121191	328211
33181	249942	59052	7	295588	259279	28231	272420	174869	68619	355763	96681
35040	49846	84233	2	360484	301867	125913	67085	246018	341723	226647	317902
35706	217320	298981	9	23786	95156	130666	360786	220342	110868	80955	201968
38619	333950	181109	10	95210	73032	8141	307551	93877	172385	124571	210249
40448	364524	355816	3	272097	109545	100901	45960	300605	231366	329061	1872
48560	318049	173296	1	257732	163118	144672	309769	341841	262800	289008	204672
53630	327175	215208	5	63551	100588	32794	114067	203937	190806	189467	258921
57179	239971	345169	4	92957	320119	26541	186230	59949	365552	31959	102765
58024	256871	158086	6	202131	282770	252494	45960	243483	20623	85025	78598
58352	262950	4076	11	348001	199086	339830	355098	74495	104953	42761	130988
61404	320077	5141	0	13358	205199	207202	306558	122986	310965	206874	328211
61742	78576	344662	7	124222	259279	313841	358103	289113	68619	70153	96681
63601	249773	369843	2	189118	301867	40230	152768	360262	341723	312330	317902
64267	45954	156176	9	337957	95156	159227	332225	334586	367917	338004	201968
67180	162584	266792	10	66649	244398	122385	193307	350926	172385	181693	210249
69009	193158	270133	3	100731	109545	15218	131643	43556	231366	43451	1872
77121	146683	87613	1	86366	163118	58989	24159	84792	262800	3398	204672
82191	155809	129525	5	263478	100588	318404	199750	318181	190806	275150	258921
85740	68605	259486	4	292884	320119	312151	271913	174193	365552	117642	102765
86585	85505	72403	6	30765	282770	166811	131643	357727	20623	170708	78598
86913	91584	232564	11	33830	199086	311269	12366	188739	362002	299810	130988
89965	148711	290751	0	213285	205199	121519	20948	237230	310965	292557	328211
90303	278503	258979	7	324149	259279	228158	72493	32064	68619	155836	96681
92162	78407	284160	2	17752	301867	325840	238451	103213	341723	26720	317902
92828	245881	13371	9	280835	95156	187788	303664	77537	253673	223760	201968
95741	362511	352475	10	38088	44471	236629	79063	236682	172385	238815	210249
97570	21792	184450	3	300658	109545	300828	217326	157800	231366	129134	1872
105682	346610	1930	1	286293	163118	344599	109842	199036	262800	89081	204672
110752	355736	43842	5	92112	100588	232721	285433	61132	190806	360833	258921
114301	268532	173803	4	121518	320119	226468	357596	288437	365552	203325	102765
115146	285432	358013	6	230692	282770	81128	217326	100678	20623	256391	78598
115474	291511	89759	11	90952	199086	282708	40927	302983	247758	185566	130988
118526	348638	205068	0	41919	205199	35836	106631	351474	310965	6947	328211
118864	107137	173296	7	152783	259279	142475	158176	146308	68619	241519	96681
120723	278334	198477	2	217679	301867	240157	324134	217457	341723	112403	317902
121389	74515	241859	9	223713	95156	216349	275103	191781	139429	109516	201968
124302	191145	66865	10	9527	215837	350873	336112	122438	172385	295937	210249
126131	221719	98767	3	129292	109545	215145	303009	272044	231366	214817	1872
134243	175244	287540	1	114927	163118	258916	195525	313280	262800	174764	204672
139313	184370	329452	5	292039	100588	147038	371116	175376	190806	75223	258921
142862	97166	88120	4	321445	320119	140785	71986	31388	365552	289008	102765
143707	114066	272330	6	59326	282770	366738	303009	214922	20623	342074	78598
144035	120145	318247	11	148074	199086	254147	69488	45934	133514	71322	130988
147087	177272	119385	0	241846	205199	321446	192314	94425	310965	92630	328211
147425	307064	87613	7	352710	259279	56792	243859	260552	68619	327202	96681
149284	106968	112794	2	46313	301867	154474	38524	331701	341723	198086	317902
149950	274442	99054	9	166591	95156	244910	246542	306025	25185	366565	201968
152863	19779	152548	10	352259	15910	93824	221868	8194	172385	353059	210249
154692	50353	13084	3	329219	109545	129462	17399	14995	231366	300500	1872
162804	3878	201857	1	314854	163118	173233	281208	56231	262800	260447	204672
167874	13004	243769	5	120673	100588	61355	85506	289620	190806	160906	258921
171423	297093	2437	4	150079	320119	55102	157669	145632	365552	3398	102765
172268	313993	186647	6	259253	282770	281055	17399	329166	20623	56464	78598
172596	320072	175442	11	205196	199086	225586	98049	160178	19270	328371	130988
175648	5906	33702	0	70480	205199	235763	277997	208669	310965	178313	328211
175986	135698	1930	7	181344	259279	342402	329542	3503	68619	41592	96681
177845	306895	27111	2	246240	301867	68791	124207	74652	341723	283769	317902
178511	103076	327542	9	109469	95156	273471	217981	48976	282234	252321	201968
181424	219706	238231	10	323698	187276	208068	107624	265243	172385	38888	210249
183253	250280	298694	3	157853	109545	43779	103082	129239	231366	14890	1872
191365	203805	116174	1	143488	163118	87550	366891	170475	262800	346130	204672
196435	212931	158086	5	320600	100588	346965	171189	32571	190806	246589	258921
199984	125727	288047	4	350006	320119	340712	243352	259876	365552	89081	102765
200829	142627	100964	6	87887	282770	195372	103082	72117	20623	142147	78598
201157	148706	32637	11	262318	199086	197025	126610	274422	276319	214127	130988
204209	205833	319312	0	270407	205199	150080	363680	322913	310965	263996	328211
204547	335625	287540	7	9978	259279	256719	43932	117747	68619	127275	96681
206406	135529	312721	2	74874	301867	354401	209890	188896	341723	369452	317902
207072	303003	184737	9	52347	95156	302032	189420	163220	167990	138077	201968
209985	48340	323914	10	295137	358642	322312	364673	150999	172385	96010	210249
211814	78914	213011	3	357780	109545	329389	188765	243483	231366	100573	1872
219926	32439	30491	1	343415	163118	1867	81281	284719	262800	60520	204672
224996	41565	72403	5	149234	100588	261282	256872	146815	190806	332272	258921
228545	325654	202364	4	178640	320119	255029	329035	2827	365552	174764	102765
229390	342554	15281	6	287814	282770	109689	188765	186361	20623	227830	78598
229718	348633	261125	11	319440	199086	168464	155171	17373	162075	99883	130988
232770	34467	233629	0	99041	205199	64397	78070	65864	310965	349679	328211
233108	164259	201857	7	209905	259279	171036	129615	231991	68619	212958	96681
234967	335456	227038	2	274801	301867	268718	295573	303140	341723	83842	317902
235633	131637	41932	9	366518	95156	330593	160859	277464	53746	23833	201968
238546	248267	38304	10	266576	158715	65263	250429	36755	172385	153132	210249
240375	278841	127328	3	186414	109545	243706	274448	357727	231366	186256	1872
248487	232366	316101	1	172049	163118	287477	166964	27670	262800	146203	204672
253557	241492	358013	5	349161	100588	175599	342555	261059	190806	46662	258921
257106	154288	116681	4	7274	320119	169346	43425	117071	365552	260447	102765
257951	171188	300891	6	116448	282770	24006	274448	300605	20623	313513	78598
258279	177267	118320	11	5269	199086	139903	183732	131617	47831	356932	130988
261331	234394	147946	0	298968	205199	350007	163753	180108	310965	64069	328211
261669	364186	116174	7	38539	259279	85353	215298	346235	68619	298641	96681
263528	164090	141355	2	103435	301867	183035	9963	46091	341723	169525	317902
264194	331564	270420	9	309396	95156	359154	132298	20415	310795	280882	201968
267107	76901	123987	10	238015	330081	179507	136185	293804	172385	210254	210249
268936	107475	41645	3	15048	109545	158023	360131	100678	231366	271939	1872
277048	61000	230418	1	683	163118	201794	252647	141914	262800	231886	204672
282118	70126	272330	5	177795	100588	89916	56945	4010	190806	132345	258921
285667	354215	30998	4	207201	320119	83663	129108	231315	365552	346130	102765
286512	371115	215208	6	316375	282770	309616	360131	43556	20623	27903	78598
286840	5901	346808	11	62391	199086	111342	212293	245861	304880	242688	130988
289892	63028	62263	0	127602	205199	264324	249436	294352	310965	149752	328211
290230	192820	30491	7	238466	259279	370963	300981	89186	68619	13031	96681
292089	364017	55672	2	303362	301867	97352	95646	160335	341723	255208	317902
292755	160198	127615	9	252274	95156	16422	103737	134659	196551	166638	201968
295668	276828	209670	10	209454	130154	293751	21941	179560	172385	267376	210249
297497	307402	327255	3	214975	109545	72340	74521	214922	231366	357622	1872
305609	260927	144735	1	200610	163118	116111	338330	256158	262800	317569	204672
310679	270053	186647	5	6429	100588	4233	142628	118254	190806	218028	258921
314228	182849	316608	4	35835	320119	369273	214791	345559	365552	60520	102765
315073	199749	129525	6	145009	282770	223933	74521	157800	20623	113586	78598
315401	205828	204003	11	119513	199086	82781	240854	360105	190636	128444	130988
318453	262955	347873	0	327529	205199	178641	335119	37303	310965	235435	328211
318791	21454	316101	7	67100	259279	285280	15371	203430	68619	98714	96681
320650	192651	341282	2	131996	301867	11669	181329	274579	341723	340891	317902
321316	360125	356103	9	195152	95156	44983	75176	248903	82307	52394	201968
324229	105462	295353	10	180893	301520	36702	278990	65316	172385	324498	210249
326058	136036	241572	3	43609	109545	357950	160204	329166	231366	72012	1872
330567	82774	99868	8	59144	31597	55257	185061	161579	118144	225134	37050
334170	89561	59052	1	29244	163118	30428	52720	370402	262800	31959	204672
339240	98687	100964	5	206356	100588	289843	228311	232498	190806	303711	258921
342789	11483	230925	4	235762	320119	283590	300474	88510	365552	146203	102765
343634	28383	43842	6	344936	282770	138250	160204	272044	20623	199269	78598
343962	34462	61198	11	176635	199086	54220	269415	103056	76392	14200	130988
347014	91589	262190	0	156163	205199	92958	49509	151547	310965	321118	328211
347352	221381	230418	7	267027	259279	199597	101054	317674	68619	184397	96681
349211	21285	255599	2	331923	301867	297279	267012	17530	341723	55281	317902
349877	188759	213298	9	138030	95156	73544	46615	363147	339356	309443	201968
352790	305389	9743	10	152332	101593	150946	164746	322365	172385	10327	210249
354619	335963	155889	3	243536	109545	272267	245887	72117	231366	157695	1872
