u	t	w	center	a	b	c	d	y0	y1	y2	y3
78925	121	88814	0	50	528	160325	160160	130680	128180	148104	74294
78925	14762	88814	1	50	528	160325	160160	130680	128180	148104	74294
78925	29403	88814	2	50	528	160325	160160	130680	128180	148104	74294
78925	44044	88814	3	50	528	160325	160160	130680	128180	148104	74294
78925	58685	88814	4	50	528	160325	160160	130680	128180	148104	74294
78925	73326	88814	5	50	528	160325	160160	130680	128180	148104	74294
78925	87967	88814	6	50	528	160325	160160	130680	128180	148104	74294
78925	102608	88814	7	50	528	160325	160160	130680	128180	148104	74294
78925	117249	88814	8	50	528	160325	160160	130680	128180	148104	74294
78925	131890	88814	9	50	528	160325	160160	130680	128180	148104	74294
78925	146531	88814	10	50	528	160325	160160	130680	128180	148104	74294
78925	1452	88814	11	50	528	160325	160160	130680	128180	148104	74294
78925	16093	88814	12	50	528	160325	160160	130680	128180	148104	74294
78925	30734	88814	13	50	528	160325	160160	130680	128180	148104	74294
78925	45375	88814	14	50	528	160325	160160	130680	128180	148104	74294
78925	60016	88814	15	50	528	160325	160160	130680	128180	148104	74294
78925	74657	88814	16	50	528	160325	160160	130680	128180	148104	74294
78925	89298	88814	17	50	528	160325	160160	130680	128180	148104	74294
78925	103939	88814	18	50	528	160325	160160	130680	128180	148104	74294
78925	118580	88814	19	50	528	160325	160160	130680	128180	148104	74294
78925	133221	88814	20	50	528	160325	160160	130680	128180	148104	74294
78925	147862	88814	21	50	528	160325	160160	130680	128180	148104	74294
78925	2783	88814	22	50	528	160325	160160	130680	128180	148104	74294
78925	17424	88814	23	50	528	160325	160160	130680	128180	148104	74294
78925	32065	88814	24	50	528	160325	160160	130680	128180	148104	74294
78925	46706	88814	25	50	528	160325	160160	130680	128180	148104	74294
78925	61347	88814	26	50	528	160325	160160	130680	128180	148104	74294
78925	75988	88814	27	50	528	160325	160160	130680	128180	148104	74294
78925	90629	88814	28	50	528	160325	160160	130680	128180	148104	74294
78925	105270	88814	29	50	528	160325	160160	130680	128180	148104	74294
78925	119911	88814	30	50	528	160325	160160	130680	128180	148104	74294
78925	134552	88814	31	50	528	160325	160160	130680	128180	148104	74294
78925	149193	88814	32	50	528	160325	160160	130680	128180	148104	74294
78925	4114	88814	33	50	528	160325	160160	130680	128180	148104	74294
78925	18755	88814	34	50	528	160325	160160	130680	128180	148104	74294
78925	33396	88814	35	50	528	160325	160160	130680	128180	148104	74294
78925	48037	88814	36	50	528	160325	160160	130680	128180	148104	74294
78925	62678	88814	37	50	528	160325	160160	130680	128180	148104	74294
78925	77319	88814	38	50	528	160325	160160	130680	128180	148104	74294
78925	91960	88814	39	50	528	160325	160160	130680	128180	148104	74294
78925	106601	88814	40	50	528	160325	160160	130680	128180	148104	74294
78925	121242	88814	41	50	528	160325	160160	130680	128180	148104	74294
78925	135883	88814	42	50	528	160325	160160	130680	128180	148104	74294
78925	150524	88814	43	50	528	160325	160160	130680	128180	148104	74294
78925	5445	88814	44	50	528	160325	160160	130680	128180	148104	74294
78925	20086	88814	45	50	528	160325	160160	130680	128180	148104	74294
78925	34727	88814	46	50	528	160325	160160	130680	128180	148104	74294
78925	49368	88814	47	50	528	160325	160160	130680	128180	148104	74294
78925	64009	88814	48	50	528	160325	160160	130680	128180	148104	74294
78925	78650	88814	49	50	528	160325	160160	130680	128180	148104	74294
78925	93291	88814	50	50	528	160325	160160	130680	128180	148104	74294
78925	107932	88814	51	50	528	160325	160160	130680	128180	148104	74294
78925	122573	88814	52	50	528	160325	160160	130680	128180	148104	74294
78925	137214	88814	53	50	528	160325	160160	130680	128180	148104	74294
78925	151855	88814	54	50	528	160325	160160	130680	128180	148104	74294
78925	6776	88814	55	50	528	160325	160160	130680	128180	148104	74294
78925	21417	88814	56	50	528	160325	160160	130680	128180	148104	74294
78925	36058	88814	57	50	528	160325	160160	130680	128180	148104	74294
78925	50699	88814	58	50	528	160325	160160	130680	128180	148104	74294
78925	65340	88814	59	50	528	160325	160160	130680	128180	148104	74294
78925	79981	88814	60	50	528	160325	160160	130680	128180	148104	74294
78925	94622	88814	61	50	528	160325	160160	130680	128180	148104	74294
78925	109263	88814	62	50	528	160325	160160	130680	128180	148104	74294
78925	123904	88814	63	50	528	160325	160160	130680	128180	148104	74294
78925	138545	88814	64	50	528	160325	160160	130680	128180	148104	74294
78925	153186	88814	65	50	528	160325	160160	130680	128180	148104	74294
78925	8107	88814	66	50	528	160325	160160	130680	128180	148104	74294
78925	22748	88814	67	50	528	160325	160160	130680	128180	148104	74294
78925	37389	88814	68	50	528	160325	160160	130680	128180	148104	74294
78925	52030	88814	69	50	528	160325	160160	130680	128180	148104	74294
78925	66671	88814	70	50	528	160325	160160	130680	128180	148104	74294
78925	81312	88814	71	50	528	160325	160160	130680	128180	148104	74294
78925	95953	88814	72	50	528	160325	160160	130680	128180	148104	74294
78925	110594	88814	73	50	528	160325	160160	130680	128180	148104	74294
78925	125235	88814	74	50	528	160325	160160	130680	128180	148104	74294
78925	139876	88814	75	50	528	160325	160160	130680	128180	148104	74294
78925	154517	88814	76	50	528	160325	160160	130680	128180	148104	74294
78925	9438	88814	77	50	528	160325	160160	130680	128180	148104	74294
