torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	115	120	97	240
1	43	120	193	240
1	19	120	145	240
1	67	120	1	240
1	91	120	49	240
1	115	120	157	240
1	43	120	13	240
1	19	120	205	240
1	67	120	61	240
1	91	120	109	240
1	115	120	217	240
1	43	120	73	240
1	19	120	25	240
1	67	120	121	240
1	91	120	169	240
1	55	120	157	240
1	103	120	13	240
1	79	120	205	240
1	7	120	61	240
1	31	120	109	240
1	55	120	97	240
1	103	120	193	240
1	79	120	145	240
1	7	120	1	240
1	31	120	49	240
1	55	120	217	240
1	103	120	73	240
1	79	120	25	240
1	7	120	121	240
1	31	120	169	240
1	115	120	37	240
1	43	120	133	240
1	19	120	85	240
1	67	120	181	240
1	91	120	229	240
1	55	120	37	240
1	103	120	133	240
1	79	120	85	240
1	7	120	181	240
1	31	120	229	240
1	105	120	187	240
1	33	120	43	240
1	9	120	235	240
1	57	120	91	240
1	81	120	139	240
1	45	120	67	240
1	93	120	163	240
1	69	120	115	240
1	117	120	211	240
1	21	120	19	240
1	45	120	187	240
1	93	120	43	240
1	69	120	235	240
1	117	120	91	240
1	21	120	139	240
1	105	120	67	240
1	33	120	163	240
1	9	120	115	240
1	57	120	211	240
1	81	120	19	240
1	105	120	7	240
1	33	120	103	240
1	9	120	55	240
1	57	120	151	240
1	81	120	199	240
1	105	120	127	240
1	33	120	223	240
1	9	120	175	240
1	57	120	31	240
1	81	120	79	240
1	45	120	127	240
1	93	120	223	240
1	69	120	175	240
1	117	120	31	240
1	21	120	79	240
1	45	120	7	240
1	93	120	103	240
1	69	120	55	240
1	117	120	151	240
1	21	120	199	240
1	6	120	170	240
1	30	120	218	240
1	54	120	26	240
1	102	120	122	240
1	78	120	74	240
1	66	120	230	240
1	42	120	230	240
1	90	120	38	240
1	114	120	134	240
1	90	120	86	240
1	18	120	182	240
1	114	120	86	240
1	42	120	182	240
1	18	120	134	240
1	66	120	38	240
1	66	120	170	240
1	90	120	218	240
1	114	120	26	240
1	42	120	122	240
1	18	120	74	240
1	66	120	50	240
1	90	120	98	240
1	114	120	146	240
1	42	120	2	240
1	18	120	194	240
1	6	120	50	240
1	30	120	98	240
1	54	120	146	240
1	102	120	2	240
1	78	120	194	240
1	6	120	230	240
1	102	120	230	240
1	30	120	38	240
1	54	120	134	240
1	30	120	86	240
1	78	120	182	240
1	54	120	86	240
1	102	120	182	240
1	78	120	134	240
1	6	120	38	240
1	6	120	110	240
1	102	120	110	240
1	30	120	158	240
1	54	120	14	240
1	30	120	206	240
1	78	120	62	240
1	54	120	206	240
1	102	120	62	240
1	78	120	14	240
1	6	120	158	240
1	66	120	110	240
1	42	120	110	240
1	90	120	158	240
1	114	120	14	240
1	90	120	206	240
1	18	120	62	240
1	114	120	206	240
1	42	120	62	240
1	18	120	14	240
1	66	120	158	240
1	52	120	140	240
1	4	120	44	240
1	100	120	236	240
1	28	120	92	240
1	76	120	188	240
1	88	120	56	240
1	64	120	8	240
1	112	120	200	240
1	112	120	104	240
1	40	120	200	240
1	64	120	104	240
1	40	120	56	240
1	88	120	152	240
1	16	120	152	240
1	16	120	8	240
1	112	120	20	240
1	64	120	164	240
1	40	120	116	240
1	88	120	212	240
1	16	120	68	240
1	28	120	56	240
1	4	120	8	240
1	52	120	200	240
1	52	120	104	240
1	100	120	200	240
1	4	120	104	240
1	100	120	56	240
1	28	120	152	240
1	76	120	152	240
1	76	120	8	240
1	28	120	176	240
1	4	120	128	240
1	52	120	80	240
1	52	120	224	240
1	100	120	80	240
1	4	120	224	240
1	100	120	176	240
1	28	120	32	240
1	76	120	32	240
1	76	120	128	240
1	112	120	140	240
1	64	120	44	240
1	40	120	236	240
1	88	120	92	240
1	16	120	188	240
1	88	120	176	240
1	64	120	128	240
1	112	120	80	240
1	112	120	224	240
1	40	120	80	240
1	64	120	224	240
1	40	120	176	240
1	88	120	32	240
1	16	120	32	240
1	16	120	128	240
1	52	120	20	240
1	4	120	164	240
1	100	120	116	240
1	28	120	212	240
1	76	120	68	240
1	52	120	60	240
1	4	120	204	240
1	100	120	156	240
1	28	120	12	240
1	76	120	108	240
1	88	120	216	240
1	64	120	168	240
1	112	120	120	240
1	112	120	24	240
1	40	120	120	240
1	64	120	24	240
1	40	120	216	240
1	88	120	72	240
