prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	0	6	12	3	inf
11	1	0	1	6	12	3	inf
11	1	0	2	6	12	3	inf
11	1	0	3	6	12	3	inf
11	1	0	4	6	12	3	inf
11	1	0	5	6	12	3	inf
11	1	0	6	6	12	3	inf
11	1	0	7	6	12	3	inf
11	1	0	8	6	12	3	inf
11	1	0	9	6	12	3	inf
11	1	0	10	6	12	3	inf
11	1	0	11	6	12	3	inf
11	1	1	0	6	12	3	inf
11	1	1	1	6	12	3	inf
11	1	1	2	6	12	3	inf
11	1	1	3	6	12	3	inf
11	1	1	4	6	12	3	inf
11	1	1	5	6	12	3	inf
11	1	1	6	6	12	3	inf
11	1	1	7	6	12	3	inf
11	1	1	8	6	12	3	inf
11	1	1	9	6	12	3	inf
11	1	1	10	6	12	3	inf
11	1	1	11	6	12	3	inf
11	1	2	0	6	12	3	inf
11	1	2	1	6	12	3	inf
11	1	2	2	6	12	3	inf
11	1	2	3	6	12	3	inf
11	1	2	4	6	12	3	inf
11	1	2	5	6	12	3	inf
11	1	2	6	6	12	3	inf
11	1	2	7	6	12	3	inf
11	1	2	8	6	12	3	inf
11	1	2	9	6	12	3	inf
11	1	2	10	6	12	3	inf
11	1	2	11	6	12	3	inf
11	1	3	0	6	12	3	inf
11	1	3	1	6	12	3	inf
11	1	3	2	6	12	3	inf
11	1	3	3	6	12	3	inf
11	1	3	4	6	12	3	inf
11	1	3	5	6	12	3	inf
11	1	3	6	6	12	3	inf
11	1	3	7	6	12	3	inf
11	1	3	8	6	12	3	inf
11	1	3	9	6	12	3	inf
11	1	3	10	6	12	3	inf
11	1	3	11	6	12	3	inf
11	1	4	0	6	12	3	inf
11	1	4	1	6	12	3	inf
11	1	4	2	6	12	3	inf
11	1	4	3	6	12	3	inf
11	1	4	4	6	12	3	inf
11	1	4	5	6	12	3	inf
11	1	4	6	6	12	3	inf
11	1	4	7	6	12	3	inf
11	1	4	8	6	12	3	inf
11	1	4	9	6	12	3	inf
11	1	4	10	6	12	3	inf
11	1	4	11	6	12	3	inf
11	1	5	0	6	12	3	inf
11	1	5	1	6	12	3	inf
11	1	5	2	6	12	3	inf
11	1	5	3	6	12	3	inf
11	1	5	4	6	12	3	inf
11	1	5	5	6	12	3	inf
11	1	5	6	6	12	3	inf
11	1	5	7	6	12	3	inf
11	1	5	8	6	12	3	inf
11	1	5	9	6	12	3	inf
11	1	5	10	6	12	3	inf
11	1	5	11	6	12	3	inf
11	2	0	0	6	12	3	inf
11	2	0	1	6	12	3	inf
11	2	0	2	6	12	3	inf
11	2	0	3	6	12	3	inf
11	2	0	4	6	12	3	inf
11	2	0	5	6	12	3	inf
11	2	0	6	6	12	3	inf
11	2	0	7	6	12	3	inf
11	2	0	8	6	12	3	inf
11	2	0	9	6	12	3	inf
11	2	0	10	6	12	3	inf
11	2	0	11	6	12	3	inf
11	2	1	0	6	12	3	inf
11	2	1	1	6	12	3	inf
11	2	1	2	6	12	3	inf
11	2	1	3	6	12	3	inf
11	2	1	4	6	12	3	inf
11	2	1	5	6	12	3	inf
11	2	1	6	6	12	3	inf
11	2	1	7	6	12	3	inf
11	2	1	8	6	12	3	inf
11	2	1	9	6	12	3	inf
11	2	1	10	6	12	3	inf
11	2	1	11	6	12	3	inf
11	2	2	0	6	12	3	inf
11	2	2	1	6	12	3	inf
11	2	2	2	6	12	3	inf
11	2	2	3	6	12	3	inf
11	2	2	4	6	12	3	inf
11	2	2	5	6	12	3	inf
11	2	2	6	6	12	3	inf
11	2	2	7	6	12	3	inf
11	2	2	8	6	12	3	inf
11	2	2	9	6	12	3	inf
11	2	2	10	6	12	3	inf
11	2	2	11	6	12	3	inf
11	2	3	0	6	12	3	inf
11	2	3	1	6	12	3	inf
11	2	3	2	6	12	3	inf
11	2	3	3	6	12	3	inf
11	2	3	4	6	12	3	inf
11	2	3	5	6	12	3	inf
11	2	3	6	6	12	3	inf
11	2	3	7	6	12	3	inf
11	2	3	8	6	12	3	inf
11	2	3	9	6	12	3	inf
11	2	3	10	6	12	3	inf
11	2	3	11	6	12	3	inf
11	2	4	0	6	12	3	inf
11	2	4	1	6	12	3	inf
11	2	4	2	6	12	3	inf
11	2	4	3	6	12	3	inf
11	2	4	4	6	12	3	inf
11	2	4	5	6	12	3	inf
11	2	4	6	6	12	3	inf
11	2	4	7	6	12	3	inf
11	2	4	8	6	12	3	inf
11	2	4	9	6	12	3	inf
11	2	4	10	6	12	3	inf
11	2	4	11	6	12	3	inf
11	2	5	0	6	12	3	inf
11	2	5	1	6	12	3	inf
11	2	5	2	6	12	3	inf
11	2	5	3	6	12	3	inf
11	2	5	4	6	12	3	inf
11	2	5	5	6	12	3	inf
11	2	5	6	6	12	3	inf
11	2	5	7	6	12	3	inf
11	2	5	8	6	12	3	inf
11	2	5	9	6	12	3	inf
11	2	5	10	6	12	3	inf
11	2	5	11	6	12	3	inf
13	1	0	0	12	3	3	1
13	1	0	1	12	3	3	5
13	1	0	2	12	3	3	1
13	1	1	0	12	3	3	4
13	1	1	1	12	3	3	9
13	1	1	2	12	3	3	inf
13	1	2	0	12	3	3	8
13	1	2	1	12	3	3	12
13	1	2	2	12	3	3	12
13	1	3	0	12	3	3	4
13	1	3	1	12	3	3	inf
13	1	3	2	12	3	3	9
13	1	4	0	12	3	3	1
13	1	4	1	12	3	3	1
13	1	4	2	12	3	3	5
13	1	5	0	12	3	3	inf
13	1	5	1	12	3	3	4
13	1	5	2	12	3	3	9
13	1	6	0	12	3	3	12
13	1	6	1	12	3	3	8
13	1	6	2	12	3	3	12
13	1	7	0	12	3	3	9
13	1	7	1	12	3	3	4
13	1	7	2	12	3	3	inf
13	1	8	0	12	3	3	5
13	1	8	1	12	3	3	1
13	1	8	2	12	3	3	1
13	1	9	0	12	3	3	9
13	1	9	1	12	3	3	inf
13	1	9	2	12	3	3	4
13	1	10	0	12	3	3	12
13	1	10	1	12	3	3	12
13	1	10	2	12	3	3	8
13	1	11	0	12	3	3	inf
13	1	11	1	12	3	3	9
13	1	11	2	12	3	3	4
13	2	0	0	12	3	3	12
13	2	0	1	12	3	3	8
13	2	0	2	12	3	3	12
13	2	1	0	12	3	3	9
13	2	1	1	12	3	3	4
13	2	1	2	12	3	3	inf
13	2	2	0	12	3	3	5
13	2	2	1	12	3	3	1
13	2	2	2	12	3	3	1
13	2	3	0	12	3	3	9
13	2	3	1	12	3	3	inf
13	2	3	2	12	3	3	4
13	2	4	0	12	3	3	12
13	2	4	1	12	3	3	12
13	2	4	2	12	3	3	8
13	2	5	0	12	3	3	inf
13	2	5	1	12	3	3	9
13	2	5	2	12	3	3	4
13	2	6	0	12	3	3	1
13	2	6	1	12	3	3	5
13	2	6	2	12	3	3	1
13	2	7	0	12	3	3	4
13	2	7	1	12	3	3	9
13	2	7	2	12	3	3	inf
13	2	8	0	12	3	3	8
13	2	8	1	12	3	3	12
13	2	8	2	12	3	3	12
13	2	9	0	12	3	3	4
13	2	9	1	12	3	3	inf
13	2	9	2	12	3	3	9
13	2	10	0	12	3	3	1
13	2	10	1	12	3	3	1
13	2	10	2	12	3	3	5
13	2	11	0	12	3	3	inf
13	2	11	1	12	3	3	4
13	2	11	2	12	3	3	9
17	1	0	0	6	12	3	inf
17	1	0	1	6	12	3	inf
17	1	0	2	6	12	3	inf
17	1	0	3	6	12	3	inf
17	1	0	4	6	12	3	inf
17	1	0	5	6	12	3	inf
17	1	0	6	6	12	3	inf
17	1	0	7	6	12	3	inf
17	1	0	8	6	12	3	inf
17	1	0	9	6	12	3	inf
17	1	0	10	6	12	3	inf
17	1	0	11	6	12	3	inf
17	1	1	0	6	12	3	inf
17	1	1	1	6	12	3	inf
17	1	1	2	6	12	3	inf
17	1	1	3	6	12	3	inf
17	1	1	4	6	12	3	inf
17	1	1	5	6	12	3	inf
17	1	1	6	6	12	3	inf
17	1	1	7	6	12	3	inf
17	1	1	8	6	12	3	inf
17	1	1	9	6	12	3	inf
17	1	1	10	6	12	3	inf
17	1	1	11	6	12	3	inf
17	1	2	0	6	12	3	inf
17	1	2	1	6	12	3	inf
17	1	2	2	6	12	3	inf
17	1	2	3	6	12	3	inf
17	1	2	4	6	12	3	inf
17	1	2	5	6	12	3	inf
17	1	2	6	6	12	3	inf
17	1	2	7	6	12	3	inf
17	1	2	8	6	12	3	inf
17	1	2	9	6	12	3	inf
17	1	2	10	6	12	3	inf
17	1	2	11	6	12	3	inf
17	1	3	0	6	12	3	inf
17	1	3	1	6	12	3	inf
17	1	3	2	6	12	3	inf
17	1	3	3	6	12	3	inf
17	1	3	4	6	12	3	inf
17	1	3	5	6	12	3	inf
17	1	3	6	6	12	3	inf
17	1	3	7	6	12	3	inf
17	1	3	8	6	12	3	inf
17	1	3	9	6	12	3	inf
17	1	3	10	6	12	3	inf
17	1	3	11	6	12	3	inf
17	1	4	0	6	12	3	inf
17	1	4	1	6	12	3	inf
17	1	4	2	6	12	3	inf
17	1	4	3	6	12	3	inf
17	1	4	4	6	12	3	inf
17	1	4	5	6	12	3	inf
17	1	4	6	6	12	3	inf
17	1	4	7	6	12	3	inf
17	1	4	8	6	12	3	inf
17	1	4	9	6	12	3	inf
17	1	4	10	6	12	3	inf
17	1	4	11	6	12	3	inf
17	1	5	0	6	12	3	inf
17	1	5	1	6	12	3	inf
17	1	5	2	6	12	3	inf
17	1	5	3	6	12	3	inf
17	1	5	4	6	12	3	inf
17	1	5	5	6	12	3	inf
17	1	5	6	6	12	3	inf
17	1	5	7	6	12	3	inf
17	1	5	8	6	12	3	inf
17	1	5	9	6	12	3	inf
17	1	5	10	6	12	3	inf
17	1	5	11	6	12	3	inf
17	2	0	0	6	12	3	inf
17	2	0	1	6	12	3	inf
17	2	0	2	6	12	3	inf
17	2	0	3	6	12	3	inf
17	2	0	4	6	12	3	inf
17	2	0	5	6	12	3	inf
17	2	0	6	6	12	3	inf
17	2	0	7	6	12	3	inf
17	2	0	8	6	12	3	inf
17	2	0	9	6	12	3	inf
17	2	0	10	6	12	3	inf
17	2	0	11	6	12	3	inf
17	2	1	0	6	12	3	inf
17	2	1	1	6	12	3	inf
17	2	1	2	6	12	3	inf
17	2	1	3	6	12	3	inf
17	2	1	4	6	12	3	inf
17	2	1	5	6	12	3	inf
17	2	1	6	6	12	3	inf
17	2	1	7	6	12	3	inf
17	2	1	8	6	12	3	inf
17	2	1	9	6	12	3	inf
17	2	1	10	6	12	3	inf
17	2	1	11	6	12	3	inf
17	2	2	0	6	12	3	inf
17	2	2	1	6	12	3	inf
17	2	2	2	6	12	3	inf
17	2	2	3	6	12	3	inf
17	2	2	4	6	12	3	inf
17	2	2	5	6	12	3	inf
17	2	2	6	6	12	3	inf
17	2	2	7	6	12	3	inf
17	2	2	8	6	12	3	inf
17	2	2	9	6	12	3	inf
17	2	2	10	6	12	3	inf
17	2	2	11	6	12	3	inf
17	2	3	0	6	12	3	inf
17	2	3	1	6	12	3	inf
17	2	3	2	6	12	3	inf
17	2	3	3	6	12	3	inf
17	2	3	4	6	12	3	inf
17	2	3	5	6	12	3	inf
17	2	3	6	6	12	3	inf
17	2	3	7	6	12	3	inf
17	2	3	8	6	12	3	inf
17	2	3	9	6	12	3	inf
17	2	3	10	6	12	3	inf
17	2	3	11	6	12	3	inf
17	2	4	0	6	12	3	inf
17	2	4	1	6	12	3	inf
17	2	4	2	6	12	3	inf
17	2	4	3	6	12	3	inf
17	2	4	4	6	12	3	inf
17	2	4	5	6	12	3	inf
17	2	4	6	6	12	3	inf
17	2	4	7	6	12	3	inf
17	2	4	8	6	12	3	inf
17	2	4	9	6	12	3	inf
17	2	4	10	6	12	3	inf
17	2	4	11	6	12	3	inf
17	2	5	0	6	12	3	inf
17	2	5	1	6	12	3	inf
17	2	5	2	6	12	3	inf
17	2	5	3	6	12	3	inf
17	2	5	4	6	12	3	inf
17	2	5	5	6	12	3	inf
17	2	5	6	6	12	3	inf
17	2	5	7	6	12	3	inf
17	2	5	8	6	12	3	inf
17	2	5	9	6	12	3	inf
17	2	5	10	6	12	3	inf
17	2	5	11	6	12	3	inf
19	1	0	0	8	16	3	inf
19	1	0	1	8	16	3	inf
19	1	0	2	8	16	3	18
19	1	0	3	8	16	3	8
19	1	0	4	8	16	3	14
19	1	0	5	8	16	3	6
19	1	0	6	8	16	3	inf
19	1	0	7	8	16	3	8
19	1	0	8	8	16	3	18
19	1	0	9	8	16	3	inf
19	1	0	10	8	16	3	1
19	1	0	11	8	16	3	11
19	1	0	12	8	16	3	5
19	1	0	13	8	16	3	13
19	1	0	14	8	16	3	5
19	1	0	15	8	16	3	11
19	1	1	0	8	16	3	1
19	1	1	1	8	16	3	11
19	1	1	2	8	16	3	5
19	1	1	3	8	16	3	13
19	1	1	4	8	16	3	5
19	1	1	5	8	16	3	11
19	1	1	6	8	16	3	inf
19	1	1	7	8	16	3	inf
19	1	1	8	8	16	3	18
19	1	1	9	8	16	3	8
19	1	1	10	8	16	3	14
19	1	1	11	8	16	3	6
19	1	1	12	8	16	3	inf
19	1	1	13	8	16	3	8
19	1	1	14	8	16	3	18
19	1	1	15	8	16	3	inf
19	1	2	0	8	16	3	14
19	1	2	1	8	16	3	6
19	1	2	2	8	16	3	inf
19	1	2	3	8	16	3	8
19	1	2	4	8	16	3	18
19	1	2	5	8	16	3	inf
19	1	2	6	8	16	3	1
19	1	2	7	8	16	3	11
19	1	2	8	8	16	3	5
19	1	2	9	8	16	3	13
19	1	2	10	8	16	3	5
19	1	2	11	8	16	3	11
19	1	2	12	8	16	3	inf
19	1	2	13	8	16	3	inf
19	1	2	14	8	16	3	18
19	1	2	15	8	16	3	8
19	1	3	0	8	16	3	5
19	1	3	1	8	16	3	11
19	1	3	2	8	16	3	inf
19	1	3	3	8	16	3	inf
19	1	3	4	8	16	3	18
19	1	3	5	8	16	3	8
19	1	3	6	8	16	3	14
19	1	3	7	8	16	3	6
19	1	3	8	8	16	3	inf
19	1	3	9	8	16	3	8
19	1	3	10	8	16	3	18
19	1	3	11	8	16	3	inf
19	1	3	12	8	16	3	1
19	1	3	13	8	16	3	11
19	1	3	14	8	16	3	5
19	1	3	15	8	16	3	13
19	1	4	0	8	16	3	18
19	1	4	1	8	16	3	inf
19	1	4	2	8	16	3	1
19	1	4	3	8	16	3	11
19	1	4	4	8	16	3	5
19	1	4	5	8	16	3	13
19	1	4	6	8	16	3	5
19	1	4	7	8	16	3	11
19	1	4	8	8	16	3	inf
19	1	4	9	8	16	3	inf
19	1	4	10	8	16	3	18
19	1	4	11	8	16	3	8
19	1	4	12	8	16	3	14
19	1	4	13	8	16	3	6
19	1	4	14	8	16	3	inf
19	1	4	15	8	16	3	8
19	1	5	0	8	16	3	18
19	1	5	1	8	16	3	8
19	1	5	2	8	16	3	14
19	1	5	3	8	16	3	6
19	1	5	4	8	16	3	inf
19	1	5	5	8	16	3	8
19	1	5	6	8	16	3	18
19	1	5	7	8	16	3	inf
19	1	5	8	8	16	3	1
19	1	5	9	8	16	3	11
19	1	5	10	8	16	3	5
19	1	5	11	8	16	3	13
19	1	5	12	8	16	3	5
19	1	5	13	8	16	3	11
19	1	5	14	8	16	3	inf
19	1	5	15	8	16	3	inf
19	1	6	0	8	16	3	5
19	1	6	1	8	16	3	13
19	1	6	2	8	16	3	5
19	1	6	3	8	16	3	11
19	1	6	4	8	16	3	inf
19	1	6	5	8	16	3	inf
19	1	6	6	8	16	3	18
19	1	6	7	8	16	3	8
19	1	6	8	8	16	3	14
19	1	6	9	8	16	3	6
19	1	6	10	8	16	3	inf
19	1	6	11	8	16	3	8
19	1	6	12	8	16	3	18
19	1	6	13	8	16	3	inf
