a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	6	12	14	8	2	7	5	15	12
1	2	12	6	14	8	2	7	5	15	12
1	2	13	16	12	2	14	4	4	2	13
1	2	16	13	12	2	14	4	4	2	13
1	3	6	10	13	10	3	5	7	18	3
1	3	10	6	13	10	3	5	7	18	3
1	4	9	11	10	8	8	9	3	1	4
1	4	9	17	7	18	9	16	5	4	17
1	4	11	9	10	8	8	9	3	1	4
1	4	11	17	9	3	6	11	9	16	11
1	4	17	9	7	18	9	16	5	4	17
1	4	17	11	9	3	6	11	9	16	11
1	5	7	9	4	2	6	7	6	5	7
1	5	7	17	3	3	18	17	4	6	5
1	5	9	7	4	2	6	7	6	5	7
1	5	9	17	16	13	4	6	7	1	9
1	5	17	7	3	3	18	17	4	6	5
1	5	17	9	16	13	4	6	7	1	9
1	6	2	12	14	8	2	7	5	15	12
1	6	3	10	13	10	3	5	7	18	3
1	6	7	9	15	18	8	4	2	11	6
1	6	8	15	3	11	13	4	4	7	6
1	6	9	7	15	18	8	4	2	11	6
1	6	10	3	13	10	3	5	7	18	3
1	6	12	2	14	8	2	7	5	15	12
1	6	15	8	3	11	13	4	4	7	6
1	7	5	9	4	2	6	7	6	5	7
1	7	5	17	3	3	18	17	4	6	5
1	7	6	9	15	18	8	4	2	11	6
1	7	9	5	4	2	6	7	6	5	7
1	7	9	6	15	18	8	4	2	11	6
1	7	17	5	3	3	18	17	4	6	5
1	8	6	15	3	11	13	4	4	7	6
1	8	10	16	3	12	2	11	2	10	8
1	8	14	17	18	16	15	16	1	4	17
1	8	15	6	3	11	13	4	4	7	6
1	8	16	10	3	12	2	11	2	10	8
1	8	17	14	18	16	15	16	1	4	17
1	9	4	11	10	8	8	9	3	1	4
1	9	4	17	7	18	9	16	5	4	17
1	9	5	7	4	2	6	7	6	5	7
1	9	5	17	16	13	4	6	7	1	9
1	9	6	7	15	18	8	4	2	11	6
1	9	7	5	4	2	6	7	6	5	7
1	9	7	6	15	18	8	4	2	11	6
1	9	11	4	10	8	8	9	3	1	4
1	9	12	15	14	1	13	6	9	1	9
1	9	15	12	14	1	13	6	9	1	9
1	9	17	4	7	18	9	16	5	4	17
1	9	17	5	16	13	4	6	7	1	9
1	10	3	6	13	10	3	5	7	18	3
1	10	6	3	13	10	3	5	7	18	3
1	10	8	16	3	12	2	11	2	10	8
1	10	16	8	3	12	2	11	2	10	8
1	11	4	9	10	8	8	9	3	1	4
1	11	4	17	9	3	6	11	9	16	11
1	11	9	4	10	8	8	9	3	1	4
1	11	16	17	2	14	18	5	6	4	16
1	11	17	4	9	3	6	11	9	16	11
1	11	17	16	2	14	18	5	6	4	16
1	12	2	6	14	8	2	7	5	15	12
1	12	6	2	14	8	2	7	5	15	12
1	12	9	15	14	1	13	6	9	1	9
1	12	14	16	8	17	15	5	7	6	16
1	12	15	9	14	1	13	6	9	1	9
1	12	16	14	8	17	15	5	7	6	16
1	13	2	16	12	2	14	4	4	2	13
1	13	16	2	12	2	14	4	4	2	13
1	14	8	17	18	16	15	16	1	4	17
1	14	12	16	8	17	15	5	7	6	16
1	14	16	12	8	17	15	5	7	6	16
1	14	17	8	18	16	15	16	1	4	17
1	15	6	8	3	11	13	4	4	7	6
1	15	8	6	3	11	13	4	4	7	6
1	15	9	12	14	1	13	6	9	1	9
1	15	12	9	14	1	13	6	9	1	9
1	16	2	13	12	2	14	4	4	2	13
1	16	8	10	3	12	2	11	2	10	8
1	16	10	8	3	12	2	11	2	10	8
1	16	11	17	2	14	18	5	6	4	16
1	16	12	14	8	17	15	5	7	6	16
1	16	13	2	12	2	14	4	4	2	13
1	16	14	12	8	17	15	5	7	6	16
1	16	17	11	2	14	18	5	6	4	16
1	17	4	9	7	18	9	16	5	4	17
1	17	4	11	9	3	6	11	9	16	11
1	17	5	7	3	3	18	17	4	6	5
1	17	5	9	16	13	4	6	7	1	9
1	17	7	5	3	3	18	17	4	6	5
1	17	8	14	18	16	15	16	1	4	17
1	17	9	4	7	18	9	16	5	4	17
1	17	9	5	16	13	4	6	7	1	9
1	17	11	4	9	3	6	11	9	16	11
1	17	11	16	2	14	18	5	6	4	16
1	17	14	8	18	16	15	16	1	4	17
1	17	16	11	2	14	18	5	6	4	16
