a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	3	6	16	9	15	4	7	11	6
1	2	6	3	16	9	15	4	7	11	6
1	2	6	12	15	2	1	13	8	5	12
1	2	12	6	15	2	1	13	8	5	12
1	3	2	6	16	9	15	4	7	11	6
1	3	6	2	16	9	15	4	7	11	6
1	3	6	9	8	15	4	13	4	14	3
1	3	9	6	8	15	4	13	4	14	3
1	3	9	10	4	8	9	4	5	7	10
1	3	10	9	4	8	9	4	5	7	10
1	6	2	3	16	9	15	4	7	11	6
1	6	2	12	15	2	1	13	8	5	12
1	6	3	2	16	9	15	4	7	11	6
1	6	3	9	8	15	4	13	4	14	3
1	6	9	3	8	15	4	13	4	14	3
1	6	12	2	15	2	1	13	8	5	12
1	9	3	6	8	15	4	13	4	14	3
1	9	3	10	4	8	9	4	5	7	10
1	9	6	3	8	15	4	13	4	14	3
1	9	10	3	4	8	9	4	5	7	10
1	10	3	9	4	8	9	4	5	7	10
1	10	9	3	4	8	9	4	5	7	10
1	12	2	6	15	2	1	13	8	5	12
1	12	6	2	15	2	1	13	8	5	12
