a	b	c	d	e1	e2	e3	e4	L	U	v
1	3	7	17	3	1	5	6	3	22	7
1	3	17	7	3	1	5	6	3	22	7
1	4	11	14	12	3	17	2	1	7	21
1	4	14	11	12	3	17	2	1	7	21
1	5	9	20	1	12	21	9	5	14	19
1	5	20	9	1	12	21	9	5	14	19
1	6	15	20	18	1	20	13	6	22	20
1	6	20	15	18	1	20	13	6	22	20
1	7	3	17	3	1	5	6	3	22	7
1	7	9	10	1	18	7	12	1	9	1
1	7	10	9	1	18	7	12	1	9	1
1	7	17	3	3	1	5	6	3	22	7
1	8	10	21	8	2	19	1	1	5	11
1	8	21	10	8	2	19	1	1	5	11
1	9	5	20	1	12	21	9	5	14	19
1	9	7	10	1	18	7	12	1	9	1
1	9	10	7	1	18	7	12	1	9	1
1	9	20	5	1	12	21	9	5	14	19
1	10	7	9	1	18	7	12	1	9	1
1	10	8	21	8	2	19	1	1	5	11
1	10	9	7	1	18	7	12	1	9	1
1	10	21	8	8	2	19	1	1	5	11
1	11	4	14	12	3	17	2	1	7	21
1	11	14	4	12	3	17	2	1	7	21
1	11	18	19	2	3	10	8	5	18	2
1	11	19	18	2	3	10	8	5	18	2
1	14	4	11	12	3	17	2	1	7	21
1	14	11	4	12	3	17	2	1	7	21
1	15	6	20	18	1	20	13	6	22	20
1	15	18	21	2	2	7	6	2	5	15
1	15	20	6	18	1	20	13	6	22	20
1	15	21	18	2	2	7	6	2	5	15
1	17	3	7	3	1	5	6	3	22	7
1	17	7	3	3	1	5	6	3	22	7
1	18	11	19	2	3	10	8	5	18	2
1	18	15	21	2	2	7	6	2	5	15
1	18	19	11	2	3	10	8	5	18	2
1	18	21	15	2	2	7	6	2	5	15
1	19	11	18	2	3	10	8	5	18	2
1	19	18	11	2	3	10	8	5	18	2
1	20	5	9	1	12	21	9	5	14	19
1	20	6	15	18	1	20	13	6	22	20
1	20	9	5	1	12	21	9	5	14	19
1	20	15	6	18	1	20	13	6	22	20
1	21	8	10	8	2	19	1	1	5	11
1	21	10	8	8	2	19	1	1	5	11
1	21	15	18	2	2	7	6	2	5	15
1	21	18	15	2	2	7	6	2	5	15
