m	n	torsion_coset
288	-5474	1
-8400	2350	1
0	-2	1
-2352	3502	1
-6912	-7202	1
8688	-7826	1
-3312	3022	1
7920	-4466	1
474	352	1
-8886	2224	1
2634	-8864	1
-6726	9856	1
7674	2080	1
4554	-4160	1
-6	112	1
3114	-8624	1
1194	-5840	1
5514	-3680	1
-3846	-1808	1
8548	3102	1
-6728	-8616	1
7468	-4458	1
3528	9718	1
-4392	-4538	1
-7032	4438	1
-5880	5014	1
4920	-9242	1
-8240	7008	1
5394	7960	1
7314	-9800	1
-6366	6760	1
4674	-824	1
-6606	-1784	1
-1326	856	1
834	-2744	1
-8766	5560	1
3714	-3176	1
2460	-1811	2
0	1	2
-2460	1813	2
9774	-1496	3
2208	-14	3
-4992	-1742	3
-9840	-8846	3
-3600	7378	3
-2640	-7118	3
9840	994	3
-9960	2794	3
-2760	4522	3
-3480	-4262	3
-5112	9898	3
1080	6442	3
-9732	5014	3
4908	2038	3
-7092	-3962	3
-2532	6742	3
8934	1360	3
8550	-2576	3
2454	8416	3
-2106	-2288	3
5094	-560	3
5028	-9602	3
-6252	-6818	3
-2100	1093	4
0	1	4
2460	-1811	4
8040	5929	4
9300	-4907	4
-2460	1813	4
