torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	176	208	206	208
1	192	208	110	208
1	96	208	46	208
1	80	208	142	208
1	0	208	14	208
1	128	208	62	208
1	0	208	206	208
1	144	208	190	208
1	48	208	142	208
1	144	208	174	208
1	32	208	30	208
1	16	208	126	208
1	96	208	62	208
1	48	208	126	208
1	128	208	78	208
1	64	208	30	208
1	64	208	46	208
1	176	208	190	208
1	112	208	174	208
1	160	208	78	208
1	192	208	94	208
1	32	208	14	208
1	112	208	158	208
1	80	208	158	208
1	16	208	110	208
1	160	208	94	208
1	90	208	124	208
1	58	208	92	208
1	170	208	60	208
1	10	208	188	208
1	42	208	188	208
1	90	208	108	208
1	58	208	108	208
1	170	208	44	208
1	138	208	28	208
1	10	208	172	208
1	186	208	156	208
1	202	208	60	208
1	186	208	172	208
1	154	208	140	208
1	154	208	156	208
1	74	208	12	208
1	26	208	92	208
1	26	208	76	208
1	122	208	124	208
1	42	208	204	208
1	106	208	12	208
1	138	208	44	208
1	106	208	28	208
1	122	208	140	208
1	202	208	76	208
1	74	208	204	208
1	20	208	102	208
1	36	208	6	208
1	148	208	150	208
1	132	208	38	208
1	52	208	118	208
1	180	208	166	208
1	52	208	102	208
1	196	208	86	208
1	100	208	38	208
1	196	208	70	208
1	84	208	134	208
1	68	208	22	208
1	148	208	166	208
1	100	208	22	208
1	180	208	182	208
1	116	208	134	208
1	116	208	150	208
1	20	208	86	208
1	164	208	70	208
1	4	208	182	208
1	36	208	198	208
1	84	208	118	208
1	164	208	54	208
1	132	208	54	208
1	68	208	6	208
1	4	208	198	208
1	90	208	176	208
1	58	208	144	208
1	170	208	112	208
1	10	208	32	208
1	42	208	32	208
1	90	208	160	208
1	58	208	160	208
1	170	208	96	208
1	138	208	80	208
1	10	208	16	208
1	186	208	0	208
1	202	208	112	208
1	186	208	16	208
1	154	208	192	208
1	154	208	0	208
1	74	208	64	208
1	26	208	144	208
1	26	208	128	208
1	122	208	176	208
1	42	208	48	208
1	106	208	64	208
1	138	208	96	208
1	106	208	80	208
1	122	208	192	208
1	202	208	128	208
1	74	208	48	208
1	72	208	192	208
1	120	208	48	208
1	24	208	0	208
1	120	208	112	208
1	104	208	0	208
1	184	208	80	208
1	40	208	112	208
1	56	208	80	208
1	152	208	64	208
1	40	208	176	208
1	200	208	192	208
1	24	208	64	208
1	136	208	16	208
1	8	208	96	208
1	136	208	160	208
1	88	208	96	208
1	104	208	144	208
1	8	208	160	208
1	200	208	48	208
1	88	208	32	208
1	168	208	176	208
1	56	208	16	208
1	152	208	128	208
1	168	208	32	208
1	72	208	128	208
1	184	208	144	208
1	176	208	88	208
1	16	208	152	208
1	128	208	104	208
1	16	208	8	208
1	0	208	104	208
1	80	208	184	208
1	144	208	8	208
1	160	208	184	208
1	48	208	168	208
1	144	208	72	208
1	96	208	88	208
1	128	208	168	208
1	32	208	120	208
1	112	208	200	208
1	32	208	56	208
1	192	208	200	208
1	0	208	40	208
1	112	208	56	208
1	96	208	152	208
1	192	208	136	208
1	64	208	72	208
1	160	208	120	208
1	48	208	24	208
1	64	208	136	208
1	176	208	24	208
1	80	208	40	208
1	72	208	50	208
1	88	208	162	208
1	200	208	98	208
1	184	208	194	208
1	104	208	66	208
1	24	208	114	208
1	104	208	50	208
1	40	208	34	208
1	152	208	194	208
1	40	208	18	208
1	136	208	82	208
1	120	208	178	208
1	200	208	114	208
1	152	208	178	208
1	24	208	130	208
1	168	208	82	208
1	168	208	98	208
1	72	208	34	208
1	8	208	18	208
1	56	208	130	208
1	88	208	146	208
1	136	208	66	208
1	8	208	2	208
1	184	208	2	208
1	120	208	162	208
1	56	208	146	208
1	142	208	20	208
1	110	208	196	208
1	14	208	164	208
1	62	208	84	208
1	94	208	84	208
1	142	208	4	208
1	110	208	4	208
1	14	208	148	208
1	190	208	132	208
1	62	208	68	208
1	30	208	52	208
1	46	208	164	208
1	30	208	68	208
1	206	208	36	208
1	206	208	52	208
1	126	208	116	208
1	78	208	196	208
1	78	208	180	208
1	174	208	20	208
1	94	208	100	208
1	158	208	116	208
1	190	208	148	208
1	158	208	132	208
1	174	208	36	208
1	46	208	180	208
1	126	208	100	208
1	20	208	206	208
1	36	208	110	208
1	148	208	46	208
1	132	208	142	208
1	52	208	14	208
1	180	208	62	208
1	52	208	206	208
1	196	208	190	208
1	100	208	142	208
1	196	208	174	208
1	84	208	30	208
1	68	208	126	208
1	148	208	62	208
1	100	208	126	208
1	180	208	78	208
1	116	208	30	208
1	116	208	46	208
1	20	208	190	208
1	164	208	174	208
1	4	208	78	208
1	36	208	94	208
1	84	208	14	208
1	164	208	158	208
1	132	208	158	208
1	68	208	110	208
1	4	208	94	208
1	72	208	88	208
1	120	208	152	208
1	24	208	104	208
1	120	208	8	208
1	104	208	104	208
1	184	208	184	208
1	40	208	8	208
