torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	384	624	2494	4368
1	384	624	1870	4368
1	176	624	3326	4368
1	384	624	4366	4368
1	384	624	1246	4368
1	176	624	2702	4368
1	192	624	1150	4368
1	192	624	526	4368
1	608	624	1982	4368
1	192	624	3022	4368
1	192	624	4270	4368
1	608	624	1358	4368
1	96	624	3166	4368
1	96	624	2542	4368
1	512	624	3998	4368
1	96	624	670	4368
1	96	624	1918	4368
1	512	624	3374	4368
1	288	624	142	4368
1	288	624	3886	4368
1	80	624	974	4368
1	288	624	2014	4368
1	288	624	3262	4368
1	80	624	350	4368
1	0	624	4174	4368
1	0	624	3550	4368
1	416	624	638	4368
1	0	624	1678	4368
1	0	624	2926	4368
1	416	624	14	4368
1	336	624	478	4368
1	336	624	4222	4368
1	128	624	1310	4368
1	336	624	2350	4368
1	336	624	3598	4368
1	128	624	686	4368
1	0	624	2494	4368
1	0	624	1870	4368
1	416	624	3326	4368
1	0	624	4366	4368
1	0	624	1246	4368
1	416	624	2702	4368
1	144	624	814	4368
1	144	624	190	4368
1	560	624	1646	4368
1	144	624	2686	4368
1	144	624	3934	4368
1	560	624	1022	4368
1	48	624	142	4368
1	48	624	3886	4368
1	464	624	974	4368
1	48	624	2014	4368
1	48	624	3262	4368
1	464	624	350	4368
1	144	624	3502	4368
1	144	624	2878	4368
1	560	624	4334	4368
1	144	624	1006	4368
1	144	624	2254	4368
1	560	624	3710	4368
1	240	624	1486	4368
1	240	624	862	4368
1	32	624	2318	4368
1	240	624	3358	4368
1	240	624	238	4368
1	32	624	1694	4368
1	432	624	2830	4368
1	432	624	2206	4368
1	224	624	3662	4368
1	432	624	334	4368
1	432	624	1582	4368
1	224	624	3038	4368
1	96	624	478	4368
1	96	624	4222	4368
1	512	624	1310	4368
1	96	624	2350	4368
1	96	624	3598	4368
1	512	624	686	4368
1	48	624	2830	4368
1	48	624	2206	4368
1	464	624	3662	4368
1	48	624	334	4368
1	48	624	1582	4368
1	464	624	3038	4368
1	336	624	2158	4368
1	336	624	1534	4368
1	128	624	2990	4368
1	336	624	4030	4368
1	336	624	910	4368
1	128	624	2366	4368
1	480	624	1486	4368
1	480	624	862	4368
1	272	624	2318	4368
1	480	624	3358	4368
1	480	624	238	4368
1	272	624	1694	4368
1	480	624	3166	4368
1	480	624	2542	4368
1	272	624	3998	4368
1	480	624	670	4368
1	480	624	1918	4368
1	272	624	3374	4368
1	384	624	814	4368
1	384	624	190	4368
1	176	624	1646	4368
1	384	624	2686	4368
1	384	624	3934	4368
1	176	624	1022	4368
1	528	624	3502	4368
1	528	624	2878	4368
1	320	624	4334	4368
1	528	624	1006	4368
1	528	624	2254	4368
1	320	624	3710	4368
1	576	624	2158	4368
1	576	624	1534	4368
1	368	624	2990	4368
1	576	624	4030	4368
1	576	624	910	4368
1	368	624	2366	4368
1	192	624	3838	4368
1	192	624	3214	4368
1	608	624	302	4368
1	192	624	1342	4368
1	192	624	2590	4368
1	608	624	4046	4368
1	240	624	4174	4368
1	240	624	3550	4368
1	32	624	638	4368
1	240	624	1678	4368
1	240	624	2926	4368
1	32	624	14	4368
1	528	624	1822	4368
1	528	624	1198	4368
1	320	624	2654	4368
1	528	624	3694	4368
1	528	624	574	4368
1	320	624	2030	4368
1	288	624	1822	4368
1	288	624	1198	4368
1	80	624	2654	4368
1	288	624	3694	4368
1	288	624	574	4368
