torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	0	624	2494	4368
1	0	624	1870	4368
1	416	624	3326	4368
1	0	624	4366	4368
1	0	624	1246	4368
1	416	624	2702	4368
1	144	624	3502	4368
1	144	624	2878	4368
1	560	624	4334	4368
1	144	624	1006	4368
1	144	624	2254	4368
1	560	624	3710	4368
1	480	624	1486	4368
1	480	624	862	4368
1	272	624	2318	4368
1	480	624	3358	4368
1	480	624	238	4368
1	272	624	1694	4368
1	192	624	3838	4368
1	192	624	3214	4368
1	608	624	302	4368
1	192	624	1342	4368
1	192	624	2590	4368
1	608	624	4046	4368
1	240	624	4174	4368
1	240	624	3550	4368
1	32	624	638	4368
1	240	624	1678	4368
1	240	624	2926	4368
1	32	624	14	4368
1	528	624	1822	4368
1	528	624	1198	4368
1	320	624	2654	4368
1	528	624	3694	4368
1	528	624	574	4368
1	320	624	2030	4368
1	432	624	1150	4368
1	432	624	526	4368
1	224	624	1982	4368
1	432	624	3022	4368
1	432	624	4270	4368
1	224	624	1358	4368
1	358	624	2766	4368
1	566	624	1310	4368
1	566	624	686	4368
1	166	624	1422	4368
1	374	624	4334	4368
1	374	624	3710	4368
1	22	624	414	4368
1	230	624	3326	4368
1	230	624	2702	4368
1	406	624	3102	4368
1	614	624	1646	4368
1	614	624	1022	4368
1	70	624	750	4368
1	278	624	3662	4368
1	278	624	3038	4368
1	598	624	78	4368
1	182	624	2990	4368
1	182	624	2366	4368
1	310	624	2430	4368
1	518	624	974	4368
1	518	624	350	4368
1	312	624	310	4368
1	312	624	4054	4368
1	104	624	1142	4368
1	312	624	2182	4368
1	312	624	3430	4368
1	104	624	518	4368
1	456	624	1318	4368
1	456	624	694	4368
1	248	624	2150	4368
1	456	624	3190	4368
1	456	624	70	4368
1	248	624	1526	4368
1	168	624	3670	4368
1	168	624	3046	4368
1	584	624	134	4368
1	168	624	1174	4368
1	168	624	2422	4368
1	584	624	3878	4368
1	504	624	1654	4368
1	504	624	1030	4368
1	296	624	2486	4368
1	504	624	3526	4368
1	504	624	406	4368
1	296	624	1862	4368
1	552	624	1990	4368
1	552	624	1366	4368
1	344	624	2822	4368
1	552	624	3862	4368
1	552	624	742	4368
1	344	624	2198	4368
1	216	624	4006	4368
1	216	624	3382	4368
1	8	624	470	4368
1	216	624	1510	4368
1	216	624	2758	4368
1	8	624	4214	4368
1	120	624	3334	4368
1	120	624	2710	4368
1	536	624	4166	4368
1	120	624	838	4368
1	120	624	2086	4368
1	536	624	3542	4368
1	46	624	582	4368
1	254	624	3494	4368
1	254	624	2870	4368
1	478	624	3606	4368
1	62	624	2150	4368
1	62	624	1526	4368
1	334	624	2598	4368
1	542	624	1142	4368
1	542	624	518	4368
1	94	624	918	4368
1	302	624	3830	4368
1	302	624	3206	4368
1	382	624	2934	4368
1	590	624	1478	4368
1	590	624	854	4368
1	286	624	2262	4368
1	494	624	806	4368
1	494	624	182	4368
1	622	624	246	4368
1	206	624	3158	4368
1	206	624	2534	4368
2	312	624	2809	4368
2	312	624	1561	4368
2	312	624	2185	4368
2	600	624	457	4368
2	600	624	3577	4368
2	600	624	4201	4368
2	120	624	1465	4368
2	120	624	217	4368
2	120	624	841	4368
2	504	624	4153	4368
2	504	624	2905	4368
2	504	624	3529	4368
2	24	624	793	4368
2	24	624	3913	4368
2	24	624	169	4368
2	156	624	3901	4368
2	156	624	2653	4368
2	156	624	3277	4368
2	444	624	1549	4368
2	444	624	301	4368
2	444	624	925	4368
2	588	624	2557	4368
2	588	624	1309	4368
2	588	624	1933	4368
2	348	624	877	4368
2	348	624	3997	4368
2	348	624	253	4368
2	492	624	1885	4368
2	492	624	637	4368
2	492	624	1261	4368
2	0	624	2809	4368
2	0	624	1561	4368
2	0	624	2185	4368
2	288	624	457	4368
2	288	624	3577	4368
2	288	624	4201	4368
2	432	624	1465	4368
2	432	624	217	4368
2	432	624	841	4368
2	192	624	4153	4368
2	192	624	2905	4368
2	192	624	3529	4368
2	336	624	793	4368
2	336	624	3913	4368
2	336	624	169	4368
2	0	624	625	4368
2	0	624	3745	4368
2	0	624	1	4368
2	288	624	2641	4368
2	288	624	1393	4368
2	288	624	2017	4368
2	432	624	3649	4368
2	432	624	2401	4368
2	432	624	3025	4368
2	192	624	1969	4368
2	192	624	721	4368
2	192	624	1345	4368
2	336	624	2977	4368
2	336	624	1729	4368
2	336	624	2353	4368
2	468	624	1717	4368
2	468	624	469	4368
2	468	624	1093	4368
2	132	624	3733	4368
2	132	624	2485	4368
2	132	624	3109	4368
2	276	624	373	4368
2	276	624	3493	4368
2	276	624	4117	4368
2	36	624	3061	4368
2	36	624	1813	4368
2	36	624	2437	4368
2	180	624	4069	4368
2	180	624	2821	4368
2	180	624	3445	4368
2	156	624	1717	4368
2	156	624	469	4368
2	156	624	1093	4368
2	444	624	3733	4368
2	444	624	2485	4368
2	444	624	3109	4368
2	588	624	373	4368
2	588	624	3493	4368
2	588	624	4117	4368
2	348	624	3061	4368
2	348	624	1813	4368
2	348	624	2437	4368
2	492	624	4069	4368
2	492	624	2821	4368
2	492	624	3445	4368
2	468	624	3901	4368
2	468	624	2653	4368
2	468	624	3277	4368
2	132	624	1549	4368
2	132	624	301	4368
2	132	624	925	4368
2	276	624	2557	4368
2	276	624	1309	4368
2	276	624	1933	4368
2	36	624	877	4368
2	36	624	3997	4368
2	36	624	253	4368
2	180	624	1885	4368
2	180	624	637	4368
2	180	624	1261	4368
2	312	624	625	4368
2	312	624	3745	4368
2	312	624	1	4368
2	600	624	2641	4368
2	600	624	1393	4368
2	600	624	2017	4368
2	120	624	3649	4368
2	120	624	2401	4368
2	120	624	3025	4368
2	504	624	1969	4368
2	504	624	721	4368
2	504	624	1345	4368
2	24	624	2977	4368
2	24	624	1729	4368
2	24	624	2353	4368
3	356	624	2570	4368
3	20	624	218	4368
3	596	624	4250	4368
3	308	624	2234	4368
3	260	624	1898	4368
3	68	624	554	4368
3	44	624	386	4368
3	332	624	2402	4368
3	284	624	2066	4368
3	620	624	50	4368
3	572	624	4082	4368
3	380	624	2738	4368
4	180	624	1885	4368
4	180	624	1261	4368
4	180	624	637	4368
4	516	624	2557	4368
4	516	624	1933	4368
4	516	624	1309	4368
4	612	624	3229	4368
4	612	624	2605	4368
4	612	624	1981	4368
4	180	624	205	4368
4	180	624	3949	4368
4	180	624	3325	4368
4	468	624	2221	4368
4	468	624	1597	4368
4	468	624	973	4368
4	372	624	1549	4368
4	372	624	925	4368
