torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	592	624	414	4368
1	176	624	4158	4368
1	592	624	2702	4368
1	384	624	3326	4368
1	592	624	1870	4368
1	384	624	2494	4368
1	384	624	1870	4368
1	384	624	4158	4368
1	176	624	2910	4368
1	176	624	3326	4368
1	176	624	1870	4368
1	176	624	1038	4368
1	384	624	4366	4368
1	592	624	1454	4368
1	384	624	414	4368
1	176	624	414	4368
1	592	624	1246	4368
1	592	624	3950	4368
1	384	624	1246	4368
1	592	624	3326	4368
1	176	624	2702	4368
1	400	624	3438	4368
1	608	624	2814	4368
1	400	624	1358	4368
1	192	624	1982	4368
1	400	624	526	4368
1	192	624	1150	4368
1	192	624	526	4368
1	192	624	2814	4368
1	608	624	1566	4368
1	608	624	1982	4368
1	608	624	526	4368
1	608	624	4062	4368
1	192	624	3022	4368
1	400	624	110	4368
1	192	624	3438	4368
1	608	624	3438	4368
1	400	624	4270	4368
1	400	624	2606	4368
1	192	624	4270	4368
1	400	624	1982	4368
1	608	624	1358	4368
1	304	624	1086	4368
1	512	624	462	4368
1	304	624	3374	4368
1	96	624	3998	4368
1	304	624	2542	4368
1	96	624	3166	4368
1	96	624	2542	4368
1	96	624	462	4368
1	512	624	3582	4368
1	512	624	3998	4368
1	512	624	2542	4368
1	512	624	1710	4368
1	96	624	670	4368
1	304	624	2126	4368
1	96	624	1086	4368
1	512	624	1086	4368
1	304	624	1918	4368
1	304	624	254	4368
1	96	624	1918	4368
1	304	624	3998	4368
1	512	624	3374	4368
1	496	624	2430	4368
1	80	624	1806	4368
1	496	624	350	4368
1	288	624	974	4368
1	496	624	3886	4368
1	288	624	142	4368
1	288	624	3886	4368
1	288	624	1806	4368
1	80	624	558	4368
1	80	624	974	4368
1	80	624	3886	4368
1	80	624	3054	4368
1	288	624	2014	4368
1	496	624	3470	4368
1	288	624	2430	4368
1	80	624	2430	4368
1	496	624	3262	4368
1	496	624	1598	4368
1	288	624	3262	4368
1	496	624	974	4368
1	80	624	350	4368
1	208	624	2094	4368
1	416	624	1470	4368
1	208	624	14	4368
1	0	624	638	4368
1	208	624	3550	4368
1	0	624	4174	4368
1	0	624	3550	4368
1	0	624	1470	4368
1	416	624	222	4368
1	416	624	638	4368
1	416	624	3550	4368
1	416	624	2718	4368
1	0	624	1678	4368
1	208	624	3134	4368
1	0	624	2094	4368
1	416	624	2094	4368
1	208	624	2926	4368
1	208	624	1262	4368
1	0	624	2926	4368
1	208	624	638	4368
1	416	624	14	4368
1	544	624	2766	4368
1	128	624	2142	4368
1	544	624	686	4368
1	336	624	1310	4368
1	544	624	4222	4368
1	336	624	478	4368
1	336	624	4222	4368
1	336	624	2142	4368
1	128	624	894	4368
1	128	624	1310	4368
1	128	624	4222	4368
1	128	624	3390	4368
1	336	624	2350	4368
1	544	624	3806	4368
1	336	624	2766	4368
1	128	624	2766	4368
1	544	624	3598	4368
