prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
37	1	0	0	24	24	3	inf
37	1	0	1	24	24	3	33
37	1	0	2	24	24	2	20
37	1	0	6	24	24	2	12
37	1	0	7	24	24	3	0
37	1	0	8	24	24	2	25
37	1	0	12	24	24	2	17
37	1	0	13	24	24	3	4
37	1	0	14	24	24	2	17
37	1	0	18	24	24	2	25
37	1	0	19	24	24	3	0
37	1	0	20	24	24	2	12
37	1	0	22	24	24	3	inf
37	1	1	0	24	24	3	27
37	1	1	1	24	24	2	36
37	1	1	2	24	24	3	5
37	1	1	3	24	24	2	36
37	1	1	4	24	24	3	27
37	1	1	8	24	24	3	inf
37	1	1	12	24	24	3	10
37	1	1	13	24	24	2	1
37	1	1	14	24	24	3	32
37	1	1	15	24	24	2	1
37	1	1	16	24	24	3	10
37	1	1	20	24	24	3	inf
37	1	2	0	24	24	3	inf
37	1	2	2	24	24	3	inf
37	1	2	3	24	24	3	33
37	1	2	4	24	24	2	20
37	1	2	8	24	24	2	12
37	1	2	9	24	24	3	0
37	1	2	10	24	24	2	25
37	1	2	14	24	24	2	17
37	1	2	15	24	24	3	4
37	1	2	16	24	24	2	17
37	1	2	20	24	24	2	25
37	1	2	21	24	24	3	0
37	1	2	22	24	24	2	12
37	1	3	2	24	24	3	27
37	1	3	3	24	24	2	36
37	1	3	4	24	24	3	5
37	1	3	5	24	24	2	36
37	1	3	6	24	24	3	27
37	1	3	10	24	24	3	inf
37	1	3	14	24	24	3	10
37	1	3	15	24	24	2	1
37	1	3	16	24	24	3	32
37	1	3	17	24	24	2	1
37	1	3	18	24	24	3	10
37	1	3	22	24	24	3	inf
37	1	4	0	24	24	2	12
37	1	4	2	24	24	3	inf
37	1	4	4	24	24	3	inf
37	1	4	5	24	24	3	33
37	1	4	6	24	24	2	20
37	1	4	10	24	24	2	12
37	1	4	11	24	24	3	0
37	1	4	12	24	24	2	25
37	1	4	16	24	24	2	17
37	1	4	17	24	24	3	4
37	1	4	18	24	24	2	17
37	1	4	22	24	24	2	25
37	1	4	23	24	24	3	0
37	1	5	0	24	24	3	inf
37	1	5	4	24	24	3	27
37	1	5	5	24	24	2	36
37	1	5	6	24	24	3	5
37	1	5	7	24	24	2	36
37	1	5	8	24	24	3	27
37	1	5	12	24	24	3	inf
37	1	5	16	24	24	3	10
37	1	5	17	24	24	2	1
37	1	5	18	24	24	3	32
37	1	5	19	24	24	2	1
37	1	5	20	24	24	3	10
37	1	6	0	24	24	2	25
37	1	6	1	24	24	3	0
37	1	6	2	24	24	2	12
37	1	6	4	24	24	3	inf
37	1	6	6	24	24	3	inf
37	1	6	7	24	24	3	33
37	1	6	8	24	24	2	20
37	1	6	12	24	24	2	12
37	1	6	13	24	24	3	0
37	1	6	14	24	24	2	25
37	1	6	18	24	24	2	17
37	1	6	19	24	24	3	4
37	1	6	20	24	24	2	17
37	1	7	2	24	24	3	inf
37	1	7	6	24	24	3	27
37	1	7	7	24	24	2	36
37	1	7	8	24	24	3	5
37	1	7	9	24	24	2	36
37	1	7	10	24	24	3	27
37	1	7	14	24	24	3	inf
37	1	7	18	24	24	3	10
37	1	7	19	24	24	2	1
37	1	7	20	24	24	3	32
37	1	7	21	24	24	2	1
37	1	7	22	24	24	3	10
37	1	8	2	24	24	2	25
37	1	8	3	24	24	3	0
37	1	8	4	24	24	2	12
37	1	8	6	24	24	3	inf
37	1	8	8	24	24	3	inf
37	1	8	9	24	24	3	33
37	1	8	10	24	24	2	20
37	1	8	14	24	24	2	12
37	1	8	15	24	24	3	0
37	1	8	16	24	24	2	25
37	1	8	20	24	24	2	17
37	1	8	21	24	24	3	4
37	1	8	22	24	24	2	17
37	1	9	0	24	24	3	10
37	1	9	4	24	24	3	inf
37	1	9	8	24	24	3	27
37	1	9	9	24	24	2	36
37	1	9	10	24	24	3	5
37	1	9	11	24	24	2	36
37	1	9	12	24	24	3	27
37	1	9	16	24	24	3	inf
37	1	9	20	24	24	3	10
37	1	9	21	24	24	2	1
37	1	9	22	24	24	3	32
37	1	9	23	24	24	2	1
37	1	10	0	24	24	2	17
37	1	10	4	24	24	2	25
37	1	10	5	24	24	3	0
37	1	10	6	24	24	2	12
37	1	10	8	24	24	3	inf
37	1	10	10	24	24	3	inf
37	1	10	11	24	24	3	33
37	1	10	12	24	24	2	20
37	1	10	16	24	24	2	12
37	1	10	17	24	24	3	0
37	1	10	18	24	24	2	25
37	1	10	22	24	24	2	17
37	1	10	23	24	24	3	4
37	1	11	0	24	24	3	32
37	1	11	1	24	24	2	1
37	1	11	2	24	24	3	10
37	1	11	6	24	24	3	inf
37	1	11	10	24	24	3	27
37	1	11	11	24	24	2	36
37	1	11	12	24	24	3	5
37	1	11	13	24	24	2	36
37	1	11	14	24	24	3	27
37	1	11	18	24	24	3	inf
37	1	11	22	24	24	3	10
37	1	11	23	24	24	2	1
37	1	12	0	24	24	2	17
37	1	12	1	24	24	3	4
37	1	12	2	24	24	2	17
37	1	12	6	24	24	2	25
37	1	12	7	24	24	3	0
37	1	12	8	24	24	2	12
37	1	12	10	24	24	3	inf
37	1	12	12	24	24	3	inf
37	1	12	13	24	24	3	33
37	1	12	14	24	24	2	20
37	1	12	18	24	24	2	12
37	1	12	19	24	24	3	0
37	1	12	20	24	24	2	25
37	1	13	0	24	24	3	10
37	1	13	1	24	24	2	1
37	1	13	2	24	24	3	32
37	1	13	3	24	24	2	1
37	1	13	4	24	24	3	10
37	1	13	8	24	24	3	inf
37	1	13	12	24	24	3	27
37	1	13	13	24	24	2	36
37	1	13	14	24	24	3	5
37	1	13	15	24	24	2	36
37	1	13	16	24	24	3	27
37	1	13	20	24	24	3	inf
37	1	14	2	24	24	2	17
37	1	14	3	24	24	3	4
37	1	14	4	24	24	2	17
37	1	14	8	24	24	2	25
37	1	14	9	24	24	3	0
37	1	14	10	24	24	2	12
37	1	14	12	24	24	3	inf
37	1	14	14	24	24	3	inf
37	1	14	15	24	24	3	33
37	1	14	16	24	24	2	20
37	1	14	20	24	24	2	12
37	1	14	21	24	24	3	0
37	1	14	22	24	24	2	25
37	1	15	2	24	24	3	10
37	1	15	3	24	24	2	1
37	1	15	4	24	24	3	32
37	1	15	5	24	24	2	1
37	1	15	6	24	24	3	10
37	1	15	10	24	24	3	inf
37	1	15	14	24	24	3	27
37	1	15	15	24	24	2	36
37	1	15	16	24	24	3	5
37	1	15	17	24	24	2	36
37	1	15	18	24	24	3	27
37	1	15	22	24	24	3	inf
37	1	16	0	24	24	2	25
37	1	16	4	24	24	2	17
37	1	16	5	24	24	3	4
37	1	16	6	24	24	2	17
37	1	16	10	24	24	2	25
37	1	16	11	24	24	3	0
37	1	16	12	24	24	2	12
37	1	16	14	24	24	3	inf
37	1	16	16	24	24	3	inf
37	1	16	17	24	24	3	33
37	1	16	18	24	24	2	20
37	1	16	22	24	24	2	12
37	1	16	23	24	24	3	0
37	1	17	0	24	24	3	inf
37	1	17	4	24	24	3	10
37	1	17	5	24	24	2	1
37	1	17	6	24	24	3	32
37	1	17	7	24	24	2	1
37	1	17	8	24	24	3	10
37	1	17	12	24	24	3	inf
37	1	17	16	24	24	3	27
37	1	17	17	24	24	2	36
37	1	17	18	24	24	3	5
37	1	17	19	24	24	2	36
37	1	17	20	24	24	3	27
37	1	18	0	24	24	2	12
37	1	18	1	24	24	3	0
37	1	18	2	24	24	2	25
37	1	18	6	24	24	2	17
37	1	18	7	24	24	3	4
37	1	18	8	24	24	2	17
37	1	18	12	24	24	2	25
37	1	18	13	24	24	3	0
37	1	18	14	24	24	2	12
37	1	18	16	24	24	3	inf
37	1	18	18	24	24	3	inf
37	1	18	19	24	24	3	33
37	1	18	20	24	24	2	20
37	1	19	2	24	24	3	inf
37	1	19	6	24	24	3	10
37	1	19	7	24	24	2	1
37	1	19	8	24	24	3	32
37	1	19	9	24	24	2	1
37	1	19	10	24	24	3	10
37	1	19	14	24	24	3	inf
37	1	19	18	24	24	3	27
37	1	19	19	24	24	2	36
37	1	19	20	24	24	3	5
37	1	19	21	24	24	2	36
37	1	19	22	24	24	3	27
37	1	20	2	24	24	2	12
37	1	20	3	24	24	3	0
37	1	20	4	24	24	2	25
37	1	20	8	24	24	2	17
37	1	20	9	24	24	3	4
37	1	20	10	24	24	2	17
37	1	20	14	24	24	2	25
37	1	20	15	24	24	3	0
37	1	20	16	24	24	2	12
37	1	20	18	24	24	3	inf
37	1	20	20	24	24	3	inf
37	1	20	21	24	24	3	33
37	1	20	22	24	24	2	20
37	1	21	0	24	24	3	27
37	1	21	4	24	24	3	inf
37	1	21	8	24	24	3	10
37	1	21	9	24	24	2	1
37	1	21	10	24	24	3	32
37	1	21	11	24	24	2	1
37	1	21	12	24	24	3	10
37	1	21	16	24	24	3	inf
37	1	21	20	24	24	3	27
37	1	21	21	24	24	2	36
37	1	21	22	24	24	3	5
