prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
29	1	0	0	16	16	3	inf
29	1	0	2	16	16	2	9
29	1	0	3	16	16	2	2
29	1	0	5	16	16	3	0
29	1	0	7	16	16	2	27
29	1	0	8	16	16	2	20
29	1	0	10	16	16	2	20
29	1	0	11	16	16	2	27
29	1	0	13	16	16	3	0
29	1	0	14	16	16	3	inf
29	1	0	15	16	16	2	2
29	1	1	2	16	16	3	inf
29	1	1	6	16	16	3	22
29	1	1	10	16	16	3	inf
29	1	1	14	16	16	3	7
29	1	2	1	16	16	2	27
29	1	2	2	16	16	2	20
29	1	2	4	16	16	2	20
29	1	2	5	16	16	2	27
29	1	2	7	16	16	3	0
29	1	2	8	16	16	3	inf
29	1	2	9	16	16	2	2
29	1	2	10	16	16	3	inf
29	1	2	12	16	16	2	9
29	1	2	13	16	16	2	2
29	1	2	15	16	16	3	0
29	1	3	0	16	16	3	22
29	1	3	4	16	16	3	inf
29	1	3	8	16	16	3	7
29	1	3	12	16	16	3	inf
29	1	4	1	16	16	3	0
29	1	4	2	16	16	3	inf
29	1	4	3	16	16	2	2
29	1	4	4	16	16	3	inf
29	1	4	6	16	16	2	9
29	1	4	7	16	16	2	2
29	1	4	9	16	16	3	0
29	1	4	11	16	16	2	27
29	1	4	12	16	16	2	20
29	1	4	14	16	16	2	20
29	1	4	15	16	16	2	27
29	1	5	2	16	16	3	7
29	1	5	6	16	16	3	inf
29	1	5	10	16	16	3	22
29	1	5	14	16	16	3	inf
29	1	6	0	16	16	2	9
29	1	6	1	16	16	2	2
29	1	6	3	16	16	3	0
29	1	6	5	16	16	2	27
29	1	6	6	16	16	2	20
29	1	6	8	16	16	2	20
29	1	6	9	16	16	2	27
29	1	6	11	16	16	3	0
29	1	6	12	16	16	3	inf
29	1	6	13	16	16	2	2
29	1	6	14	16	16	3	inf
29	1	7	0	16	16	3	inf
29	1	7	4	16	16	3	22
29	1	7	8	16	16	3	inf
29	1	7	12	16	16	3	7
29	1	8	0	16	16	2	20
29	1	8	2	16	16	2	20
29	1	8	3	16	16	2	27
29	1	8	5	16	16	3	0
29	1	8	6	16	16	3	inf
29	1	8	7	16	16	2	2
29	1	8	8	16	16	3	inf
29	1	8	10	16	16	2	9
29	1	8	11	16	16	2	2
29	1	8	13	16	16	3	0
29	1	8	15	16	16	2	27
29	1	9	2	16	16	3	inf
29	1	9	6	16	16	3	7
29	1	9	10	16	16	3	inf
29	1	9	14	16	16	3	22
29	1	10	0	16	16	3	inf
29	1	10	1	16	16	2	2
29	1	10	2	16	16	3	inf
29	1	10	4	16	16	2	9
29	1	10	5	16	16	2	2
29	1	10	7	16	16	3	0
29	1	10	9	16	16	2	27
29	1	10	10	16	16	2	20
29	1	10	12	16	16	2	20
29	1	10	13	16	16	2	27
29	1	10	15	16	16	3	0
29	1	11	0	16	16	3	7
29	1	11	4	16	16	3	inf
29	1	11	8	16	16	3	22
29	1	11	12	16	16	3	inf
29	1	12	1	16	16	3	0
29	1	12	3	16	16	2	27
29	1	12	4	16	16	2	20
29	1	12	6	16	16	2	20
29	1	12	7	16	16	2	27
29	1	12	9	16	16	3	0
29	1	12	10	16	16	3	inf
29	1	12	11	16	16	2	2
29	1	12	12	16	16	3	inf
29	1	12	14	16	16	2	9
29	1	12	15	16	16	2	2
29	1	13	2	16	16	3	22
29	1	13	6	16	16	3	inf
29	1	13	10	16	16	3	7
29	1	13	14	16	16	3	inf
29	1	14	0	16	16	2	20
29	1	14	1	16	16	2	27
29	1	14	3	16	16	3	0
29	1	14	4	16	16	3	inf
29	1	14	5	16	16	2	2
29	1	14	6	16	16	3	inf
29	1	14	8	16	16	2	9
29	1	14	9	16	16	2	2
29	1	14	11	16	16	3	0
29	1	14	13	16	16	2	27
29	1	14	14	16	16	2	20
29	1	15	0	16	16	3	inf
29	1	15	4	16	16	3	7
29	1	15	8	16	16	3	inf
29	1	15	12	16	16	3	22
29	2	0	1	16	16	3	inf
29	2	0	5	16	16	3	22
29	2	0	9	16	16	3	inf
29	2	0	13	16	16	3	7
29	2	1	0	16	16	2	27
29	2	1	1	16	16	2	20
29	2	1	3	16	16	2	20
29	2	1	4	16	16	2	27
29	2	1	6	16	16	3	0
29	2	1	7	16	16	3	inf
29	2	1	8	16	16	2	2
29	2	1	9	16	16	3	inf
29	2	1	11	16	16	2	9
29	2	1	12	16	16	2	2
29	2	1	14	16	16	3	0
29	2	2	3	16	16	3	inf
29	2	2	7	16	16	3	7
29	2	2	11	16	16	3	inf
29	2	2	15	16	16	3	22
29	2	3	0	16	16	3	0
29	2	3	1	16	16	3	inf
29	2	3	2	16	16	2	2
29	2	3	3	16	16	3	inf
29	2	3	5	16	16	2	9
29	2	3	6	16	16	2	2
29	2	3	8	16	16	3	0
29	2	3	10	16	16	2	27
29	2	3	11	16	16	2	20
29	2	3	13	16	16	2	20
29	2	3	14	16	16	2	27
