prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
239	1	0	0	58	116	3	inf
239	1	0	6	58	116	2	109
239	1	0	8	58	116	2	124
239	1	0	27	58	116	2	224
239	1	0	28	58	116	3	226
239	1	0	30	58	116	3	inf
239	1	0	32	58	116	3	13
239	1	0	33	58	116	2	15
239	1	0	52	58	116	2	115
239	1	0	54	58	116	2	130
239	1	0	64	58	116	2	130
239	1	0	66	58	116	2	115
239	1	0	85	58	116	2	15
239	1	0	86	58	116	3	13
239	1	0	88	58	116	3	inf
239	1	0	90	58	116	3	226
239	1	0	91	58	116	2	224
239	1	0	110	58	116	2	124
239	1	0	112	58	116	2	109
239	1	0	114	58	116	3	inf
239	1	1	0	58	116	2	29
239	1	1	1	58	116	2	238
239	1	1	5	58	116	2	238
239	1	1	6	58	116	2	29
239	1	1	16	58	116	2	21
239	1	1	26	58	116	2	203
239	1	1	32	58	116	3	0
239	1	1	38	58	116	2	36
239	1	1	48	58	116	2	218
239	1	1	58	58	116	2	210
239	1	1	59	58	116	2	1
239	1	1	63	58	116	2	1
239	1	1	64	58	116	2	210
239	1	1	74	58	116	2	218
239	1	1	84	58	116	2	36
239	1	1	90	58	116	3	0
239	1	1	96	58	116	2	203
239	1	1	106	58	116	2	21
239	1	2	0	58	116	2	109
239	1	2	2	58	116	3	inf
239	1	2	4	58	116	3	inf
239	1	2	10	58	116	2	109
239	1	2	12	58	116	2	124
239	1	2	31	58	116	2	224
239	1	2	32	58	116	3	226
239	1	2	34	58	116	3	inf
239	1	2	36	58	116	3	13
239	1	2	37	58	116	2	15
239	1	2	56	58	116	2	115
239	1	2	58	58	116	2	130
239	1	2	68	58	116	2	130
239	1	2	70	58	116	2	115
239	1	2	89	58	116	2	15
239	1	2	90	58	116	3	13
239	1	2	92	58	116	3	inf
239	1	2	94	58	116	3	226
239	1	2	95	58	116	2	224
239	1	2	114	58	116	2	124
239	1	3	4	58	116	2	29
239	1	3	5	58	116	2	238
239	1	3	9	58	116	2	238
239	1	3	10	58	116	2	29
239	1	3	20	58	116	2	21
239	1	3	30	58	116	2	203
239	1	3	36	58	116	3	0
239	1	3	42	58	116	2	36
239	1	3	52	58	116	2	218
239	1	3	62	58	116	2	210
239	1	3	63	58	116	2	1
239	1	3	67	58	116	2	1
239	1	3	68	58	116	2	210
239	1	3	78	58	116	2	218
239	1	3	88	58	116	2	36
239	1	3	94	58	116	3	0
239	1	3	100	58	116	2	203
239	1	3	110	58	116	2	21
239	1	4	2	58	116	2	124
239	1	4	4	58	116	2	109
239	1	4	6	58	116	3	inf
239	1	4	8	58	116	3	inf
239	1	4	14	58	116	2	109
239	1	4	16	58	116	2	124
239	1	4	35	58	116	2	224
239	1	4	36	58	116	3	226
239	1	4	38	58	116	3	inf
239	1	4	40	58	116	3	13
239	1	4	41	58	116	2	15
239	1	4	60	58	116	2	115
239	1	4	62	58	116	2	130
239	1	4	72	58	116	2	130
239	1	4	74	58	116	2	115
239	1	4	93	58	116	2	15
239	1	4	94	58	116	3	13
239	1	4	96	58	116	3	inf
239	1	4	98	58	116	3	226
239	1	4	99	58	116	2	224
239	1	5	8	58	116	2	29
239	1	5	9	58	116	2	238
239	1	5	13	58	116	2	238
239	1	5	14	58	116	2	29
239	1	5	24	58	116	2	21
239	1	5	34	58	116	2	203
239	1	5	40	58	116	3	0
239	1	5	46	58	116	2	36
239	1	5	56	58	116	2	218
239	1	5	66	58	116	2	210
239	1	5	67	58	116	2	1
239	1	5	71	58	116	2	1
239	1	5	72	58	116	2	210
239	1	5	82	58	116	2	218
239	1	5	92	58	116	2	36
239	1	5	98	58	116	3	0
239	1	5	104	58	116	2	203
239	1	5	114	58	116	2	21
239	1	6	6	58	116	2	124
239	1	6	8	58	116	2	109
239	1	6	10	58	116	3	inf
239	1	6	12	58	116	3	inf
239	1	6	18	58	116	2	109
239	1	6	20	58	116	2	124
239	1	6	39	58	116	2	224
239	1	6	40	58	116	3	226
239	1	6	42	58	116	3	inf
239	1	6	44	58	116	3	13
239	1	6	45	58	116	2	15
239	1	6	64	58	116	2	115
239	1	6	66	58	116	2	130
239	1	6	76	58	116	2	130
239	1	6	78	58	116	2	115
239	1	6	97	58	116	2	15
239	1	6	98	58	116	3	13
239	1	6	100	58	116	3	inf
239	1	6	102	58	116	3	226
239	1	6	103	58	116	2	224
239	1	7	2	58	116	2	21
239	1	7	12	58	116	2	29
239	1	7	13	58	116	2	238
239	1	7	17	58	116	2	238
239	1	7	18	58	116	2	29
239	1	7	28	58	116	2	21
239	1	7	38	58	116	2	203
239	1	7	44	58	116	3	0
239	1	7	50	58	116	2	36
239	1	7	60	58	116	2	218
239	1	7	70	58	116	2	210
239	1	7	71	58	116	2	1
239	1	7	75	58	116	2	1
239	1	7	76	58	116	2	210
