prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	0	16	16	3	inf
11	1	0	2	16	16	3	6
11	1	0	5	16	16	3	inf
11	1	0	8	16	16	3	5
11	1	0	10	16	16	3	5
11	1	0	13	16	16	3	inf
11	1	0	14	16	16	3	inf
11	1	1	2	16	16	3	inf
11	1	1	3	16	16	3	inf
11	1	1	5	16	16	3	inf
11	1	1	7	16	16	3	6
11	1	1	10	16	16	3	inf
11	1	1	13	16	16	3	5
11	1	1	15	16	16	3	5
11	1	2	2	16	16	3	5
11	1	2	4	16	16	3	5
11	1	2	7	16	16	3	inf
11	1	2	8	16	16	3	inf
11	1	2	10	16	16	3	inf
11	1	2	12	16	16	3	6
11	1	2	15	16	16	3	inf
11	1	3	1	16	16	3	6
11	1	3	4	16	16	3	inf
11	1	3	7	16	16	3	5
11	1	3	9	16	16	3	5
11	1	3	12	16	16	3	inf
11	1	3	13	16	16	3	inf
11	1	3	15	16	16	3	inf
11	1	4	1	16	16	3	inf
11	1	4	2	16	16	3	inf
11	1	4	4	16	16	3	inf
11	1	4	6	16	16	3	6
11	1	4	9	16	16	3	inf
11	1	4	12	16	16	3	5
11	1	4	14	16	16	3	5
11	1	5	1	16	16	3	5
11	1	5	3	16	16	3	5
11	1	5	6	16	16	3	inf
11	1	5	7	16	16	3	inf
11	1	5	9	16	16	3	inf
11	1	5	11	16	16	3	6
11	1	5	14	16	16	3	inf
11	1	6	0	16	16	3	6
11	1	6	3	16	16	3	inf
11	1	6	6	16	16	3	5
11	1	6	8	16	16	3	5
11	1	6	11	16	16	3	inf
11	1	6	12	16	16	3	inf
11	1	6	14	16	16	3	inf
11	1	7	0	16	16	3	inf
11	1	7	1	16	16	3	inf
11	1	7	3	16	16	3	inf
11	1	7	5	16	16	3	6
11	1	7	8	16	16	3	inf
11	1	7	11	16	16	3	5
11	1	7	13	16	16	3	5
11	1	8	0	16	16	3	5
11	1	8	2	16	16	3	5
11	1	8	5	16	16	3	inf
11	1	8	6	16	16	3	inf
11	1	8	8	16	16	3	inf
11	1	8	10	16	16	3	6
11	1	8	13	16	16	3	inf
11	1	9	2	16	16	3	inf
11	1	9	5	16	16	3	5
11	1	9	7	16	16	3	5
11	1	9	10	16	16	3	inf
11	1	9	11	16	16	3	inf
11	1	9	13	16	16	3	inf
11	1	9	15	16	16	3	6
11	1	10	0	16	16	3	inf
11	1	10	2	16	16	3	inf
11	1	10	4	16	16	3	6
11	1	10	7	16	16	3	inf
11	1	10	10	16	16	3	5
11	1	10	12	16	16	3	5
11	1	10	15	16	16	3	inf
11	1	11	1	16	16	3	5
11	1	11	4	16	16	3	inf
11	1	11	5	16	16	3	inf
11	1	11	7	16	16	3	inf
11	1	11	9	16	16	3	6
11	1	11	12	16	16	3	inf
11	1	11	15	16	16	3	5
11	1	12	1	16	16	3	inf
11	1	12	4	16	16	3	5
11	1	12	6	16	16	3	5
11	1	12	9	16	16	3	inf
11	1	12	10	16	16	3	inf
11	1	12	12	16	16	3	inf
11	1	12	14	16	16	3	6
11	1	13	1	16	16	3	inf
11	1	13	3	16	16	3	6
11	1	13	6	16	16	3	inf
11	1	13	9	16	16	3	5
11	1	13	11	16	16	3	5
11	1	13	14	16	16	3	inf
11	1	13	15	16	16	3	inf
11	1	14	0	16	16	3	5
11	1	14	3	16	16	3	inf
11	1	14	4	16	16	3	inf
11	1	14	6	16	16	3	inf
11	1	14	8	16	16	3	6
11	1	14	11	16	16	3	inf
11	1	14	14	16	16	3	5
11	1	15	0	16	16	3	inf
11	1	15	3	16	16	3	5
11	1	15	5	16	16	3	5
11	1	15	8	16	16	3	inf
11	1	15	9	16	16	3	inf
11	1	15	11	16	16	3	inf
11	1	15	13	16	16	3	6
11	2	0	1	16	16	3	inf
11	2	0	4	16	16	3	5
11	2	0	6	16	16	3	5
11	2	0	9	16	16	3	inf
11	2	0	10	16	16	3	inf
11	2	0	12	16	16	3	inf
11	2	0	14	16	16	3	6
11	2	1	1	16	16	3	inf
11	2	1	3	16	16	3	6
11	2	1	6	16	16	3	inf
11	2	1	9	16	16	3	5
11	2	1	11	16	16	3	5
11	2	1	14	16	16	3	inf
11	2	1	15	16	16	3	inf
11	2	2	0	16	16	3	5
11	2	2	3	16	16	3	inf
11	2	2	4	16	16	3	inf
11	2	2	6	16	16	3	inf
11	2	2	8	16	16	3	6
11	2	2	11	16	16	3	inf
11	2	2	14	16	16	3	5
11	2	3	0	16	16	3	inf
11	2	3	3	16	16	3	5
11	2	3	5	16	16	3	5
11	2	3	8	16	16	3	inf
11	2	3	9	16	16	3	inf
11	2	3	11	16	16	3	inf
11	2	3	13	16	16	3	6
11	2	4	0	16	16	3	inf
11	2	4	2	16	16	3	6
11	2	4	5	16	16	3	inf
11	2	4	8	16	16	3	5
11	2	4	10	16	16	3	5
11	2	4	13	16	16	3	inf
11	2	4	14	16	16	3	inf
11	2	5	2	16	16	3	inf
11	2	5	3	16	16	3	inf
11	2	5	5	16	16	3	inf
11	2	5	7	16	16	3	6
11	2	5	10	16	16	3	inf
11	2	5	13	16	16	3	5
11	2	5	15	16	16	3	5
11	2	6	2	16	16	3	5
11	2	6	4	16	16	3	5
11	2	6	7	16	16	3	inf
11	2	6	8	16	16	3	inf
11	2	6	10	16	16	3	inf
11	2	6	12	16	16	3	6
11	2	6	15	16	16	3	inf
11	2	7	1	16	16	3	6
11	2	7	4	16	16	3	inf
11	2	7	7	16	16	3	5
11	2	7	9	16	16	3	5
11	2	7	12	16	16	3	inf
11	2	7	13	16	16	3	inf
11	2	7	15	16	16	3	inf
11	2	8	1	16	16	3	inf
11	2	8	2	16	16	3	inf
11	2	8	4	16	16	3	inf
11	2	8	6	16	16	3	6
11	2	8	9	16	16	3	inf
11	2	8	12	16	16	3	5
11	2	8	14	16	16	3	5
11	2	9	1	16	16	3	5
11	2	9	3	16	16	3	5
11	2	9	6	16	16	3	inf
11	2	9	7	16	16	3	inf
11	2	9	9	16	16	3	inf
11	2	9	11	16	16	3	6
11	2	9	14	16	16	3	inf
11	2	10	0	16	16	3	6
11	2	10	3	16	16	3	inf
11	2	10	6	16	16	3	5
11	2	10	8	16	16	3	5
11	2	10	11	16	16	3	inf
11	2	10	12	16	16	3	inf
11	2	10	14	16	16	3	inf
11	2	11	0	16	16	3	inf
11	2	11	1	16	16	3	inf
11	2	11	3	16	16	3	inf
11	2	11	5	16	16	3	6
11	2	11	8	16	16	3	inf
11	2	11	11	16	16	3	5
11	2	11	13	16	16	3	5
11	2	12	0	16	16	3	5
11	2	12	2	16	16	3	5
11	2	12	5	16	16	3	inf
11	2	12	6	16	16	3	inf
11	2	12	8	16	16	3	inf
11	2	12	10	16	16	3	6
11	2	12	13	16	16	3	inf
11	2	13	2	16	16	3	inf
11	2	13	5	16	16	3	5
11	2	13	7	16	16	3	5
11	2	13	10	16	16	3	inf
11	2	13	11	16	16	3	inf
11	2	13	13	16	16	3	inf
11	2	13	15	16	16	3	6
11	2	14	0	16	16	3	inf
11	2	14	2	16	16	3	inf
11	2	14	4	16	16	3	6
11	2	14	7	16	16	3	inf
11	2	14	10	16	16	3	5
11	2	14	12	16	16	3	5
11	2	14	15	16	16	3	inf
11	2	15	1	16	16	3	5
11	2	15	4	16	16	3	inf
11	2	15	5	16	16	3	inf
11	2	15	7	16	16	3	inf
11	2	15	9	16	16	3	6
11	2	15	12	16	16	3	inf
11	2	15	15	16	16	3	5
11	3	0	0	16	16	3	5
11	3	0	2	16	16	3	5
11	3	0	5	16	16	3	inf
11	3	0	6	16	16	3	inf
11	3	0	8	16	16	3	inf
11	3	0	10	16	16	3	6
11	3	0	13	16	16	3	inf
11	3	1	2	16	16	3	inf
11	3	1	5	16	16	3	5
11	3	1	7	16	16	3	5
11	3	1	10	16	16	3	inf
11	3	1	11	16	16	3	inf
11	3	1	13	16	16	3	inf
11	3	1	15	16	16	3	6
11	3	2	0	16	16	3	inf
11	3	2	2	16	16	3	inf
11	3	2	4	16	16	3	6
11	3	2	7	16	16	3	inf
11	3	2	10	16	16	3	5
11	3	2	12	16	16	3	5
11	3	2	15	16	16	3	inf
11	3	3	1	16	16	3	5
11	3	3	4	16	16	3	inf
11	3	3	5	16	16	3	inf
11	3	3	7	16	16	3	inf
11	3	3	9	16	16	3	6
11	3	3	12	16	16	3	inf
11	3	3	15	16	16	3	5
11	3	4	1	16	16	3	inf
11	3	4	4	16	16	3	5
11	3	4	6	16	16	3	5
11	3	4	9	16	16	3	inf
11	3	4	10	16	16	3	inf
11	3	4	12	16	16	3	inf
11	3	4	14	16	16	3	6
11	3	5	1	16	16	3	inf
11	3	5	3	16	16	3	6
11	3	5	6	16	16	3	inf
11	3	5	9	16	16	3	5
11	3	5	11	16	16	3	5
11	3	5	14	16	16	3	inf
11	3	5	15	16	16	3	inf
11	3	6	0	16	16	3	5
11	3	6	3	16	16	3	inf
11	3	6	4	16	16	3	inf
11	3	6	6	16	16	3	inf
11	3	6	8	16	16	3	6
11	3	6	11	16	16	3	inf
11	3	6	14	16	16	3	5
11	3	7	0	16	16	3	inf
11	3	7	3	16	16	3	5
11	3	7	5	16	16	3	5
11	3	7	8	16	16	3	inf
11	3	7	9	16	16	3	inf
11	3	7	11	16	16	3	inf
11	3	7	13	16	16	3	6
11	3	8	0	16	16	3	inf
11	3	8	2	16	16	3	6
11	3	8	5	16	16	3	inf
11	3	8	8	16	16	3	5
11	3	8	10	16	16	3	5
11	3	8	13	16	16	3	inf
11	3	8	14	16	16	3	inf
11	3	9	2	16	16	3	inf
11	3	9	3	16	16	3	inf
11	3	9	5	16	16	3	inf
11	3	9	7	16	16	3	6
11	3	9	10	16	16	3	inf
11	3	9	13	16	16	3	5
11	3	9	15	16	16	3	5
11	3	10	2	16	16	3	5
11	3	10	4	16	16	3	5
11	3	10	7	16	16	3	inf
11	3	10	8	16	16	3	inf
11	3	10	10	16	16	3	inf
11	3	10	12	16	16	3	6
11	3	10	15	16	16	3	inf
11	3	11	1	16	16	3	6
11	3	11	4	16	16	3	inf
11	3	11	7	16	16	3	5
11	3	11	9	16	16	3	5
