fiber	source	lambda	a	b	c	d	primitive_a	primitive_b	primitive_c	primitive_d	known_seed	three_survivor	gcd_bound
P2	MW	9	180	225	304	3420	180	225	304	3420	1	0	128
P2	MW	-3489034424391/13096530410881	-69780688487820/13096530410881	225	304	-1325833081268580/13096530410881	69780688487820	1325833081268580	2946719342448225	3981345244907824	0	0	1408
P2	MW	-13096530410881/387670491599	-261930608217620/387670491599	225	304	-4976681556134780/387670491599	87225860609775	117851829446096	261930608217620	4976681556134780	0	0	1408
P2	MW	1	20	225	304	380	20	225	304	380	1	0	128
P3	MW	1	13	276	624	828	13	276	624	828	1	0	448
P3	MW	16	208	276	624	13248	52	69	156	3312	1	0	448
P3	MW	-137257368553678321/2457109506635759	-1784345791197818173/2457109506635759	276	624	-113649101162445649788/2457109506635759	678162223831469484	1533236332140713616	1784345791197818173	113649101162445649788	0	0	448
P3	MW	-39313752106172144/137257368553678321	-39313752106172144/10558259119513717	276	624	-32551786743910535232/137257368553678321	127769694345059468	8137946685977633808	9470758430203804149	21412149494373818076	0	0	448
P4	MW	7647672922919391689/308952031383838169	7647672922919391689/7535415399605809	256	800	244725533533420534048/7535415399605809	1929066342299087104	6028332319684647200	7647672922919391689	244725533533420534048	0	0	128
P4	MW	48226658557477177600/313554589839695059249	48226658557477177600/7647672922919391689	256	800	1543253073839269683200/7647672922919391689	1507083079921161800	48226658557477177600	61181383383355133512	191191823072984792225	0	0	128
P4	MW	1	41	256	800	1312	41	256	800	1312	1	0	128
P4	MW	6400/1681	6400/41	256	800	204800/41	200	328	1025	6400	1	0	128
P5	MW	1	2	46	292	1679	2	46	292	1679	1	0	256
P5	MW	1897655066161/101404206961	3795310132322/101404206961	46	292	3186162856084319/101404206961	3795310132322	4664593520206	29610028432612	3186162856084319	0	0	128
P5	MW	4	8	46	292	6716	4	23	146	3358	1	0	256
P5	MW	1771924364737517379193380753028326724/1390476375118308391517410122491281	3543848729475034758386761506056653448/1390476375118308391517410122491281	46	292	40754260388962899721447757319651514652/19047621576963128650923426335497	31980956627721093004900432817299463	203009550767273025161541877883727026	1771924364737517379193380753028326724	1487530504197145839832843142167280284798	0	0	256
P5	MW	405616827844/1897655066161	811233655688/1897655066161	46	292	29610028432612/82506742007	405616827844	43646066521703	277057639659506	340515326975038	0	0	128
P5	MW	1390476375118308391517410122491281/442981091184379344798345188257081681	2780952750236616783034820244982562/442981091184379344798345188257081681	46	292	2334609833823639789357731595662860799/442981091184379344798345188257081681	2780952750236616783034820244982562	2334609833823639789357731595662860799	20377130194481449860723878659825757326	129350478625838768681116794971067850852	0	0	256
P6	MW	1746645902463991917439/106737266253353752639	31439626244351854513902/106737266253353752639	158	711	62879252488703709027804/2178311556190892911	213474532506707505278	397969952460150057138	960635396280183773751	39001055341094705599524	0	0	256
P6	MW	172086612939080539969/795939904920300114276	172086612939080539969/44218883606683339682	158	711	8432244034014946458481/22109441803341669841	2178311556190892911	88437767213366679364	213474532506707505278	397969952460150057138	0	0	256
P6	MW	6241/1764	6241/98	158	711	6241	79	196	882	7742	1	0	256
P6	MW	1	18	158	711	1764	18	158	711	1764	1	0	256
P7	MW	1	50	791	2800	5650	50	791	2800	5650	1	0	256
P7	MW	-2162332566876164039208714932513138177/19314685087168926500533794692755052578	-54058314171904100980217873312828454425/9657342543584463250266897346377526289	791	2800	-6108589501425163410764619684349615350025/9657342543584463250266897346377526289	7722616310272014425745410473261207775	872655643060737630109231383478516478575	1091279707425044347280159400140660470657	3862937017433785300106758938551010515600	0	0	256
P7	MW	-92767513238008/376456156247	-4638375661900400/376456156247	791	2800	-524136449794745200/376456156247	42539545655911	150582462498800	662625094557200	74876635684963600	0	0	256
P7	MW	-2635193093729/82828136819650	-2635193093729/1656562736393	791	2800	-297776819591377/1656562736393	376456156247	42539545655911	187191589212409	662625094557200	0	0	256
P7	MW	196/25	392	791	2800	44296	56	113	400	6328	1	0	256
