p	A	B	R	S	rho_zero	sigma_zero	branch_collision	smooth_slice_sheets	open_presentations	target_presentations	target_halves	half_boundary_points
47	1	1	0	0	1	1	-1	0	0	0	0	0
47	1	2	14	14	0	0	1	0	0	0	0	0
47	1	3	28	28	0	0	1	0	0	0	0	0
47	1	4	17	17	0	0	1	0	0	0	0	0
47	1	5	8	8	0	0	1	0	0	0	0	0
47	1	6	4	4	0	0	1	0	0	0	0	0
47	1	7	24	24	0	0	1	0	0	0	0	0
47	1	8	4	4	0	0	1	0	0	0	0	0
47	1	9	3	3	0	0	1	0	0	0	0	0
47	1	10	12	12	0	0	1	0	0	0	0	0
47	1	11	32	32	0	0	1	0	0	0	0	0
47	1	12	17	17	0	0	1	0	0	0	0	0
47	1	13	21	21	0	0	1	0	0	0	0	0
47	1	14	12	12	0	0	1	0	0	0	0	0
47	1	15	2	2	0	0	1	0	0	0	0	0
47	1	16	28	28	0	0	1	0	0	0	0	0
47	1	17	32	32	0	0	1	0	0	0	0	0
47	1	18	21	21	0	0	1	0	0	0	0	0
47	1	19	8	8	0	0	1	0	0	0	0	0
47	1	20	24	24	0	0	1	0	0	0	0	0
47	1	21	3	3	0	0	1	0	0	0	0	0
47	1	22	2	2	0	0	1	0	0	0	0	0
47	1	23	14	14	0	0	1	0	0	0	0	0
47	1	24	14	14	0	0	1	0	0	0	0	0
47	1	25	2	2	0	0	1	0	0	0	0	0
47	1	26	3	3	0	0	1	0	0	0	0	0
47	1	27	24	24	0	0	1	0	0	0	0	0
47	1	28	8	8	0	0	1	0	0	0	0	0
47	1	29	21	21	0	0	1	0	0	0	0	0
47	1	30	32	32	0	0	1	0	0	0	0	0
47	1	31	28	28	0	0	1	0	0	0	0	0
47	1	32	2	2	0	0	1	0	0	0	0	0
47	1	33	12	12	0	0	1	0	0	0	0	0
47	1	34	21	21	0	0	1	0	0	0	0	0
47	1	35	17	17	0	0	1	0	0	0	0	0
47	1	36	32	32	0	0	1	0	0	0	0	0
47	1	37	12	12	0	0	1	0	0	0	0	0
47	1	38	3	3	0	0	1	0	0	0	0	0
47	1	39	4	4	0	0	1	0	0	0	0	0
47	1	40	24	24	0	0	1	0	0	0	0	0
47	1	41	4	4	0	0	1	0	0	0	0	0
47	1	42	8	8	0	0	1	0	0	0	0	0
47	1	43	17	17	0	0	1	0	0	0	0	0
47	1	44	28	28	0	0	1	0	0	0	0	0
47	1	45	14	14	0	0	1	0	0	0	0	0
47	1	46	0	0	1	1	-1	0	0	0	0	0
47	2	1	14	14	0	0	1	0	0	0	0	0
47	2	2	8	37	0	0	1	0	0	0	0	0
47	2	5	34	0	0	1	-1	0	0	0	0	0
47	2	12	8	37	0	0	1	0	0	0	0	0
47	2	14	34	0	0	1	-1	0	0	0	0	0
47	2	16	36	8	0	0	0	4	12	0	0	0
47	2	17	3	17	0	0	0	4	12	6	78	0
47	2	18	3	17	0	0	0	4	12	6	78	0
47	2	19	4	21	0	0	0	4	12	0	0	0
47	2	21	4	21	0	0	0	4	12	0	0	0
47	2	22	36	8	0	0	0	4	12	6	96	0
47	2	23	14	14	0	0	1	0	0	0	0	0
47	2	24	14	14	0	0	1	0	0	0	0	0
47	2	25	36	8	0	0	0	4	12	0	0	0
47	2	26	4	21	0	0	0	4	12	0	0	0
47	2	28	4	21	0	0	0	4	12	0	0	0
47	2	29	3	17	0	0	0	4	12	0	0	0
47	2	30	3	17	0	0	0	4	12	0	0	0
47	2	31	36	8	0	0	0	4	12	6	96	0
47	2	33	34	0	0	1	-1	0	0	0	0	0
47	2	35	8	37	0	0	1	0	0	0	0	0
47	2	42	34	0	0	1	-1	0	0	0	0	0
47	2	45	8	37	0	0	1	0	0	0	0	0
47	2	46	14	14	0	0	1	0	0	0	0	0
47	3	1	28	28	0	0	1	0	0	0	0	0
47	3	12	16	14	0	0	0	4	12	0	0	0
47	3	15	8	36	0	0	0	4	12	0	0	0
47	3	16	28	28	0	0	1	0	0	0	0	0
47	3	17	16	14	0	0	0	4	12	0	0	0
47	3	18	25	1	0	0	0	4	12	6	78	0
47	3	20	25	1	0	0	0	4	12	6	96	0
47	3	23	8	36	0	0	0	4	12	0	0	0
47	3	24	8	36	0	0	0	4	12	0	0	0
47	3	27	25	1	0	0	0	4	12	6	78	0
47	3	29	25	1	0	0	0	4	12	6	96	0
47	3	30	16	14	0	0	0	4	12	6	78	0
47	3	31	28	28	0	0	1	0	0	0	0	0
47	3	32	8	36	0	0	0	4	12	0	0	0
