p	A	B	C	rho	sigma	pairing	M	N	reason
61	2	18	39	57	46	1	-1	-1	projective_MN_missing_6
61	2	18	39	57	46	2	-1	-1	projective_MN_missing_6
61	2	18	39	57	46	3	-1	-1	projective_MN_missing_6
61	2	18	39	4	15	1	-1	-1	projective_MN_missing_6
61	2	18	39	4	15	2	-1	-1	projective_MN_missing_6
61	2	18	39	4	15	3	-1	-1	projective_MN_missing_6
61	2	39	18	57	46	1	-1	-1	projective_MN_missing_6
61	2	39	18	57	46	2	-1	-1	projective_MN_missing_6
61	2	39	18	57	46	3	-1	-1	projective_MN_missing_6
61	2	39	18	4	15	1	-1	-1	projective_MN_missing_6
61	2	39	18	4	15	2	-1	-1	projective_MN_missing_6
61	2	39	18	4	15	3	-1	-1	projective_MN_missing_6
61	6	20	30	33	54	1	-1	-1	projective_MN_missing_6
61	6	20	30	33	54	2	-1	-1	projective_MN_missing_6
61	6	20	30	33	54	3	-1	-1	projective_MN_missing_6
61	6	30	20	33	54	1	-1	-1	projective_MN_missing_6
61	6	30	20	33	54	2	-1	-1	projective_MN_missing_6
61	6	30	20	33	54	3	-1	-1	projective_MN_missing_6
61	17	31	36	15	4	1	-1	-1	projective_MN_missing_6
61	17	31	36	15	4	2	-1	-1	projective_MN_missing_6
61	17	31	36	15	4	3	-1	-1	projective_MN_missing_6
61	17	31	36	46	57	1	-1	-1	projective_MN_missing_6
61	17	31	36	46	57	2	-1	-1	projective_MN_missing_6
61	17	31	36	46	57	3	-1	-1	projective_MN_missing_6
61	17	36	31	15	4	1	-1	-1	projective_MN_missing_6
61	17	36	31	15	4	2	-1	-1	projective_MN_missing_6
61	17	36	31	15	4	3	-1	-1	projective_MN_missing_6
61	17	36	31	46	57	1	-1	-1	projective_MN_missing_6
61	17	36	31	46	57	2	-1	-1	projective_MN_missing_6
61	17	36	31	46	57	3	-1	-1	projective_MN_missing_6
61	18	2	39	57	46	1	-1	-1	projective_MN_missing_6
61	18	2	39	57	46	2	-1	-1	projective_MN_missing_6
61	18	2	39	57	46	3	-1	-1	projective_MN_missing_6
61	18	2	39	4	15	1	-1	-1	projective_MN_missing_6
61	18	2	39	4	15	2	-1	-1	projective_MN_missing_6
61	18	2	39	4	15	3	-1	-1	projective_MN_missing_6
61	18	39	2	57	46	1	-1	-1	projective_MN_missing_6
