p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	2	29	55	3	8	37	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	8	22	24	34	37	57	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	9	11	1	32	39	37	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	12	24	61	6	39	5	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	13	23	47	49	4	28	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	14	49	66	61	5	57	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	17	28	19	25	63	35	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	21	66	39	22	36	32	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	26	7	29	14	35	59	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	36	10	2	50	65	31	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	48	32	14	19	43	15	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	50	1	37	59	66	38	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	53	27	51	42	20	64	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	55	58	43	65	63	24	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	58	17	50	38	30	44	12	24	2
67	2	35	45	54	4	1	36	27	6	46	55	12	31	37	57	39	59	35	42	11	11	19	12	24	2
67	2	35	45	54	4	2	36	6	27	46	55	12	31	37	57	39	2	29	55	3	8	37	12	24	2
67	2	35	45	54	4	2	36	6	27	46	55	12	31	37	57	39	8	22	24	34	37	57	12	24	2
67	2	35	45	54	4	2	36	6	27	46	55	12	31	37	57	39	9	11	1	32	39	37	12	24	2
67	2	35	45	54	4	2	36	6	27	46	55	12	31	37	57	39	12	24	61	6	39	5	12	24	2
