A0	B0	signature	p2_compatible	p2_nonsquare	depth1	depth2plus
1	1	sheet	961	0	0	0
1	2	x=w	961	0	0	961
1	3	x=w	961	0	0	961
1	4	x=w	961	0	0	961
1	5	x=w	961	0	0	961
1	6	x=w	961	0	0	961
1	7	x=w	961	0	0	961
1	8	x=w	961	0	0	961
1	9	x=w	961	0	0	961
1	10	x=w	961	0	0	961
1	11	x=w	961	0	0	961
1	12	x=w	961	0	0	961
1	13	x=w	961	0	0	961
1	14	x=w	961	0	0	961
1	15	x=w	961	0	0	961
1	16	x=w	961	0	0	961
1	17	x=w	961	0	0	961
1	18	x=w	961	0	0	961
1	19	x=w	961	0	0	961
1	20	x=w	961	0	0	961
1	21	x=w	961	0	0	961
1	22	x=w	961	0	0	961
1	23	x=w	961	0	0	961
1	24	x=w	961	0	0	961
1	25	x=w	961	0	0	961
1	26	x=w	961	0	0	961
1	27	x=w	961	0	0	961
1	28	x=w	961	0	0	961
1	29	x=w	961	0	0	961
1	30	sheet	961	0	0	0
2	1	y=w	961	0	0	961
2	4	y=z	961	0	930	31
2	15	z=w	961	0	0	961
2	16	z=w	961	0	0	961
2	27	y=z	961	0	930	31
2	30	y=w	961	0	0	961
3	1	y=w	961	0	0	961
3	10	z=w	961	0	0	961
3	21	z=w	961	0	0	961
3	30	y=w	961	0	0	961
4	1	y=w	961	0	0	961
4	2	x=z	961	0	930	31
4	4	x=y	961	0	930	31
4	8	z=w	961	0	0	961
4	23	z=w	961	0	0	961
4	27	x=y	961	0	930	31
4	29	x=z	961	0	930	31
4	30	y=w	961	0	0	961
5	1	y=w	961	0	0	961
5	6	z=w	961	0	0	961
5	25	z=w	961	0	0	961
5	30	y=w	961	0	0	961
6	1	y=w	961	0	0	961
6	5	z=w	961	0	0	961
6	26	z=w	961	0	0	961
6	30	y=w	961	0	0	961
7	1	y=w	961	0	0	961
7	9	z=w	961	0	0	961
7	22	z=w	961	0	0	961
7	30	y=w	961	0	0	961
8	1	y=w	961	0	0	961
8	4	z=w	961	0	0	961
8	8	x=y	961	0	930	31
8	15	x=z	961	0	930	31
8	16	x=z	961	0	930	31
8	23	x=y	961	0	930	31
8	27	z=w	961	0	0	961
8	30	y=w	961	0	0	961
9	1	y=w	961	0	0	961
9	7	z=w	961	0	0	961
9	24	z=w	961	0	0	961
9	30	y=w	961	0	0	961
10	1	y=w	961	0	0	961
10	3	z=w	961	0	0	961
10	28	z=w	961	0	0	961
10	30	y=w	961	0	0	961
11	1	y=w	961	0	0	961
11	14	z=w	961	0	0	961
11	17	z=w	961	0	0	961
11	30	y=w	961	0	0	961
12	1	y=w	961	0	0	961
12	13	z=w	961	0	0	961
12	18	z=w	961	0	0	961
12	30	y=w	961	0	0	961
13	1	y=w	961	0	0	961
13	12	z=w	961	0	0	961
13	19	z=w	961	0	0	961
13	30	y=w	961	0	0	961
14	1	y=w	961	0	0	961
14	11	z=w	961	0	0	961
14	20	z=w	961	0	0	961
14	30	y=w	961	0	0	961
15	1	y=w	961	0	0	961
15	2	z=w	961	0	0	961
15	8	y=z	961	0	930	31
15	23	y=z	961	0	930	31
15	29	z=w	961	0	0	961
15	30	y=w	961	0	0	961
16	1	y=w	961	0	0	961
16	2	z=w	961	0	0	961
16	8	y=z	961	0	930	31
16	23	y=z	961	0	930	31
16	29	z=w	961	0	0	961
16	30	y=w	961	0	0	961
17	1	y=w	961	0	0	961
17	11	z=w	961	0	0	961
17	20	z=w	961	0	0	961
17	30	y=w	961	0	0	961
18	1	y=w	961	0	0	961
18	12	z=w	961	0	0	961
18	19	z=w	961	0	0	961
18	30	y=w	961	0	0	961
19	1	y=w	961	0	0	961
19	13	z=w	961	0	0	961
19	18	z=w	961	0	0	961
19	30	y=w	961	0	0	961
20	1	y=w	961	0	0	961
20	14	z=w	961	0	0	961
20	17	z=w	961	0	0	961
20	30	y=w	961	0	0	961
21	1	y=w	961	0	0	961
21	3	z=w	961	0	0	961
21	28	z=w	961	0	0	961
21	30	y=w	961	0	0	961
22	1	y=w	961	0	0	961
22	7	z=w	961	0	0	961
22	24	z=w	961	0	0	961
22	30	y=w	961	0	0	961
23	1	y=w	961	0	0	961
23	4	z=w	961	0	0	961
23	8	x=y	961	0	930	31
23	15	x=z	961	0	930	31
23	16	x=z	961	0	930	31
23	23	x=y	961	0	930	31
23	27	z=w	961	0	0	961
23	30	y=w	961	0	0	961
24	1	y=w	961	0	0	961
24	9	z=w	961	0	0	961
24	22	z=w	961	0	0	961
24	30	y=w	961	0	0	961
25	1	y=w	961	0	0	961
25	5	z=w	961	0	0	961
25	26	z=w	961	0	0	961
25	30	y=w	961	0	0	961
26	1	y=w	961	0	0	961
26	6	z=w	961	0	0	961
26	25	z=w	961	0	0	961
26	30	y=w	961	0	0	961
27	1	y=w	961	0	0	961
27	2	x=z	961	0	930	31
27	4	x=y	961	0	930	31
27	8	z=w	961	0	0	961
27	23	z=w	961	0	0	961
27	27	x=y	961	0	930	31
27	29	x=z	961	0	930	31
27	30	y=w	961	0	0	961
28	1	y=w	961	0	0	961
28	10	z=w	961	0	0	961
28	21	z=w	961	0	0	961
28	30	y=w	961	0	0	961
29	1	y=w	961	0	0	961
29	4	y=z	961	0	930	31
29	15	z=w	961	0	0	961
29	16	z=w	961	0	0	961
29	27	y=z	961	0	930	31
29	30	y=w	961	0	0	961
30	1	sheet	961	0	0	0
30	2	x=w	961	0	0	961
30	3	x=w	961	0	0	961
30	4	x=w	961	0	0	961
30	5	x=w	961	0	0	961
30	6	x=w	961	0	0	961
30	7	x=w	961	0	0	961
