kind	m	pattern	l_vector	leading_K
degenerate	-1	+--+	[Fraction(-3, 1), Fraction(0, 1), Fraction(3, 1), Fraction(0, 1)]	[Fraction(36, 1), Fraction(0, 1), Fraction(36, 1), Fraction(0, 1)]
degenerate	-1	--++	[Fraction(-3, 1), Fraction(0, 1), Fraction(3, 1), Fraction(0, 1)]	[Fraction(36, 1), Fraction(0, 1), Fraction(36, 1), Fraction(0, 1)]
degenerate	0	+--+	[Fraction(-1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(0, 1)]	[Fraction(4, 1), Fraction(4, 1), Fraction(0, 1), Fraction(0, 1)]
degenerate	0	-+-+	[Fraction(-1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(0, 1)]	[Fraction(4, 1), Fraction(4, 1), Fraction(0, 1), Fraction(0, 1)]
degenerate	1	+--+	[Fraction(1, 1), Fraction(0, 1), Fraction(-1, 1), Fraction(0, 1)]	[Fraction(4, 1), Fraction(0, 1), Fraction(4, 1), Fraction(0, 1)]
degenerate	1	--++	[Fraction(1, 1), Fraction(0, 1), Fraction(-1, 1), Fraction(0, 1)]	[Fraction(4, 1), Fraction(0, 1), Fraction(4, 1), Fraction(0, 1)]
degenerate	2	+--+	[Fraction(3, 1), Fraction(-3, 1), Fraction(0, 1), Fraction(0, 1)]	[Fraction(36, 1), Fraction(36, 1), Fraction(0, 1), Fraction(0, 1)]
degenerate	2	-+-+	[Fraction(3, 1), Fraction(-3, 1), Fraction(0, 1), Fraction(0, 1)]	[Fraction(36, 1), Fraction(36, 1), Fraction(0, 1), Fraction(0, 1)]
degenerate	1/2	-+-+	[Fraction(0, 1), Fraction(3, 4), Fraction(-3, 4), Fraction(0, 1)]	[Fraction(0, 1), Fraction(9, 4), Fraction(9, 4), Fraction(0, 1)]
degenerate	1/2	--++	[Fraction(0, 1), Fraction(3, 4), Fraction(-3, 4), Fraction(0, 1)]	[Fraction(0, 1), Fraction(9, 4), Fraction(9, 4), Fraction(0, 1)]
