collision	linear_sign	A	B	C	rho	sigma	D	K_A	K_B	K_C	K_D	leg_A	leg_B	leg_C	leg_D	status	normalized_collision_constants	constant_legendres
AD	+	1	2	16	14	14	1	9	14	28	9	1	1	1	1	resolved_unit_square		
AD	-	1	2	16	14	17	30	0	15	1	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	2	16	17	14	30	0	15	1	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	2	16	17	17	1	9	14	28	9	1	1	1	1	resolved_unit_square		
AD	+	1	3	21	13	13	1	21	5	28	21	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	3	21	13	18	30	0	18	17	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	3	21	18	13	30	0	18	17	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	3	21	18	18	1	21	5	28	21	-1	1	1	-1	dead_nonsquare_unit		
AD	+	1	4	8	4	4	1	28	22	26	28	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	4	8	4	27	30	0	7	3	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	4	8	27	4	30	0	7	3	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	4	8	27	27	1	28	22	26	28	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	5	25	11	11	1	2	6	26	2	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	5	25	11	20	30	0	4	24	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	5	25	20	11	30	0	4	24	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	5	25	20	20	1	2	6	26	2	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	6	26	11	11	1	6	15	13	6	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	6	26	11	20	30	0	24	4	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	6	26	20	11	30	0	24	4	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	6	26	20	20	1	6	15	13	6	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	7	9	2	2	1	5	7	16	5	1	1	1	1	resolved_unit_square		
AD	-	1	7	9	2	29	30	0	13	19	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	7	9	29	2	30	0	13	19	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	7	9	29	29	1	5	7	16	5	1	1	1	1	resolved_unit_square		
AD	+	1	8	4	4	4	1	28	26	22	28	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	8	4	4	27	30	0	3	7	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	8	4	27	4	30	0	3	7	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	8	4	27	27	1	28	26	22	28	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	9	7	2	2	1	5	16	7	5	1	1	1	1	resolved_unit_square		
AD	-	1	9	7	2	29	30	0	19	13	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	9	7	29	2	30	0	19	13	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	9	7	29	29	1	5	16	7	5	1	1	1	1	resolved_unit_square		
AD	+	1	10	28	13	13	1	18	7	9	18	1	1	1	1	resolved_unit_square		
AD	-	1	10	28	13	18	30	0	17	18	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	10	28	18	13	30	0	17	18	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	10	28	18	18	1	18	7	9	18	1	1	1	1	resolved_unit_square		
AD	+	1	11	17	6	6	1	29	22	30	29	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	11	17	6	25	30	0	8	6	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	11	17	25	6	30	0	8	6	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	11	17	25	25	1	29	22	30	29	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	12	13	1	1	1	23	15	26	23	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	12	13	1	30	30	0	27	9	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	12	13	30	1	30	0	27	9	0	0	-1	1	0	dead_nonsquare_unit		
