a	b	Q	leg_Q	sign_stratum	l_D	leading_K	K_legendres	l_vector	status
0	1	1	1	all_plus	0	8,8,8,8	1,1,1,1		resolved_live
0	1	1	1	balanced_+--+	0	29,2,2,29	-1,1,1,-1	0,1,30,0	killed
0	1	1	1	balanced_-+-+	0	0,4,4,0	0,1,1,0	0,1,30,0	tower_odd_m_c_nonsquare
0	1	1	1	balanced_--++	0	0,4,4,0	0,1,1,0	0,1,30,0	tower_odd_m_c_square
1	1	3	-1	base					dead_nonsquare
2	1	7	1	all_plus	23	8,8,8,8	1,1,1,1		resolved_live
2	1	7	1	balanced_+--+	23	10,13,12,28	1,-1,-1,1	2,1,28,23	killed
2	1	7	1	balanced_-+-+	23	20,23,22,7	1,-1,-1,1	2,1,28,23	killed
2	1	7	1	balanced_--++	23	7,10,9,25	1,1,1,1	2,1,28,23	resolved_live
3	1	13	-1	base					dead_nonsquare
4	1	21	-1	base					dead_nonsquare
5	1	0	0	base					killed_odd_split
6	1	12	-1	base					dead_nonsquare
7	1	26	-1	base					dead_nonsquare
8	1	11	-1	base					dead_nonsquare
9	1	29	-1	base					dead_nonsquare
10	1	18	1	all_plus	13	8,8,8,8	1,1,1,1		resolved_live
10	1	18	1	balanced_+--+	13	6,30,16,18	-1,-1,1,1	10,1,20,13	killed
10	1	18	1	balanced_-+-+	13	8,1,18,20	1,1,1,1	10,1,20,13	resolved_live
10	1	18	1	balanced_--++	13	29,22,8,10	-1,-1,1,1	10,1,20,13	killed
11	1	9	1	all_plus	25	8,8,8,8	1,1,1,1		resolved_live
11	1	9	1	balanced_+--+	25	26,15,28,9	-1,-1,1,1	11,1,19,25	killed
11	1	9	1	balanced_-+-+	25	30,19,1,13	-1,1,1,-1	11,1,19,25	killed
11	1	9	1	balanced_--++	25	7,27,9,21	1,-1,1,-1	11,1,19,25	killed
12	1	2	1	all_plus	16	8,8,8,8	1,1,1,1		resolved_live
12	1	2	1	balanced_+--+	16	23,20,24,2	-1,1,-1,1	12,1,18,16	killed
12	1	2	1	balanced_-+-+	16	5,2,6,15	1,1,-1,-1	12,1,18,16	killed
12	1	2	1	balanced_--++	16	17,14,18,27	-1,1,1,-1	12,1,18,16	killed
13	1	28	1	all_plus	22	8,8,8,8	1,1,1,1		resolved_live
13	1	28	1	balanced_+--+	22	28,8,22,24	1,1,-1,-1	13,1,17,22	killed
13	1	28	1	balanced_-+-+	22	1,12,26,28	1,-1,-1,1	13,1,17,22	killed
13	1	28	1	balanced_--++	22	10,21,4,6	1,-1,1,-1	13,1,17,22	killed
