torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	14448	18480	1752	2640
1	588	18480	1752	2640
1	9828	18480	1752	2640
1	14448	18480	432	2640
1	588	18480	432	2640
1	9828	18480	432	2640
1	7056	18480	696	2640
1	11676	18480	696	2640
1	2436	18480	696	2640
1	7056	18480	2016	2640
1	11676	18480	2016	2640
1	2436	18480	2016	2640
1	7056	18480	1752	2640
1	11676	18480	1752	2640
1	2436	18480	1752	2640
1	7056	18480	432	2640
1	11676	18480	432	2640
1	2436	18480	432	2640
1	3360	18480	1752	2640
1	7980	18480	1752	2640
1	17220	18480	1752	2640
1	3360	18480	432	2640
1	7980	18480	432	2640
1	17220	18480	432	2640
1	3360	18480	168	2640
1	7980	18480	168	2640
1	17220	18480	168	2640
1	3360	18480	1488	2640
1	7980	18480	1488	2640
1	17220	18480	1488	2640
1	3360	18480	1224	2640
1	7980	18480	1224	2640
1	17220	18480	1224	2640
1	3360	18480	2544	2640
1	7980	18480	2544	2640
1	17220	18480	2544	2640
1	7056	18480	2280	2640
1	11676	18480	2280	2640
1	2436	18480	2280	2640
1	7056	18480	960	2640
1	11676	18480	960	2640
1	2436	18480	960	2640
1	7056	18480	1224	2640
1	11676	18480	1224	2640
1	2436	18480	1224	2640
1	7056	18480	2544	2640
1	11676	18480	2544	2640
1	2436	18480	2544	2640
1	14448	18480	1224	2640
1	588	18480	1224	2640
1	9828	18480	1224	2640
1	14448	18480	2544	2640
1	588	18480	2544	2640
1	9828	18480	2544	2640
1	3360	18480	2280	2640
1	7980	18480	2280	2640
1	17220	18480	2280	2640
1	3360	18480	960	2640
1	7980	18480	960	2640
1	17220	18480	960	2640
1	14448	18480	2280	2640
1	588	18480	2280	2640
1	9828	18480	2280	2640
1	14448	18480	960	2640
1	588	18480	960	2640
1	9828	18480	960	2640
1	3360	18480	696	2640
1	7980	18480	696	2640
1	17220	18480	696	2640
1	3360	18480	2016	2640
1	7980	18480	2016	2640
1	17220	18480	2016	2640
1	14448	18480	168	2640
1	588	18480	168	2640
1	9828	18480	168	2640
1	14448	18480	1488	2640
1	588	18480	1488	2640
1	9828	18480	1488	2640
1	14448	18480	696	2640
1	588	18480	696	2640
1	9828	18480	696	2640
1	14448	18480	2016	2640
1	588	18480	2016	2640
1	9828	18480	2016	2640
1	7056	18480	168	2640
1	11676	18480	168	2640
1	2436	18480	168	2640
1	7056	18480	1488	2640
1	11676	18480	1488	2640
1	2436	18480	1488	2640
1	7728	18480	1992	2640
1	12348	18480	1992	2640
1	3108	18480	1992	2640
1	7728	18480	672	2640
1	12348	18480	672	2640
1	3108	18480	672	2640
1	336	18480	936	2640
1	4956	18480	936	2640
1	14196	18480	936	2640
1	336	18480	2256	2640
1	4956	18480	2256	2640
1	14196	18480	2256	2640
1	336	18480	1992	2640
1	4956	18480	1992	2640
1	14196	18480	1992	2640
1	336	18480	672	2640
1	4956	18480	672	2640
1	14196	18480	672	2640
1	15120	18480	1992	2640
1	1260	18480	1992	2640
1	10500	18480	1992	2640
1	15120	18480	672	2640
1	1260	18480	672	2640
1	10500	18480	672	2640
1	15120	18480	408	2640
1	1260	18480	408	2640
1	10500	18480	408	2640
1	15120	18480	1728	2640
1	1260	18480	1728	2640
1	10500	18480	1728	2640
1	15120	18480	1464	2640
1	1260	18480	1464	2640
1	10500	18480	1464	2640
1	15120	18480	144	2640
1	1260	18480	144	2640
1	10500	18480	144	2640
1	336	18480	2520	2640
1	4956	18480	2520	2640
1	14196	18480	2520	2640
1	336	18480	1200	2640
1	4956	18480	1200	2640
1	14196	18480	1200	2640
1	336	18480	1464	2640
1	4956	18480	1464	2640
1	14196	18480	1464	2640
1	336	18480	144	2640
1	4956	18480	144	2640
1	14196	18480	144	2640
1	7728	18480	1464	2640
1	12348	18480	1464	2640
1	3108	18480	1464	2640
1	7728	18480	144	2640
1	12348	18480	144	2640
1	3108	18480	144	2640
1	15120	18480	2520	2640
1	1260	18480	2520	2640
1	10500	18480	2520	2640
1	15120	18480	1200	2640
1	1260	18480	1200	2640
