torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	51408	55440	1752	2640
1	37548	55440	1752	2640
1	9828	55440	1752	2640
1	51408	55440	432	2640
1	37548	55440	432	2640
1	9828	55440	432	2640
1	7056	55440	696	2640
1	48636	55440	696	2640
1	20916	55440	696	2640
1	7056	55440	2016	2640
1	48636	55440	2016	2640
1	20916	55440	2016	2640
1	7056	55440	1752	2640
1	48636	55440	1752	2640
1	20916	55440	1752	2640
1	7056	55440	432	2640
1	48636	55440	432	2640
1	20916	55440	432	2640
1	40320	55440	1752	2640
1	26460	55440	1752	2640
1	54180	55440	1752	2640
1	40320	55440	432	2640
1	26460	55440	432	2640
1	54180	55440	432	2640
1	40320	55440	168	2640
1	26460	55440	168	2640
1	54180	55440	168	2640
1	40320	55440	1488	2640
1	26460	55440	1488	2640
1	54180	55440	1488	2640
1	40320	55440	1224	2640
1	26460	55440	1224	2640
1	54180	55440	1224	2640
1	40320	55440	2544	2640
1	26460	55440	2544	2640
1	54180	55440	2544	2640
1	7056	55440	2280	2640
1	48636	55440	2280	2640
1	20916	55440	2280	2640
1	7056	55440	960	2640
1	48636	55440	960	2640
1	20916	55440	960	2640
1	7056	55440	1224	2640
1	48636	55440	1224	2640
1	20916	55440	1224	2640
1	7056	55440	2544	2640
1	48636	55440	2544	2640
1	20916	55440	2544	2640
1	51408	55440	1224	2640
1	37548	55440	1224	2640
1	9828	55440	1224	2640
1	51408	55440	2544	2640
1	37548	55440	2544	2640
1	9828	55440	2544	2640
1	40320	55440	2280	2640
1	26460	55440	2280	2640
1	54180	55440	2280	2640
1	40320	55440	960	2640
1	26460	55440	960	2640
1	54180	55440	960	2640
1	51408	55440	2280	2640
1	37548	55440	2280	2640
1	9828	55440	2280	2640
1	51408	55440	960	2640
1	37548	55440	960	2640
1	9828	55440	960	2640
1	40320	55440	696	2640
1	26460	55440	696	2640
1	54180	55440	696	2640
1	40320	55440	2016	2640
1	26460	55440	2016	2640
1	54180	55440	2016	2640
1	51408	55440	168	2640
1	37548	55440	168	2640
1	9828	55440	168	2640
1	51408	55440	1488	2640
1	37548	55440	1488	2640
1	9828	55440	1488	2640
1	51408	55440	696	2640
1	37548	55440	696	2640
1	9828	55440	696	2640
1	51408	55440	2016	2640
1	37548	55440	2016	2640
1	9828	55440	2016	2640
1	7056	55440	168	2640
1	48636	55440	168	2640
1	20916	55440	168	2640
1	7056	55440	1488	2640
1	48636	55440	1488	2640
1	20916	55440	1488	2640
1	26208	55440	1992	2640
1	12348	55440	1992	2640
1	40068	55440	1992	2640
1	26208	55440	672	2640
1	12348	55440	672	2640
1	40068	55440	672	2640
1	37296	55440	936	2640
1	23436	55440	936	2640
1	51156	55440	936	2640
1	37296	55440	2256	2640
1	23436	55440	2256	2640
1	51156	55440	2256	2640
1	37296	55440	1992	2640
1	23436	55440	1992	2640
1	51156	55440	1992	2640
1	37296	55440	672	2640
1	23436	55440	672	2640
1	51156	55440	672	2640
1	15120	55440	1992	2640
1	1260	55440	1992	2640
1	28980	55440	1992	2640
1	15120	55440	672	2640
1	1260	55440	672	2640
1	28980	55440	672	2640
1	15120	55440	408	2640
1	1260	55440	408	2640
1	28980	55440	408	2640
1	15120	55440	1728	2640
1	1260	55440	1728	2640
1	28980	55440	1728	2640
1	15120	55440	1464	2640
1	1260	55440	1464	2640
1	28980	55440	1464	2640
1	15120	55440	144	2640
1	1260	55440	144	2640
1	28980	55440	144	2640
1	37296	55440	2520	2640
1	23436	55440	2520	2640
1	51156	55440	2520	2640
1	37296	55440	1200	2640
1	23436	55440	1200	2640
1	51156	55440	1200	2640
1	37296	55440	1464	2640
1	23436	55440	1464	2640
1	51156	55440	1464	2640
1	37296	55440	144	2640
1	23436	55440	144	2640
1	51156	55440	144	2640
1	26208	55440	1464	2640
1	12348	55440	1464	2640
1	40068	55440	1464	2640
1	26208	55440	144	2640
1	12348	55440	144	2640
1	40068	55440	144	2640
1	15120	55440	2520	2640
1	1260	55440	2520	2640
1	28980	55440	2520	2640
1	15120	55440	1200	2640
1	1260	55440	1200	2640
1	28980	55440	1200	2640
1	26208	55440	2520	2640
1	12348	55440	2520	2640
1	40068	55440	2520	2640
1	26208	55440	1200	2640
1	12348	55440	1200	2640
1	40068	55440	1200	2640
1	15120	55440	936	2640
1	1260	55440	936	2640
1	28980	55440	936	2640
