fiber	n	d	status	jacobian_order
t1_2	0	1	boundary	0
t1_2	1	1	boundary	0
t1_2	2	1	good_allowed	5760
t1_2	3	1	good_allowed	5760
t1_2	5	1	boundary	0
t1_2	6	1	good_allowed	5760
t1_2	10	1	good_allowed	5760
t1_2	12	1	good_allowed	5760
t1_2	15	1	good_allowed	5760
t1_2	16	1	good_allowed	5760
t1_2	19	1	good_allowed	5760
t1_2	24	1	good_allowed	5760
t1_2	26	1	good_allowed	5760
t1_2	27	1	good_allowed	5760
t1_2	28	1	good_allowed	5760
t1_2	29	1	good_allowed	5760
t1_2	33	1	good_allowed	5760
t1_2	36	1	good_allowed	5760
t1_2	37	1	good_allowed	5760
t1_2	38	1	boundary	0
t1_2	40	1	good_allowed	5760
t1_2	41	1	good_allowed	5760
t1_2	43	1	boundary	0
t1_2	47	1	good_allowed	5760
t1_2	48	1	good_allowed	5760
t1_2	49	1	good_allowed	5760
t1_2	50	1	good_allowed	5760
t1_2	53	1	good_allowed	5760
t1_2	57	1	boundary	0
t1_2	59	1	good_allowed	5760
t1_2	64	1	good_allowed	5760
t1_2	65	1	good_allowed	5760
t1_2	67	1	good_allowed	5760
t1_2	68	1	good_allowed	5760
t1_2	70	1	boundary	0
t1_2	1	0	boundary	0
t2_3	0	1	boundary	0
t2_3	1	1	boundary	0
t2_3	2	1	good_allowed	4608
t2_3	4	1	good_allowed	4608
t2_3	7	1	good_allowed	4608
t2_3	8	1	good_allowed	4608
t2_3	9	1	good_allowed	4608
t2_3	10	1	boundary	0
t2_3	16	1	good_allowed	4608
t2_3	17	1	good_allowed	4608
t2_3	18	1	good_allowed	4608
t2_3	21	1	good_allowed	4608
t2_3	23	1	good_allowed	4608
t2_3	29	1	good_allowed	4608
t2_3	34	1	good_allowed	4608
t2_3	36	1	good_allowed	4608
t2_3	37	1	boundary	0
t2_3	38	1	good_allowed	4608
t2_3	40	1	good_allowed	4608
t2_3	43	1	good_allowed	4608
t2_3	44	1	good_allowed	4608
t2_3	46	1	good_allowed	4608
t2_3	47	1	good_allowed	4608
t2_3	48	1	boundary	0
t2_3	49	1	good_allowed	4608
t2_3	52	1	good_allowed	4608
t2_3	53	1	good_allowed	4608
t2_3	56	1	good_allowed	4608
t2_3	58	1	good_allowed	4608
t2_3	60	1	good_allowed	4608
t2_3	61	1	good_allowed	4608
t2_3	64	1	boundary	0
t2_3	67	1	good_allowed	4608
t2_3	68	1	good_allowed	4608
t2_3	70	1	boundary	0
t2_3	1	0	boundary	0
