p	A	B	R	S	rho_zero	sigma_zero	branch_collision	smooth_slice_sheets	open_presentations	target_presentations	target_halves	half_boundary_points
31	1	1	0	0	1	1	-1	0	0	0	0	0
31	1	2	10	10	0	0	1	0	0	0	0	0
31	1	3	14	14	0	0	1	0	0	0	0	0
31	1	4	16	16	0	0	1	0	0	0	0	0
31	1	5	28	28	0	0	1	0	0	0	0	0
31	1	6	28	28	0	0	1	0	0	0	0	0
31	1	7	4	4	0	0	1	0	0	0	0	0
31	1	8	16	16	0	0	1	0	0	0	0	0
31	1	9	4	4	0	0	1	0	0	0	0	0
31	1	10	14	14	0	0	1	0	0	0	0	0
31	1	11	5	5	0	0	1	0	0	0	0	0
31	1	12	1	1	0	0	1	0	0	0	0	0
31	1	13	1	1	0	0	1	0	0	0	0	0
31	1	14	5	5	0	0	1	0	0	0	0	0
31	1	15	10	10	0	0	1	0	0	0	0	0
31	1	16	10	10	0	0	1	0	0	0	0	0
31	1	17	5	5	0	0	1	0	0	0	0	0
31	1	18	1	1	0	0	1	0	0	0	0	0
31	1	19	1	1	0	0	1	0	0	0	0	0
31	1	20	5	5	0	0	1	0	0	0	0	0
31	1	21	14	14	0	0	1	0	0	0	0	0
31	1	22	4	4	0	0	1	0	0	0	0	0
31	1	23	16	16	0	0	1	0	0	0	0	0
31	1	24	4	4	0	0	1	0	0	0	0	0
31	1	25	28	28	0	0	1	0	0	0	0	0
31	1	26	28	28	0	0	1	0	0	0	0	0
31	1	27	16	16	0	0	1	0	0	0	0	0
31	1	28	14	14	0	0	1	0	0	0	0	0
31	1	29	10	10	0	0	1	0	0	0	0	0
31	1	30	0	0	1	1	-1	0	0	0	0	0
31	2	1	10	10	0	0	1	0	0	0	0	0
31	2	4	2	9	0	0	1	0	0	0	0	0
31	2	6	20	19	0	0	0	4	12	0	0	0
31	2	13	20	19	0	0	0	4	12	0	0	0
31	2	15	10	10	0	0	1	0	0	0	0	0
31	2	16	10	10	0	0	1	0	0	0	0	0
31	2	18	20	19	0	0	0	4	12	0	0	0
31	2	25	20	19	0	0	0	4	12	0	0	0
31	2	27	2	9	0	0	1	0	0	0	0	0
31	2	30	10	10	0	0	1	0	0	0	0	0
31	3	1	14	14	0	0	1	0	0	0	0	0
31	3	10	14	14	0	0	1	0	0	0	0	0
31	3	21	14	14	0	0	1	0	0	0	0	0
31	3	30	14	14	0	0	1	0	0	0	0	0
31	4	1	16	16	0	0	1	0	0	0	0	0
31	4	2	2	9	0	0	1	0	0	0	0	0
31	4	4	2	9	0	0	1	0	0	0	0	0
31	4	8	16	16	0	0	1	0	0	0	0	0
31	4	23	16	16	0	0	1	0	0	0	0	0
31	4	27	2	9	0	0	1	0	0	0	0	0
31	4	29	2	9	0	0	1	0	0	0	0	0
31	4	30	16	16	0	0	1	0	0	0	0	0
31	5	1	28	28	0	0	1	0	0	0	0	0
31	5	6	28	28	0	0	1	0	0	0	0	0
31	5	12	19	20	0	0	0	4	12	0	0	0
31	5	15	19	20	0	0	0	4	12	0	0	0
31	5	16	19	20	0	0	0	4	12	0	0	0
31	5	19	19	20	0	0	0	4	12	0	0	0
31	5	25	28	28	0	0	1	0	0	0	0	0
31	5	30	28	28	0	0	1	0	0	0	0	0
31	6	1	28	28	0	0	1	0	0	0	0	0
31	6	2	20	19	0	0	0	4	12	0	0	0
31	6	5	28	28	0	0	1	0	0	0	0	0
31	6	13	20	19	0	0	0	4	12	0	0	0
31	6	18	20	19	0	0	0	4	12	0	0	0
31	6	26	28	28	0	0	1	0	0	0	0	0
31	6	29	20	19	0	0	0	4	12	0	0	0
31	6	30	28	28	0	0	1	0	0	0	0	0
31	7	1	4	4	0	0	1	0	0	0	0	0
31	7	9	4	4	0	0	1	0	0	0	0	0
31	7	22	4	4	0	0	1	0	0	0	0	0
31	7	30	4	4	0	0	1	0	0	0	0	0
31	8	1	16	16	0	0	1	0	0	0	0	0
31	8	4	16	16	0	0	1	0	0	0	0	0
31	8	8	9	2	0	0	1	0	0	0	0	0
31	8	15	9	2	0	0	1	0	0	0	0	0
31	8	16	9	2	0	0	1	0	0	0	0	0
31	8	23	9	2	0	0	1	0	0	0	0	0
31	8	27	16	16	0	0	1	0	0	0	0	0
31	8	30	16	16	0	0	1	0	0	0	0	0
31	9	1	4	4	0	0	1	0	0	0	0	0
31	9	7	4	4	0	0	1	0	0	0	0	0
31	9	24	4	4	0	0	1	0	0	0	0	0
31	9	30	4	4	0	0	1	0	0	0	0	0
31	10	1	14	14	0	0	1	0	0	0	0	0
31	10	3	14	14	0	0	1	0	0	0	0	0
31	10	28	14	14	0	0	1	0	0	0	0	0
31	10	30	14	14	0	0	1	0	0	0	0	0
31	11	1	5	5	0	0	1	0	0	0	0	0
31	11	14	5	5	0	0	1	0	0	0	0	0
31	11	17	5	5	0	0	1	0	0	0	0	0
31	11	30	5	5	0	0	1	0	0	0	0	0
31	12	1	1	1	0	0	1	0	0	0	0	0
31	12	5	19	20	0	0	0	4	12	0	0	0
31	12	13	1	1	0	0	1	0	0	0	0	0
31	12	15	19	20	0	0	0	4	12	0	0	0
31	12	16	19	20	0	0	0	4	12	0	0	0
31	12	18	1	1	0	0	1	0	0	0	0	0
31	12	26	19	20	0	0	0	4	12	0	0	0
31	12	30	1	1	0	0	1	0	0	0	0	0
31	13	1	1	1	0	0	1	0	0	0	0	0
31	13	2	20	19	0	0	0	4	12	0	0	0
31	13	6	20	19	0	0	0	4	12	0	0	0
31	13	12	1	1	0	0	1	0	0	0	0	0
31	13	19	1	1	0	0	1	0	0	0	0	0
31	13	25	20	19	0	0	0	4	12	0	0	0
31	13	29	20	19	0	0	0	4	12	0	0	0
31	13	30	1	1	0	0	1	0	0	0	0	0
31	14	1	5	5	0	0	1	0	0	0	0	0
31	14	11	5	5	0	0	1	0	0	0	0	0
31	14	20	5	5	0	0	1	0	0	0	0	0
31	14	30	5	5	0	0	1	0	0	0	0	0
31	15	1	10	10	0	0	1	0	0	0	0	0
31	15	2	10	10	0	0	1	0	0	0	0	0
31	15	5	19	20	0	0	0	4	12	0	0	0
31	15	8	9	2	0	0	1	0	0	0	0	0
31	15	12	19	20	0	0	0	4	12	0	0	0
31	15	19	19	20	0	0	0	4	12	0	0	0
31	15	23	9	2	0	0	1	0	0	0	0	0
31	15	26	19	20	0	0	0	4	12	0	0	0
31	15	29	10	10	0	0	1	0	0	0	0	0
31	15	30	10	10	0	0	1	0	0	0	0	0
31	16	1	10	10	0	0	1	0	0	0	0	0
31	16	2	10	10	0	0	1	0	0	0	0	0
31	16	5	19	20	0	0	0	4	12	0	0	0
31	16	8	9	2	0	0	1	0	0	0	0	0
31	16	12	19	20	0	0	0	4	12	0	0	0
31	16	19	19	20	0	0	0	4	12	0	0	0
31	16	23	9	2	0	0	1	0	0	0	0	0
31	16	26	19	20	0	0	0	4	12	0	0	0
31	16	29	10	10	0	0	1	0	0	0	0	0
31	16	30	10	10	0	0	1	0	0	0	0	0
31	17	1	5	5	0	0	1	0	0	0	0	0
31	17	11	5	5	0	0	1	0	0	0	0	0
31	17	20	5	5	0	0	1	0	0	0	0	0
31	17	30	5	5	0	0	1	0	0	0	0	0
31	18	1	1	1	0	0	1	0	0	0	0	0
31	18	2	20	19	0	0	0	4	12	0	0	0
31	18	6	20	19	0	0	0	4	12	0	0	0
31	18	12	1	1	0	0	1	0	0	0	0	0
31	18	19	1	1	0	0	1	0	0	0	0	0
31	18	25	20	19	0	0	0	4	12	0	0	0
31	18	29	20	19	0	0	0	4	12	0	0	0
31	18	30	1	1	0	0	1	0	0	0	0	0
31	19	1	1	1	0	0	1	0	0	0	0	0
31	19	5	19	20	0	0	0	4	12	0	0	0
31	19	13	1	1	0	0	1	0	0	0	0	0
31	19	15	19	20	0	0	0	4	12	0	0	0
31	19	16	19	20	0	0	0	4	12	0	0	0
31	19	18	1	1	0	0	1	0	0	0	0	0
31	19	26	19	20	0	0	0	4	12	0	0	0
31	19	30	1	1	0	0	1	0	0	0	0	0
31	20	1	5	5	0	0	1	0	0	0	0	0
31	20	14	5	5	0	0	1	0	0	0	0	0
31	20	17	5	5	0	0	1	0	0	0	0	0
31	20	30	5	5	0	0	1	0	0	0	0	0
31	21	1	14	14	0	0	1	0	0	0	0	0
31	21	3	14	14	0	0	1	0	0	0	0	0
31	21	28	14	14	0	0	1	0	0	0	0	0
31	21	30	14	14	0	0	1	0	0	0	0	0
31	22	1	4	4	0	0	1	0	0	0	0	0
31	22	7	4	4	0	0	1	0	0	0	0	0
31	22	24	4	4	0	0	1	0	0	0	0	0
31	22	30	4	4	0	0	1	0	0	0	0	0
31	23	1	16	16	0	0	1	0	0	0	0	0
31	23	4	16	16	0	0	1	0	0	0	0	0
31	23	8	9	2	0	0	1	0	0	0	0	0
31	23	15	9	2	0	0	1	0	0	0	0	0
31	23	16	9	2	0	0	1	0	0	0	0	0
31	23	23	9	2	0	0	1	0	0	0	0	0
31	23	27	16	16	0	0	1	0	0	0	0	0
31	23	30	16	16	0	0	1	0	0	0	0	0
31	24	1	4	4	0	0	1	0	0	0	0	0
31	24	9	4	4	0	0	1	0	0	0	0	0
31	24	22	4	4	0	0	1	0	0	0	0	0
31	24	30	4	4	0	0	1	0	0	0	0	0
31	25	1	28	28	0	0	1	0	0	0	0	0
31	25	2	20	19	0	0	0	4	12	0	0	0
31	25	5	28	28	0	0	1	0	0	0	0	0
31	25	13	20	19	0	0	0	4	12	0	0	0
31	25	18	20	19	0	0	0	4	12	0	0	0
31	25	26	28	28	0	0	1	0	0	0	0	0
31	25	29	20	19	0	0	0	4	12	0	0	0
31	25	30	28	28	0	0	1	0	0	0	0	0
31	26	1	28	28	0	0	1	0	0	0	0	0
31	26	6	28	28	0	0	1	0	0	0	0	0
31	26	12	19	20	0	0	0	4	12	0	0	0
31	26	15	19	20	0	0	0	4	12	0	0	0
31	26	16	19	20	0	0	0	4	12	0	0	0
31	26	19	19	20	0	0	0	4	12	0	0	0
31	26	25	28	28	0	0	1	0	0	0	0	0
31	26	30	28	28	0	0	1	0	0	0	0	0
31	27	1	16	16	0	0	1	0	0	0	0	0
31	27	2	2	9	0	0	1	0	0	0	0	0
31	27	4	2	9	0	0	1	0	0	0	0	0
31	27	8	16	16	0	0	1	0	0	0	0	0
31	27	23	16	16	0	0	1	0	0	0	0	0
31	27	27	2	9	0	0	1	0	0	0	0	0
31	27	29	2	9	0	0	1	0	0	0	0	0
31	27	30	16	16	0	0	1	0	0	0	0	0
31	28	1	14	14	0	0	1	0	0	0	0	0
31	28	10	14	14	0	0	1	0	0	0	0	0
31	28	21	14	14	0	0	1	0	0	0	0	0
31	28	30	14	14	0	0	1	0	0	0	0	0
31	29	1	10	10	0	0	1	0	0	0	0	0
31	29	4	2	9	0	0	1	0	0	0	0	0
31	29	6	20	19	0	0	0	4	12	0	0	0
31	29	13	20	19	0	0	0	4	12	0	0	0
31	29	15	10	10	0	0	1	0	0	0	0	0
31	29	16	10	10	0	0	1	0	0	0	0	0
31	29	18	20	19	0	0	0	4	12	0	0	0
31	29	25	20	19	0	0	0	4	12	0	0	0
31	29	27	2	9	0	0	1	0	0	0	0	0
31	29	30	10	10	0	0	1	0	0	0	0	0
31	30	1	0	0	1	1	-1	0	0	0	0	0
31	30	2	10	10	0	0	1	0	0	0	0	0
31	30	3	14	14	0	0	1	0	0	0	0	0
31	30	4	16	16	0	0	1	0	0	0	0	0
31	30	5	28	28	0	0	1	0	0	0	0	0
31	30	6	28	28	0	0	1	0	0	0	0	0
31	30	7	4	4	0	0	1	0	0	0	0	0
31	30	8	16	16	0	0	1	0	0	0	0	0
31	30	9	4	4	0	0	1	0	0	0	0	0
31	30	10	14	14	0	0	1	0	0	0	0	0
31	30	11	5	5	0	0	1	0	0	0	0	0
31	30	12	1	1	0	0	1	0	0	0	0	0
31	30	13	1	1	0	0	1	0	0	0	0	0
31	30	14	5	5	0	0	1	0	0	0	0	0
31	30	15	10	10	0	0	1	0	0	0	0	0
31	30	16	10	10	0	0	1	0	0	0	0	0
31	30	17	5	5	0	0	1	0	0	0	0	0
31	30	18	1	1	0	0	1	0	0	0	0	0
31	30	19	1	1	0	0	1	0	0	0	0	0
31	30	20	5	5	0	0	1	0	0	0	0	0
31	30	21	14	14	0	0	1	0	0	0	0	0
31	30	22	4	4	0	0	1	0	0	0	0	0
31	30	23	16	16	0	0	1	0	0	0	0	0
31	30	24	4	4	0	0	1	0	0	0	0	0
31	30	25	28	28	0	0	1	0	0	0	0	0
31	30	26	28	28	0	0	1	0	0	0	0	0
31	30	27	16	16	0	0	1	0	0	0	0	0
31	30	28	14	14	0	0	1	0	0	0	0	0
31	30	29	10	10	0	0	1	0	0	0	0	0
31	30	30	0	0	1	1	-1	0	0	0	0	0
